"wk","tr","nc","stg","id"
0,107,0.86,"1",904
1,107,0.86,"1",904
1,107,0.86,"2",905
2,107,0.71,"2",905
3,107,1,"2",905
4,107,0.71,"2",905
4,107,0.71,"3",906
5,107,0.14,"3",906
6,107,0.29,"3",906
7,107,0,"3",906
8,107,0.14,"3",906
8,107,0.14,"2",907
9,107,0,"2",907
10,107,0,"2",907
11,107,0,"2",907
11,107,0,"1b",908
12,107,0,"1b",908
13,107,0,"1b",908
14,107,0,"1b",908
14,107,0,"1",909
15,107,0.14,"1",909
15,107,0.14,"1b",910
16,107,0.14,"1b",910
17,107,0.43,"1b",910
18,107,1.29,"1b",910
18,107,1.29,"2",911
19,107,0.14,"2",911
20,107,0.57,"2",911
21,107,0.29,"2",911
22,107,0.29,"2",911
23,107,0,"2",911
24,107,0,"2",911
25,107,0,"2",911
25,107,0,"1b",912
26,107,0,"1b",912
27,107,0.29,"1b",912
28,107,0.14,"1b",912
28,107,0.14,"1",913
29,107,0.43,"1",913
29,107,0.43,"2",914
30,107,0.57,"2",914
31,107,0.71,"2",914
32,107,0.86,"2",914
33,107,2.29,"2",914
34,107,2.57,"2",914
34,107,2.57,"3",915
35,107,0.86,"3",915
36,107,1,"3",915
37,107,1.29,"3",915
37,107,1.29,"2",916
38,107,2.14,"2",916
38,107,2.14,"3",917
39,107,1,"3",917
40,107,1.29,"3",917
41,107,1.71,"3",917
42,107,0.43,"3",917
43,107,1.29,"3",917
44,107,0.86,"3",917
45,107,2,"3",917
46,107,2,"3",917
47,107,3,"3",917
48,107,3.29,"3",917
49,107,4,"3",917
50,107,3,"3",917
51,107,3.43,"3",917
52,107,3,"3",917
0,753,0.86,"1",5209
1,753,1.71,"1",5209
1,753,1.71,"2",5210
2,753,1.86,"2",5210
2,753,1.86,"3",5211
3,753,1.57,"3",5211
4,753,1.71,"3",5211
5,753,1.29,"3",5211
6,753,1.29,"3",5211
7,753,1.14,"3",5211
7,753,1.14,"2",5212
8,753,0.71,"2",5212
8,753,0.71,"3",5213
9,753,1.57,"3",5213
10,753,0.86,"3",5213
11,753,0.71,"3",5213
12,753,0.14,"3",5213
12,753,0.14,"2",5214
13,753,0.29,"2",5214
14,753,0,"2",5214
15,753,0.29,"2",5214
16,753,0.14,"2",5214
17,753,0.14,"2",5214
18,753,0.14,"2",5214
19,753,0.14,"2",5214
20,753,0.14,"2",5214
21,753,0.29,"2",5214
22,753,0.14,"2",5214
23,753,0.43,"2",5214
24,753,0.14,"2",5214
25,753,0.29,"2",5214
26,753,0.57,"2",5214
27,753,0.14,"2",5214
28,753,0.14,"2",5214
29,753,0.29,"2",5214
30,753,0.29,"2",5214
31,753,0.71,"2",5214
32,753,0.14,"2",5214
33,753,0.29,"2",5214
34,753,0.43,"2",5214
35,753,0.71,"2",5214
36,753,0.29,"2",5214
37,753,0.43,"2",5214
38,753,0.14,"2",5214
39,753,0.43,"2",5214
40,753,2.71,"2",5214
41,753,1.86,"2",5214
41,753,1.86,"3",5215
42,753,3.71,"3",5215
43,753,3.29,"3",5215
44,753,2,"3",5215
45,753,1.71,"3",5215
46,753,1.86,"3",5215
47,753,2.14,"3",5215
48,753,1.14,"3",5215
49,753,1.43,"3",5215
50,753,1,"3",5215
51,753,2.29,"3",5215
52,753,0.86,"3",5215
0,1401,1,"1",9673
1,1401,1.29,"1",9673
1,1401,1.29,"2",9674
2,1401,1.14,"2",9674
2,1401,1.14,"3",9675
3,1401,0.57,"3",9675
4,1401,0.43,"3",9675
5,1401,0.29,"3",9675
5,1401,0.29,"2",9676
6,1401,0,"2",9676
7,1401,0,"2",9676
8,1401,0,"2",9676
8,1401,0,"1b",9677
9,1401,0,"1b",9677
10,1401,0,"1b",9677
11,1401,0,"1b",9677
11,1401,0,"1",9678
12,1401,0,"1",9678
13,1401,0,"1",9678
14,1401,0,"1",9678
15,1401,0,"1",9678
16,1401,0,"1",9678
17,1401,0,"1",9678
18,1401,0,"1",9678
19,1401,0,"1",9678
20,1401,0,"1",9678
21,1401,0.14,"1",9678
22,1401,0.14,"1",9678
23,1401,0,"1",9678
23,1401,0,"2",9679
24,1401,0.14,"2",9679
25,1401,0,"2",9679
26,1401,0,"2",9679
27,1401,0.14,"2",9679
27,1401,0.14,"1b",9680
28,1401,0.43,"1b",9680
28,1401,0.43,"2",9681
29,1401,0.43,"2",9681
30,1401,0.43,"2",9681
31,1401,0.29,"2",9681
32,1401,0.43,"2",9681
33,1401,0,"2",9681
