"wk","tr","nc","stg","id"
0,526,0.86,"1",3443
1,526,1.29,"1",3443
2,526,0.71,"1",3443
3,526,0.86,"1",3443
4,526,0.43,"1",3443
5,526,1,"1",3443
6,526,0.86,"1",3443
7,526,0.86,"1",3443
8,526,0.86,"1",3443
9,526,1.43,"1",3443
10,526,2.14,"1",3443
11,526,1.71,"1",3443
12,526,2.71,"1",3443
13,526,2.43,"1",3443
14,526,2.14,"1",3443
15,526,2,"1",3443
16,526,2.71,"1",3443
17,526,3.29,"1",3443
18,526,3,"1",3443
19,526,3,"1",3443
20,526,3.57,"1",3443
21,526,2.86,"1",3443
22,526,3.57,"1",3443
23,526,2.71,"1",3443
24,526,1.86,"1",3443
25,526,1.86,"1",3443
26,526,2.14,"1",3443
27,526,2.86,"1",3443
28,526,1.57,"1",3443
29,526,2,"1",3443
30,526,2.71,"1",3443
31,526,2.71,"1",3443
32,526,2.57,"1",3443
33,526,3.14,"1",3443
34,526,4.29,"1",3443
35,526,4.29,"1",3443
36,526,1.86,"1",3443
37,526,1,"1",3443
38,526,0.86,"1",3443
39,526,1,"1",3443
40,526,2.29,"1",3443
41,526,1.86,"1",3443
42,526,1.86,"1",3443
43,526,2.14,"1",3443
44,526,2,"1",3443
45,526,3.14,"1",3443
46,526,2.29,"1",3443
47,526,3.86,"1",3443
48,526,4.14,"1",3443
49,526,3.29,"1",3443
50,526,1.86,"1",3443
51,526,1.86,"1",3443
52,526,1.57,"1",3443
0,1176,0.86,"1",7764
1,1176,1.29,"1",7764
2,1176,0.86,"1",7764
3,1176,1.57,"1",7764
4,1176,2.29,"1",7764
5,1176,2.43,"1",7764
6,1176,4.43,"1",7764
7,1176,4.14,"1",7764
8,1176,3.57,"1",7764
9,1176,2.29,"1",7764
10,1176,2.86,"1",7764
11,1176,2.14,"1",7764
12,1176,2.71,"1",7764
13,1176,2.29,"1",7764
14,1176,2.86,"1",7764
15,1176,3.29,"1",7764
16,1176,3.29,"1",7764
17,1176,2.43,"1",7764
18,1176,3.29,"1",7764
19,1176,3.57,"1",7764
20,1176,2.71,"1",7764
21,1176,2.57,"1",7764
22,1176,4,"1",7764
23,1176,2,"1",7764
24,1176,2.14,"1",7764
25,1176,1.57,"1",7764
26,1176,2.29,"1",7764
27,1176,1.71,"1",7764
28,1176,1,"1",7764
29,1176,0.71,"1",7764
30,1176,1.14,"1",7764
31,1176,1.14,"1",7764
32,1176,0.71,"1",7764
33,1176,0.71,"1",7764
34,1176,0.86,"1",7764
35,1176,0.43,"1",7764
36,1176,0.29,"1",7764
37,1176,0.14,"1",7764
38,1176,0.14,"1",7764
39,1176,0.43,"1",7764
40,1176,2,"1",7764
41,1176,3.57,"1",7764
42,1176,3.29,"1",7764
43,1176,3.29,"1",7764
44,1176,2.71,"1",7764
45,1176,1.43,"1",7764
46,1176,1.86,"1",7764
47,1176,2,"1",7764
48,1176,0.86,"1",7764
49,1176,1,"1",7764
50,1176,1.14,"1",7764
51,1176,1.29,"1",7764
52,1176,1,"1",7764
0,1826,1,"1",12589
1,1826,1.57,"1",12589
2,1826,2.57,"1",12589
3,1826,3.14,"1",12589
4,1826,4.14,"1",12589
5,1826,3.71,"1",12589
6,1826,4.86,"1",12589
7,1826,3.71,"1",12589
8,1826,4.71,"1",12589
9,1826,4.57,"1",12589
10,1826,3,"1",12589
11,1826,5.86,"1",12589
12,1826,5.71,"1",12589
13,1826,4.43,"1",12589
14,1826,5.43,"1",12589
15,1826,5,"1",12589
16,1826,6.57,"1",12589
17,1826,6.86,"1",12589
18,1826,7.29,"1",12589
19,1826,6,"1",12589
20,1826,6.29,"1",12589
21,1826,7.43,"1",12589
22,1826,5.86,"1",12589
23,1826,7.57,"1",12589
24,1826,7.14,"1",12589
25,1826,5.71,"1",12589
26,1826,6.14,"1",12589
27,1826,4.57,"1",12589
28,1826,3.14,"1",12589
29,1826,1.86,"1",12589
30,1826,1.43,"1",12589
31,1826,1.29,"1",12589
32,1826,1.71,"1",12589
33,1826,1.29,"1",12589
34,1826,1.14,"1",12589
35,1826,0.71,"1",12589
36,1826,0.57,"1",12589
37,1826,0.86,"1",12589
38,1826,0.71,"1",12589
39,1826,0.43,"1",12589
40,1826,0.57,"1",12589
41,1826,0.57,"1",12589
42,1826,1.43,"1",12589
43,1826,1.57,"1",12589
44,1826,0.71,"1",12589
45,1826,0.86,"1",12589
46,1826,0.71,"1",12589
47,1826,0.86,"1",12589
48,1826,0.14,"1",12589
49,1826,0.43,"1",12589
50,1826,0.86,"1",12589
51,1826,1.14,"1",12589
52,1826,0.86,"1",12589
0,2472,0.86,"1",17057
1,2472,0.71,"1",17057
2,2472,0.86,"1",17057
3,2472,1.57,"1",17057
4,2472,2,"1",17057
5,2472,2.43,"1",17057
6,2472,2.29,"1",17057
7,2472,2.57,"1",17057
8,2472,3.71,"1",17057
9,2472,4.86,"1",17057
10,2472,4.14,"1",17057
11,2472,5.43,"1",17057
12,2472,6.29,"1",17057
13,2472,7.86,"1",17057
14,2472,8,"1",17057
15,2472,6.14,"1",17057
16,2472,7.57,"1",17057
17,2472,8.71,"1",17057
18,2472,9.14,"1",17057
19,2472,9.86,"1",17057
20,2472,10.71,"1",17057
21,2472,6.57,"1",17057
22,2472,7.29,"1",17057
23,2472,6.71,"1",17057
24,2472,6.14,"1",17057
25,2472,6.71,"1",17057
26,2472,5.57,"1",17057
27,2472,5.29,"1",17057
28,2472,5.57,"1",17057
29,2472,4.86,"1",17057
30,2472,4.71,"1",17057
31,2472,4.43,"1",17057
32,2472,2.43,"1",17057
33,2472,3,"1",17057
34,2472,2,"1",17057
35,2472,2,"1",17057
36,2472,1.29,"1",17057
37,2472,1.57,"1",17057
38,2472,1.29,"1",17057
39,2472,0.43,"1",17057
40,2472,0.57,"1",17057
41,2472,0.14,"1",17057
42,2472,0.43,"1",17057
43,2472,0.57,"1",17057
44,2472,0.57,"1",17057
45,2472,1.71,"1",17057
46,2472,2,"1",17057
47,2472,2.71,"1",17057
48,2472,1.71,"1",17057
49,2472,1,"1",17057
50,2472,0.71,"1",17057
51,2472,0.43,"1",17057
52,2472,0.29,"1",17057
0,3122,0.86,"1",21422
1,3122,0.29,"1",21422
2,3122,0.29,"1",21422
3,3122,0.71,"1",21422
4,3122,1.14,"1",21422
5,3122,0.43,"1",21422
6,3122,0.57,"1",21422
7,3122,0.71,"1",21422
8,3122,0.57,"1",21422
9,3122,1.29,"1",21422
10,3122,2.29,"1",21422
11,3122,1.14,"1",21422
12,3122,1.71,"1",21422
13,3122,1.43,"1",21422
14,3122,1.29,"1",21422
15,3122,0.43,"1",21422
16,3122,0.57,"1",21422
17,3122,0.43,"1",21422
18,3122,0.57,"1",21422
19,3122,0.14,"1",21422
20,3122,0,"1",21422
21,3122,0,"1",21422
22,3122,0.29,"1",21422
23,3122,0,"1",21422
24,3122,0.29,"1",21422
25,3122,0.14,"1",21422
26,3122,0.14,"1",21422
27,3122,0.14,"1",21422
28,3122,0.71,"1",21422
29,3122,1,"1",21422
30,3122,0.14,"1",21422
31,3122,0.29,"1",21422
32,3122,0.29,"1",21422
33,3122,0.14,"1",21422
34,3122,0.57,"1",21422
35,3122,0.71,"1",21422
36,3122,0.71,"1",21422
37,3122,0.43,"1",21422
38,3122,0.43,"1",21422
39,3122,0.57,"1",21422
40,3122,0.57,"1",21422
41,3122,0.71,"1",21422
42,3122,0.43,"1",21422
43,3122,0,"1",21422
44,3122,0,"1",21422
45,3122,0.14,"1",21422
46,3122,0,"1",21422
47,3122,0,"1",21422
48,3122,0,"1",21422
49,3122,0,"1",21422
50,3122,0.14,"1",21422
51,3122,0.43,"1",21422
52,3122,0.57,"1",21422
0,3770,0.86,"1",25691
1,3770,1.43,"1",25691
2,3770,2,"1",25691
3,3770,2.29,"1",25691
4,3770,2.86,"1",25691
5,3770,4.14,"1",25691
6,3770,4.43,"1",25691
7,3770,2.71,"1",25691
8,3770,4.57,"1",25691
9,3770,5.43,"1",25691
10,3770,8.14,"1",25691
11,3770,9.57,"1",25691
12,3770,10.57,"1",25691
13,3770,12,"1",25691
14,3770,9,"1",25691
15,3770,11.29,"1",25691
16,3770,12,"1",25691
17,3770,15.29,"1",25691
18,3770,29.71,"1",25691
19,3770,29.71,"1",25691
20,3770,26.86,"1",25691
21,3770,21.14,"1",25691
22,3770,20.57,"1",25691
23,3770,17.14,"1",25691
24,3770,22.86,"1",25691
25,3770,11.43,"1",25691
26,3770,9.14,"1",25691
27,3770,3.14,"1",25691
28,3770,4.57,"1",25691
29,3770,4.14,"1",25691
30,3770,5.57,"1",25691
31,3770,4.43,"1",25691
32,3770,3.71,"1",25691
