"wk","tr","nc","stg","id"
0,212,0.86,"1",1703
1,212,1.14,"1",1703
1,212,1.14,"1b",1704
2,212,0.43,"1b",1704
2,212,0.43,"2",1705
3,212,1.43,"2",1705
4,212,0.71,"2",1705
5,212,1.29,"2",1705
6,212,0.29,"2",1705
7,212,1.14,"2",1705
8,212,1.43,"2",1705
9,212,1,"2",1705
10,212,0.14,"2",1705
11,212,0,"2",1705
11,212,0,"1b",1706
12,212,0,"1b",1706
13,212,0,"1b",1706
14,212,0,"1b",1706
14,212,0,"1",1707
15,212,0.29,"1",1707
16,212,0,"1",1707
16,212,0,"1b",1708
17,212,0.14,"1b",1708
18,212,0.14,"1b",1708
19,212,0.29,"1b",1708
20,212,0.14,"1b",1708
21,212,0.29,"1b",1708
22,212,0,"1b",1708
23,212,0.29,"1b",1708
23,212,0.29,"1",1709
24,212,0,"1",1709
24,212,0,"1b",1710
25,212,0,"1b",1710
26,212,0,"1b",1710
27,212,0.29,"1b",1710
28,212,0.43,"1b",1710
29,212,0.29,"1b",1710
30,212,0.29,"1b",1710
31,212,0.43,"1b",1710
32,212,0.86,"1b",1710
33,212,1.14,"1b",1710
34,212,1.43,"1b",1710
34,212,1.43,"2",1711
35,212,1.14,"2",1711
36,212,1.43,"2",1711
37,212,0.86,"2",1711
38,212,0.86,"2",1711
39,212,1.29,"2",1711
39,212,1.29,"1b",1712
40,212,1.14,"1b",1712
40,212,1.14,"2",1713
41,212,1,"2",1713
42,212,0.86,"2",1713
43,212,1.43,"2",1713
44,212,1.86,"2",1713
44,212,1.86,"1b",1714
45,212,1.29,"1b",1714
45,212,1.29,"2",1715
46,212,1.14,"2",1715
47,212,2.71,"2",1715
48,212,4.71,"2",1715
49,212,3.14,"2",1715
50,212,2,"2",1715
51,212,2.71,"2",1715
52,212,1.86,"2",1715
0,862,0.86,"1",6017
1,862,1,"1",6017
1,862,1,"2",6018
2,862,1.29,"2",6018
3,862,1.14,"2",6018
4,862,1.14,"2",6018
5,862,2.29,"2",6018
6,862,1.71,"2",6018
7,862,2.86,"2",6018
8,862,1.71,"2",6018
9,862,1.57,"2",6018
10,862,0.86,"2",6018
11,862,1.29,"2",6018
12,862,1.14,"2",6018
13,862,0.71,"2",6018
14,862,0.71,"2",6018
14,862,0.71,"1b",6019
15,862,0.57,"1b",6019
16,862,0.29,"1b",6019
17,862,1,"1b",6019
18,862,0.29,"1b",6019
19,862,0.29,"1b",6019
20,862,0.86,"1b",6019
21,862,0.57,"1b",6019
22,862,1,"1b",6019
23,862,0.14,"1b",6019
23,862,0.14,"2",6020
24,862,0.14,"2",6020
25,862,0.43,"2",6020
26,862,0.43,"2",6020
26,862,0.43,"1b",6021
27,862,0.57,"1b",6021
28,862,0.57,"1b",6021
29,862,0.14,"1b",6021
30,862,0.71,"1b",6021
31,862,1,"1b",6021
32,862,0.43,"1b",6021
33,862,1,"1b",6021
34,862,0.57,"1b",6021
35,862,0.86,"1b",6021
36,862,1.43,"1b",6021
37,862,0.57,"1b",6021
37,862,0.57,"2",6022
38,862,0.29,"2",6022
39,862,0.29,"2",6022
40,862,2,"2",6022
40,862,2,"1b",6023
41,862,1.43,"1b",6023
42,862,2.57,"1b",6023
42,862,2.57,"2",6024
43,862,3.29,"2",6024
44,862,2.86,"2",6024
45,862,1.71,"2",6024
46,862,1.43,"2",6024
47,862,1.14,"2",6024
48,862,1.29,"2",6024
49,862,1.86,"2",6024
50,862,0.86,"2",6024
51,862,1.57,"2",6024
52,862,0.86,"2",6024
0,1510,1,"1",10745
1,1510,1.57,"1",10745
1,1510,1.57,"1b",10746
2,1510,1.43,"1b",10746
2,1510,1.43,"2",10747
3,1510,1,"2",10747
4,1510,1,"2",10747
5,1510,1.57,"2",10747
6,1510,1.43,"2",10747
7,1510,1.86,"2",10747
8,1510,0.43,"2",10747
9,1510,0.57,"2",10747
10,1510,0.86,"2",10747
10,1510,0.86,"1b",10748
11,1510,0.86,"1b",10748
11,1510,0.86,"2",10749
12,1510,1.29,"2",10749
13,1510,0.57,"2",10749
14,1510,0.57,"2",10749
15,1510,0.14,"2",10749
15,1510,0.14,"1b",10750
16,1510,0.14,"1b",10750
17,1510,0.43,"1b",10750
18,1510,0,"1b",10750
19,1510,0.29,"1b",10750
20,1510,0.29,"1b",10750
21,1510,0.29,"1b",10750
22,1510,0.43,"1b",10750
23,1510,0.29,"1b",10750
24,1510,0.14,"1b",10750
25,1510,0,"1b",10750
26,1510,0,"1b",10750
26,1510,0,"1",10751
27,1510,0.14,"1",10751
28,1510,0.14,"1",10751
28,1510,0.14,"1b",10752
29,1510,0.29,"1b",10752
30,1510,0.57,"1b",10752
31,1510,0.71,"1b",10752
32,1510,0.29,"1b",10752
