"wk","tr","nc","stg","id"
0,486,0.86,"1",3432
1,486,1.57,"1",3432
2,486,2.71,"1",3432
3,486,3.14,"1",3432
4,486,5.14,"1",3432
5,486,6.86,"1",3432
6,486,10.14,"1",3432
7,486,16.57,"1",3432
8,486,26.43,"1",3432
9,486,45.71,"1",3432
9,486,45.71,"1b",3433
10,486,45.71,"1b",3433
11,486,60.57,"1b",3433
12,486,114.29,"1b",3433
12,486,114.29,"3",3434
13,486,100.57,"3",3434
14,486,100.57,"3",3434
15,486,52.57,"3",3434
16,486,57.14,"3",3434
17,486,32.57,"3",3434
18,486,19.43,"3",3434
19,486,23.43,"3",3434
20,486,22.86,"3",3434
20,486,22.86,"2",3435
21,486,21.14,"2",3435
22,486,19.43,"2",3435
23,486,17.14,"2",3435
23,486,17.14,"1b",3436
24,486,17.71,"1b",3436
25,486,13.14,"1b",3436
26,486,16.57,"1b",3436
27,486,20.57,"1b",3436
28,486,16.57,"1b",3436
29,486,18.29,"1b",3436
30,486,22.29,"1b",3436
31,486,17.71,"1b",3436
32,486,9.71,"1b",3436
33,486,15.43,"1b",3436
34,486,8.43,"1b",3436
34,486,8.43,"1",3437
35,486,5.86,"1",3437
36,486,6.57,"1",3437
37,486,4.57,"1",3437
38,486,3.43,"1",3437
39,486,2.14,"1",3437
40,486,1.57,"1",3437
41,486,1.14,"1",3437
42,486,1.29,"1",3437
43,486,3.71,"1",3437
44,486,2,"1",3437
45,486,3.43,"1",3437
46,486,2,"1",3437
47,486,2.57,"1",3437
48,486,3.14,"1",3437
49,486,2.43,"1",3437
50,486,2.14,"1",3437
51,486,2.86,"1",3437
52,486,1.71,"1",3437
0,1133,0.86,"1",7743
1,1133,3.14,"1",7743
2,1133,4,"1",7743
3,1133,5.71,"1",7743
4,1133,7.71,"1",7743
5,1133,11,"1",7743
6,1133,17.86,"1",7743
7,1133,29.71,"1",7743
7,1133,29.71,"1b",7744
8,1133,36.57,"1b",7744
9,1133,53.14,"1b",7744
10,1133,64.57,"1b",7744
11,1133,70.86,"1b",7744
11,1133,70.86,"3",7745
12,1133,77.71,"3",7745
13,1133,70.86,"3",7745
14,1133,100.57,"3",7745
15,1133,96,"3",7745
16,1133,109.71,"3",7745
17,1133,96,"3",7745
18,1133,75.43,"3",7745
19,1133,61.71,"3",7745
20,1133,38.86,"3",7745
21,1133,18.86,"3",7745
22,1133,11.43,"3",7745
23,1133,14.29,"3",7745
23,1133,14.29,"2",7746
24,1133,5.57,"2",7746
25,1133,5.43,"2",7746
26,1133,5.29,"2",7746
26,1133,5.29,"1b",7747
27,1133,6,"1b",7747
28,1133,5.71,"1b",7747
29,1133,7,"1b",7747
29,1133,7,"1",7748
30,1133,7.14,"1",7748
31,1133,5.43,"1",7748
32,1133,4.57,"1",7748
33,1133,4.86,"1",7748
34,1133,3.43,"1",7748
35,1133,3.29,"1",7748
36,1133,2.86,"1",7748
37,1133,2.43,"1",7748
38,1133,1.71,"1",7748
39,1133,1.14,"1",7748
40,1133,3.29,"1",7748
41,1133,2.57,"1",7748
42,1133,2.71,"1",7748
43,1133,3,"1",7748
44,1133,3,"1",7748
45,1133,2.14,"1",7748
46,1133,3,"1",7748
47,1133,3.43,"1",7748
48,1133,2.29,"1",7748
49,1133,2,"1",7748
50,1133,1.14,"1",7748
51,1133,1.71,"1",7748
52,1133,1.71,"1",7748
0,1782,1,"1",12575
1,1782,1.57,"1",12575
2,1782,3.71,"1",12575
3,1782,4.71,"1",12575
4,1782,6.14,"1",12575
5,1782,11.71,"1",12575
6,1782,19.29,"1",12575
7,1782,29.71,"1",12575
7,1782,29.71,"1b",12576
8,1782,39.43,"1b",12576
9,1782,45.14,"1b",12576
10,1782,81.71,"1b",12576
11,1782,102.86,"1b",12576
11,1782,102.86,"3",12577
12,1782,107.43,"3",12577
13,1782,73.14,"3",12577
14,1782,61.71,"3",12577
15,1782,52.57,"3",12577
16,1782,43.43,"3",12577
17,1782,21.71,"3",12577
18,1782,13.71,"3",12577
19,1782,15.43,"3",12577
19,1782,15.43,"2",12578
20,1782,18.86,"2",12578
21,1782,15.43,"2",12578
22,1782,18.29,"2",12578
23,1782,22.29,"2",12578
23,1782,22.29,"1b",12579
24,1782,18.86,"1b",12579
25,1782,19.43,"1b",12579
26,1782,22.29,"1b",12579
27,1782,16.57,"1b",12579
28,1782,15.43,"1b",12579
29,1782,14.86,"1b",12579
30,1782,17.71,"1b",12579
30,1782,17.71,"1",12580
31,1782,19.43,"1",12580
31,1782,19.43,"1b",12581
32,1782,14.86,"1b",12581
33,1782,15.43,"1b",12581
34,1782,8.43,"1b",12581
35,1782,5,"1b",12581
36,1782,5.14,"1b",12581
37,1782,4,"1b",12581
38,1782,3.71,"1b",12581
38,1782,3.71,"1",12582
39,1782,3.29,"1",12582
40,1782,3.43,"1",12582
41,1782,2.86,"1",12582
42,1782,2,"1",12582
43,1782,2.43,"1",12582
44,1782,2.14,"1",12582
45,1782,1.29,"1",12582
46,1782,2,"1",12582
47,1782,1.57,"1",12582
48,1782,1,"1",12582
49,1782,0.71,"1",12582
50,1782,1.29,"1",12582
51,1782,1.29,"1",12582
52,1782,0.57,"1",12582
0,2430,0.86,"1",17052
1,2430,2.14,"1",17052
2,2430,4.86,"1",17052
3,2430,6.71,"1",17052
4,2430,11.71,"1",17052
5,2430,17.29,"1",17052
6,2430,27.43,"1",17052
6,2430,27.43,"1b",17053
7,2430,35.43,"1b",17053
8,2430,41.71,"1b",17053
9,2430,67.43,"1b",17053
10,2430,88.57,"1b",17053
11,2430,93.71,"1b",17053
11,2430,93.71,"3",17054
12,2430,89.14,"3",17054
13,2430,82.29,"3",17054
14,2430,52.57,"3",17054
15,2430,38.86,"3",17054
16,2430,30.86,"3",17054
17,2430,22.29,"3",17054
18,2430,20.57,"3",17054
18,2430,20.57,"2",17055
19,2430,19.43,"2",17055
20,2430,21.14,"2",17055
21,2430,29.14,"2",17055
22,2430,42.86,"2",17055
22,2430,42.86,"1b",17056
23,2430,36.57,"1b",17056
24,2430,30.29,"1b",17056
25,2430,28.57,"1b",17056
26,2430,32,"1b",17056
27,2430,34.86,"1b",17056
28,2430,25.71,"1b",17056
29,2430,17.14,"1b",17056
30,2430,21.71,"1b",17056
31,2430,23.43,"1b",17056
32,2430,18.86,"1b",17056
33,2430,17.14,"1b",17056
34,2430,17.71,"1b",17056
35,2430,11,"1b",17056
36,2430,4.71,"1b",17056
37,2430,5.43,"1b",17056
38,2430,4.86,"1b",17056
38,2430,4.86,"1",17057
39,2430,4.86,"1",17057
40,2430,4.86,"1",17057
41,2430,3.57,"1",17057
42,2430,2.43,"1",17057
43,2430,3.29,"1",17057
44,2430,3,"1",17057
45,2430,3.29,"1",17057
46,2430,3.86,"1",17057
47,2430,2.29,"1",17057
48,2430,2.29,"1",17057
49,2430,0.86,"1",17057
50,2430,0.86,"1",17057
51,2430,0.43,"1",17057
52,2430,0.43,"1",17057
0,3078,0.86,"1",21415
1,3078,0.43,"1",21415
2,3078,1.29,"1",21415
3,3078,2.29,"1",21415
4,3078,3.29,"1",21415
5,3078,3,"1",21415
6,3078,5.43,"1",21415
7,3078,8,"1",21415
8,3078,13.14,"1",21415
9,3078,15,"1",21415
10,3078,42.29,"1",21415
10,3078,42.29,"1b",21416
11,3078,49.14,"1b",21416
12,3078,70.29,"1b",21416
13,3078,137.14,"1b",21416
13,3078,137.14,"3",21417
14,3078,118.86,"3",21417
15,3078,98.29,"3",21417
15,3078,98.29,"4",21418
16,3078,68.57,"4",21418
17,3078,22.86,"4",21418
18,3078,8,"4",21418
19,3078,14.86,"4",21418
20,3078,3,"4",21418
20,3078,3,"3",21419
21,3078,3.14,"3",21419
22,3078,4,"3",21419
23,3078,4.86,"3",21419
23,3078,4.86,"2",21420
24,3078,2.86,"2",21420
25,3078,1.86,"2",21420
25,3078,1.86,"1b",21421
26,3078,2,"1b",21421
27,3078,0.57,"1b",21421
28,3078,0.29,"1b",21421
28,3078,0.29,"1",21422
29,3078,0.57,"1",21422
30,3078,0.71,"1",21422
31,3078,0.57,"1",21422
32,3078,1.57,"1",21422
33,3078,1.14,"1",21422
34,3078,2.29,"1",21422
35,3078,1.43,"1",21422
36,3078,1.43,"1",21422
37,3078,2.29,"1",21422
38,3078,1.43,"1",21422
39,3078,2.14,"1",21422
40,3078,1.86,"1",21422
41,3078,1,"1",21422
42,3078,0.29,"1",21422
43,3078,0.14,"1",21422
44,3078,0.14,"1",21422
45,3078,0.14,"1",21422
46,3078,0.14,"1",21422
47,3078,0.43,"1",21422
48,3078,0.14,"1",21422
49,3078,0.29,"1",21422
50,3078,0.57,"1",21422
51,3078,0.29,"1",21422
52,3078,0.14,"1",21422
