"wk","tr","nc","stg","id"
0,"13111252878",0.0,"2",131112528781
1,"13111252878",0.57,"2",131112528781
2,"13111252878",6.0,"2",131112528781
3,"13111252878",13.0,"2",131112528781
3,"13111252878",13.0,"3",131112528782
4,"13111252878",19.29,"3",131112528782
5,"13111252878",16.29,"3",131112528782
6,"13111252878",42.43,"3",131112528782
6,"13111252878",42.43,"4",131112528783
7,"13111252878",28.29,"4",131112528783
8,"13111252878",18.0,"4",131112528783
8,"13111252878",18.0,"3",131112528784
9,"13111252878",3.86,"3",131112528784
10,"13111252878",11.57,"3",131112528784
11,"13111252878",7.71,"3",131112528784
12,"13111252878",5.14,"3",131112528784
13,"13111252878",6.86,"3",131112528784
14,"13111252878",3.43,"3",131112528784
14,"13111252878",3.43,"2",131112528785
15,"13111252878",4.14,"2",131112528785
16,"13111252878",1.86,"2",131112528785
17,"13111252878",2.57,"2",131112528785
18,"13111252878",1.29,"2",131112528785
19,"13111252878",3.14,"2",131112528785
20,"13111252878",3.29,"2",131112528785
21,"13111252878",3.0,"2",131112528785
22,"13111252878",3.71,"2",131112528785
23,"13111252878",4.0,"2",131112528785
24,"13111252878",4.57,"2",131112528785
25,"13111252878",6.14,"2",131112528785
26,"13111252878",5.71,"2",131112528785
26,"13111252878",5.71,"3",131112528786
27,"13111252878",3.71,"3",131112528786
28,"13111252878",3.57,"3",131112528786
28,"13111252878",3.57,"2",131112528787
29,"13111252878",5.43,"2",131112528787
30,"13111252878",6.71,"2",131112528787
31,"13111252878",4.57,"2",131112528787
32,"13111252878",3.71,"2",131112528787
33,"13111252878",8.29,"2",131112528787
34,"13111252878",10.29,"2",131112528787
35,"13111252878",7.71,"2",131112528787
36,"13111252878",6.86,"2",131112528787
37,"13111252878",3.0,"2",131112528787
38,"13111252878",6.43,"2",131112528787
39,"13111252878",5.57,"2",131112528787
40,"13111252878",5.14,"2",131112528787
41,"13111252878",17.14,"2",131112528787
42,"13111252878",18.43,"2",131112528787
43,"13111252878",14.57,"2",131112528787
44,"13111252878",8.57,"2",131112528787
45,"13111252878",6.0,"2",131112528787
46,"13111252878",10.71,"2",131112528787
47,"13111252878",10.71,"2",131112528787
48,"13111252878",8.57,"2",131112528787
49,"13111252878",9.43,"2",131112528787
50,"13111252878",6.0,"2",131112528787
51,"13111252878",5.57,"2",131112528787
52,"13111252878",3.43,"2",131112528787
53,"13111252878",6.29,"2",131112528787
54,"13111252878",6.57,"2",131112528787
55,"13111252878",7.0,"2",131112528787
56,"13111252878",10.29,"2",131112528787
57,"13111252878",5.14,"2",131112528787
58,"13111252878",4.71,"2",131112528787
59,"13111252878",3.86,"2",131112528787
60,"13111252878",4.0,"2",131112528787
61,"13111252878",2.14,"2",131112528787
62,"13111252878",2.0,"2",131112528787
63,"13111252878",1.29,"2",131112528787
64,"13111252878",1.29,"2",131112528787
65,"13111252878",1.43,"2",131112528787
66,"13111252878",2.14,"2",131112528787
67,"13111252878",2.29,"2",131112528787
68,"13111252878",2.14,"2",131112528787
69,"13111252878",2.0,"2",131112528787
70,"13111252878",3.14,"2",131112528787
71,"13111252878",2.57,"2",131112528787
72,"13111252878",2.86,"2",131112528787
73,"13111252878",1.29,"2",131112528787
74,"13111252878",1.29,"2",131112528787
75,"13111252878",3.71,"2",131112528787
76,"13111252878",2.29,"2",131112528787
77,"13111252878",1.86,"2",131112528787
78,"13111252878",6.0,"2",131112528787
79,"13111252878",3.43,"2",131112528787
80,"13111252878",3.43,"2",131112528787
81,"13111252878",4.0,"2",131112528787
81,"13111252878",4.0,"2",131119616997
0,"13111961699",0.0,"2",131119616997
1,"13111961699",0.0,"2",131119616997
2,"13111961699",0.0,"2",131119616997
3,"13111961699",0.57,"2",131119616997
4,"13111961699",1.0,"2",131119616997
5,"13111961699",2.71,"2",131119616997
6,"13111961699",4.86,"2",131119616997
6,"13111961699",4.86,"3",131119616998
7,"13111961699",4.29,"3",131119616998
8,"13111961699",3.43,"3",131119616998
8,"13111961699",3.43,"2",131119616999
9,"13111961699",3.14,"2",131119616999
10,"13111961699",6.29,"2",131119616999
11,"13111961699",7.43,"2",131119616999
11,"13111961699",7.43,"3",1311196169910
12,"13111961699",14.0,"3",1311196169910
13,"13111961699",12.86,"3",1311196169910
14,"13111961699",11.57,"3",1311196169910
15,"13111961699",5.14,"3",1311196169910
16,"13111961699",8.14,"3",1311196169910
17,"13111961699",7.29,"3",1311196169910
17,"13111961699",7.29,"2",1311196169911
18,"13111961699",4.71,"2",1311196169911
19,"13111961699",5.57,"2",1311196169911
19,"13111961699",5.57,"3",1311196169912
20,"13111961699",8.57,"3",1311196169912
21,"13111961699",5.57,"3",1311196169912
22,"13111961699",3.86,"3",1311196169912
22,"13111961699",3.86,"2",1311196169913
23,"13111961699",5.57,"2",1311196169913
23,"13111961699",5.57,"3",1311196169914
24,"13111961699",5.57,"3",1311196169914
25,"13111961699",2.86,"3",1311196169914
25,"13111961699",2.86,"2",1311196169915
26,"13111961699",5.29,"2",1311196169915
27,"13111961699",4.0,"2",1311196169915
28,"13111961699",5.71,"2",1311196169915
29,"13111961699",4.14,"2",1311196169915
30,"13111961699",4.43,"2",1311196169915
31,"13111961699",5.86,"2",1311196169915
32,"13111961699",7.57,"2",1311196169915
33,"13111961699",6.86,"2",1311196169915
34,"13111961699",3.86,"2",1311196169915
35,"13111961699",3.43,"2",1311196169915
36,"13111961699",4.0,"2",1311196169915
37,"13111961699",3.43,"2",1311196169915
38,"13111961699",4.86,"2",1311196169915
39,"13111961699",7.86,"2",1311196169915
40,"13111961699",12.86,"2",1311196169915
41,"13111961699",15.86,"2",1311196169915
42,"13111961699",24.0,"2",1311196169915
43,"13111961699",35.57,"2",1311196169915
43,"13111961699",35.57,"3",1311196169916
44,"13111961699",37.29,"3",1311196169916
45,"13111961699",43.71,"3",1311196169916
45,"13111961699",43.71,"4",1311196169917
46,"13111961699",59.14,"4",1311196169917
47,"13111961699",23.14,"4",1311196169917
48,"13111961699",16.71,"4",1311196169917
48,"13111961699",16.71,"3",1311196169918
49,"13111961699",25.71,"3",1311196169918
50,"13111961699",25.71,"3",1311196169918
50,"13111961699",25.71,"2",1311196169919
51,"13111961699",41.14,"2",1311196169919
52,"13111961699",84.86,"2",1311196169919
52,"13111961699",84.86,"3",1311196169920
53,"13111961699",126.0,"3",1311196169920
53,"13111961699",126.0,"4",1311196169921
54,"13111961699",84.86,"4",1311196169921
55,"13111961699",69.43,"4",1311196169921
56,"13111961699",42.43,"4",1311196169921
57,"13111961699",27.0,"4",1311196169921
57,"13111961699",27.0,"3",1311196169922
58,"13111961699",69.43,"3",1311196169922
58,"13111961699",69.43,"4",1311196169923
59,"13111961699",57.86,"4",1311196169923
60,"13111961699",88.71,"4",1311196169923
61,"13111961699",19.29,"4",1311196169923
61,"13111961699",19.29,"3",1311196169924
62,"13111961699",14.14,"3",1311196169924
63,"13111961699",23.14,"3",1311196169924
64,"13111961699",15.43,"3",1311196169924
64,"13111961699",15.43,"2",1311196169925
65,"13111961699",9.0,"2",1311196169925
66,"13111961699",12.0,"2",1311196169925
67,"13111961699",21.43,"2",1311196169925
68,"13111961699",20.57,"2",1311196169925
69,"13111961699",42.43,"2",1311196169925
70,"13111961699",42.43,"2",1311196169925
