"wk","tr","nc","stg","id"
0,"2091054940",0.0,"1",20910549401
1,"2091054940",0.0,"1",20910549401
2,"2091054940",0.0,"1",20910549401
3,"2091054940",0.0,"1",20910549401
4,"2091054940",0.14,"1",20910549401
5,"2091054940",0.43,"1",20910549401
5,"2091054940",0.43,"1b",20910549402
6,"2091054940",0.14,"1b",20910549402
7,"2091054940",0.43,"1b",20910549402
8,"2091054940",1.29,"1b",20910549402
8,"2091054940",1.29,"2",20910549403
9,"2091054940",0.71,"2",20910549403
10,"2091054940",0.14,"2",20910549403
10,"2091054940",0.14,"1b",20910549404
11,"2091054940",0.43,"1b",20910549404
12,"2091054940",0.0,"1b",20910549404
13,"2091054940",0.57,"1b",20910549404
14,"2091054940",0.0,"1b",20910549404
14,"2091054940",0.0,"1",20910549405
15,"2091054940",0.0,"1",20910549405
16,"2091054940",0.0,"1",20910549405
17,"2091054940",0.0,"1",20910549405
18,"2091054940",0.0,"1",20910549405
19,"2091054940",0.29,"1",20910549405
20,"2091054940",0.43,"1",20910549405
20,"2091054940",0.43,"1b",20910549406
21,"2091054940",0.57,"1b",20910549406
21,"2091054940",0.57,"2",20910549407
22,"2091054940",0.14,"2",20910549407
23,"2091054940",0.0,"2",20910549407
23,"2091054940",0.0,"1b",20910549408
24,"2091054940",0.0,"1b",20910549408
25,"2091054940",0.0,"1b",20910549408
25,"2091054940",0.0,"1",20910549409
26,"2091054940",0.0,"1",20910549409
27,"2091054940",0.43,"1",20910549409
28,"2091054940",1.0,"1",20910549409
28,"2091054940",1.0,"2",209105494010
29,"2091054940",1.29,"2",209105494010
30,"2091054940",6.0,"2",209105494010
30,"2091054940",6.0,"1b",209105494011
31,"2091054940",14.86,"1b",209105494011
32,"2091054940",26.0,"1b",209105494011
32,"2091054940",26.0,"1",209105494012
33,"2091054940",52.57,"1",209105494012
34,"2091054940",137.14,"1",209105494012
34,"2091054940",137.14,"3",209105494013
35,"2091054940",130.29,"3",209105494013
35,"2091054940",130.29,"4",209105494014
36,"2091054940",102.86,"4",209105494014
37,"2091054940",68.57,"4",209105494014
38,"2091054940",44.0,"4",209105494014
39,"2091054940",33.14,"4",209105494014
40,"2091054940",26.29,"4",209105494014
41,"2091054940",18.86,"4",209105494014
42,"2091054940",17.71,"4",209105494014
42,"2091054940",17.71,"3",209105494015
43,"2091054940",23.43,"3",209105494015
44,"2091054940",24.0,"3",209105494015
45,"2091054940",28.57,"3",209105494015
46,"2091054940",24.57,"3",209105494015
46,"2091054940",24.57,"2",209105494016
47,"2091054940",27.43,"2",209105494016
48,"2091054940",46.29,"2",209105494016
48,"2091054940",46.29,"3",209105494017
49,"2091054940",45.71,"3",209105494017
49,"2091054940",45.71,"4",209105494018
50,"2091054940",24.0,"4",209105494018
51,"2091054940",23.43,"4",209105494018
52,"2091054940",16.0,"4",209105494018
52,"2091054940",16.0,"3",209105494019
53,"2091054940",13.86,"3",209105494019
54,"2091054940",14.14,"3",209105494019
54,"2091054940",14.14,"2",209105494020
55,"2091054940",19.57,"2",209105494020
56,"2091054940",20.57,"2",209105494020
56,"2091054940",20.57,"1b",209105494021
57,"2091054940",27.43,"1b",209105494021
58,"2091054940",53.14,"1b",209105494021
59,"2091054940",53.14,"1b",209105494021
59,"2091054940",53.14,"2",209105494022
60,"2091054940",58.86,"2",209105494022
60,"2091054940",58.86,"3",209105494023
61,"2091054940",38.86,"3",209105494023
61,"2091054940",38.86,"4",209105494024
62,"2091054940",24.57,"4",209105494024
63,"2091054940",14.29,"4",209105494024
63,"2091054940",14.29,"3",209105494025
64,"2091054940",14.86,"3",209105494025
65,"2091054940",18.14,"3",209105494025
65,"2091054940",18.14,"2",209105494026
66,"2091054940",13.57,"2",209105494026
67,"2091054940",14.43,"2",209105494026
67,"2091054940",14.43,"1b",209105494027
68,"2091054940",25.0,"1b",209105494027
69,"2091054940",29.14,"1b",209105494027
70,"2091054940",35.43,"1b",209105494027
