"wk","tr","nc","stg","id"
0,"1531098717",0.29,"1",15310987171
0,"1531098717",0.29,"1b",15310987172
1,"1531098717",0.0,"1b",15310987172
2,"1531098717",0.0,"1b",15310987172
2,"1531098717",0.0,"1",15310987173
3,"1531098717",0.0,"1",15310987173
4,"1531098717",0.0,"1",15310987173
5,"1531098717",0.0,"1",15310987173
6,"1531098717",0.0,"1",15310987173
7,"1531098717",0.0,"1",15310987173
8,"1531098717",0.0,"1",15310987173
9,"1531098717",0.0,"1",15310987173
10,"1531098717",0.0,"1",15310987173
11,"1531098717",0.0,"1",15310987173
12,"1531098717",0.0,"1",15310987173
13,"1531098717",0.0,"1",15310987173
14,"1531098717",0.0,"1",15310987173
15,"1531098717",0.0,"1",15310987173
16,"1531098717",0.0,"1",15310987173
17,"1531098717",0.0,"1",15310987173
18,"1531098717",0.0,"1",15310987173
19,"1531098717",0.0,"1",15310987173
20,"1531098717",0.0,"1",15310987173
21,"1531098717",0.0,"1",15310987173
22,"1531098717",0.14,"1",15310987173
23,"1531098717",0.29,"1",15310987173
24,"1531098717",2.57,"1",15310987173
25,"1531098717",5.86,"1",15310987173
26,"1531098717",5.57,"1",15310987173
27,"1531098717",11.57,"1",15310987173
28,"1531098717",19.71,"1",15310987173
29,"1531098717",20.0,"1",15310987173
30,"1531098717",18.29,"1",15310987173
31,"1531098717",26.86,"1",15310987173
32,"1531098717",40.57,"1",15310987173
33,"1531098717",53.14,"1",15310987173
34,"1531098717",85.71,"1",15310987173
35,"1531098717",157.71,"1",15310987173
36,"1531098717",372.57,"1",15310987173
37,"1531098717",667.43,"1",15310987173
38,"1531098717",1700.57,"1",15310987173
38,"1531098717",1700.57,"1b",15310987174
39,"1531098717",3145.14,"1b",15310987174
40,"1531098717",5741.71,"1b",15310987174
40,"1531098717",5741.71,"2",15310987175
41,"1531098717",7753.14,"2",15310987175
41,"1531098717",7753.14,"3",15310987176
42,"1531098717",8045.71,"3",15310987176
42,"1531098717",8045.71,"4",15310987177
43,"1531098717",5120.0,"4",15310987177
44,"1531098717",3364.57,"4",15310987177
44,"1531098717",3364.57,"3",15310987178
45,"1531098717",2194.29,"3",15310987178
45,"1531098717",2194.29,"4",15310987179
46,"1531098717",1097.14,"4",15310987179
47,"1531098717",512.0,"4",15310987179
47,"1531098717",512.0,"3",153109871710
48,"1531098717",429.71,"3",153109871710
48,"1531098717",429.71,"4",153109871711
49,"1531098717",109.71,"4",153109871711
50,"1531098717",45.71,"4",153109871711
50,"1531098717",45.71,"3",153109871712
51,"1531098717",38.86,"3",153109871712
52,"1531098717",21.71,"3",153109871712
52,"1531098717",21.71,"2",153109871713
53,"1531098717",7.43,"2",153109871713
54,"1531098717",3.29,"2",153109871713
54,"1531098717",3.29,"1",153109871714
55,"1531098717",3.57,"1",153109871714
56,"1531098717",4.57,"1",153109871714
57,"1531098717",7.43,"1",153109871714
58,"1531098717",10.0,"1",153109871714
59,"1531098717",16.0,"1",153109871714
60,"1531098717",22.14,"1",153109871714
61,"1531098717",47.43,"1",153109871714
62,"1531098717",62.29,"1",153109871714
63,"1531098717",34.29,"1",153109871714
64,"1531098717",35.43,"1",153109871714
65,"1531098717",44.0,"1",153109871714
66,"1531098717",56.57,"1",153109871714
67,"1531098717",92.0,"1",153109871714
68,"1531098717",134.86,"1",153109871714
69,"1531098717",162.29,"1",153109871714
70,"1531098717",304.0,"1",153109871714
71,"1531098717",182.86,"1",153109871714
72,"1531098717",393.14,"1",153109871714
73,"1531098717",621.71,"1",153109871714
74,"1531098717",1398.86,"1",153109871714
74,"1531098717",1398.86,"1b",153109871715
75,"1531098717",1280.0,"1b",153109871715
76,"1531098717",2157.71,"1b",153109871715
76,"1531098717",2157.71,"1",153109871716
77,"1531098717",3693.71,"1",153109871716
78,"1531098717",6253.71,"1",153109871716
78,"1531098717",6253.71,"1b",153109871717
79,"1531098717",11849.14,"1b",153109871717
79,"1531098717",11849.14,"2",153109871718
80,"1531098717",17846.86,"2",153109871718
80,"1531098717",17846.86,"3",153109871719
81,"1531098717",18171.6,"3",153109871719
81,"1531098717",18171.6,"1",153118441320
0,"1531184413",0.0,"1",153118441320
1,"1531184413",3.0,"1",153118441320
1,"1531184413",3.0,"2",153118441321
2,"1531184413",10.43,"2",153118441321
2,"1531184413",10.43,"3",153118441322
3,"1531184413",7.57,"3",153118441322
4,"1531184413",8.86,"3",153118441322
5,"1531184413",14.57,"3",153118441322
6,"1531184413",13.43,"3",153118441322
7,"1531184413",14.29,"3",153118441322
8,"1531184413",12.57,"3",153118441322
9,"1531184413",20.0,"3",153118441322
10,"1531184413",14.86,"3",153118441322
11,"1531184413",14.29,"3",153118441322
12,"1531184413",9.14,"3",153118441322
13,"1531184413",8.57,"3",153118441322
13,"1531184413",8.57,"2",153118441323
14,"1531184413",8.0,"2",153118441323
15,"1531184413",21.71,"2",153118441323
15,"1531184413",21.71,"1b",153118441324
16,"1531184413",14.86,"1b",153118441324
17,"1531184413",16.57,"1b",153118441324
17,"1531184413",16.57,"1",153118441325
18,"1531184413",26.29,"1",153118441325
19,"1531184413",48.0,"1",153118441325
20,"1531184413",75.43,"1",153118441325
20,"1531184413",75.43,"2",153118441326
21,"1531184413",50.29,"2",153118441326
21,"1531184413",50.29,"4",153118441327
22,"1531184413",32.0,"4",153118441327
23,"1531184413",25.14,"4",153118441327
24,"1531184413",2.86,"4",153118441327
25,"1531184413",3.86,"4",153118441327
25,"1531184413",3.86,"3",153118441328
26,"1531184413",2.29,"3",153118441328
