"wk","tr","nc","stg","id"
0,"1771098717",0.14,"1",17710987171
0,"1771098717",0.14,"1b",17710987172
1,"1771098717",0.57,"1b",17710987172
2,"1771098717",0.43,"1b",17710987172
3,"1771098717",0.29,"1b",17710987172
4,"1771098717",0.43,"1b",17710987172
4,"1771098717",0.43,"1",17710987173
5,"1771098717",0.0,"1",17710987173
6,"1771098717",0.14,"1",17710987173
7,"1771098717",0.0,"1",17710987173
8,"1771098717",0.0,"1",17710987173
9,"1771098717",0.0,"1",17710987173
10,"1771098717",0.0,"1",17710987173
11,"1771098717",0.0,"1",17710987173
12,"1771098717",0.0,"1",17710987173
13,"1771098717",0.0,"1",17710987173
14,"1771098717",0.0,"1",17710987173
15,"1771098717",0.14,"1",17710987173
16,"1771098717",0.29,"1",17710987173
17,"1771098717",0.14,"1",17710987173
18,"1771098717",0.29,"1",17710987173
19,"1771098717",0.0,"1",17710987173
20,"1771098717",0.0,"1",17710987173
21,"1771098717",0.0,"1",17710987173
22,"1771098717",0.0,"1",17710987173
23,"1771098717",0.0,"1",17710987173
24,"1771098717",4.57,"1",17710987173
25,"1771098717",12.43,"1",17710987173
26,"1771098717",23.0,"1",17710987173
27,"1771098717",34.29,"1",17710987173
27,"1771098717",34.29,"1b",17710987174
28,"1771098717",43.43,"1b",17710987174
29,"1771098717",91.43,"1b",17710987174
29,"1771098717",91.43,"1",17710987175
30,"1771098717",265.14,"1",17710987175
31,"1771098717",733.71,"1",17710987175
32,"1771098717",2230.86,"1",17710987175
32,"1771098717",2230.86,"1b",17710987176
33,"1771098717",5229.71,"1b",17710987176
33,"1771098717",5229.71,"2",17710987177
34,"1771098717",9508.57,"2",17710987177
34,"1771098717",9508.57,"3",17710987178
35,"1771098717",13458.29,"3",17710987178
35,"1771098717",13458.29,"4",17710987179
36,"1771098717",16755.09,"4",17710987179
37,"1771098717",8780.74,"4",17710987179
38,"1771098717",3817.71,"4",17710987179
38,"1771098717",3817.71,"3",177109871710
39,"1771098717",2429.77,"3",177109871710
39,"1771098717",2429.77,"4",177109871711
40,"1771098717",1060.57,"4",177109871711
41,"1771098717",694.86,"4",177109871711
41,"1771098717",694.86,"3",177109871712
42,"1771098717",1133.71,"3",177109871712
42,"1771098717",1133.71,"4",177109871713
43,"1771098717",603.43,"4",177109871713
44,"1771098717",292.57,"4",177109871713
44,"1771098717",292.57,"3",177109871714
45,"1771098717",91.43,"3",177109871714
46,"1771098717",132.57,"3",177109871714
46,"1771098717",132.57,"2",177109871715
47,"1771098717",59.43,"2",177109871715
48,"1771098717",77.71,"2",177109871715
48,"1771098717",77.71,"1",177109871716
49,"1771098717",107.43,"1",177109871716
50,"1771098717",173.71,"1",177109871716
51,"1771098717",361.14,"1",177109871716
52,"1771098717",850.29,"1",177109871716
53,"1771098717",1929.14,"1",177109871716
53,"1771098717",1929.14,"1b",177109871717
