"wk","tr","nc","stg","id"
0,"11011231948",5.86,"1",110112319481
0,"11011231948",5.86,"2",110112319482
1,"11011231948",30.71,"2",110112319482
1,"11011231948",30.71,"3",110112319483
2,"11011231948",80.57,"3",110112319483
2,"11011231948",80.57,"4",110112319484
3,"11011231948",113.14,"4",110112319484
4,"11011231948",111.86,"4",110112319484
5,"11011231948",88.71,"4",110112319484
6,"11011231948",77.14,"4",110112319484
7,"11011231948",77.14,"4",110112319484
8,"11011231948",50.14,"4",110112319484
9,"11011231948",127.29,"4",110112319484
10,"11011231948",77.14,"4",110112319484
11,"11011231948",135.0,"4",110112319484
12,"11011231948",92.57,"4",110112319484
13,"11011231948",96.43,"4",110112319484
14,"11011231948",131.14,"4",110112319484
15,"11011231948",131.14,"4",110112319484
16,"11011231948",111.86,"4",110112319484
17,"11011231948",73.29,"4",110112319484
18,"11011231948",34.71,"4",110112319484
18,"11011231948",34.71,"3",110112319485
19,"11011231948",57.86,"3",110112319485
19,"11011231948",57.86,"4",110112319486
20,"11011231948",73.29,"4",110112319486
21,"11011231948",23.14,"4",110112319486
22,"11011231948",20.57,"4",110112319486
23,"11011231948",30.86,"4",110112319486
23,"11011231948",30.86,"3",110112319487
24,"11011231948",30.86,"3",110112319487
25,"11011231948",52.71,"3",110112319487
25,"11011231948",52.71,"4",110112319488
26,"11011231948",55.29,"4",110112319488
27,"11011231948",118.29,"4",110112319488
28,"11011231948",150.43,"4",110112319488
29,"11011231948",119.57,"4",110112319488
30,"11011231948",108.0,"4",110112319488
30,"11011231948",108.0,"3",110112319489
31,"11011231948",77.14,"3",110112319489
32,"11011231948",158.14,"3",110112319489
32,"11011231948",158.14,"2",1101123194810
33,"11011231948",366.43,"2",1101123194810
33,"11011231948",366.43,"3",1101123194811
34,"11011231948",844.71,"3",1101123194811
34,"11011231948",844.71,"4",1101123194812
35,"11011231948",1353.86,"4",1101123194812
36,"11011231948",763.71,"4",1101123194812
37,"11011231948",729.0,"4",1101123194812
38,"11011231948",867.86,"4",1101123194812
39,"11011231948",520.71,"4",1101123194812
40,"11011231948",312.43,"4",1101123194812
41,"11011231948",324.0,"4",1101123194812
42,"11011231948",312.43,"4",1101123194812
43,"11011231948",138.86,"4",1101123194812
44,"11011231948",162.0,"4",1101123194812
45,"11011231948",138.86,"4",1101123194812
45,"11011231948",138.86,"3",1101123194813
46,"11011231948",138.86,"3",1101123194813
46,"11011231948",138.86,"4",1101123194814
47,"11011231948",370.29,"4",1101123194814
48,"11011231948",254.57,"4",1101123194814
49,"11011231948",127.29,"4",1101123194814
49,"11011231948",127.29,"3",1101123194815
50,"11011231948",231.43,"3",1101123194815
50,"11011231948",231.43,"4",1101123194816
51,"11011231948",69.43,"4",1101123194816
52,"11011231948",127.29,"4",1101123194816
53,"11011231948",38.57,"4",1101123194816
53,"11011231948",38.57,"3",1101123194817
54,"11011231948",135.0,"3",1101123194817
55,"11011231948",173.57,"3",1101123194817
55,"11011231948",173.57,"2",1101123194818
56,"11011231948",528.43,"2",1101123194818
57,"11011231948",1654.71,"2",1101123194818
57,"11011231948",1654.71,"3",1101123194819
58,"11011231948",2916.0,"3",1101123194819
58,"11011231948",2916.0,"4",1101123194820
59,"11011231948",3228.43,"4",1101123194820
60,"11011231948",3020.14,"4",1101123194820
61,"11011231948",3020.14,"4",1101123194820
62,"11011231948",2603.57,"4",1101123194820
63,"11011231948",1978.71,"4",1101123194820
64,"11011231948",937.29,"4",1101123194820
65,"11011231948",1319.14,"4",1101123194820
66,"11011231948",1423.29,"4",1101123194820
67,"11011231948",972.0,"4",1101123194820
68,"11011231948",381.86,"4",1101123194820
69,"11011231948",520.71,"4",1101123194820
70,"11011231948",451.29,"4",1101123194820
71,"11011231948",243.0,"4",1101123194820
72,"11011231948",439.71,"4",1101123194820
73,"11011231948",231.43,"4",1101123194820
74,"11011231948",231.43,"4",1101123194820
75,"11011231948",115.71,"4",1101123194820
76,"11011231948",104.14,"4",1101123194820
76,"11011231948",104.14,"3",1101123194821
77,"11011231948",100.29,"3",1101123194821
78,"11011231948",173.57,"3",1101123194821
79,"11011231948",177.43,"3",1101123194821
80,"11011231948",389.57,"3",1101123194821
80,"11011231948",389.57,"4",1101123194822
81,"11011231948",358.71,"4",1101123194822
81,"11011231948",358.71,"1",1101129271923
0,"11011292719",7.29,"1",1101129271923
0,"11011292719",7.29,"2",1101129271924
1,"11011292719",46.57,"2",1101129271924
1,"11011292719",46.57,"3",1101129271925
2,"11011292719",135.0,"3",1101129271925
2,"11011292719",135.0,"4",1101129271926
3,"11011292719",165.86,"4",1101129271926
4,"11011292719",327.86,"4",1101129271926
5,"11011292719",416.57,"4",1101129271926
6,"11011292719",277.71,"4",1101129271926
7,"11011292719",289.29,"4",1101129271926
8,"11011292719",208.29,"4",1101129271926
9,"11011292719",127.29,"4",1101129271926
10,"11011292719",196.71,"4",1101129271926
11,"11011292719",208.29,"4",1101129271926
12,"11011292719",162.0,"4",1101129271926
13,"11011292719",115.71,"4",1101129271926
14,"11011292719",111.86,"4",1101129271926
15,"11011292719",142.71,"4",1101129271926
16,"11011292719",127.29,"4",1101129271926
17,"11011292719",69.43,"4",1101129271926
18,"11011292719",84.86,"4",1101129271926
19,"11011292719",61.71,"4",1101129271926
20,"11011292719",42.43,"4",1101129271926
21,"11011292719",50.14,"4",1101129271926
22,"11011292719",46.29,"4",1101129271926
23,"11011292719",38.57,"4",1101129271926
24,"11011292719",61.71,"4",1101129271926
25,"11011292719",42.43,"4",1101129271926
25,"11011292719",42.43,"3",1101129271927
26,"11011292719",65.57,"3",1101129271927
27,"11011292719",88.71,"3",1101129271927
27,"11011292719",88.71,"4",1101129271928
28,"11011292719",200.57,"4",1101129271928
29,"11011292719",142.71,"4",1101129271928
30,"11011292719",204.43,"4",1101129271928
31,"11011292719",196.71,"4",1101129271928
31,"11011292719",196.71,"3",1101129271929
32,"11011292719",393.43,"3",1101129271929
32,"11011292719",393.43,"4",1101129271930
33,"11011292719",208.29,"4",1101129271930
34,"11011292719",289.29,"4",1101129271930
35,"11011292719",208.29,"4",1101129271930
35,"11011292719",208.29,"3",1101129271931
36,"11011292719",243.0,"3",1101129271931
37,"11011292719",381.86,"3",1101129271931
37,"11011292719",381.86,"4",1101129271932
38,"11011292719",243.0,"4",1101129271932
39,"11011292719",138.86,"4",1101129271932
40,"11011292719",208.29,"4",1101129271932
40,"11011292719",208.29,"3",1101129271933
41,"11011292719",208.29,"3",1101129271933
41,"11011292719",208.29,"4",1101129271934
42,"11011292719",324.0,"4",1101129271934
43,"11011292719",416.57,"4",1101129271934
44,"11011292719",196.71,"4",1101129271934
45,"11011292719",162.0,"4",1101129271934
45,"11011292719",162.0,"3",1101129271935
46,"11011292719",358.71,"3",1101129271935
46,"11011292719",358.71,"4",1101129271936
47,"11011292719",324.0,"4",1101129271936
48,"11011292719",185.14,"4",1101129271936
49,"11011292719",173.57,"4",1101129271936
50,"11011292719",104.14,"4",1101129271936
50,"11011292719",104.14,"3",1101129271937
51,"11011292719",266.14,"3",1101129271937
51,"11011292719",266.14,"4",1101129271938
52,"11011292719",150.43,"4",1101129271938
53,"11011292719",115.71,"4",1101129271938
53,"11011292719",115.71,"3",1101129271939
54,"11011292719",185.14,"3",1101129271939
55,"11011292719",185.14,"3",1101129271939
55,"11011292719",185.14,"2",1101129271940
56,"11011292719",69.43,"2",1101129271940
57,"11011292719",81.0,"2",1101129271940
58,"11011292719",169.71,"2",1101129271940
58,"11011292719",169.71,"1b",1101129271941
59,"11011292719",435.86,"1b",1101129271941
59,"11011292719",435.86,"2",1101129271942
60,"11011292719",555.43,"2",1101129271942
60,"11011292719",555.43,"4",1101129271943
61,"11011292719",844.71,"4",1101129271943
62,"11011292719",867.86,"4",1101129271943
63,"11011292719",659.57,"4",1101129271943
64,"11011292719",520.71,"4",1101129271943
65,"11011292719",555.43,"4",1101129271943
66,"11011292719",555.43,"4",1101129271943
67,"11011292719",486.0,"4",1101129271943
