"wk","tr","nc","stg","id"
0,"11192010551",0.0,"2",111920105511
1,"11192010551",0.0,"2",111920105511
2,"11192010551",1.0,"2",111920105511
3,"11192010551",1.0,"2",111920105511
4,"11192010551",1.43,"2",111920105511
5,"11192010551",2.71,"2",111920105511
6,"11192010551",5.29,"2",111920105511
7,"11192010551",13.0,"2",111920105511
7,"11192010551",13.0,"3",111920105512
8,"11192010551",26.14,"3",111920105512
9,"11192010551",63.86,"3",111920105512
9,"11192010551",63.86,"4",111920105513
10,"11192010551",70.71,"4",111920105513
11,"11192010551",216.0,"4",111920105513
12,"11192010551",92.57,"4",111920105513
13,"11192010551",69.43,"4",111920105513
14,"11192010551",104.14,"4",111920105513
15,"11192010551",50.14,"4",111920105513
16,"11192010551",84.86,"4",111920105513
17,"11192010551",65.57,"4",111920105513
18,"11192010551",50.14,"4",111920105513
19,"11192010551",34.71,"4",111920105513
20,"11192010551",47.57,"4",111920105513
21,"11192010551",33.43,"4",111920105513
22,"11192010551",21.86,"4",111920105513
23,"11192010551",14.14,"4",111920105513
23,"11192010551",14.14,"3",111920105514
24,"11192010551",16.71,"3",111920105514
25,"11192010551",24.43,"3",111920105514
25,"11192010551",24.43,"2",111920105515
26,"11192010551",55.29,"2",111920105515
26,"11192010551",55.29,"3",111920105516
27,"11192010551",48.86,"3",111920105516
27,"11192010551",48.86,"4",111920105517
28,"11192010551",29.57,"4",111920105517
29,"11192010551",34.71,"4",111920105517
29,"11192010551",34.71,"3",111920105518
30,"11192010551",25.71,"3",111920105518
31,"11192010551",27.0,"3",111920105518
31,"11192010551",27.0,"2",111920105519
32,"11192010551",52.71,"2",111920105519
33,"11192010551",104.14,"2",111920105519
34,"11192010551",281.57,"2",111920105519
34,"11192010551",281.57,"3",1119201055110
35,"11192010551",675.0,"3",1119201055110
35,"11192010551",675.0,"4",1119201055111
36,"11192010551",312.43,"4",1119201055111
37,"11192010551",243.0,"4",1119201055111
38,"11192010551",277.71,"4",1119201055111
39,"11192010551",289.29,"4",1119201055111
40,"11192010551",231.43,"4",1119201055111
41,"11192010551",127.29,"4",1119201055111
42,"11192010551",150.43,"4",1119201055111
43,"11192010551",150.43,"4",1119201055111
44,"11192010551",150.43,"4",1119201055111
