"wk","tr","nc","stg","id"
0,"3011054940",0.0,"1",30110549401
1,"3011054940",0.0,"1",30110549401
2,"3011054940",0.0,"1",30110549401
3,"3011054940",0.0,"1",30110549401
4,"3011054940",0.14,"1",30110549401
5,"3011054940",0.29,"1",30110549401
6,"3011054940",2.14,"1",30110549401
6,"3011054940",2.14,"1b",30110549402
7,"3011054940",3.86,"1b",30110549402
7,"3011054940",3.86,"2",30110549403
8,"3011054940",3.0,"2",30110549403
9,"3011054940",3.43,"2",30110549403
10,"3011054940",3.86,"2",30110549403
11,"3011054940",2.14,"2",30110549403
12,"3011054940",2.29,"2",30110549403
13,"3011054940",2.0,"2",30110549403
14,"3011054940",1.86,"2",30110549403
15,"3011054940",1.57,"2",30110549403
16,"3011054940",0.71,"2",30110549403
16,"3011054940",0.71,"1b",30110549404
17,"3011054940",0.86,"1b",30110549404
17,"3011054940",0.86,"2",30110549405
18,"3011054940",1.14,"2",30110549405
19,"3011054940",0.71,"2",30110549405
19,"3011054940",0.71,"1b",30110549406
20,"3011054940",2.57,"1b",30110549406
20,"3011054940",2.57,"2",30110549407
21,"3011054940",2.71,"2",30110549407
22,"3011054940",2.57,"2",30110549407
23,"3011054940",1.43,"2",30110549407
24,"3011054940",0.43,"2",30110549407
24,"3011054940",0.43,"1b",30110549408
25,"3011054940",0.43,"1b",30110549408
26,"3011054940",0.0,"1b",30110549408
26,"3011054940",0.0,"1",30110549409
27,"3011054940",0.71,"1",30110549409
28,"3011054940",2.0,"1",30110549409
28,"3011054940",2.0,"2",301105494010
29,"3011054940",0.57,"2",301105494010
30,"3011054940",2.43,"2",301105494010
30,"3011054940",2.43,"1b",301105494011
31,"3011054940",6.86,"1b",301105494011
32,"3011054940",11.14,"1b",301105494011
32,"3011054940",11.14,"1",301105494012
33,"3011054940",16.43,"1",301105494012
34,"3011054940",25.43,"1",301105494012
35,"3011054940",30.29,"1",301105494012
36,"3011054940",69.14,"1",301105494012
36,"3011054940",69.14,"1b",301105494013
37,"3011054940",116.57,"1b",301105494013
37,"3011054940",116.57,"3",301105494014
38,"3011054940",148.57,"3",301105494014
38,"3011054940",148.57,"4",301105494015
39,"3011054940",96.0,"4",301105494015
40,"3011054940",91.43,"4",301105494015
41,"3011054940",61.71,"4",301105494015
42,"3011054940",39.43,"4",301105494015
43,"3011054940",28.0,"4",301105494015
44,"3011054940",18.29,"4",301105494015
45,"3011054940",10.86,"4",301105494015
45,"3011054940",10.86,"3",301105494016
46,"3011054940",7.43,"3",301105494016
47,"3011054940",6.57,"3",301105494016
47,"3011054940",6.57,"2",301105494017
48,"3011054940",6.86,"2",301105494017
49,"3011054940",13.0,"2",301105494017
49,"3011054940",13.0,"1b",301105494018
50,"3011054940",22.14,"1b",301105494018
51,"3011054940",20.57,"1b",301105494018
51,"3011054940",20.57,"1",301105494019
52,"3011054940",21.14,"1",301105494019
53,"3011054940",38.29,"1",301105494019
54,"3011054940",133.71,"1",301105494019
54,"3011054940",133.71,"3",301105494020
55,"3011054940",132.57,"3",301105494020
55,"3011054940",132.57,"4",301105494021
56,"3011054940",66.29,"4",301105494021
57,"3011054940",22.86,"4",301105494021
58,"3011054940",21.71,"4",301105494021
58,"3011054940",21.71,"3",301105494022
59,"3011054940",12.29,"3",301105494022
60,"3011054940",9.57,"3",301105494022
60,"3011054940",9.57,"2",301105494023
61,"3011054940",8.14,"2",301105494023
62,"3011054940",7.43,"2",301105494023
62,"3011054940",7.43,"1b",301105494024
63,"3011054940",8.71,"1b",301105494024
64,"3011054940",11.57,"1b",301105494024
64,"3011054940",11.57,"1",301105494025
65,"3011054940",13.0,"1",301105494025
66,"3011054940",24.43,"1",301105494025
67,"3011054940",52.57,"1",301105494025
67,"3011054940",52.57,"1b",301105494026
68,"3011054940",120.0,"1b",301105494026
68,"3011054940",120.0,"3",301105494027
69,"3011054940",84.57,"3",301105494027
69,"3011054940",84.57,"4",301105494028
70,"3011054940",57.14,"4",301105494028
71,"3011054940",57.14,"4",301105494028
72,"3011054940",30.86,"4",301105494028
73,"3011054940",14.29,"4",301105494028
73,"3011054940",14.29,"3",301105494029
74,"3011054940",9.14,"3",301105494029
75,"3011054940",5.71,"3",301105494029
75,"3011054940",5.71,"2",301105494030
76,"3011054940",5.14,"2",301105494030
77,"3011054940",6.71,"2",301105494030
77,"3011054940",6.71,"1b",301105494031
78,"3011054940",9.86,"1b",301105494031
79,"3011054940",13.43,"1b",301105494031
79,"3011054940",13.43,"1",301105494032
80,"3011054940",21.43,"1",301105494032
81,"3011054940",22.57,"1",301105494032
81,"3011054940",22.57,"1",301114830732
0,"3011148307",0.14,"1",301114830732
1,"3011148307",0.57,"1",301114830732
2,"3011148307",2.29,"1",301114830732
2,"3011148307",2.29,"2",301114830733
3,"3011148307",3.43,"2",301114830733
4,"3011148307",3.71,"2",301114830733
5,"3011148307",2.0,"2",301114830733
6,"3011148307",5.0,"2",301114830733
7,"3011148307",2.86,"2",301114830733
8,"3011148307",2.86,"2",301114830733
9,"3011148307",1.0,"2",301114830733
10,"3011148307",1.43,"2",301114830733
11,"3011148307",0.57,"2",301114830733
11,"3011148307",0.57,"1b",301114830734
12,"3011148307",0.86,"1b",301114830734
13,"3011148307",0.14,"1b",301114830734
13,"3011148307",0.14,"1",301114830735
14,"3011148307",0.29,"1",301114830735
15,"3011148307",2.29,"1",301114830735
15,"3011148307",2.29,"2",301114830736
16,"3011148307",2.29,"2",301114830736
17,"3011148307",8.29,"2",301114830736
17,"3011148307",8.29,"3",301114830737
18,"3011148307",7.14,"3",301114830737
19,"3011148307",5.86,"3",301114830737
19,"3011148307",5.86,"2",301114830738
20,"3011148307",3.57,"2",301114830738
21,"3011148307",9.0,"2",301114830738
21,"3011148307",9.0,"3",301114830739
22,"3011148307",4.43,"3",301114830739
23,"3011148307",3.86,"3",301114830739
23,"3011148307",3.86,"2",301114830740
24,"3011148307",4.14,"2",301114830740
25,"3011148307",4.86,"2",301114830740
26,"3011148307",4.29,"2",301114830740
27,"3011148307",3.57,"2",301114830740
28,"3011148307",3.71,"2",301114830740
29,"3011148307",5.29,"2",301114830740
29,"3011148307",5.29,"1b",301114830741
30,"3011148307",12.43,"1b",301114830741
31,"3011148307",12.86,"1b",301114830741
31,"3011148307",12.86,"1",301114830742
32,"3011148307",27.86,"1",301114830742
33,"3011148307",32.57,"1",301114830742
33,"3011148307",32.57,"1b",301114830743
34,"3011148307",72.57,"1b",301114830743
34,"3011148307",72.57,"2",301114830744
35,"3011148307",110.29,"2",301114830744
35,"3011148307",110.29,"3",301114830745
36,"3011148307",73.14,"3",301114830745
36,"3011148307",73.14,"4",301114830746
37,"3011148307",36.57,"4",301114830746
38,"3011148307",28.0,"4",301114830746
39,"3011148307",12.14,"4",301114830746
39,"3011148307",12.14,"3",301114830747
40,"3011148307",9.43,"3",301114830747
41,"3011148307",8.29,"3",301114830747
41,"3011148307",8.29,"2",301114830748
42,"3011148307",11.14,"2",301114830748
43,"3011148307",13.86,"2",301114830748
43,"3011148307",13.86,"1b",301114830749
44,"3011148307",20.0,"1b",301114830749
45,"3011148307",37.86,"1b",301114830749
46,"3011148307",55.43,"1b",301114830749
46,"3011148307",55.43,"2",301114830750
47,"3011148307",70.86,"2",301114830750
47,"3011148307",70.86,"3",301114830751
48,"3011148307",59.43,"3",301114830751
48,"3011148307",59.43,"4",301114830752
49,"3011148307",36.0,"4",301114830752
50,"3011148307",18.29,"4",301114830752
50,"3011148307",18.29,"3",301114830753
51,"3011148307",12.29,"3",301114830753
52,"3011148307",9.71,"3",301114830753
52,"3011148307",9.71,"2",301114830754
53,"3011148307",8.86,"2",301114830754
54,"3011148307",8.86,"2",301114830754
54,"3011148307",8.86,"1b",301114830755
55,"3011148307",14.14,"1b",301114830755
56,"3011148307",26.29,"1b",301114830755
57,"3011148307",32.0,"1b",301114830755
58,"3011148307",77.71,"1b",301114830755
58,"3011148307",77.71,"2",301114830756
59,"3011148307",150.86,"2",301114830756
59,"3011148307",150.86,"4",301114830757
60,"3011148307",157.71,"4",301114830757
61,"3011148307",54.86,"4",301114830757
62,"3011148307",40.57,"4",301114830757
63,"3011148307",14.29,"4",301114830757
63,"3011148307",14.29,"3",301114830758
64,"3011148307",14.86,"3",301114830758
65,"3011148307",9.71,"3",301114830758
65,"3011148307",9.71,"2",301114830759
66,"3011148307",7.14,"2",301114830759
67,"3011148307",9.14,"2",301114830759
67,"3011148307",9.14,"1b",301114830760
68,"3011148307",13.29,"1b",301114830760
69,"3011148307",19.86,"1b",301114830760
70,"3011148307",24.0,"1b",301114830760
71,"3011148307",33.71,"1b",301114830760
71,"3011148307",33.71,"1",301114830761
72,"3011148307",144.0,"1",301114830761
72,"3011148307",144.0,"3",301114830762
73,"3011148307",155.43,"3",301114830762
73,"3011148307",155.43,"4",301114830763
74,"3011148307",66.29,"4",301114830763
75,"3011148307",68.57,"4",301114830763
76,"3011148307",36.57,"4",301114830763
77,"3011148307",30.29,"4",301114830763
78,"3011148307",12.0,"4",301114830763
78,"3011148307",12.0,"3",301114830764
79,"3011148307",13.29,"3",301114830764
80,"3011148307",6.14,"3",301114830764
80,"3011148307",6.14,"2",301114830765
81,"3011148307",6.86,"2",301114830765
81,"3011148307",6.86,"1",301118490066
0,"3011184900",1.0,"1",301118490066
1,"3011184900",11.86,"1",301118490066
1,"3011184900",11.86,"3",301118490067
2,"3011184900",21.57,"3",301118490067
3,"3011184900",25.0,"3",301118490067
4,"3011184900",18.86,"3",301118490067
5,"3011184900",9.71,"3",301118490067
6,"3011184900",22.29,"3",301118490067
7,"3011184900",41.14,"3",301118490067
7,"3011184900",41.14,"4",301118490068
8,"3011184900",53.14,"4",301118490068
9,"3011184900",20.0,"4",301118490068
9,"3011184900",20.0,"3",301118490069
10,"3011184900",16.0,"3",301118490069
11,"3011184900",33.14,"3",301118490069
12,"3011184900",56.0,"3",301118490069
12,"3011184900",56.0,"4",301118490070
13,"3011184900",34.86,"4",301118490070
14,"3011184900",19.43,"4",301118490070
14,"3011184900",19.43,"3",301118490071
15,"3011184900",10.86,"3",301118490071
16,"3011184900",14.0,"3",301118490071
17,"3011184900",9.29,"3",301118490071
18,"3011184900",7.43,"3",301118490071
18,"3011184900",7.43,"2",301118490072
19,"3011184900",12.14,"2",301118490072
19,"3011184900",12.14,"3",301118490073
20,"3011184900",9.71,"3",301118490073
21,"3011184900",8.43,"3",301118490073
22,"3011184900",5.86,"3",301118490073
22,"3011184900",5.86,"2",301118490074
23,"3011184900",4.43,"2",301118490074
24,"3011184900",6.43,"2",301118490074
25,"3011184900",8.71,"2",301118490074
25,"3011184900",8.71,"3",301118490075
26,"3011184900",5.43,"3",301118490075
27,"3011184900",5.29,"3",301118490075
27,"3011184900",5.29,"2",301118490076
28,"3011184900",6.57,"2",301118490076
29,"3011184900",4.86,"2",301118490076
29,"3011184900",4.86,"3",301118490077
30,"3011184900",5.57,"3",301118490077
31,"3011184900",7.43,"3",301118490077
31,"3011184900",7.43,"2",301118490078
32,"3011184900",9.71,"2",301118490078
33,"3011184900",11.0,"2",301118490078
33,"3011184900",11.0,"1b",301118490079
34,"3011184900",16.0,"1b",301118490079
35,"3011184900",25.0,"1b",301118490079
35,"3011184900",25.0,"1",301118490080
36,"3011184900",34.29,"1",301118490080
37,"3011184900",51.43,"1",301118490080
37,"3011184900",51.43,"1b",301118490081
38,"3011184900",124.0,"1b",301118490081
38,"3011184900",124.0,"3",301118490082
39,"3011184900",109.71,"3",301118490082
39,"3011184900",109.71,"4",301118490083
40,"3011184900",48.0,"4",301118490083
41,"3011184900",22.86,"4",301118490083
42,"3011184900",11.43,"4",301118490083
42,"3011184900",11.43,"3",301118490084
43,"3011184900",5.86,"3",301118490084
44,"3011184900",6.86,"3",301118490084
44,"3011184900",6.86,"2",301118490085
45,"3011184900",7.43,"2",301118490085
46,"3011184900",12.86,"2",301118490085
46,"3011184900",12.86,"1b",301118490086
47,"3011184900",20.0,"1b",301118490086
48,"3011184900",34.14,"1b",301118490086
49,"3011184900",22.29,"1b",301118490086
49,"3011184900",22.29,"1",301118490087
50,"3011184900",22.86,"1",301118490087
51,"3011184900",74.29,"1",301118490087
51,"3011184900",74.29,"2",301118490088
52,"3011184900",112.57,"2",301118490088
52,"3011184900",112.57,"3",301118490089
53,"3011184900",73.14,"3",301118490089
53,"3011184900",73.14,"4",301118490090
54,"3011184900",34.29,"4",301118490090
55,"3011184900",33.14,"4",301118490090
