"wk","tr","nc","stg","id"
0,"8531054940",0.0,"1",85310549401
1,"8531054940",0.0,"1",85310549401
2,"8531054940",0.0,"1",85310549401
3,"8531054940",0.0,"1",85310549401
4,"8531054940",0.14,"1",85310549401
5,"8531054940",0.0,"1",85310549401
6,"8531054940",0.14,"1",85310549401
7,"8531054940",1.14,"1",85310549401
7,"8531054940",1.14,"2",85310549402
8,"8531054940",1.43,"2",85310549402
9,"8531054940",1.0,"2",85310549402
9,"8531054940",1.0,"1b",85310549403
10,"8531054940",0.29,"1b",85310549403
11,"8531054940",0.43,"1b",85310549403
11,"8531054940",0.43,"1",85310549404
12,"8531054940",0.0,"1",85310549404
13,"8531054940",0.0,"1",85310549404
14,"8531054940",0.0,"1",85310549404
15,"8531054940",0.0,"1",85310549404
16,"8531054940",0.0,"1",85310549404
17,"8531054940",0.0,"1",85310549404
18,"8531054940",0.0,"1",85310549404
19,"8531054940",0.14,"1",85310549404
20,"8531054940",0.14,"1",85310549404
21,"8531054940",0.0,"1",85310549404
22,"8531054940",0.0,"1",85310549404
23,"8531054940",0.0,"1",85310549404
24,"8531054940",0.0,"1",85310549404
25,"8531054940",0.0,"1",85310549404
26,"8531054940",0.0,"1",85310549404
27,"8531054940",0.29,"1",85310549404
28,"8531054940",0.57,"1",85310549404
29,"8531054940",0.43,"1",85310549404
30,"8531054940",6.43,"1",85310549404
31,"8531054940",13.14,"1",85310549404
32,"8531054940",21.14,"1",85310549404
33,"8531054940",23.57,"1",85310549404
34,"8531054940",32.57,"1",85310549404
35,"8531054940",79.43,"1",85310549404
36,"8531054940",76.57,"1",85310549404
37,"8531054940",48.0,"1",85310549404
38,"8531054940",84.57,"1",85310549404
39,"8531054940",98.29,"1",85310549404
40,"8531054940",77.71,"1",85310549404
41,"8531054940",86.86,"1",85310549404
42,"8531054940",61.71,"1",85310549404
43,"8531054940",32.0,"1",85310549404
44,"8531054940",36.0,"1",85310549404
45,"8531054940",29.71,"1",85310549404
46,"8531054940",21.14,"1",85310549404
47,"8531054940",30.29,"1",85310549404
48,"8531054940",41.71,"1",85310549404
49,"8531054940",52.57,"1",85310549404
50,"8531054940",41.14,"1",85310549404
51,"8531054940",40.0,"1",85310549404
52,"8531054940",64.57,"1",85310549404
53,"8531054940",49.71,"1",85310549404
54,"8531054940",50.86,"1",85310549404
55,"8531054940",46.86,"1",85310549404
56,"8531054940",53.71,"1",85310549404
57,"8531054940",77.71,"1",85310549404
58,"8531054940",78.86,"1",85310549404
59,"8531054940",107.43,"1",85310549404
60,"8531054940",112.0,"1",85310549404
61,"8531054940",89.14,"1",85310549404
62,"8531054940",64.0,"1",85310549404
63,"8531054940",66.29,"1",85310549404
64,"8531054940",46.29,"1",85310549404
65,"8531054940",38.29,"1",85310549404
66,"8531054940",33.71,"1",85310549404
67,"8531054940",38.86,"1",85310549404
68,"8531054940",48.0,"1",85310549404
69,"8531054940",46.86,"1",85310549404
70,"8531054940",42.29,"1",85310549404
71,"8531054940",64.0,"1",85310549404
72,"8531054940",65.14,"1",85310549404
73,"8531054940",54.29,"1",85310549404
74,"8531054940",44.0,"1",85310549404
75,"8531054940",38.29,"1",85310549404
76,"8531054940",33.71,"1",85310549404
77,"8531054940",36.57,"1",85310549404
78,"8531054940",42.29,"1",85310549404
79,"8531054940",62.86,"1",85310549404
80,"8531054940",39.43,"1",85310549404
81,"8531054940",57.14,"1",85310549404
81,"8531054940",57.14,"1",85311483074
0,"8531148307",0.14,"1",85311483074
1,"8531148307",0.14,"1",85311483074
1,"8531148307",0.14,"1b",85311483075
2,"8531148307",0.14,"1b",85311483075
3,"8531148307",0.14,"1b",85311483075
4,"8531148307",0.0,"1b",85311483075
4,"8531148307",0.0,"1",85311483076
5,"8531148307",0.14,"1",85311483076
6,"8531148307",0.0,"1",85311483076
7,"8531148307",0.14,"1",85311483076
8,"8531148307",0.43,"1",85311483076
9,"8531148307",0.57,"1",85311483076
9,"8531148307",0.57,"1b",85311483077
10,"8531148307",0.71,"1b",85311483077
10,"8531148307",0.71,"2",85311483078
11,"8531148307",0.29,"2",85311483078
12,"8531148307",0.29,"2",85311483078
12,"8531148307",0.29,"1b",85311483079
13,"8531148307",0.29,"1b",85311483079
14,"8531148307",0.0,"1b",85311483079
14,"8531148307",0.0,"1",853114830710
15,"8531148307",0.0,"1",853114830710
16,"8531148307",0.0,"1",853114830710
17,"8531148307",0.0,"1",853114830710
18,"8531148307",0.14,"1",853114830710
19,"8531148307",1.29,"1",853114830710
20,"8531148307",2.0,"1",853114830710
21,"8531148307",0.57,"1",853114830710
22,"8531148307",0.71,"1",853114830710
23,"8531148307",2.29,"1",853114830710
24,"8531148307",3.14,"1",853114830710
25,"8531148307",1.29,"1",853114830710
26,"8531148307",0.57,"1",853114830710
27,"8531148307",1.14,"1",853114830710
28,"8531148307",0.0,"1",853114830710
29,"8531148307",0.0,"1",853114830710
30,"8531148307",6.86,"1",853114830710
31,"8531148307",14.0,"1",853114830710
32,"8531148307",22.43,"1",853114830710
33,"8531148307",25.71,"1",853114830710
34,"8531148307",37.14,"1",853114830710
35,"8531148307",60.0,"1",853114830710
36,"8531148307",73.14,"1",853114830710
37,"8531148307",80.57,"1",853114830710
38,"8531148307",50.29,"1",853114830710
39,"8531148307",64.0,"1",853114830710
40,"8531148307",48.0,"1",853114830710
41,"8531148307",34.29,"1",853114830710
42,"8531148307",50.29,"1",853114830710
43,"8531148307",38.86,"1",853114830710
44,"8531148307",14.29,"1",853114830710
45,"8531148307",21.14,"1",853114830710
46,"8531148307",33.14,"1",853114830710
