"wk","tr","nc","stg","id"
0,"3971054940",0.0,"1",39710549401
1,"3971054940",0.0,"1",39710549401
2,"3971054940",0.0,"1",39710549401
3,"3971054940",0.0,"1",39710549401
4,"3971054940",0.14,"1",39710549401
5,"3971054940",0.0,"1",39710549401
6,"3971054940",0.14,"1",39710549401
7,"3971054940",0.71,"1",39710549401
7,"3971054940",0.71,"1b",39710549402
8,"3971054940",0.0,"1b",39710549402
9,"3971054940",0.0,"1b",39710549402
9,"3971054940",0.0,"1",39710549403
10,"3971054940",0.0,"1",39710549403
11,"3971054940",0.0,"1",39710549403
12,"3971054940",0.0,"1",39710549403
13,"3971054940",0.0,"1",39710549403
14,"3971054940",0.0,"1",39710549403
15,"3971054940",0.0,"1",39710549403
16,"3971054940",0.0,"1",39710549403
17,"3971054940",0.0,"1",39710549403
18,"3971054940",0.0,"1",39710549403
19,"3971054940",0.29,"1",39710549403
20,"3971054940",0.29,"1",39710549403
21,"3971054940",0.14,"1",39710549403
22,"3971054940",0.14,"1",39710549403
23,"3971054940",0.0,"1",39710549403
24,"3971054940",0.0,"1",39710549403
25,"3971054940",0.0,"1",39710549403
26,"3971054940",0.0,"1",39710549403
27,"3971054940",0.71,"1",39710549403
28,"3971054940",0.57,"1",39710549403
29,"3971054940",0.57,"1",39710549403
30,"3971054940",0.43,"1",39710549403
31,"3971054940",0.57,"1",39710549403
32,"3971054940",1.71,"1",39710549403
33,"3971054940",1.57,"1",39710549403
34,"3971054940",2.0,"1",39710549403
35,"3971054940",2.86,"1",39710549403
36,"3971054940",1.29,"1",39710549403
37,"3971054940",1.14,"1",39710549403
38,"3971054940",2.71,"1",39710549403
39,"3971054940",2.86,"1",39710549403
40,"3971054940",6.29,"1",39710549403
41,"3971054940",5.43,"1",39710549403
42,"3971054940",3.57,"1",39710549403
43,"3971054940",3.43,"1",39710549403
44,"3971054940",1.29,"1",39710549403
45,"3971054940",1.57,"1",39710549403
46,"3971054940",1.14,"1",39710549403
47,"3971054940",1.86,"1",39710549403
48,"3971054940",4.14,"1",39710549403
49,"3971054940",2.14,"1",39710549403
50,"3971054940",2.14,"1",39710549403
51,"3971054940",1.86,"1",39710549403
52,"3971054940",1.86,"1",39710549403
53,"3971054940",3.86,"1",39710549403
54,"3971054940",2.0,"1",39710549403
55,"3971054940",2.0,"1",39710549403
56,"3971054940",1.29,"1",39710549403
57,"3971054940",0.57,"1",39710549403
58,"3971054940",0.14,"1",39710549403
59,"3971054940",0.86,"1",39710549403
60,"3971054940",1.43,"1",39710549403
61,"3971054940",2.57,"1",39710549403
62,"3971054940",1.14,"1",39710549403
63,"3971054940",0.43,"1",39710549403
64,"3971054940",0.0,"1",39710549403
65,"3971054940",0.57,"1",39710549403
