"wk","tr","nc","stg","id"
0,"10881231948",1.57,"2",108812319481
1,"10881231948",14.43,"2",108812319481
1,"10881231948",14.43,"3",108812319482
2,"10881231948",71.57,"3",108812319482
2,"10881231948",71.57,"4",108812319483
3,"10881231948",117.0,"4",108812319483
4,"10881231948",216.0,"4",108812319483
5,"10881231948",482.14,"4",108812319483
6,"10881231948",347.14,"4",108812319483
7,"10881231948",254.57,"4",108812319483
8,"10881231948",104.14,"4",108812319483
9,"10881231948",150.43,"4",108812319483
10,"10881231948",173.57,"4",108812319483
11,"10881231948",243.0,"4",108812319483
12,"10881231948",208.29,"4",108812319483
13,"10881231948",173.57,"4",108812319483
14,"10881231948",196.71,"4",108812319483
15,"10881231948",54.0,"4",108812319483
16,"10881231948",69.43,"4",108812319483
17,"10881231948",23.14,"4",108812319483
18,"10881231948",30.86,"4",108812319483
18,"10881231948",30.86,"3",108812319484
19,"10881231948",48.86,"3",108812319484
19,"10881231948",48.86,"4",108812319485
20,"10881231948",28.29,"4",108812319485
21,"10881231948",18.0,"4",108812319485
21,"10881231948",18.0,"3",108812319486
22,"10881231948",12.86,"3",108812319486
23,"10881231948",29.57,"3",108812319486
23,"10881231948",29.57,"4",108812319487
24,"10881231948",19.29,"4",108812319487
25,"10881231948",18.0,"4",108812319487
25,"10881231948",18.0,"3",108812319488
26,"10881231948",11.57,"3",108812319488
27,"10881231948",19.29,"3",108812319488
28,"10881231948",14.14,"3",108812319488
28,"10881231948",14.14,"2",108812319489
29,"10881231948",11.14,"2",108812319489
30,"10881231948",16.71,"2",108812319489
31,"10881231948",24.86,"2",108812319489
32,"10881231948",47.14,"2",108812319489
33,"10881231948",81.0,"2",108812319489
34,"10881231948",178.71,"2",108812319489
35,"10881231948",397.29,"2",108812319489
35,"10881231948",397.29,"3",1088123194810
36,"10881231948",567.0,"3",1088123194810
36,"10881231948",567.0,"4",1088123194811
37,"10881231948",578.57,"4",1088123194811
38,"10881231948",937.29,"4",1088123194811
39,"10881231948",486.0,"4",1088123194811
40,"10881231948",347.14,"4",1088123194811
41,"10881231948",162.0,"4",1088123194811
42,"10881231948",196.71,"4",1088123194811
43,"10881231948",69.43,"4",1088123194811
43,"10881231948",69.43,"3",1088123194812
44,"10881231948",88.71,"3",1088123194812
45,"10881231948",84.86,"3",1088123194812
45,"10881231948",84.86,"2",1088123194813
46,"10881231948",92.57,"2",1088123194813
47,"10881231948",77.14,"2",1088123194813
48,"10881231948",142.71,"2",1088123194813
49,"10881231948",131.14,"2",1088123194813
50,"10881231948",165.86,"2",1088123194813
51,"10881231948",351.0,"2",1088123194813
51,"10881231948",351.0,"3",1088123194814
52,"10881231948",648.0,"3",1088123194814
52,"10881231948",648.0,"4",1088123194815
53,"10881231948",509.14,"4",1088123194815
54,"10881231948",1041.43,"4",1088123194815
55,"10881231948",937.29,"4",1088123194815
56,"10881231948",937.29,"4",1088123194815
57,"10881231948",624.86,"4",1088123194815
58,"10881231948",729.0,"4",1088123194815
59,"10881231948",381.86,"4",1088123194815
60,"10881231948",405.0,"4",1088123194815
61,"10881231948",312.43,"4",1088123194815
62,"10881231948",173.57,"4",1088123194815
63,"10881231948",150.43,"4",1088123194815
64,"10881231948",185.14,"4",1088123194815
65,"10881231948",150.43,"4",1088123194815
65,"10881231948",150.43,"3",1088123194816
