"wk","tr","nc","stg","id"
0,"2501054940",0.0,"1",25010549401
1,"2501054940",0.0,"1",25010549401
2,"2501054940",0.0,"1",25010549401
3,"2501054940",0.0,"1",25010549401
4,"2501054940",0.14,"1",25010549401
5,"2501054940",0.0,"1",25010549401
6,"2501054940",0.14,"1",25010549401
7,"2501054940",1.43,"1",25010549401
7,"2501054940",1.43,"2",25010549402
8,"2501054940",3.0,"2",25010549402
9,"2501054940",1.57,"2",25010549402
10,"2501054940",1.29,"2",25010549402
10,"2501054940",1.29,"1b",25010549403
11,"2501054940",1.71,"1b",25010549403
11,"2501054940",1.71,"2",25010549404
12,"2501054940",1.14,"2",25010549404
13,"2501054940",0.71,"2",25010549404
13,"2501054940",0.71,"1b",25010549405
14,"2501054940",0.14,"1b",25010549405
15,"2501054940",0.0,"1b",25010549405
15,"2501054940",0.0,"1",25010549406
16,"2501054940",0.0,"1",25010549406
17,"2501054940",0.0,"1",25010549406
18,"2501054940",0.0,"1",25010549406
19,"2501054940",0.29,"1",25010549406
20,"2501054940",0.14,"1",25010549406
20,"2501054940",0.14,"1b",25010549407
21,"2501054940",0.0,"1b",25010549407
22,"2501054940",0.0,"1b",25010549407
22,"2501054940",0.0,"1",25010549408
23,"2501054940",0.0,"1",25010549408
24,"2501054940",0.0,"1",25010549408
25,"2501054940",0.0,"1",25010549408
26,"2501054940",0.0,"1",25010549408
27,"2501054940",0.29,"1",25010549408
28,"2501054940",0.57,"1",25010549408
28,"2501054940",0.57,"1b",25010549409
29,"2501054940",0.57,"1b",25010549409
29,"2501054940",0.57,"2",250105494010
30,"2501054940",35.43,"2",250105494010
31,"2501054940",59.43,"2",250105494010
31,"2501054940",59.43,"3",250105494011
32,"2501054940",98.86,"3",250105494011
32,"2501054940",98.86,"4",250105494012
33,"2501054940",80.0,"4",250105494012
34,"2501054940",59.43,"4",250105494012
35,"2501054940",96.0,"4",250105494012
36,"2501054940",82.29,"4",250105494012
37,"2501054940",66.29,"4",250105494012
38,"2501054940",75.43,"4",250105494012
39,"2501054940",57.14,"4",250105494012
39,"2501054940",57.14,"3",250105494013
40,"2501054940",100.57,"3",250105494013
40,"2501054940",100.57,"4",250105494014
41,"2501054940",114.29,"4",250105494014
42,"2501054940",80.0,"4",250105494014
43,"2501054940",107.43,"4",250105494014
44,"2501054940",77.71,"4",250105494014
45,"2501054940",86.86,"4",250105494014
46,"2501054940",70.86,"4",250105494014
47,"2501054940",52.57,"4",250105494014
48,"2501054940",70.86,"4",250105494014
49,"2501054940",73.14,"4",250105494014
50,"2501054940",84.57,"4",250105494014
51,"2501054940",82.29,"4",250105494014
52,"2501054940",64.0,"4",250105494014
53,"2501054940",55.43,"4",250105494014
54,"2501054940",44.57,"4",250105494014
55,"2501054940",51.43,"4",250105494014
56,"2501054940",57.14,"4",250105494014
57,"2501054940",58.29,"4",250105494014
58,"2501054940",56.57,"4",250105494014
59,"2501054940",58.86,"4",250105494014
60,"2501054940",64.57,"4",250105494014
61,"2501054940",52.57,"4",250105494014
62,"2501054940",50.86,"4",250105494014
63,"2501054940",51.43,"4",250105494014
64,"2501054940",58.86,"4",250105494014
65,"2501054940",65.14,"4",250105494014
66,"2501054940",54.86,"4",250105494014
67,"2501054940",56.0,"4",250105494014
68,"2501054940",61.14,"4",250105494014
69,"2501054940",47.43,"4",250105494014
70,"2501054940",53.71,"4",250105494014
71,"2501054940",69.14,"4",250105494014
72,"2501054940",65.71,"4",250105494014
73,"2501054940",65.14,"4",250105494014
74,"2501054940",75.43,"4",250105494014
75,"2501054940",77.71,"4",250105494014
76,"2501054940",68.57,"4",250105494014
77,"2501054940",45.71,"4",250105494014
77,"2501054940",45.71,"3",250105494015
78,"2501054940",86.86,"3",250105494015
78,"2501054940",86.86,"4",250105494016
79,"2501054940",64.0,"4",250105494016
80,"2501054940",70.86,"4",250105494016
81,"2501054940",68.57,"4",250105494016
