"wk","tr","nc","stg","id"
0,"12251231948",1.29,"1",122512319481
0,"12251231948",1.29,"1b",122512319482
1,"12251231948",11.43,"1b",122512319482
1,"12251231948",11.43,"3",122512319483
2,"12251231948",37.57,"3",122512319483
2,"12251231948",37.57,"4",122512319484
3,"12251231948",54.0,"4",122512319484
4,"12251231948",21.86,"4",122512319484
5,"12251231948",21.86,"4",122512319484
5,"12251231948",21.86,"3",122512319485
6,"12251231948",27.0,"3",122512319485
7,"12251231948",61.71,"3",122512319485
7,"12251231948",61.71,"4",122512319486
8,"12251231948",42.43,"4",122512319486
9,"12251231948",39.86,"4",122512319486
10,"12251231948",18.0,"4",122512319486
11,"12251231948",21.86,"4",122512319486
11,"12251231948",21.86,"3",122512319487
12,"12251231948",19.29,"3",122512319487
13,"12251231948",11.57,"3",122512319487
14,"12251231948",13.29,"3",122512319487
14,"12251231948",13.29,"2",122512319488
15,"12251231948",15.0,"2",122512319488
16,"12251231948",17.14,"2",122512319488
16,"12251231948",17.14,"1b",122512319489
17,"12251231948",17.57,"1b",122512319489
18,"12251231948",20.57,"1b",122512319489
19,"12251231948",58.29,"1b",122512319489
19,"12251231948",58.29,"2",1225123194810
20,"12251231948",45.0,"2",1225123194810
20,"12251231948",45.0,"3",1225123194811
21,"12251231948",70.71,"3",1225123194811
21,"12251231948",70.71,"4",1225123194812
22,"12251231948",119.57,"4",1225123194812
23,"12251231948",42.43,"4",1225123194812
24,"12251231948",57.86,"4",1225123194812
25,"12251231948",37.29,"4",1225123194812
26,"12251231948",48.86,"4",1225123194812
27,"12251231948",45.0,"4",1225123194812
28,"12251231948",23.14,"4",1225123194812
28,"12251231948",23.14,"3",1225123194813
29,"12251231948",51.43,"3",1225123194813
29,"12251231948",51.43,"4",1225123194814
30,"12251231948",39.86,"4",1225123194814
31,"12251231948",38.57,"4",1225123194814
31,"12251231948",38.57,"3",1225123194815
32,"12251231948",42.43,"3",1225123194815
33,"12251231948",38.57,"3",1225123194815
33,"12251231948",38.57,"2",1225123194816
34,"12251231948",36.0,"2",1225123194816
35,"12251231948",36.0,"2",1225123194816
35,"12251231948",36.0,"1",1225123194817
36,"12251231948",18.0,"1",1225123194817
37,"12251231948",39.86,"1",1225123194817
38,"12251231948",97.71,"1",1225123194817
39,"12251231948",225.0,"1",1225123194817
40,"12251231948",509.14,"1",1225123194817
41,"12251231948",1319.14,"1",1225123194817
42,"12251231948",4582.29,"1",1225123194817
42,"12251231948",4582.29,"1b",1225123194818
43,"12251231948",11143.29,"1b",1225123194818
43,"12251231948",11143.29,"2",1225123194819
44,"12251231948",24681.86,"2",1225123194819
44,"12251231948",24681.86,"3",1225123194820
45,"12251231948",15271.63,"3",1225123194820
45,"12251231948",15271.63,"4",1225123194821
46,"12251231948",8017.2,"4",1225123194821
47,"12251231948",4963.03,"4",1225123194821
48,"12251231948",5344.8,"4",1225123194821
49,"12251231948",3817.71,"4",1225123194821
49,"12251231948",3817.71,"3",1225123194822
50,"12251231948",3853.29,"3",1225123194822
50,"12251231948",3853.29,"4",1225123194823
51,"12251231948",2395.29,"4",1225123194823
52,"12251231948",1770.43,"4",1225123194823
52,"12251231948",1770.43,"3",1225123194824
53,"12251231948",1874.57,"3",1225123194824
53,"12251231948",1874.57,"4",1225123194825
54,"12251231948",1978.71,"4",1225123194825
55,"12251231948",1458.0,"4",1225123194825
55,"12251231948",1458.0,"3",1225123194826
56,"12251231948",1353.86,"3",1225123194826
57,"12251231948",2187.0,"3",1225123194826
57,"12251231948",2187.0,"4",1225123194827
58,"12251231948",3540.86,"4",1225123194827
59,"12251231948",1978.71,"4",1225123194827
59,"12251231948",1978.71,"3",1225123194828
60,"12251231948",3436.71,"3",1225123194828
60,"12251231948",3436.71,"4",1225123194829
61,"12251231948",4582.29,"4",1225123194829
62,"12251231948",3228.43,"4",1225123194829
62,"12251231948",3228.43,"3",1225123194830
63,"12251231948",2499.43,"3",1225123194830
63,"12251231948",2499.43,"4",1225123194831
64,"12251231948",3332.57,"4",1225123194831
65,"12251231948",2916.0,"4",1225123194831
65,"12251231948",2916.0,"3",1225123194832
66,"12251231948",3124.29,"3",1225123194832
66,"12251231948",3124.29,"4",1225123194833
67,"12251231948",3540.86,"4",1225123194833
68,"12251231948",1145.57,"4",1225123194833
68,"12251231948",1145.57,"3",1225123194834
69,"12251231948",729.0,"3",1225123194834
69,"12251231948",729.0,"4",1225123194835
70,"12251231948",659.57,"4",1225123194835
71,"12251231948",347.14,"4",1225123194835
71,"12251231948",347.14,"3",1225123194836
72,"12251231948",138.86,"3",1225123194836
73,"12251231948",173.57,"3",1225123194836
73,"12251231948",173.57,"2",1225123194837
74,"12251231948",104.14,"2",1225123194837
75,"12251231948",266.14,"2",1225123194837
75,"12251231948",266.14,"1b",1225123194838
76,"12251231948",567.0,"1b",1225123194838
76,"12251231948",567.0,"1",1225123194839
77,"12251231948",2163.86,"1",1225123194839
77,"12251231948",2163.86,"1b",1225123194840
78,"12251231948",4721.14,"1b",1225123194840
78,"12251231948",4721.14,"2",1225123194841
79,"12251231948",9893.57,"2",1225123194841
79,"12251231948",9893.57,"3",1225123194842
80,"12251231948",19058.14,"3",1225123194842
80,"12251231948",19058.14,"4",1225123194843
81,"12251231948",10414.29,"4",1225123194843
81,"12251231948",10414.29,"1",1225129271944
0,"12251292719",2.0,"1",1225129271944
0,"12251292719",2.0,"1b",1225129271945
1,"12251292719",20.29,"1b",1225129271945
1,"12251292719",20.29,"3",1225129271946
2,"12251292719",61.71,"3",1225129271946
2,"12251292719",61.71,"4",1225129271947
3,"12251292719",46.29,"4",1225129271947
4,"12251292719",41.14,"4",1225129271947
5,"12251292719",33.43,"4",1225129271947
5,"12251292719",33.43,"3",1225129271948
6,"12251292719",43.71,"3",1225129271948
6,"12251292719",43.71,"4",1225129271949
7,"12251292719",38.57,"4",1225129271949
8,"12251292719",25.71,"4",1225129271949
8,"12251292719",25.71,"3",1225129271950
9,"12251292719",29.57,"3",1225129271950
10,"12251292719",38.57,"3",1225129271950
10,"12251292719",38.57,"4",1225129271951
