"wk","tr","nc","stg","id"
0,"10421054940",0.0,"1",104210549401
1,"10421054940",0.0,"1",104210549401
2,"10421054940",0.0,"1",104210549401
3,"10421054940",0.0,"1",104210549401
4,"10421054940",0.14,"1",104210549401
5,"10421054940",0.14,"1",104210549401
6,"10421054940",0.71,"1",104210549401
7,"10421054940",1.43,"1",104210549401
7,"10421054940",1.43,"2",104210549402
8,"10421054940",1.57,"2",104210549402
9,"10421054940",1.43,"2",104210549402
10,"10421054940",2.0,"2",104210549402
11,"10421054940",0.29,"2",104210549402
11,"10421054940",0.29,"1b",104210549403
12,"10421054940",1.0,"1b",104210549403
12,"10421054940",1.0,"2",104210549404
13,"10421054940",0.71,"2",104210549404
14,"10421054940",0.43,"2",104210549404
14,"10421054940",0.43,"1b",104210549405
15,"10421054940",0.14,"1b",104210549405
16,"10421054940",0.29,"1b",104210549405
16,"10421054940",0.29,"1",104210549406
17,"10421054940",0.14,"1",104210549406
18,"10421054940",0.14,"1",104210549406
19,"10421054940",0.29,"1",104210549406
20,"10421054940",0.14,"1",104210549406
21,"10421054940",0.14,"1",104210549406
22,"10421054940",0.57,"1",104210549406
23,"10421054940",0.0,"1",104210549406
24,"10421054940",0.0,"1",104210549406
25,"10421054940",0.0,"1",104210549406
26,"10421054940",0.0,"1",104210549406
27,"10421054940",0.43,"1",104210549406
28,"10421054940",4.0,"1",104210549406
29,"10421054940",13.0,"1",104210549406
30,"10421054940",16.71,"1",104210549406
31,"10421054940",15.86,"1",104210549406
32,"10421054940",23.43,"1",104210549406
33,"10421054940",25.71,"1",104210549406
34,"10421054940",19.43,"1",104210549406
35,"10421054940",34.86,"1",104210549406
36,"10421054940",38.29,"1",104210549406
37,"10421054940",48.57,"1",104210549406
38,"10421054940",75.43,"1",104210549406
39,"10421054940",82.86,"1",104210549406
40,"10421054940",91.43,"1",104210549406
41,"10421054940",107.43,"1",104210549406
42,"10421054940",146.29,"1",104210549406
43,"10421054940",290.29,"1",104210549406
44,"10421054940",473.14,"1",104210549406
45,"10421054940",640.0,"1",104210549406
46,"10421054940",1444.57,"1",104210549406
46,"10421054940",1444.57,"1b",104210549407
47,"10421054940",2176.0,"1b",104210549407
47,"10421054940",2176.0,"2",104210549408
48,"10421054940",1974.86,"2",104210549408
48,"10421054940",1974.86,"3",104210549409
49,"10421054940",2377.14,"3",104210549409
49,"10421054940",2377.14,"4",1042105494010
50,"10421054940",1426.29,"4",1042105494010
51,"10421054940",585.14,"4",1042105494010
51,"10421054940",585.14,"3",1042105494011
52,"10421054940",950.86,"3",1042105494011
