"wk","tr","nc","stg","id"
0,"2702014539",0.0,"1",27020145391
1,"2702014539",0.0,"1",27020145391
2,"2702014539",0.0,"1",27020145391
3,"2702014539",0.43,"1",27020145391
4,"2702014539",1.57,"1",27020145391
5,"2702014539",10.57,"1",27020145391
5,"2702014539",10.57,"2",27020145392
6,"2702014539",20.0,"2",27020145392
6,"2702014539",20.0,"3",27020145393
7,"2702014539",23.14,"3",27020145393
8,"2702014539",29.14,"3",27020145393
9,"2702014539",39.43,"3",27020145393
10,"2702014539",49.14,"3",27020145393
10,"2702014539",49.14,"4",27020145394
11,"2702014539",34.86,"4",27020145394
12,"2702014539",18.86,"4",27020145394
12,"2702014539",18.86,"3",27020145395
13,"2702014539",15.43,"3",27020145395
14,"2702014539",26.86,"3",27020145395
15,"2702014539",50.86,"3",27020145395
15,"2702014539",50.86,"4",27020145396
16,"2702014539",43.43,"4",27020145396
17,"2702014539",18.29,"4",27020145396
17,"2702014539",18.29,"3",27020145397
18,"2702014539",8.0,"3",27020145397
19,"2702014539",7.29,"3",27020145397
20,"2702014539",5.57,"3",27020145397
21,"2702014539",2.57,"3",27020145397
21,"2702014539",2.57,"2",27020145398
22,"2702014539",0.86,"2",27020145398
23,"2702014539",1.71,"2",27020145398
24,"2702014539",0.29,"2",27020145398
24,"2702014539",0.29,"1b",27020145399
25,"2702014539",0.29,"1b",27020145399
26,"2702014539",0.29,"1b",27020145399
27,"2702014539",0.29,"1b",27020145399
28,"2702014539",0.0,"1b",27020145399
28,"2702014539",0.0,"1",270201453910
29,"2702014539",0.14,"1",270201453910
30,"2702014539",0.14,"1",270201453910
31,"2702014539",0.0,"1",270201453910
32,"2702014539",0.14,"1",270201453910
33,"2702014539",0.0,"1",270201453910
34,"2702014539",0.0,"1",270201453910
35,"2702014539",0.0,"1",270201453910
36,"2702014539",0.0,"1",270201453910
37,"2702014539",0.71,"1",270201453910
38,"2702014539",2.71,"1",270201453910
39,"2702014539",11.71,"1",270201453910
40,"2702014539",19.57,"1",270201453910
41,"2702014539",26.29,"1",270201453910
42,"2702014539",69.14,"1",270201453910
42,"2702014539",69.14,"2",270201453911
43,"2702014539",97.14,"2",270201453911
43,"2702014539",97.14,"3",270201453912
44,"2702014539",48.0,"3",270201453912
44,"2702014539",48.0,"4",270201453913
45,"2702014539",36.57,"4",270201453913
46,"2702014539",16.0,"4",270201453913
46,"2702014539",16.0,"3",270201453914
47,"2702014539",9.71,"3",270201453914
48,"2702014539",7.71,"3",270201453914
48,"2702014539",7.71,"2",270201453915
49,"2702014539",5.86,"2",270201453915
50,"2702014539",4.29,"2",270201453915
50,"2702014539",4.29,"1b",270201453916
51,"2702014539",4.14,"1b",270201453916
52,"2702014539",4.43,"1b",270201453916
52,"2702014539",4.43,"1",270201453917
53,"2702014539",9.29,"1",270201453917
54,"2702014539",21.0,"1",270201453917
55,"2702014539",27.43,"1",270201453917
56,"2702014539",64.57,"1",270201453917
56,"2702014539",64.57,"1b",270201453918
57,"2702014539",71.43,"1b",270201453918
57,"2702014539",71.43,"3",270201453919
58,"2702014539",86.86,"3",270201453919
