"wk","tr","nc","stg","id"
0,"9741054940",0.0,"1",97410549401
1,"9741054940",0.0,"1",97410549401
2,"9741054940",0.0,"1",97410549401
3,"9741054940",0.0,"1",97410549401
4,"9741054940",0.14,"1",97410549401
5,"9741054940",0.0,"1",97410549401
6,"9741054940",0.14,"1",97410549401
7,"9741054940",1.43,"1",97410549401
7,"9741054940",1.43,"2",97410549402
8,"9741054940",3.0,"2",97410549402
9,"9741054940",1.57,"2",97410549402
10,"9741054940",1.29,"2",97410549402
10,"9741054940",1.29,"1b",97410549403
11,"9741054940",1.71,"1b",97410549403
11,"9741054940",1.71,"2",97410549404
12,"9741054940",1.14,"2",97410549404
13,"9741054940",0.43,"2",97410549404
13,"9741054940",0.43,"1b",97410549405
14,"9741054940",0.29,"1b",97410549405
15,"9741054940",0.0,"1b",97410549405
15,"9741054940",0.0,"1",97410549406
16,"9741054940",0.0,"1",97410549406
17,"9741054940",0.0,"1",97410549406
18,"9741054940",0.0,"1",97410549406
19,"9741054940",0.29,"1",97410549406
20,"9741054940",0.43,"1",97410549406
21,"9741054940",0.43,"1",97410549406
22,"9741054940",0.0,"1",97410549406
23,"9741054940",0.14,"1",97410549406
24,"9741054940",0.0,"1",97410549406
25,"9741054940",0.0,"1",97410549406
26,"9741054940",0.0,"1",97410549406
27,"9741054940",1.14,"1",97410549406
28,"9741054940",1.57,"1",97410549406
29,"9741054940",1.0,"1",97410549406
30,"9741054940",11.71,"1",97410549406
31,"9741054940",30.0,"1",97410549406
32,"9741054940",35.43,"1",97410549406
33,"9741054940",70.29,"1",97410549406
34,"9741054940",105.71,"1",97410549406
35,"9741054940",121.14,"1",97410549406
36,"9741054940",123.43,"1",97410549406
37,"9741054940",75.43,"1",97410549406
38,"9741054940",157.71,"1",97410549406
39,"9741054940",267.43,"1",97410549406
40,"9741054940",354.29,"1",97410549406
41,"9741054940",356.57,"1",97410549406
42,"9741054940",530.29,"1",97410549406
43,"9741054940",850.29,"1",97410549406
44,"9741054940",1472.0,"1",97410549406
44,"9741054940",1472.0,"1b",97410549407
45,"9741054940",2477.71,"1b",97410549407
45,"9741054940",2477.71,"2",97410549408
46,"9741054940",2816.0,"2",97410549408
46,"9741054940",2816.0,"3",97410549409
47,"9741054940",2486.86,"3",97410549409
47,"9741054940",2486.86,"4",974105494010
48,"9741054940",1097.14,"4",974105494010
49,"9741054940",329.14,"4",974105494010
49,"9741054940",329.14,"3",974105494011
50,"9741054940",192.0,"3",974105494011
51,"9741054940",59.43,"3",974105494011
51,"9741054940",59.43,"2",974105494012
52,"9741054940",32.57,"2",974105494012
53,"9741054940",16.57,"2",974105494012
53,"9741054940",16.57,"1",974105494013
54,"9741054940",38.86,"1",974105494013
55,"9741054940",41.71,"1",974105494013
56,"9741054940",54.29,"1",974105494013
57,"9741054940",80.57,"1",974105494013
58,"9741054940",93.71,"1",974105494013
59,"9741054940",228.57,"1",974105494013
60,"9741054940",326.86,"1",974105494013
61,"9741054940",544.0,"1",974105494013
62,"9741054940",1206.86,"1",974105494013
63,"9741054940",2048.0,"1",974105494013
63,"9741054940",2048.0,"1b",974105494014
64,"9741054940",2340.57,"1b",974105494014
64,"9741054940",2340.57,"2",974105494015
65,"9741054940",1718.86,"2",974105494015
65,"9741054940",1718.86,"3",974105494016
66,"9741054940",1206.86,"3",974105494016
66,"9741054940",1206.86,"4",974105494017
67,"9741054940",658.29,"4",974105494017
68,"9741054940",402.29,"4",974105494017
68,"9741054940",402.29,"3",974105494018
69,"9741054940",292.57,"3",974105494018
70,"9741054940",301.71,"3",974105494018
70,"9741054940",301.71,"2",974105494019
71,"9741054940",150.86,"2",974105494019
71,"9741054940",150.86,"1b",974105494020
72,"9741054940",84.57,"1b",974105494020
72,"9741054940",84.57,"1",974105494021
73,"9741054940",114.29,"1",974105494021
74,"9741054940",141.71,"1",974105494021
75,"9741054940",178.29,"1",974105494021
76,"9741054940",340.57,"1",974105494021
77,"9741054940",283.43,"1",974105494021
78,"9741054940",176.0,"1",974105494021
79,"9741054940",187.43,"1",974105494021
80,"9741054940",285.71,"1",974105494021
81,"9741054940",356.57,"1",974105494021
81,"9741054940",356.57,"1",974114830721
0,"9741148307",0.14,"1",974114830721
1,"9741148307",0.43,"1",974114830721
2,"9741148307",5.57,"1",974114830721
2,"9741148307",5.57,"2",974114830722
3,"9741148307",10.86,"2",974114830722
3,"9741148307",10.86,"3",974114830723
4,"9741148307",6.43,"3",974114830723
5,"9741148307",5.86,"3",974114830723
