"wk","tr","nc","stg","id"
0,"10501231948",3.43,"1",105012319481
0,"10501231948",3.43,"2",105012319482
1,"10501231948",24.43,"2",105012319482
1,"10501231948",24.43,"3",105012319483
2,"10501231948",33.86,"3",105012319483
3,"10501231948",42.43,"3",105012319483
3,"10501231948",42.43,"4",105012319484
4,"10501231948",48.86,"4",105012319484
5,"10501231948",30.86,"4",105012319484
6,"10501231948",21.86,"4",105012319484
6,"10501231948",21.86,"3",105012319485
7,"10501231948",20.57,"3",105012319485
8,"10501231948",19.29,"3",105012319485
9,"10501231948",28.29,"3",105012319485
10,"10501231948",59.14,"3",105012319485
10,"10501231948",59.14,"4",105012319486
11,"10501231948",64.29,"4",105012319486
12,"10501231948",65.57,"4",105012319486
13,"10501231948",81.0,"4",105012319486
14,"10501231948",77.14,"4",105012319486
15,"10501231948",77.14,"4",105012319486
16,"10501231948",54.0,"4",105012319486
17,"10501231948",34.71,"4",105012319486
18,"10501231948",23.14,"4",105012319486
19,"10501231948",20.57,"4",105012319486
19,"10501231948",20.57,"3",105012319487
20,"10501231948",19.29,"3",105012319487
21,"10501231948",30.86,"3",105012319487
21,"10501231948",30.86,"2",105012319488
22,"10501231948",24.43,"2",105012319488
22,"10501231948",24.43,"3",105012319489
23,"10501231948",19.29,"3",105012319489
24,"10501231948",19.29,"3",105012319489
24,"10501231948",19.29,"2",1050123194810
25,"10501231948",19.29,"2",1050123194810
26,"10501231948",25.71,"2",1050123194810
26,"10501231948",25.71,"1b",1050123194811
27,"10501231948",42.43,"1b",1050123194811
27,"10501231948",42.43,"2",1050123194812
28,"10501231948",57.86,"2",1050123194812
28,"10501231948",57.86,"3",1050123194813
29,"10501231948",52.71,"3",1050123194813
29,"10501231948",52.71,"4",1050123194814
30,"10501231948",73.29,"4",1050123194814
31,"10501231948",57.86,"4",1050123194814
31,"10501231948",57.86,"3",1050123194815
32,"10501231948",61.71,"3",1050123194815
33,"10501231948",38.57,"3",1050123194815
33,"10501231948",38.57,"2",1050123194816
34,"10501231948",81.0,"2",1050123194816
35,"10501231948",96.43,"2",1050123194816
35,"10501231948",96.43,"1b",1050123194817
36,"10501231948",181.29,"1b",1050123194817
37,"10501231948",219.86,"1b",1050123194817
37,"10501231948",219.86,"2",1050123194818
38,"10501231948",277.71,"2",1050123194818
38,"10501231948",277.71,"3",1050123194819
39,"10501231948",277.71,"3",1050123194819
39,"10501231948",277.71,"4",1050123194820
40,"10501231948",104.14,"4",1050123194820
41,"10501231948",115.71,"4",1050123194820
41,"10501231948",115.71,"3",1050123194821
42,"10501231948",65.57,"3",1050123194821
43,"10501231948",81.0,"3",1050123194821
44,"10501231948",61.71,"3",1050123194821
44,"10501231948",61.71,"2",1050123194822
45,"10501231948",38.57,"2",1050123194822
46,"10501231948",84.86,"2",1050123194822
46,"10501231948",84.86,"1b",1050123194823
47,"10501231948",169.71,"1b",1050123194823
48,"10501231948",281.57,"1b",1050123194823
48,"10501231948",281.57,"2",1050123194824
49,"10501231948",254.57,"2",1050123194824
50,"10501231948",243.0,"2",1050123194824
50,"10501231948",243.0,"3",1050123194825
51,"10501231948",231.43,"3",1050123194825
51,"10501231948",231.43,"4",1050123194826
52,"10501231948",115.71,"4",1050123194826
53,"10501231948",73.29,"4",1050123194826
53,"10501231948",73.29,"3",1050123194827
54,"10501231948",50.14,"3",1050123194827
55,"10501231948",11.57,"3",1050123194827
55,"10501231948",11.57,"2",1050123194828
56,"10501231948",23.14,"2",1050123194828
57,"10501231948",32.14,"2",1050123194828
57,"10501231948",32.14,"1b",1050123194829
58,"10501231948",47.57,"1b",1050123194829
59,"10501231948",45.0,"1b",1050123194829
59,"10501231948",45.0,"1",1050123194830
60,"10501231948",91.29,"1",1050123194830
61,"10501231948",243.0,"1",1050123194830
62,"10501231948",671.14,"1",1050123194830
62,"10501231948",671.14,"1b",1050123194831
63,"10501231948",879.43,"1b",1050123194831
63,"10501231948",879.43,"3",1050123194832
64,"10501231948",972.0,"3",1050123194832
64,"10501231948",972.0,"4",1050123194833
65,"10501231948",1110.86,"4",1050123194833
66,"10501231948",486.0,"4",1050123194833
67,"10501231948",520.71,"4",1050123194833
68,"10501231948",312.43,"4",1050123194833
69,"10501231948",358.71,"4",1050123194833
70,"10501231948",57.86,"4",1050123194833
71,"10501231948",30.86,"4",1050123194833
71,"10501231948",30.86,"3",1050123194834
72,"10501231948",37.29,"3",1050123194834
73,"10501231948",33.43,"3",1050123194834
73,"10501231948",33.43,"2",1050123194835
74,"10501231948",15.43,"2",1050123194835
75,"10501231948",20.57,"2",1050123194835
75,"10501231948",20.57,"1b",1050123194836
76,"10501231948",42.43,"1b",1050123194836
77,"10501231948",52.71,"1b",1050123194836
77,"10501231948",52.71,"1",1050123194837
78,"10501231948",124.71,"1",1050123194837
79,"10501231948",173.57,"1",1050123194837
80,"10501231948",289.29,"1",1050123194837
80,"10501231948",289.29,"1b",1050123194838
81,"10501231948",497.57,"1b",1050123194838
81,"10501231948",497.57,"1",1050129271939
0,"10501292719",2.71,"1",1050129271939
0,"10501292719",2.71,"1b",1050129271940
1,"10501292719",32.14,"1b",1050129271940
1,"10501292719",32.14,"3",1050129271941
2,"10501292719",78.0,"3",1050129271941
2,"10501292719",78.0,"4",1050129271942
3,"10501292719",45.0,"4",1050129271942
4,"10501292719",100.29,"4",1050129271942
5,"10501292719",65.57,"4",1050129271942
6,"10501292719",92.57,"4",1050129271942
7,"10501292719",57.86,"4",1050129271942
8,"10501292719",46.29,"4",1050129271942
8,"10501292719",46.29,"3",1050129271943
9,"10501292719",30.86,"3",1050129271943
9,"10501292719",30.86,"4",1050129271944
10,"10501292719",34.71,"4",1050129271944
11,"10501292719",43.71,"4",1050129271944
12,"10501292719",10.29,"4",1050129271944
12,"10501292719",10.29,"3",1050129271945
13,"10501292719",23.14,"3",1050129271945
14,"10501292719",23.14,"3",1050129271945
14,"10501292719",23.14,"4",1050129271946
15,"10501292719",10.29,"4",1050129271946
16,"10501292719",10.29,"4",1050129271946
16,"10501292719",10.29,"3",1050129271947
17,"10501292719",12.86,"3",1050129271947
18,"10501292719",19.29,"3",1050129271947
18,"10501292719",19.29,"2",1050129271948
19,"10501292719",19.29,"2",1050129271948
20,"10501292719",32.14,"2",1050129271948
21,"10501292719",61.71,"2",1050129271948
21,"10501292719",61.71,"3",1050129271949
22,"10501292719",70.71,"3",1050129271949
22,"10501292719",70.71,"4",1050129271950
23,"10501292719",65.57,"4",1050129271950
24,"10501292719",15.43,"4",1050129271950
25,"10501292719",20.57,"4",1050129271950
25,"10501292719",20.57,"3",1050129271951
26,"10501292719",16.71,"3",1050129271951
26,"10501292719",16.71,"4",1050129271952
27,"10501292719",10.29,"4",1050129271952
28,"10501292719",7.71,"4",1050129271952
28,"10501292719",7.71,"3",1050129271953
29,"10501292719",12.86,"3",1050129271953
30,"10501292719",24.43,"3",1050129271953
30,"10501292719",24.43,"2",1050129271954
31,"10501292719",27.0,"2",1050129271954
32,"10501292719",41.14,"2",1050129271954
32,"10501292719",41.14,"1b",1050129271955
33,"10501292719",57.86,"1b",1050129271955
34,"10501292719",100.29,"1b",1050129271955
34,"10501292719",100.29,"1",1050129271956
35,"10501292719",212.14,"1",1050129271956
36,"10501292719",312.43,"1",1050129271956
36,"10501292719",312.43,"1b",1050129271957
37,"10501292719",567.0,"1b",1050129271957
37,"10501292719",567.0,"3",1050129271958
38,"10501292719",370.29,"3",1050129271958
38,"10501292719",370.29,"4",1050129271959
39,"10501292719",208.29,"4",1050129271959
40,"10501292719",92.57,"4",1050129271959
40,"10501292719",92.57,"3",1050129271960
41,"10501292719",127.29,"3",1050129271960
42,"10501292719",173.57,"3",1050129271960
42,"10501292719",173.57,"2",1050129271961
43,"10501292719",173.57,"2",1050129271961
44,"10501292719",289.29,"2",1050129271961
45,"10501292719",428.14,"2",1050129271961
45,"10501292719",428.14,"3",1050129271962
46,"10501292719",520.71,"3",1050129271962
46,"10501292719",520.71,"4",1050129271963
47,"10501292719",185.14,"4",1050129271963
48,"10501292719",219.86,"4",1050129271963
49,"10501292719",138.86,"4",1050129271963
50,"10501292719",46.29,"4",1050129271963
50,"10501292719",46.29,"3",1050129271964
51,"10501292719",61.71,"3",1050129271964
52,"10501292719",54.0,"3",1050129271964
52,"10501292719",54.0,"2",1050129271965
53,"10501292719",19.29,"2",1050129271965
54,"10501292719",18.0,"2",1050129271965
54,"10501292719",18.0,"1b",1050129271966
55,"10501292719",30.86,"1b",1050129271966
56,"10501292719",43.71,"1b",1050129271966
56,"10501292719",43.71,"1",1050129271967
57,"10501292719",39.86,"1",1050129271967
58,"10501292719",90.0,"1",1050129271967
59,"10501292719",135.0,"1",1050129271967
60,"10501292719",173.57,"1",1050129271967
61,"10501292719",223.71,"1",1050129271967
62,"10501292719",254.57,"1",1050129271967
63,"10501292719",486.0,"1",1050129271967
63,"10501292719",486.0,"1b",1050129271968
64,"10501292719",358.71,"1b",1050129271968
64,"10501292719",358.71,"2",1050129271969
65,"10501292719",277.71,"2",1050129271969
66,"10501292719",219.86,"2",1050129271969
66,"10501292719",219.86,"3",1050129271970
67,"10501292719",277.71,"3",1050129271970
67,"10501292719",277.71,"4",1050129271971
68,"10501292719",81.0,"4",1050129271971
69,"10501292719",46.29,"4",1050129271971
69,"10501292719",46.29,"3",1050129271972
70,"10501292719",42.43,"3",1050129271972
71,"10501292719",30.86,"3",1050129271972
71,"10501292719",30.86,"2",1050129271973
72,"10501292719",27.0,"2",1050129271973
73,"10501292719",24.43,"2",1050129271973
73,"10501292719",24.43,"1b",1050129271974
74,"10501292719",20.57,"1b",1050129271974
75,"10501292719",10.29,"1b",1050129271974
75,"10501292719",10.29,"1",1050129271975
76,"10501292719",32.14,"1",1050129271975
77,"10501292719",88.71,"1",1050129271975
78,"10501292719",167.14,"1",1050129271975
79,"10501292719",293.14,"1",1050129271975
79,"10501292719",293.14,"1b",1050129271976
80,"10501292719",416.57,"1b",1050129271976
81,"10501292719",451.29,"1b",1050129271976
81,"10501292719",451.29,"1",1050151897877
0,"10501518978",2.43,"1",1050151897877
0,"10501518978",2.43,"1b",1050151897878
1,"10501518978",23.29,"1b",1050151897878
1,"10501518978",23.29,"3",1050151897879
2,"10501518978",49.71,"3",1050151897879
2,"10501518978",49.71,"4",1050151897880
3,"10501518978",51.43,"4",1050151897880
4,"10501518978",41.14,"4",1050151897880
4,"10501518978",41.14,"3",1050151897881
5,"10501518978",46.29,"3",1050151897881
5,"10501518978",46.29,"4",1050151897882
6,"10501518978",46.29,"4",1050151897882
7,"10501518978",33.43,"4",1050151897882
8,"10501518978",28.29,"4",1050151897882
9,"10501518978",27.0,"4",1050151897882
10,"10501518978",21.86,"4",1050151897882
11,"10501518978",30.86,"4",1050151897882
11,"10501518978",30.86,"3",1050151897883
12,"10501518978",33.43,"3",1050151897883
