"wk","tr","nc","stg","id"
0,"12831532991",0.0,"1",128315329911
1,"12831532991",0.0,"1",128315329911
2,"12831532991",0.0,"1",128315329911
3,"12831532991",0.0,"1",128315329911
4,"12831532991",0.0,"1",128315329911
5,"12831532991",0.0,"1",128315329911
6,"12831532991",0.0,"1",128315329911
7,"12831532991",0.0,"1",128315329911
8,"12831532991",0.0,"1",128315329911
9,"12831532991",0.0,"1",128315329911
10,"12831532991",0.0,"1",128315329911
11,"12831532991",0.0,"1",128315329911
12,"12831532991",0.29,"1",128315329911
13,"12831532991",1.43,"1",128315329911
13,"12831532991",1.43,"2",128315329912
14,"12831532991",0.86,"2",128315329912
15,"12831532991",0.71,"2",128315329912
15,"12831532991",0.71,"1b",128315329913
16,"12831532991",1.71,"1b",128315329913
16,"12831532991",1.71,"2",128315329914
17,"12831532991",2.14,"2",128315329914
18,"12831532991",0.71,"2",128315329914
18,"12831532991",0.71,"1b",128315329915
19,"12831532991",0.43,"1b",128315329915
20,"12831532991",0.29,"1b",128315329915
21,"12831532991",0.14,"1b",128315329915
22,"12831532991",0.0,"1b",128315329915
22,"12831532991",0.0,"1",128315329916
23,"12831532991",0.0,"1",128315329916
24,"12831532991",0.0,"1",128315329916
25,"12831532991",4.71,"1",128315329916
25,"12831532991",4.71,"1b",128315329917
26,"12831532991",4.57,"1b",128315329917
26,"12831532991",4.57,"2",128315329918
27,"12831532991",5.0,"2",128315329918
28,"12831532991",6.57,"2",128315329918
29,"12831532991",6.14,"2",128315329918
29,"12831532991",6.14,"1b",128315329919
30,"12831532991",7.29,"1b",128315329919
31,"12831532991",9.57,"1b",128315329919
31,"12831532991",9.57,"1",1283153299110
32,"12831532991",19.0,"1",1283153299110
33,"12831532991",44.29,"1",1283153299110
34,"12831532991",97.14,"1",1283153299110
34,"12831532991",97.14,"2",1283153299111
35,"12831532991",68.57,"2",1283153299111
35,"12831532991",68.57,"4",1283153299112
36,"12831532991",66.29,"4",1283153299112
37,"12831532991",54.86,"4",1283153299112
38,"12831532991",27.43,"4",1283153299112
38,"12831532991",27.43,"3",1283153299113
39,"12831532991",10.86,"3",1283153299113
40,"12831532991",2.14,"3",1283153299113
40,"12831532991",2.14,"2",1283153299114
41,"12831532991",1.29,"2",1283153299114
42,"12831532991",1.0,"2",1283153299114
42,"12831532991",1.0,"1b",1283153299115
43,"12831532991",1.0,"1b",1283153299115
44,"12831532991",1.43,"1b",1283153299115
44,"12831532991",1.43,"1",1283153299116
45,"12831532991",2.71,"1",1283153299116
46,"12831532991",4.71,"1",1283153299116
47,"12831532991",11.57,"1",1283153299116
48,"12831532991",31.0,"1",1283153299116
49,"12831532991",57.14,"1",1283153299116
50,"12831532991",105.14,"1",1283153299116
50,"12831532991",105.14,"1b",1283153299117
51,"12831532991",155.43,"1b",1283153299117
51,"12831532991",155.43,"2",1283153299118
52,"12831532991",226.29,"2",1283153299118
52,"12831532991",226.29,"3",1283153299119
53,"12831532991",194.29,"3",1283153299119
53,"12831532991",194.29,"4",1283153299120
54,"12831532991",96.0,"4",1283153299120
55,"12831532991",52.57,"4",1283153299120
56,"12831532991",34.29,"4",1283153299120
57,"12831532991",10.29,"4",1283153299120
58,"12831532991",10.29,"4",1283153299120
58,"12831532991",10.29,"3",1283153299121
59,"12831532991",5.71,"3",1283153299121
60,"12831532991",4.0,"3",1283153299121
60,"12831532991",4.0,"2",1283153299122
61,"12831532991",6.0,"2",1283153299122
62,"12831532991",8.86,"2",1283153299122
62,"12831532991",8.86,"1b",1283153299123
63,"12831532991",15.43,"1b",1283153299123
64,"12831532991",21.71,"1b",1283153299123
64,"12831532991",21.71,"1",1283153299124
65,"12831532991",21.71,"1",1283153299124
66,"12831532991",59.43,"1",1283153299124
67,"12831532991",159.43,"1",1283153299124
67,"12831532991",159.43,"1b",1283153299125
68,"12831532991",217.14,"1b",1283153299125
68,"12831532991",217.14,"2",1283153299126
69,"12831532991",363.43,"2",1283153299126
69,"12831532991",363.43,"4",1283153299127
70,"12831532991",182.86,"4",1283153299127
71,"12831532991",82.29,"4",1283153299127
72,"12831532991",16.0,"4",1283153299127
73,"12831532991",7.43,"4",1283153299127
73,"12831532991",7.43,"3",1283153299128
74,"12831532991",5.43,"3",1283153299128
75,"12831532991",3.43,"3",1283153299128
75,"12831532991",3.43,"2",1283153299129
76,"12831532991",2.43,"2",1283153299129
77,"12831532991",3.29,"2",1283153299129
77,"12831532991",3.29,"1b",1283153299130
78,"12831532991",3.14,"1b",1283153299130
79,"12831532991",3.57,"1b",1283153299130
79,"12831532991",3.57,"1",1283153299131
80,"12831532991",2.86,"1",1283153299131
81,"12831532991",5.57,"1",1283153299131
81,"12831532991",5.57,"1",1283156215331
0,"12831562153",0.0,"1",1283156215331
1,"12831562153",0.0,"1",1283156215331
2,"12831562153",0.0,"1",1283156215331
3,"12831562153",0.0,"1",1283156215331
4,"12831562153",1.14,"1",1283156215331
4,"12831562153",1.14,"1b",1283156215332
5,"12831562153",6.71,"1b",1283156215332
5,"12831562153",6.71,"2",1283156215333
6,"12831562153",9.43,"2",1283156215333
6,"12831562153",9.43,"3",1283156215334
7,"12831562153",8.0,"3",1283156215334
8,"12831562153",11.0,"3",1283156215334
8,"12831562153",11.0,"2",1283156215335
9,"12831562153",15.57,"2",1283156215335
9,"12831562153",15.57,"3",1283156215336
10,"12831562153",12.57,"3",1283156215336
11,"12831562153",11.43,"3",1283156215336
11,"12831562153",11.43,"2",1283156215337
12,"12831562153",19.43,"2",1283156215337
12,"12831562153",19.43,"3",1283156215338
13,"12831562153",26.29,"3",1283156215338
14,"12831562153",29.71,"3",1283156215338
15,"12831562153",29.14,"3",1283156215338
16,"12831562153",26.86,"3",1283156215338
17,"12831562153",25.71,"3",1283156215338
17,"12831562153",25.71,"4",1283156215339
18,"12831562153",13.14,"4",1283156215339
19,"12831562153",7.43,"4",1283156215339
19,"12831562153",7.43,"3",1283156215340
20,"12831562153",2.86,"3",1283156215340
21,"12831562153",2.43,"3",1283156215340
21,"12831562153",2.43,"2",1283156215341
22,"12831562153",1.0,"2",1283156215341
23,"12831562153",0.86,"2",1283156215341
23,"12831562153",0.86,"1b",1283156215342
24,"12831562153",0.43,"1b",1283156215342
25,"12831562153",0.43,"1b",1283156215342
26,"12831562153",0.14,"1b",1283156215342
26,"12831562153",0.14,"1",1283156215343
27,"12831562153",0.57,"1",1283156215343
27,"12831562153",0.57,"2",1283156215344
28,"12831562153",0.71,"2",1283156215344
29,"12831562153",0.14,"2",1283156215344
29,"12831562153",0.14,"1b",1283156215345
30,"12831562153",0.0,"1b",1283156215345
31,"12831562153",0.0,"1b",1283156215345
31,"12831562153",0.0,"1",1283156215346
32,"12831562153",0.29,"1",1283156215346
33,"12831562153",1.86,"1",1283156215346
34,"12831562153",4.14,"1",1283156215346
35,"12831562153",8.43,"1",1283156215346
36,"12831562153",11.86,"1",1283156215346
37,"12831562153",22.0,"1",1283156215346
38,"12831562153",42.29,"1",1283156215346
39,"12831562153",72.57,"1",1283156215346
39,"12831562153",72.57,"1b",1283156215347
40,"12831562153",114.29,"1b",1283156215347
41,"12831562153",116.57,"1b",1283156215347
41,"12831562153",116.57,"2",1283156215348
42,"12831562153",98.29,"2",1283156215348
42,"12831562153",98.29,"3",1283156215349
43,"12831562153",75.43,"3",1283156215349
43,"12831562153",75.43,"4",1283156215350
44,"12831562153",38.86,"4",1283156215350
45,"12831562153",26.86,"4",1283156215350
46,"12831562153",8.57,"4",1283156215350
46,"12831562153",8.57,"3",1283156215351
47,"12831562153",3.86,"3",1283156215351
48,"12831562153",1.43,"3",1283156215351
48,"12831562153",1.43,"2",1283156215352
49,"12831562153",0.86,"2",1283156215352
50,"12831562153",0.43,"2",1283156215352
50,"12831562153",0.43,"1b",1283156215353
51,"12831562153",1.0,"1b",1283156215353
52,"12831562153",1.0,"1b",1283156215353
52,"12831562153",1.0,"1",1283156215354
53,"12831562153",0.43,"1",1283156215354
54,"12831562153",1.43,"1",1283156215354
55,"12831562153",2.14,"1",1283156215354
56,"12831562153",4.57,"1",1283156215354
57,"12831562153",10.71,"1",1283156215354
58,"12831562153",16.43,"1",1283156215354
59,"12831562153",21.86,"1",1283156215354
60,"12831562153",29.71,"1",1283156215354
61,"12831562153",42.29,"1",1283156215354
62,"12831562153",66.29,"1",1283156215354
62,"12831562153",66.29,"1b",1283156215355
63,"12831562153",34.29,"1b",1283156215355
63,"12831562153",34.29,"3",1283156215356
64,"12831562153",29.71,"3",1283156215356
65,"12831562153",18.29,"3",1283156215356
65,"12831562153",18.29,"2",1283156215357
66,"12831562153",9.71,"2",1283156215357
67,"12831562153",12.0,"2",1283156215357
67,"12831562153",12.0,"1b",1283156215358
68,"12831562153",9.71,"1b",1283156215358
69,"12831562153",17.71,"1b",1283156215358
69,"12831562153",17.71,"1",1283156215359
70,"12831562153",36.0,"1",1283156215359
71,"12831562153",47.43,"1",1283156215359
72,"12831562153",84.57,"1",1283156215359
72,"12831562153",84.57,"1b",1283156215360
73,"12831562153",93.71,"1b",1283156215360
73,"12831562153",93.71,"3",1283156215361
74,"12831562153",80.0,"3",1283156215361
74,"12831562153",80.0,"4",1283156215362
75,"12831562153",36.57,"4",1283156215362
76,"12831562153",19.43,"4",1283156215362
77,"12831562153",12.57,"4",1283156215362
77,"12831562153",12.57,"3",1283156215363
78,"12831562153",9.14,"3",1283156215363
79,"12831562153",3.57,"3",1283156215363
