"wk","tr","nc","stg","id"
0,"12231231948",0.14,"2",122312319481
1,"12231231948",4.86,"2",122312319481
2,"12231231948",18.0,"2",122312319481
2,"12231231948",18.0,"3",122312319482
3,"12231231948",23.57,"3",122312319482
4,"12231231948",75.43,"3",122312319482
4,"12231231948",75.43,"4",122312319483
5,"12231231948",96.43,"4",122312319483
6,"12231231948",96.43,"4",122312319483
7,"12231231948",57.86,"4",122312319483
8,"12231231948",69.43,"4",122312319483
8,"12231231948",69.43,"3",122312319484
9,"12231231948",57.86,"3",122312319484
9,"12231231948",57.86,"4",122312319485
10,"12231231948",123.43,"4",122312319485
11,"12231231948",81.0,"4",122312319485
12,"12231231948",57.86,"4",122312319485
13,"12231231948",88.71,"4",122312319485
14,"12231231948",65.57,"4",122312319485
15,"12231231948",38.57,"4",122312319485
16,"12231231948",38.57,"4",122312319485
17,"12231231948",50.14,"4",122312319485
18,"12231231948",41.14,"4",122312319485
19,"12231231948",19.29,"4",122312319485
19,"12231231948",19.29,"3",122312319486
20,"12231231948",10.29,"3",122312319486
21,"12231231948",21.43,"3",122312319486
22,"12231231948",35.57,"3",122312319486
22,"12231231948",35.57,"4",122312319487
23,"12231231948",30.86,"4",122312319487
24,"12231231948",16.71,"4",122312319487
24,"12231231948",16.71,"3",122312319488
25,"12231231948",6.43,"3",122312319488
26,"12231231948",12.86,"3",122312319488
26,"12231231948",12.86,"2",122312319489
27,"12231231948",13.29,"2",122312319489
28,"12231231948",15.86,"2",122312319489
29,"12231231948",24.86,"2",122312319489
30,"12231231948",56.14,"2",122312319489
31,"12231231948",82.29,"2",122312319489
32,"12231231948",123.43,"2",122312319489
33,"12231231948",300.86,"2",122312319489
34,"12231231948",520.71,"2",122312319489
35,"12231231948",740.57,"2",122312319489
36,"12231231948",1944.0,"2",122312319489
37,"12231231948",3714.43,"2",122312319489
37,"12231231948",3714.43,"3",1223123194810
38,"12231231948",5415.43,"3",1223123194810
38,"12231231948",5415.43,"4",1223123194811
39,"12231231948",4582.29,"4",1223123194811
40,"12231231948",6248.57,"4",1223123194811
41,"12231231948",3436.71,"4",1223123194811
41,"12231231948",3436.71,"3",1223123194812
42,"12231231948",2395.29,"3",1223123194812
42,"12231231948",2395.29,"4",1223123194813
43,"12231231948",3228.43,"4",1223123194813
44,"12231231948",1145.57,"4",1223123194813
44,"12231231948",1145.57,"3",1223123194814
45,"12231231948",1562.14,"3",1223123194814
46,"12231231948",2082.86,"3",1223123194814
46,"12231231948",2082.86,"4",1223123194815
47,"12231231948",1874.57,"4",1223123194815
48,"12231231948",1458.0,"4",1223123194815
48,"12231231948",1458.0,"3",1223123194816
49,"12231231948",1770.43,"3",1223123194816
50,"12231231948",2499.43,"3",1223123194816
50,"12231231948",2499.43,"2",1223123194817
51,"12231231948",2499.43,"2",1223123194817
51,"12231231948",2499.43,"3",1223123194818
52,"12231231948",2291.14,"3",1223123194818
52,"12231231948",2291.14,"4",1223123194819
53,"12231231948",1666.29,"4",1223123194819
54,"12231231948",1562.14,"4",1223123194819
54,"12231231948",1562.14,"3",1223123194820
55,"12231231948",937.29,"3",1223123194820
55,"12231231948",937.29,"4",1223123194821
56,"12231231948",972.0,"4",1223123194821
57,"12231231948",659.57,"4",1223123194821
57,"12231231948",659.57,"3",1223123194822
58,"12231231948",763.71,"3",1223123194822
59,"12231231948",729.0,"3",1223123194822
59,"12231231948",729.0,"2",1223123194823
60,"12231231948",1909.29,"2",1223123194823
60,"12231231948",1909.29,"3",1223123194824
61,"12231231948",2152.29,"3",1223123194824
61,"12231231948",2152.29,"4",1223123194825
62,"12231231948",2395.29,"4",1223123194825
63,"12231231948",1353.86,"4",1223123194825
63,"12231231948",1353.86,"3",1223123194826
64,"12231231948",729.0,"3",1223123194826
64,"12231231948",729.0,"4",1223123194827
65,"12231231948",1145.57,"4",1223123194827
66,"12231231948",590.14,"4",1223123194827
66,"12231231948",590.14,"3",1223123194828
67,"12231231948",277.71,"3",1223123194828
68,"12231231948",439.71,"3",1223123194828
68,"12231231948",439.71,"2",1223123194829
69,"12231231948",428.14,"2",1223123194829
70,"12231231948",624.86,"2",1223123194829
71,"12231231948",821.57,"2",1223123194829
72,"12231231948",1145.57,"2",1223123194829
73,"12231231948",1805.14,"2",1223123194829
73,"12231231948",1805.14,"3",1223123194830
74,"12231231948",2187.0,"3",1223123194830
74,"12231231948",2187.0,"4",1223123194831
75,"12231231948",2395.29,"4",1223123194831
76,"12231231948",1874.57,"4",1223123194831
76,"12231231948",1874.57,"3",1223123194832
77,"12231231948",2603.57,"3",1223123194832
77,"12231231948",2603.57,"4",1223123194833
78,"12231231948",1770.43,"4",1223123194833
79,"12231231948",1145.57,"4",1223123194833
79,"12231231948",1145.57,"3",1223123194834
80,"12231231948",1874.57,"3",1223123194834
80,"12231231948",1874.57,"4",1223123194835
81,"12231231948",937.29,"4",1223123194835
81,"12231231948",937.29,"2",1223129271936
0,"12231292719",0.86,"2",1223129271936
1,"12231292719",8.86,"2",1223129271936
1,"12231292719",8.86,"3",1223129271937
2,"12231292719",30.57,"3",1223129271937
3,"12231292719",48.43,"3",1223129271937
3,"12231292719",48.43,"4",1223129271938
4,"12231292719",48.86,"4",1223129271938
5,"12231292719",24.43,"4",1223129271938
5,"12231292719",24.43,"3",1223129271939
6,"12231292719",48.86,"3",1223129271939
6,"12231292719",48.86,"4",1223129271940
7,"12231292719",48.86,"4",1223129271940
8,"12231292719",27.0,"4",1223129271940
9,"12231292719",24.43,"4",1223129271940
9,"12231292719",24.43,"3",1223129271941
10,"12231292719",28.29,"3",1223129271941
11,"12231292719",36.0,"3",1223129271941
11,"12231292719",36.0,"4",1223129271942
12,"12231292719",32.14,"4",1223129271942
13,"12231292719",24.43,"4",1223129271942
14,"12231292719",19.29,"4",1223129271942
