"wk","tr","nc","stg","id"
0,"2992014539",0.0,"1",29920145391
1,"2992014539",0.0,"1",29920145391
2,"2992014539",0.0,"1",29920145391
3,"2992014539",0.0,"1",29920145391
4,"2992014539",0.0,"1",29920145391
5,"2992014539",0.0,"1",29920145391
6,"2992014539",0.0,"1",29920145391
7,"2992014539",0.14,"1",29920145391
8,"2992014539",0.57,"1",29920145391
9,"2992014539",0.14,"1",29920145391
9,"2992014539",0.14,"1b",29920145392
10,"2992014539",0.43,"1b",29920145392
10,"2992014539",0.43,"2",29920145393
11,"2992014539",0.57,"2",29920145393
11,"2992014539",0.57,"1b",29920145394
12,"2992014539",2.29,"1b",29920145394
13,"2992014539",3.86,"1b",29920145394
13,"2992014539",3.86,"2",29920145395
14,"2992014539",3.0,"2",29920145395
14,"2992014539",3.0,"3",29920145396
15,"2992014539",1.0,"3",29920145396
16,"2992014539",0.86,"3",29920145396
16,"2992014539",0.86,"2",29920145397
17,"2992014539",0.57,"2",29920145397
18,"2992014539",1.0,"2",29920145397
18,"2992014539",1.0,"1b",29920145398
19,"2992014539",1.29,"1b",29920145398
20,"2992014539",0.43,"1b",29920145398
20,"2992014539",0.43,"1",29920145399
21,"2992014539",0.0,"1",29920145399
22,"2992014539",0.14,"1",29920145399
23,"2992014539",0.0,"1",29920145399
24,"2992014539",0.29,"1",29920145399
25,"2992014539",0.29,"1",29920145399
26,"2992014539",1.71,"1",29920145399
27,"2992014539",2.29,"1",29920145399
28,"2992014539",3.29,"1",29920145399
29,"2992014539",1.86,"1",29920145399
30,"2992014539",2.29,"1",29920145399
31,"2992014539",3.0,"1",29920145399
32,"2992014539",4.57,"1",29920145399
33,"2992014539",6.14,"1",29920145399
34,"2992014539",11.14,"1",29920145399
35,"2992014539",17.71,"1",29920145399
36,"2992014539",9.71,"1",29920145399
37,"2992014539",10.29,"1",29920145399
38,"2992014539",17.71,"1",29920145399
39,"2992014539",21.14,"1",29920145399
40,"2992014539",37.71,"1",29920145399
41,"2992014539",53.14,"1",29920145399
42,"2992014539",42.86,"1",29920145399
43,"2992014539",60.0,"1",29920145399
44,"2992014539",32.0,"1",29920145399
45,"2992014539",64.0,"1",29920145399
46,"2992014539",112.0,"1",29920145399
47,"2992014539",105.14,"1",29920145399
48,"2992014539",91.43,"1",29920145399
49,"2992014539",132.57,"1",29920145399
50,"2992014539",242.29,"1",29920145399
51,"2992014539",349.71,"1",29920145399
51,"2992014539",349.71,"1b",299201453910
52,"2992014539",429.71,"1b",299201453910
52,"2992014539",429.71,"2",299201453911
53,"2992014539",621.71,"2",299201453911
53,"2992014539",621.71,"3",299201453912
54,"2992014539",493.71,"3",299201453912
54,"2992014539",493.71,"4",299201453913
55,"2992014539",192.0,"4",299201453913
56,"2992014539",164.57,"4",299201453913
56,"2992014539",164.57,"3",299201453914
57,"2992014539",75.43,"3",299201453914
57,"2992014539",75.43,"4",299201453915
58,"2992014539",43.43,"4",299201453915
59,"2992014539",17.71,"4",299201453915
59,"2992014539",17.71,"3",299201453916
60,"2992014539",19.43,"3",299201453916
61,"2992014539",6.86,"3",299201453916
61,"2992014539",6.86,"2",299201453917
62,"2992014539",4.57,"2",299201453917
63,"2992014539",2.57,"2",299201453917
63,"2992014539",2.57,"1b",299201453918
64,"2992014539",2.86,"1b",299201453918
65,"2992014539",3.29,"1b",299201453918
65,"2992014539",3.29,"1",299201453919
66,"2992014539",5.29,"1",299201453919
67,"2992014539",10.57,"1",299201453919
68,"2992014539",13.43,"1",299201453919
69,"2992014539",11.43,"1",299201453919
70,"2992014539",12.0,"1",299201453919
71,"2992014539",18.86,"1",299201453919
72,"2992014539",10.86,"1",299201453919
73,"2992014539",16.0,"1",299201453919
74,"2992014539",21.71,"1",299201453919
75,"2992014539",22.86,"1",299201453919
76,"2992014539",35.43,"1",299201453919
77,"2992014539",46.86,"1",299201453919
78,"2992014539",76.0,"1",299201453919
79,"2992014539",52.57,"1",299201453919
80,"2992014539",61.71,"1",299201453919
81,"2992014539",114.29,"1",299201453919
81,"2992014539",114.29,"1",299275444219
0,"2992754442",0.0,"1",299275444219
1,"2992754442",0.0,"1",299275444219
2,"2992754442",0.0,"1",299275444219
3,"2992754442",0.0,"1",299275444219
4,"2992754442",0.0,"1",299275444219
5,"2992754442",0.0,"1",299275444219
6,"2992754442",0.0,"1",299275444219
7,"2992754442",0.0,"1",299275444219
8,"2992754442",0.0,"1",299275444219
9,"2992754442",0.0,"1",299275444219
10,"2992754442",0.0,"1",299275444219
11,"2992754442",0.0,"1",299275444219
12,"2992754442",0.0,"1",299275444219
13,"2992754442",0.0,"1",299275444219
14,"2992754442",0.0,"1",299275444219
15,"2992754442",0.0,"1",299275444219
16,"2992754442",0.0,"1",299275444219
17,"2992754442",0.0,"1",299275444219
