"wk","tr","nc","stg","id"
0,"16031532991",0.0,"1",160315329911
1,"16031532991",0.0,"1",160315329911
2,"16031532991",0.0,"1",160315329911
3,"16031532991",0.0,"1",160315329911
4,"16031532991",0.0,"1",160315329911
5,"16031532991",0.0,"1",160315329911
6,"16031532991",0.0,"1",160315329911
7,"16031532991",0.29,"1",160315329911
8,"16031532991",1.43,"1",160315329911
9,"16031532991",2.29,"1",160315329911
9,"16031532991",2.29,"1b",160315329912
10,"16031532991",3.0,"1b",160315329912
10,"16031532991",3.0,"2",160315329913
11,"16031532991",2.43,"2",160315329913
11,"16031532991",2.43,"1b",160315329914
12,"16031532991",7.0,"1b",160315329914
13,"16031532991",10.14,"1b",160315329914
13,"16031532991",10.14,"2",160315329915
14,"16031532991",8.57,"2",160315329915
14,"16031532991",8.57,"3",160315329916
15,"16031532991",6.57,"3",160315329916
16,"16031532991",7.29,"3",160315329916
16,"16031532991",7.29,"2",160315329917
17,"16031532991",7.0,"2",160315329917
18,"16031532991",5.14,"2",160315329917
18,"16031532991",5.14,"1b",160315329918
19,"16031532991",3.71,"1b",160315329918
20,"16031532991",2.71,"1b",160315329918
20,"16031532991",2.71,"1",160315329919
21,"16031532991",3.57,"1",160315329919
22,"16031532991",3.71,"1",160315329919
23,"16031532991",3.29,"1",160315329919
24,"16031532991",2.0,"1",160315329919
25,"16031532991",2.43,"1",160315329919
26,"16031532991",0.86,"1",160315329919
27,"16031532991",0.57,"1",160315329919
28,"16031532991",0.71,"1",160315329919
29,"16031532991",0.57,"1",160315329919
30,"16031532991",1.71,"1",160315329919
31,"16031532991",13.14,"1",160315329919
32,"16031532991",26.29,"1",160315329919
33,"16031532991",25.14,"1",160315329919
34,"16031532991",36.0,"1",160315329919
35,"16031532991",55.43,"1",160315329919
36,"16031532991",62.29,"1",160315329919
37,"16031532991",137.14,"1",160315329919
38,"16031532991",196.57,"1",160315329919
39,"16031532991",381.71,"1",160315329919
39,"16031532991",381.71,"1b",1603153299110
40,"16031532991",475.43,"1b",1603153299110
41,"16031532991",594.29,"1b",1603153299110
42,"16031532991",539.43,"1b",1603153299110
42,"16031532991",539.43,"2",1603153299111
43,"16031532991",612.57,"2",1603153299111
43,"16031532991",612.57,"3",1603153299112
44,"16031532991",448.0,"3",1603153299112
44,"16031532991",448.0,"4",1603153299113
45,"16031532991",438.86,"4",1603153299113
46,"16031532991",192.0,"4",1603153299113
47,"16031532991",146.29,"4",1603153299113
47,"16031532991",146.29,"3",1603153299114
48,"16031532991",86.86,"3",1603153299114
48,"16031532991",86.86,"4",1603153299115
49,"16031532991",25.14,"4",1603153299115
50,"16031532991",13.14,"4",1603153299115
50,"16031532991",13.14,"3",1603153299116
51,"16031532991",10.86,"3",1603153299116
52,"16031532991",12.0,"3",1603153299116
52,"16031532991",12.0,"2",1603153299117
53,"16031532991",21.71,"2",1603153299117
54,"16031532991",26.29,"2",1603153299117
54,"16031532991",26.29,"1b",1603153299118
55,"16031532991",37.14,"1b",1603153299118
56,"16031532991",45.71,"1b",1603153299118
56,"16031532991",45.71,"1",1603153299119
57,"16031532991",69.71,"1",1603153299119
58,"16031532991",52.57,"1",1603153299119
59,"16031532991",82.29,"1",1603153299119
60,"16031532991",189.71,"1",1603153299119
61,"16031532991",299.43,"1",1603153299119
61,"16031532991",299.43,"1b",1603153299120
62,"16031532991",329.14,"1b",1603153299120
63,"16031532991",384.0,"1b",1603153299120
64,"16031532991",484.57,"1b",1603153299120
64,"16031532991",484.57,"2",1603153299121
65,"16031532991",493.71,"2",1603153299121
66,"16031532991",521.14,"2",1603153299121
66,"16031532991",521.14,"3",1603153299122
67,"16031532991",274.29,"3",1603153299122
67,"16031532991",274.29,"4",1603153299123
68,"16031532991",109.71,"4",1603153299123
69,"16031532991",57.14,"4",1603153299123
70,"16031532991",36.57,"4",1603153299123
70,"16031532991",36.57,"3",1603153299124
71,"16031532991",18.29,"3",1603153299124
72,"16031532991",12.0,"3",1603153299124
72,"16031532991",12.0,"2",1603153299125
73,"16031532991",4.57,"2",1603153299125
74,"16031532991",7.0,"2",1603153299125
74,"16031532991",7.0,"1b",1603153299126
75,"16031532991",9.86,"1b",1603153299126
76,"16031532991",10.43,"1b",1603153299126
76,"16031532991",10.43,"1",1603153299127
77,"16031532991",29.14,"1",1603153299127
78,"16031532991",48.57,"1",1603153299127
79,"16031532991",61.14,"1",1603153299127
80,"16031532991",50.29,"1",1603153299127
81,"16031532991",54.86,"1",1603153299127
81,"16031532991",54.86,"1",1603156215327
0,"16031562153",0.0,"1",1603156215327
1,"16031562153",1.57,"1",1603156215327
1,"16031562153",1.57,"1b",1603156215328
2,"16031562153",1.29,"1b",1603156215328
2,"16031562153",1.29,"2",1603156215329
3,"16031562153",0.43,"2",1603156215329
4,"16031562153",0.29,"2",1603156215329
4,"16031562153",0.29,"1b",1603156215330
5,"16031562153",0.14,"1b",1603156215330
6,"16031562153",0.0,"1b",1603156215330
6,"16031562153",0.0,"1",1603156215331
7,"16031562153",0.0,"1",1603156215331
8,"16031562153",0.0,"1",1603156215331
9,"16031562153",0.0,"1",1603156215331
10,"16031562153",0.0,"1",1603156215331
11,"16031562153",0.0,"1",1603156215331
12,"16031562153",0.14,"1",1603156215331
13,"16031562153",0.0,"1",1603156215331
14,"16031562153",0.0,"1",1603156215331
15,"16031562153",0.0,"1",1603156215331
16,"16031562153",0.0,"1",1603156215331
17,"16031562153",0.0,"1",1603156215331
18,"16031562153",0.0,"1",1603156215331
19,"16031562153",0.14,"1",1603156215331
20,"16031562153",0.0,"1",1603156215331
21,"16031562153",0.0,"1",1603156215331
22,"16031562153",0.0,"1",1603156215331
23,"16031562153",0.0,"1",1603156215331
24,"16031562153",0.0,"1",1603156215331
25,"16031562153",0.43,"1",1603156215331
26,"16031562153",0.86,"1",1603156215331
27,"16031562153",0.71,"1",1603156215331
28,"16031562153",0.0,"1",1603156215331
29,"16031562153",0.0,"1",1603156215331
30,"16031562153",1.71,"1",1603156215331
31,"16031562153",8.14,"1",1603156215331
32,"16031562153",25.0,"1",1603156215331
33,"16031562153",24.57,"1",1603156215331
34,"16031562153",48.57,"1",1603156215331
35,"16031562153",75.43,"1",1603156215331
36,"16031562153",98.29,"1",1603156215331
37,"16031562153",89.14,"1",1603156215331
38,"16031562153",93.71,"1",1603156215331
39,"16031562153",134.86,"1",1603156215331
40,"16031562153",162.29,"1",1603156215331
41,"16031562153",230.86,"1",1603156215331
42,"16031562153",228.57,"1",1603156215331
42,"16031562153",228.57,"1b",1603156215332
43,"16031562153",146.29,"1b",1603156215332
44,"16031562153",237.71,"1b",1603156215332
44,"16031562153",237.71,"1",1603156215333
45,"16031562153",210.29,"1",1603156215333
46,"16031562153",310.86,"1",1603156215333
47,"16031562153",502.86,"1",1603156215333
48,"16031562153",649.14,"1",1603156215333
49,"16031562153",713.14,"1",1603156215333
50,"16031562153",786.29,"1",1603156215333
50,"16031562153",786.29,"2",1603156215334
51,"16031562153",740.57,"2",1603156215334
51,"16031562153",740.57,"3",1603156215335
52,"16031562153",512.0,"3",1603156215335
52,"16031562153",512.0,"4",1603156215336
53,"16031562153",338.29,"4",1603156215336
54,"16031562153",118.86,"4",1603156215336
55,"16031562153",43.43,"4",1603156215336
56,"16031562153",16.0,"4",1603156215336
56,"16031562153",16.0,"3",1603156215337
57,"16031562153",5.14,"3",1603156215337
58,"16031562153",4.71,"3",1603156215337
58,"16031562153",4.71,"2",1603156215338
59,"16031562153",2.71,"2",1603156215338
60,"16031562153",5.43,"2",1603156215338
60,"16031562153",5.43,"1b",1603156215339
61,"16031562153",7.86,"1b",1603156215339
62,"16031562153",9.71,"1b",1603156215339
62,"16031562153",9.71,"1",1603156215340
63,"16031562153",16.57,"1",1603156215340
64,"16031562153",21.71,"1",1603156215340
65,"16031562153",38.86,"1",1603156215340
66,"16031562153",35.43,"1",1603156215340
67,"16031562153",49.71,"1",1603156215340
68,"16031562153",52.0,"1",1603156215340
69,"16031562153",75.43,"1",1603156215340
70,"16031562153",112.0,"1",1603156215340
71,"16031562153",144.0,"1",1603156215340
72,"16031562153",116.57,"1",1603156215340
73,"16031562153",162.29,"1",1603156215340
74,"16031562153",192.0,"1",1603156215340
75,"16031562153",237.71,"1",1603156215340
75,"16031562153",237.71,"1b",1603156215341
76,"16031562153",329.14,"1b",1603156215341
77,"16031562153",164.57,"1b",1603156215341
78,"16031562153",89.14,"1b",1603156215341
78,"16031562153",89.14,"1",1603156215342
79,"16031562153",98.29,"1",1603156215342
79,"16031562153",98.29,"1b",1603156215343
80,"16031562153",89.14,"1b",1603156215343
81,"16031562153",84.57,"1b",1603156215343
81,"16031562153",84.57,"1",1603196029744
0,"16031960297",0.0,"1",1603196029744
1,"16031960297",0.0,"1",1603196029744
2,"16031960297",0.0,"1",1603196029744
3,"16031960297",0.0,"1",1603196029744
