"wk","tr","nc","stg","id"
0,"5951054940",0.0,"1",59510549401
1,"5951054940",0.0,"1",59510549401
2,"5951054940",0.0,"1",59510549401
3,"5951054940",0.0,"1",59510549401
4,"5951054940",0.14,"1",59510549401
5,"5951054940",0.0,"1",59510549401
6,"5951054940",0.14,"1",59510549401
7,"5951054940",0.29,"1",59510549401
7,"5951054940",0.29,"1b",59510549402
8,"5951054940",1.29,"1b",59510549402
8,"5951054940",1.29,"2",59510549403
9,"5951054940",2.0,"2",59510549403
10,"5951054940",0.57,"2",59510549403
10,"5951054940",0.57,"1b",59510549404
11,"5951054940",2.71,"1b",59510549404
11,"5951054940",2.71,"2",59510549405
12,"5951054940",2.71,"2",59510549405
13,"5951054940",2.29,"2",59510549405
14,"5951054940",0.57,"2",59510549405
14,"5951054940",0.57,"1b",59510549406
15,"5951054940",0.43,"1b",59510549406
16,"5951054940",0.0,"1b",59510549406
16,"5951054940",0.0,"1",59510549407
17,"5951054940",0.0,"1",59510549407
18,"5951054940",0.0,"1",59510549407
19,"5951054940",0.14,"1",59510549407
20,"5951054940",0.14,"1",59510549407
21,"5951054940",0.0,"1",59510549407
22,"5951054940",0.0,"1",59510549407
23,"5951054940",0.0,"1",59510549407
24,"5951054940",0.0,"1",59510549407
25,"5951054940",0.0,"1",59510549407
26,"5951054940",0.0,"1",59510549407
27,"5951054940",1.29,"1",59510549407
28,"5951054940",2.0,"1",59510549407
29,"5951054940",1.14,"1",59510549407
30,"5951054940",9.43,"1",59510549407
31,"5951054940",16.86,"1",59510549407
32,"5951054940",37.86,"1",59510549407
33,"5951054940",47.43,"1",59510549407
34,"5951054940",61.14,"1",59510549407
35,"5951054940",79.43,"1",59510549407
36,"5951054940",85.14,"1",59510549407
37,"5951054940",98.29,"1",59510549407
38,"5951054940",148.57,"1",59510549407
39,"5951054940",178.29,"1",59510549407
40,"5951054940",265.14,"1",59510549407
40,"5951054940",265.14,"1b",59510549408
41,"5951054940",356.57,"1b",59510549408
41,"5951054940",356.57,"2",59510549409
42,"5951054940",253.71,"2",59510549409
42,"5951054940",253.71,"4",595105494010
43,"5951054940",121.14,"4",595105494010
44,"5951054940",57.14,"4",595105494010
44,"5951054940",57.14,"3",595105494011
45,"5951054940",20.0,"3",595105494011
46,"5951054940",16.57,"3",595105494011
46,"5951054940",16.57,"2",595105494012
47,"5951054940",18.86,"2",595105494012
48,"5951054940",11.71,"2",595105494012
48,"5951054940",11.71,"1b",595105494013
49,"5951054940",13.43,"1b",595105494013
50,"5951054940",18.57,"1b",595105494013
50,"5951054940",18.57,"1",595105494014
51,"5951054940",19.86,"1",595105494014
52,"5951054940",20.57,"1",595105494014
53,"5951054940",26.29,"1",595105494014
54,"5951054940",49.14,"1",595105494014
55,"5951054940",58.29,"1",595105494014
56,"5951054940",93.14,"1",595105494014
57,"5951054940",107.43,"1",595105494014
58,"5951054940",192.0,"1",595105494014
59,"5951054940",178.29,"1",595105494014
60,"5951054940",292.57,"1",595105494014
60,"5951054940",292.57,"1b",595105494015
61,"5951054940",297.14,"1b",595105494015
61,"5951054940",297.14,"3",595105494016
62,"5951054940",155.43,"3",595105494016
62,"5951054940",155.43,"4",595105494017
63,"5951054940",82.29,"4",595105494017
64,"5951054940",40.57,"4",595105494017
64,"5951054940",40.57,"3",595105494018
65,"5951054940",32.0,"3",595105494018
66,"5951054940",22.29,"3",595105494018
66,"5951054940",22.29,"2",595105494019
67,"5951054940",18.29,"2",595105494019
68,"5951054940",34.86,"2",595105494019
68,"5951054940",34.86,"1b",595105494020
69,"5951054940",38.29,"1b",595105494020
70,"5951054940",34.86,"1b",595105494020
70,"5951054940",34.86,"1",595105494021
71,"5951054940",50.86,"1",595105494021
72,"5951054940",56.57,"1",595105494021
73,"5951054940",62.86,"1",595105494021
74,"5951054940",57.14,"1",595105494021
75,"5951054940",54.29,"1",595105494021
76,"5951054940",76.0,"1",595105494021
77,"5951054940",62.86,"1",595105494021
78,"5951054940",57.14,"1",595105494021
79,"5951054940",37.71,"1",595105494021
80,"5951054940",42.86,"1",595105494021
81,"5951054940",51.43,"1",595105494021
81,"5951054940",51.43,"1",595114830721
0,"5951148307",0.14,"1",595114830721
1,"5951148307",0.0,"1",595114830721
2,"5951148307",0.71,"1",595114830721
2,"5951148307",0.71,"1b",595114830722
3,"5951148307",3.57,"1b",595114830722
3,"5951148307",3.57,"2",595114830723
4,"5951148307",2.43,"2",595114830723
5,"5951148307",2.0,"2",595114830723
6,"5951148307",1.29,"2",595114830723
7,"5951148307",1.14,"2",595114830723
7,"5951148307",1.14,"1b",595114830724
8,"5951148307",1.0,"1b",595114830724
8,"5951148307",1.0,"2",595114830725
9,"5951148307",0.71,"2",595114830725
10,"5951148307",0.43,"2",595114830725
10,"5951148307",0.43,"1b",595114830726
11,"5951148307",0.14,"1b",595114830726
12,"5951148307",0.14,"1b",595114830726
13,"5951148307",0.86,"1b",595114830726
14,"5951148307",0.43,"1b",595114830726
14,"5951148307",0.43,"1",595114830727
15,"5951148307",0.29,"1",595114830727
16,"5951148307",0.29,"1",595114830727
17,"5951148307",0.0,"1",595114830727
18,"5951148307",0.29,"1",595114830727
19,"5951148307",0.43,"1",595114830727
20,"5951148307",0.29,"1",595114830727
21,"5951148307",0.86,"1",595114830727
22,"5951148307",0.29,"1",595114830727
23,"5951148307",1.43,"1",595114830727
24,"5951148307",2.0,"1",595114830727
25,"5951148307",2.43,"1",595114830727
26,"5951148307",2.57,"1",595114830727
27,"5951148307",2.0,"1",595114830727
28,"5951148307",1.29,"1",595114830727
29,"5951148307",0.43,"1",595114830727
30,"5951148307",8.43,"1",595114830727
31,"5951148307",17.57,"1",595114830727
32,"5951148307",24.43,"1",595114830727
33,"5951148307",32.57,"1",595114830727
34,"5951148307",50.86,"1",595114830727
35,"5951148307",61.71,"1",595114830727
36,"5951148307",88.0,"1",595114830727
37,"5951148307",121.14,"1",595114830727
38,"5951148307",194.29,"1",595114830727
39,"5951148307",338.29,"1",595114830727
39,"5951148307",338.29,"2",595114830728
