"wk","tr","nc","stg","id"
0,"13361555476",0.0,"2",133615554761
1,"13361555476",0.0,"2",133615554761
2,"13361555476",0.0,"2",133615554761
3,"13361555476",0.0,"2",133615554761
4,"13361555476",0.0,"2",133615554761
5,"13361555476",0.43,"2",133615554761
6,"13361555476",0.71,"2",133615554761
7,"13361555476",0.14,"2",133615554761
8,"13361555476",0.57,"2",133615554761
9,"13361555476",0.14,"2",133615554761
10,"13361555476",0.0,"2",133615554761
11,"13361555476",0.14,"2",133615554761
12,"13361555476",0.14,"2",133615554761
13,"13361555476",0.0,"2",133615554761
14,"13361555476",0.29,"2",133615554761
15,"13361555476",0.0,"2",133615554761
16,"13361555476",0.0,"2",133615554761
17,"13361555476",0.0,"2",133615554761
18,"13361555476",0.0,"2",133615554761
19,"13361555476",0.0,"2",133615554761
20,"13361555476",0.0,"2",133615554761
21,"13361555476",0.0,"2",133615554761
22,"13361555476",0.29,"2",133615554761
23,"13361555476",0.0,"2",133615554761
24,"13361555476",0.0,"2",133615554761
25,"13361555476",0.0,"2",133615554761
26,"13361555476",0.0,"2",133615554761
27,"13361555476",0.0,"2",133615554761
28,"13361555476",0.0,"2",133615554761
29,"13361555476",0.0,"2",133615554761
30,"13361555476",0.29,"2",133615554761
31,"13361555476",4.43,"2",133615554761
32,"13361555476",16.14,"2",133615554761
33,"13361555476",15.0,"2",133615554761
34,"13361555476",29.57,"2",133615554761
35,"13361555476",39.86,"2",133615554761
36,"13361555476",41.14,"2",133615554761
36,"13361555476",41.14,"3",133615554762
37,"13361555476",21.86,"3",133615554762
37,"13361555476",21.86,"4",133615554763
38,"13361555476",9.0,"4",133615554763
39,"13361555476",23.14,"4",133615554763
39,"13361555476",23.14,"3",133615554764
40,"13361555476",28.29,"3",133615554764
40,"13361555476",28.29,"4",133615554765
41,"13361555476",16.71,"4",133615554765
42,"13361555476",6.43,"4",133615554765
42,"13361555476",6.43,"3",133615554766
43,"13361555476",6.0,"3",133615554766
44,"13361555476",7.71,"3",133615554766
44,"13361555476",7.71,"2",133615554767
45,"13361555476",9.86,"2",133615554767
46,"13361555476",18.43,"2",133615554767
47,"13361555476",14.57,"2",133615554767
48,"13361555476",20.57,"2",133615554767
49,"13361555476",18.0,"2",133615554767
50,"13361555476",9.0,"2",133615554767
51,"13361555476",23.14,"2",133615554767
52,"13361555476",15.43,"2",133615554767
53,"13361555476",19.29,"2",133615554767
54,"13361555476",15.43,"2",133615554767
55,"13361555476",19.29,"2",133615554767
56,"13361555476",28.29,"2",133615554767
57,"13361555476",48.86,"2",133615554767
57,"13361555476",48.86,"3",133615554768
58,"13361555476",38.57,"3",133615554768
58,"13361555476",38.57,"4",133615554769
59,"13361555476",24.43,"4",133615554769
60,"13361555476",16.71,"4",133615554769
61,"13361555476",7.71,"4",133615554769
61,"13361555476",7.71,"3",1336155547610
62,"13361555476",11.57,"3",1336155547610
63,"13361555476",11.57,"3",1336155547610
64,"13361555476",13.29,"3",1336155547610
64,"13361555476",13.29,"2",1336155547611
65,"13361555476",12.0,"2",1336155547611
66,"13361555476",14.14,"2",1336155547611
67,"13361555476",16.71,"2",1336155547611
68,"13361555476",16.29,"2",1336155547611
69,"13361555476",16.71,"2",1336155547611
70,"13361555476",11.57,"2",1336155547611
71,"13361555476",16.71,"2",1336155547611
72,"13361555476",15.43,"2",1336155547611
73,"13361555476",15.43,"2",1336155547611
74,"13361555476",21.86,"2",1336155547611
75,"13361555476",20.57,"2",1336155547611
76,"13361555476",28.29,"2",1336155547611
77,"13361555476",34.71,"2",1336155547611
77,"13361555476",34.71,"3",1336155547612
78,"13361555476",27.0,"3",1336155547612
78,"13361555476",27.0,"4",1336155547613
79,"13361555476",6.43,"4",1336155547613
80,"13361555476",11.57,"4",1336155547613
80,"13361555476",11.57,"3",1336155547614
81,"13361555476",10.29,"3",1336155547614
81,"13361555476",10.29,"2",1336195841815
0,"13361958418",0.0,"2",1336195841815
1,"13361958418",0.0,"2",1336195841815
2,"13361958418",0.0,"2",1336195841815
3,"13361958418",0.0,"2",1336195841815
4,"13361958418",0.0,"2",1336195841815
5,"13361958418",0.29,"2",1336195841815
6,"13361958418",0.43,"2",1336195841815
