"wk","tr","nc","stg","id"
0,"871054940",0.0,"1",8710549401
1,"871054940",0.0,"1",8710549401
2,"871054940",0.0,"1",8710549401
3,"871054940",0.0,"1",8710549401
4,"871054940",0.14,"1",8710549401
5,"871054940",0.14,"1",8710549401
5,"871054940",0.14,"1b",8710549402
6,"871054940",0.14,"1b",8710549402
7,"871054940",0.43,"1b",8710549402
8,"871054940",1.43,"1b",8710549402
9,"871054940",2.0,"1b",8710549402
9,"871054940",2.0,"2",8710549403
10,"871054940",0.71,"2",8710549403
11,"871054940",1.0,"2",8710549403
11,"871054940",1.0,"1b",8710549404
12,"871054940",1.71,"1b",8710549404
12,"871054940",1.71,"2",8710549405
13,"871054940",0.57,"2",8710549405
14,"871054940",0.14,"2",8710549405
14,"871054940",0.14,"1b",8710549406
15,"871054940",0.14,"1b",8710549406
16,"871054940",0.0,"1b",8710549406
16,"871054940",0.0,"1",8710549407
17,"871054940",0.0,"1",8710549407
18,"871054940",0.0,"1",8710549407
19,"871054940",0.14,"1",8710549407
20,"871054940",0.0,"1",8710549407
21,"871054940",0.0,"1",8710549407
22,"871054940",0.0,"1",8710549407
23,"871054940",0.0,"1",8710549407
24,"871054940",0.0,"1",8710549407
25,"871054940",0.0,"1",8710549407
26,"871054940",0.0,"1",8710549407
27,"871054940",0.29,"1",8710549407
28,"871054940",0.29,"1",8710549407
28,"871054940",0.29,"1b",8710549408
29,"871054940",0.0,"1b",8710549408
30,"871054940",6.43,"1b",8710549408
30,"871054940",6.43,"1",8710549409
31,"871054940",9.71,"1",8710549409
32,"871054940",13.14,"1",8710549409
33,"871054940",11.14,"1",8710549409
34,"871054940",15.0,"1",8710549409
35,"871054940",15.71,"1",8710549409
36,"871054940",13.14,"1",8710549409
37,"871054940",11.57,"1",8710549409
38,"871054940",12.0,"1",8710549409
39,"871054940",13.57,"1",8710549409
40,"871054940",16.0,"1",8710549409
41,"871054940",19.43,"1",8710549409
42,"871054940",17.86,"1",8710549409
43,"871054940",16.0,"1",8710549409
44,"871054940",14.57,"1",8710549409
45,"871054940",12.43,"1",8710549409
46,"871054940",15.0,"1",8710549409
47,"871054940",14.86,"1",8710549409
48,"871054940",16.57,"1",8710549409
49,"871054940",15.57,"1",8710549409
50,"871054940",15.29,"1",8710549409
51,"871054940",18.0,"1",8710549409
52,"871054940",15.57,"1",8710549409
53,"871054940",16.0,"1",8710549409
54,"871054940",18.43,"1",8710549409
55,"871054940",18.86,"1",8710549409
56,"871054940",19.29,"1",8710549409
57,"871054940",15.43,"1",8710549409
58,"871054940",13.57,"1",8710549409
59,"871054940",15.29,"1",8710549409
60,"871054940",16.29,"1",8710549409
61,"871054940",19.57,"1",8710549409
62,"871054940",15.29,"1",8710549409
63,"871054940",16.43,"1",8710549409
64,"871054940",13.86,"1",8710549409
65,"871054940",18.14,"1",8710549409
66,"871054940",18.29,"1",8710549409
67,"871054940",14.43,"1",8710549409
68,"871054940",17.29,"1",8710549409
69,"871054940",17.29,"1",8710549409
70,"871054940",16.86,"1",8710549409
71,"871054940",17.14,"1",8710549409
72,"871054940",17.86,"1",8710549409
73,"871054940",17.43,"1",8710549409
74,"871054940",17.0,"1",8710549409
75,"871054940",21.0,"1",8710549409
