"wk","tr","nc","stg","id"
0,"6631054940",0.0,"1",66310549401
1,"6631054940",0.0,"1",66310549401
2,"6631054940",0.0,"1",66310549401
3,"6631054940",0.0,"1",66310549401
4,"6631054940",0.14,"1",66310549401
5,"6631054940",0.71,"1",66310549401
5,"6631054940",0.71,"1b",66310549402
6,"6631054940",0.29,"1b",66310549402
7,"6631054940",0.57,"1b",66310549402
7,"6631054940",0.57,"1",66310549403
8,"6631054940",2.29,"1",66310549403
8,"6631054940",2.29,"1b",66310549404
9,"6631054940",6.14,"1b",66310549404
9,"6631054940",6.14,"3",66310549405
10,"6631054940",6.29,"3",66310549405
11,"6631054940",6.14,"3",66310549405
11,"6631054940",6.14,"2",66310549406
12,"6631054940",4.57,"2",66310549406
13,"6631054940",5.0,"2",66310549406
13,"6631054940",5.0,"3",66310549407
14,"6631054940",1.86,"3",66310549407
15,"6631054940",0.29,"3",66310549407
15,"6631054940",0.29,"2",66310549408
16,"6631054940",0.57,"2",66310549408
17,"6631054940",0.14,"2",66310549408
17,"6631054940",0.14,"1b",66310549409
18,"6631054940",0.0,"1b",66310549409
19,"6631054940",0.43,"1b",66310549409
19,"6631054940",0.43,"1",663105494010
20,"6631054940",0.86,"1",663105494010
21,"6631054940",0.43,"1",663105494010
22,"6631054940",0.0,"1",663105494010
23,"6631054940",0.29,"1",663105494010
24,"6631054940",0.29,"1",663105494010
25,"6631054940",0.71,"1",663105494010
26,"6631054940",0.0,"1",663105494010
27,"6631054940",0.71,"1",663105494010
28,"6631054940",1.0,"1",663105494010
29,"6631054940",1.14,"1",663105494010
30,"6631054940",1.86,"1",663105494010
31,"6631054940",1.71,"1",663105494010
32,"6631054940",0.43,"1",663105494010
33,"6631054940",1.0,"1",663105494010
34,"6631054940",3.14,"1",663105494010
35,"6631054940",8.14,"1",663105494010
36,"6631054940",14.0,"1",663105494010
37,"6631054940",16.71,"1",663105494010
38,"6631054940",15.14,"1",663105494010
39,"6631054940",12.0,"1",663105494010
40,"6631054940",9.57,"1",663105494010
41,"6631054940",7.86,"1",663105494010
42,"6631054940",7.71,"1",663105494010
43,"6631054940",7.29,"1",663105494010
44,"6631054940",4.86,"1",663105494010
45,"6631054940",7.57,"1",663105494010
46,"6631054940",10.14,"1",663105494010
47,"6631054940",14.0,"1",663105494010
48,"6631054940",12.71,"1",663105494010
49,"6631054940",11.71,"1",663105494010
50,"6631054940",8.14,"1",663105494010
51,"6631054940",9.29,"1",663105494010
52,"6631054940",5.71,"1",663105494010
53,"6631054940",4.71,"1",663105494010
54,"6631054940",8.0,"1",663105494010
55,"6631054940",11.29,"1",663105494010
56,"6631054940",11.43,"1",663105494010
57,"6631054940",9.0,"1",663105494010
58,"6631054940",6.57,"1",663105494010
59,"6631054940",10.57,"1",663105494010
60,"6631054940",10.14,"1",663105494010
61,"6631054940",8.14,"1",663105494010
62,"6631054940",6.71,"1",663105494010
63,"6631054940",4.71,"1",663105494010
64,"6631054940",2.14,"1",663105494010
65,"6631054940",2.14,"1",663105494010
66,"6631054940",2.0,"1",663105494010
67,"6631054940",3.71,"1",663105494010
68,"6631054940",4.43,"1",663105494010
69,"6631054940",1.86,"1",663105494010
70,"6631054940",1.43,"1",663105494010
71,"6631054940",1.29,"1",663105494010
72,"6631054940",1.71,"1",663105494010
73,"6631054940",1.29,"1",663105494010
74,"6631054940",0.29,"1",663105494010
75,"6631054940",0.57,"1",663105494010
76,"6631054940",0.14,"1",663105494010
77,"6631054940",0.29,"1",663105494010
78,"6631054940",1.71,"1",663105494010
79,"6631054940",2.29,"1",663105494010
80,"6631054940",7.86,"1",663105494010
81,"6631054940",7.43,"1",663105494010
81,"6631054940",7.43,"1",663114830710
0,"6631148307",0.14,"1",663114830710
1,"6631148307",0.14,"1",663114830710
1,"6631148307",0.14,"1b",663114830711
2,"6631148307",0.43,"1b",663114830711
3,"6631148307",0.0,"1b",663114830711
3,"6631148307",0.0,"1",663114830712
4,"6631148307",0.57,"1",663114830712
4,"6631148307",0.57,"1b",663114830713
5,"6631148307",1.71,"1b",663114830713
5,"6631148307",1.71,"2",663114830714
6,"6631148307",1.57,"2",663114830714
7,"6631148307",1.43,"2",663114830714
8,"6631148307",1.14,"2",663114830714
9,"6631148307",1.57,"2",663114830714
10,"6631148307",1.14,"2",663114830714
11,"6631148307",1.29,"2",663114830714
12,"6631148307",0.29,"2",663114830714
12,"6631148307",0.29,"1b",663114830715
13,"6631148307",0.57,"1b",663114830715
14,"6631148307",0.57,"1b",663114830715
14,"6631148307",0.57,"1",663114830716
15,"6631148307",0.0,"1",663114830716
16,"6631148307",0.0,"1",663114830716
17,"6631148307",0.0,"1",663114830716
18,"6631148307",0.14,"1",663114830716
19,"6631148307",0.43,"1",663114830716
20,"6631148307",0.14,"1",663114830716
21,"6631148307",0.14,"1",663114830716
22,"6631148307",0.43,"1",663114830716
23,"6631148307",0.71,"1",663114830716
24,"6631148307",2.29,"1",663114830716
25,"6631148307",1.71,"1",663114830716
26,"6631148307",1.57,"1",663114830716
27,"6631148307",1.14,"1",663114830716
28,"6631148307",0.29,"1",663114830716
29,"6631148307",0.29,"1",663114830716
30,"6631148307",0.57,"1",663114830716
31,"6631148307",1.14,"1",663114830716
32,"6631148307",1.0,"1",663114830716
33,"6631148307",0.71,"1",663114830716
34,"6631148307",1.0,"1",663114830716
35,"6631148307",1.29,"1",663114830716
36,"6631148307",0.86,"1",663114830716
37,"6631148307",0.43,"1",663114830716
38,"6631148307",0.86,"1",663114830716
39,"6631148307",1.57,"1",663114830716
40,"6631148307",6.29,"1",663114830716
41,"6631148307",10.14,"1",663114830716
42,"6631148307",10.29,"1",663114830716
43,"6631148307",12.57,"1",663114830716
44,"6631148307",10.57,"1",663114830716
45,"6631148307",15.43,"1",663114830716
46,"6631148307",21.71,"1",663114830716
47,"6631148307",22.43,"1",663114830716
48,"6631148307",30.29,"1",663114830716
49,"6631148307",37.71,"1",663114830716
50,"6631148307",39.43,"1",663114830716
51,"6631148307",78.29,"1",663114830716
52,"6631148307",108.57,"1",663114830716
53,"6631148307",283.43,"1",663114830716
53,"6631148307",283.43,"1b",663114830717
54,"6631148307",368.0,"1b",663114830717
54,"6631148307",368.0,"2",663114830718
55,"6631148307",283.43,"2",663114830718
55,"6631148307",283.43,"4",663114830719
56,"6631148307",73.14,"4",663114830719
57,"6631148307",20.0,"4",663114830719
57,"6631148307",20.0,"3",663114830720
58,"6631148307",7.43,"3",663114830720
59,"6631148307",3.71,"3",663114830720
59,"6631148307",3.71,"2",663114830721
60,"6631148307",2.57,"2",663114830721
61,"6631148307",1.57,"2",663114830721
61,"6631148307",1.57,"1b",663114830722
62,"6631148307",4.43,"1b",663114830722
63,"6631148307",3.71,"1b",663114830722
63,"6631148307",3.71,"1",663114830723
64,"6631148307",3.29,"1",663114830723
65,"6631148307",2.14,"1",663114830723
66,"6631148307",2.0,"1",663114830723
67,"6631148307",1.71,"1",663114830723
68,"6631148307",4.71,"1",663114830723
69,"6631148307",3.0,"1",663114830723
70,"6631148307",3.14,"1",663114830723
71,"6631148307",4.57,"1",663114830723
72,"6631148307",5.0,"1",663114830723
73,"6631148307",4.29,"1",663114830723
74,"6631148307",5.0,"1",663114830723
75,"6631148307",6.0,"1",663114830723
76,"6631148307",7.14,"1",663114830723
77,"6631148307",7.43,"1",663114830723
78,"6631148307",6.43,"1",663114830723
79,"6631148307",6.0,"1",663114830723
80,"6631148307",10.71,"1",663114830723
81,"6631148307",12.14,"1",663114830723
81,"6631148307",12.14,"1",663118490023
0,"6631184900",0.29,"1",663118490023
1,"6631184900",3.0,"1",663118490023
1,"6631184900",3.0,"2",663118490024
2,"6631184900",5.57,"2",663118490024
3,"6631184900",8.0,"2",663118490024
3,"6631184900",8.0,"3",663118490025
4,"6631184900",10.0,"3",663118490025
5,"6631184900",13.14,"3",663118490025
6,"6631184900",9.14,"3",663118490025
7,"6631184900",7.86,"3",663118490025
8,"6631184900",7.0,"3",663118490025
9,"6631184900",7.71,"3",663118490025
10,"6631184900",9.14,"3",663118490025
11,"6631184900",6.71,"3",663118490025
12,"6631184900",5.71,"3",663118490025
12,"6631184900",5.71,"2",663118490026
13,"6631184900",5.57,"2",663118490026
13,"6631184900",5.57,"3",663118490027
14,"6631184900",3.43,"3",663118490027
15,"6631184900",3.57,"3",663118490027
15,"6631184900",3.57,"2",663118490028
16,"6631184900",2.29,"2",663118490028
17,"6631184900",0.43,"2",663118490028
17,"6631184900",0.43,"1b",663118490029
18,"6631184900",0.29,"1b",663118490029
19,"6631184900",0.29,"1b",663118490029
19,"6631184900",0.29,"1",663118490030
20,"6631184900",0.14,"1",663118490030
21,"6631184900",0.43,"1",663118490030
22,"6631184900",1.0,"1",663118490030
23,"6631184900",6.86,"1",663118490030
24,"6631184900",5.86,"1",663118490030
25,"6631184900",14.57,"1",663118490030
26,"6631184900",20.71,"1",663118490030
27,"6631184900",14.86,"1",663118490030
28,"6631184900",29.71,"1",663118490030
29,"6631184900",78.86,"1",663118490030
29,"6631184900",78.86,"1b",663118490031
30,"6631184900",82.86,"1b",663118490031
31,"6631184900",36.57,"1b",663118490031
31,"6631184900",36.57,"1",663118490032
32,"6631184900",121.14,"1",663118490032
33,"6631184900",246.86,"1",663118490032
33,"6631184900",246.86,"1b",663118490033
34,"6631184900",301.71,"1b",663118490033
34,"6631184900",301.71,"2",663118490034
35,"6631184900",354.29,"2",663118490034
35,"6631184900",354.29,"3",663118490035
36,"6631184900",393.14,"3",663118490035
36,"6631184900",393.14,"4",663118490036
37,"6631184900",411.43,"4",663118490036
38,"6631184900",310.86,"4",663118490036
39,"6631184900",128.0,"4",663118490036
40,"6631184900",75.43,"4",663118490036
40,"6631184900",75.43,"3",663118490037
41,"6631184900",41.71,"3",663118490037
42,"6631184900",20.57,"3",663118490037
42,"6631184900",20.57,"2",663118490038
43,"6631184900",17.71,"2",663118490038
44,"6631184900",13.71,"2",663118490038
44,"6631184900",13.71,"1b",663118490039
45,"6631184900",5.71,"1b",663118490039
46,"6631184900",3.57,"1b",663118490039
46,"6631184900",3.57,"1",663118490040
47,"6631184900",2.0,"1",663118490040
48,"6631184900",2.71,"1",663118490040
49,"6631184900",1.86,"1",663118490040
50,"6631184900",3.0,"1",663118490040
51,"6631184900",4.86,"1",663118490040
52,"6631184900",7.0,"1",663118490040
53,"6631184900",8.14,"1",663118490040
54,"6631184900",10.0,"1",663118490040
55,"6631184900",7.14,"1",663118490040
56,"6631184900",6.43,"1",663118490040
57,"6631184900",12.86,"1",663118490040
58,"6631184900",20.14,"1",663118490040
59,"6631184900",21.57,"1",663118490040
60,"6631184900",25.71,"1",663118490040
61,"6631184900",44.0,"1",663118490040
62,"6631184900",61.14,"1",663118490040
63,"6631184900",88.57,"1",663118490040
64,"6631184900",150.86,"1",663118490040
65,"6631184900",182.86,"1",663118490040
66,"6631184900",297.14,"1",663118490040
66,"6631184900",297.14,"2",663118490041
67,"6631184900",285.71,"2",663118490041
67,"6631184900",285.71,"3",663118490042
68,"6631184900",310.86,"3",663118490042
68,"6631184900",310.86,"4",663118490043
69,"6631184900",192.0,"4",663118490043
70,"6631184900",64.0,"4",663118490043
70,"6631184900",64.0,"3",663118490044
