"wk","tr","nc","stg","id"
0,"12981252878",0.0,"1",129812528781
1,"12981252878",0.57,"1",129812528781
2,"12981252878",3.29,"1",129812528781
2,"12981252878",3.29,"2",129812528782
3,"12981252878",8.14,"2",129812528782
4,"12981252878",10.86,"2",129812528782
4,"12981252878",10.86,"3",129812528783
5,"12981252878",11.57,"3",129812528783
6,"12981252878",5.57,"3",129812528783
7,"12981252878",4.71,"3",129812528783
8,"12981252878",5.14,"3",129812528783
8,"12981252878",5.14,"2",129812528784
9,"12981252878",3.0,"2",129812528784
10,"12981252878",4.29,"2",129812528784
11,"12981252878",4.14,"2",129812528784
12,"12981252878",3.86,"2",129812528784
13,"12981252878",3.29,"2",129812528784
14,"12981252878",3.86,"2",129812528784
15,"12981252878",4.86,"2",129812528784
16,"12981252878",2.57,"2",129812528784
17,"12981252878",3.0,"2",129812528784
18,"12981252878",1.57,"2",129812528784
19,"12981252878",0.86,"2",129812528784
20,"12981252878",0.14,"2",129812528784
20,"12981252878",0.14,"1b",129812528785
21,"12981252878",0.29,"1b",129812528785
22,"12981252878",1.43,"1b",129812528785
22,"12981252878",1.43,"2",129812528786
23,"12981252878",1.71,"2",129812528786
24,"12981252878",1.29,"2",129812528786
25,"12981252878",0.86,"2",129812528786
25,"12981252878",0.86,"1b",129812528787
26,"12981252878",1.29,"1b",129812528787
26,"12981252878",1.29,"2",129812528788
27,"12981252878",1.57,"2",129812528788
28,"12981252878",1.43,"2",129812528788
28,"12981252878",1.43,"1b",129812528789
29,"12981252878",1.29,"1b",129812528789
30,"12981252878",0.14,"1b",129812528789
30,"12981252878",0.14,"1",1298125287810
31,"12981252878",0.29,"1",1298125287810
32,"12981252878",1.14,"1",1298125287810
33,"12981252878",1.57,"1",1298125287810
34,"12981252878",2.57,"1",1298125287810
35,"12981252878",1.86,"1",1298125287810
36,"12981252878",0.57,"1",1298125287810
37,"12981252878",1.0,"1",1298125287810
38,"12981252878",0.29,"1",1298125287810
39,"12981252878",0.57,"1",1298125287810
40,"12981252878",1.57,"1",1298125287810
41,"12981252878",2.29,"1",1298125287810
42,"12981252878",1.29,"1",1298125287810
43,"12981252878",1.43,"1",1298125287810
44,"12981252878",1.14,"1",1298125287810
45,"12981252878",0.86,"1",1298125287810
46,"12981252878",1.29,"1",1298125287810
47,"12981252878",2.0,"1",1298125287810
48,"12981252878",2.0,"1",1298125287810
49,"12981252878",3.86,"1",1298125287810
50,"12981252878",6.43,"1",1298125287810
51,"12981252878",5.43,"1",1298125287810
52,"12981252878",8.29,"1",1298125287810
53,"12981252878",11.57,"1",1298125287810
54,"12981252878",12.43,"1",1298125287810
55,"12981252878",21.43,"1",1298125287810
56,"12981252878",18.86,"1",1298125287810
57,"12981252878",15.0,"1",1298125287810
58,"12981252878",5.14,"1",1298125287810
59,"12981252878",5.14,"1",1298125287810
60,"12981252878",3.43,"1",1298125287810
61,"12981252878",2.43,"1",1298125287810
62,"12981252878",2.0,"1",1298125287810
63,"12981252878",3.0,"1",1298125287810
64,"12981252878",2.14,"1",1298125287810
65,"12981252878",1.71,"1",1298125287810
66,"12981252878",1.0,"1",1298125287810
67,"12981252878",2.29,"1",1298125287810
68,"12981252878",3.29,"1",1298125287810
69,"12981252878",2.14,"1",1298125287810
70,"12981252878",2.14,"1",1298125287810
71,"12981252878",1.0,"1",1298125287810
72,"12981252878",1.43,"1",1298125287810
73,"12981252878",1.86,"1",1298125287810
74,"12981252878",2.43,"1",1298125287810
75,"12981252878",4.71,"1",1298125287810
76,"12981252878",6.57,"1",1298125287810
77,"12981252878",5.14,"1",1298125287810
78,"12981252878",6.43,"1",1298125287810
79,"12981252878",5.14,"1",1298125287810
80,"12981252878",4.29,"1",1298125287810
81,"12981252878",2.71,"1",1298125287810
81,"12981252878",2.71,"1",1298196169910
0,"12981961699",0.0,"1",1298196169910
1,"12981961699",0.0,"1",1298196169910
2,"12981961699",0.0,"1",1298196169910
3,"12981961699",0.43,"1",1298196169910
4,"12981961699",0.14,"1",1298196169910
5,"12981961699",0.86,"1",1298196169910
5,"12981961699",0.86,"1b",1298196169911
6,"12981961699",2.14,"1b",1298196169911
6,"12981961699",2.14,"2",1298196169912
7,"12981961699",2.29,"2",1298196169912
8,"12981961699",2.86,"2",1298196169912
9,"12981961699",1.71,"2",1298196169912
9,"12981961699",1.71,"1b",1298196169913
10,"12981961699",2.57,"1b",1298196169913
10,"12981961699",2.57,"2",1298196169914
11,"12981961699",2.57,"2",1298196169914
12,"12981961699",3.0,"2",1298196169914
13,"12981961699",3.57,"2",1298196169914
14,"12981961699",3.29,"2",1298196169914
15,"12981961699",3.86,"2",1298196169914
16,"12981961699",3.86,"2",1298196169914
16,"12981961699",3.86,"1b",1298196169915
17,"12981961699",3.86,"1b",1298196169915
17,"12981961699",3.86,"2",1298196169916
18,"12981961699",4.14,"2",1298196169916
19,"12981961699",3.71,"2",1298196169916
20,"12981961699",3.71,"2",1298196169916
20,"12981961699",3.71,"3",1298196169917
21,"12981961699",3.0,"3",1298196169917
22,"12981961699",1.0,"3",1298196169917
22,"12981961699",1.0,"2",1298196169918
23,"12981961699",0.71,"2",1298196169918
24,"12981961699",0.29,"2",1298196169918
24,"12981961699",0.29,"1b",1298196169919
25,"12981961699",0.14,"1b",1298196169919
26,"12981961699",0.0,"1b",1298196169919
27,"12981961699",0.14,"1b",1298196169919
27,"12981961699",0.14,"1",1298196169920
28,"12981961699",0.14,"1",1298196169920
29,"12981961699",0.0,"1",1298196169920
29,"12981961699",0.0,"1b",1298196169921
30,"12981961699",0.0,"1b",1298196169921
31,"12981961699",0.0,"1b",1298196169921
31,"12981961699",0.0,"1",1298196169922
32,"12981961699",0.14,"1",1298196169922
