"wk","tr","nc","stg","id"
0,"1681098717",0.0,"1",16810987171
1,"1681098717",0.0,"1",16810987171
2,"1681098717",0.0,"1",16810987171
3,"1681098717",0.0,"1",16810987171
4,"1681098717",0.0,"1",16810987171
5,"1681098717",0.0,"1",16810987171
6,"1681098717",0.0,"1",16810987171
7,"1681098717",0.0,"1",16810987171
8,"1681098717",0.0,"1",16810987171
9,"1681098717",0.0,"1",16810987171
10,"1681098717",0.0,"1",16810987171
11,"1681098717",0.0,"1",16810987171
12,"1681098717",0.0,"1",16810987171
13,"1681098717",0.0,"1",16810987171
14,"1681098717",0.0,"1",16810987171
15,"1681098717",0.0,"1",16810987171
16,"1681098717",0.0,"1",16810987171
17,"1681098717",0.0,"1",16810987171
18,"1681098717",0.0,"1",16810987171
19,"1681098717",0.0,"1",16810987171
20,"1681098717",0.0,"1",16810987171
21,"1681098717",0.0,"1",16810987171
22,"1681098717",0.0,"1",16810987171
23,"1681098717",0.14,"1",16810987171
24,"1681098717",0.0,"1",16810987171
25,"1681098717",0.71,"1",16810987171
26,"1681098717",0.14,"1",16810987171
27,"1681098717",1.0,"1",16810987171
28,"1681098717",0.14,"1",16810987171
29,"1681098717",0.0,"1",16810987171
30,"1681098717",1.43,"1",16810987171
31,"1681098717",9.43,"1",16810987171
32,"1681098717",17.86,"1",16810987171
33,"1681098717",22.29,"1",16810987171
34,"1681098717",38.86,"1",16810987171
35,"1681098717",53.14,"1",16810987171
36,"1681098717",50.86,"1",16810987171
37,"1681098717",29.71,"1",16810987171
38,"1681098717",45.71,"1",16810987171
39,"1681098717",105.14,"1",16810987171
40,"1681098717",153.14,"1",16810987171
41,"1681098717",160.0,"1",16810987171
42,"1681098717",128.0,"1",16810987171
43,"1681098717",146.29,"1",16810987171
44,"1681098717",176.0,"1",16810987171
45,"1681098717",237.71,"1",16810987171
46,"1681098717",336.0,"1",16810987171
47,"1681098717",256.0,"1",16810987171
48,"1681098717",164.57,"1",16810987171
49,"1681098717",274.29,"1",16810987171
50,"1681098717",164.57,"1",16810987171
51,"1681098717",365.71,"1",16810987171
52,"1681098717",475.43,"1",16810987171
53,"1681098717",493.71,"1",16810987171
54,"1681098717",530.29,"1",16810987171
55,"1681098717",621.71,"1",16810987171
56,"1681098717",941.71,"1",16810987171
57,"1681098717",1334.86,"1",16810987171
57,"1681098717",1334.86,"1b",16810987172
58,"1681098717",1499.43,"1b",16810987172
59,"1681098717",2121.14,"1b",16810987172
59,"1681098717",2121.14,"1",16810987173
60,"1681098717",2706.29,"1",16810987173
