"wk","tr","nc","stg","id"
0,"11881231948",2.57,"2",118812319481
1,"11881231948",18.0,"2",118812319481
1,"11881231948",18.0,"3",118812319482
2,"11881231948",37.29,"3",118812319482
2,"11881231948",37.29,"4",118812319483
3,"11881231948",42.43,"4",118812319483
4,"11881231948",20.57,"4",118812319483
4,"11881231948",20.57,"3",118812319484
5,"11881231948",24.43,"3",118812319484
6,"11881231948",41.14,"3",118812319484
7,"11881231948",46.29,"3",118812319484
7,"11881231948",46.29,"4",118812319485
8,"11881231948",57.86,"4",118812319485
9,"11881231948",124.71,"4",118812319485
10,"11881231948",42.43,"4",118812319485
11,"11881231948",27.0,"4",118812319485
12,"11881231948",34.71,"4",118812319485
13,"11881231948",45.0,"4",118812319485
14,"11881231948",20.57,"4",118812319485
15,"11881231948",18.0,"4",118812319485
16,"11881231948",10.29,"4",118812319485
16,"11881231948",10.29,"3",118812319486
17,"11881231948",12.86,"3",118812319486
18,"11881231948",7.29,"3",118812319486
18,"11881231948",7.29,"2",118812319487
19,"11881231948",12.43,"2",118812319487
20,"11881231948",26.57,"2",118812319487
21,"11881231948",37.29,"2",118812319487
22,"11881231948",41.14,"2",118812319487
22,"11881231948",41.14,"3",118812319488
23,"11881231948",34.71,"3",118812319488
24,"11881231948",57.86,"3",118812319488
24,"11881231948",57.86,"4",118812319489
25,"11881231948",37.29,"4",118812319489
26,"11881231948",15.43,"4",118812319489
27,"11881231948",19.29,"4",118812319489
27,"11881231948",19.29,"3",1188123194810
28,"11881231948",14.14,"3",1188123194810
29,"11881231948",19.29,"3",1188123194810
29,"11881231948",19.29,"2",1188123194811
30,"11881231948",11.57,"2",1188123194811
31,"11881231948",21.86,"2",1188123194811
32,"11881231948",33.43,"2",1188123194811
33,"11881231948",34.71,"2",1188123194811
34,"11881231948",21.86,"2",1188123194811
35,"11881231948",15.43,"2",1188123194811
36,"11881231948",21.86,"2",1188123194811
37,"11881231948",37.29,"2",1188123194811
38,"11881231948",32.14,"2",1188123194811
39,"11881231948",29.57,"2",1188123194811
40,"11881231948",34.71,"2",1188123194811
41,"11881231948",47.57,"2",1188123194811
42,"11881231948",64.29,"2",1188123194811
43,"11881231948",29.57,"2",1188123194811
44,"11881231948",34.71,"2",1188123194811
45,"11881231948",45.0,"2",1188123194811
46,"11881231948",69.43,"2",1188123194811
47,"11881231948",33.43,"2",1188123194811
48,"11881231948",28.29,"2",1188123194811
49,"11881231948",32.14,"2",1188123194811
50,"11881231948",23.14,"2",1188123194811
51,"11881231948",25.71,"2",1188123194811
52,"11881231948",21.86,"2",1188123194811
53,"11881231948",37.29,"2",1188123194811
54,"11881231948",39.86,"2",1188123194811
55,"11881231948",34.71,"2",1188123194811
56,"11881231948",38.57,"2",1188123194811
57,"11881231948",33.43,"2",1188123194811
58,"11881231948",29.57,"2",1188123194811
59,"11881231948",51.43,"2",1188123194811
60,"11881231948",50.14,"2",1188123194811
61,"11881231948",50.14,"2",1188123194811
62,"11881231948",63.0,"2",1188123194811
63,"11881231948",61.71,"2",1188123194811
64,"11881231948",42.43,"2",1188123194811
65,"11881231948",61.71,"2",1188123194811
66,"11881231948",50.14,"2",1188123194811
67,"11881231948",42.43,"2",1188123194811
68,"11881231948",33.43,"2",1188123194811
69,"11881231948",42.43,"2",1188123194811
70,"11881231948",33.43,"2",1188123194811
71,"11881231948",28.29,"2",1188123194811
72,"11881231948",30.86,"2",1188123194811
73,"11881231948",25.71,"2",1188123194811
74,"11881231948",25.71,"2",1188123194811
75,"11881231948",30.86,"2",1188123194811
76,"11881231948",54.0,"2",1188123194811
77,"11881231948",59.14,"2",1188123194811
78,"11881231948",87.43,"2",1188123194811
79,"11881231948",81.0,"2",1188123194811
80,"11881231948",100.29,"2",1188123194811
81,"11881231948",73.29,"2",1188123194811
81,"11881231948",73.29,"2",1188129271911
0,"11881292719",2.0,"2",1188129271911
1,"11881292719",17.86,"2",1188129271911
1,"11881292719",17.86,"3",1188129271912
2,"11881292719",39.0,"3",1188129271912
3,"11881292719",93.86,"3",1188129271912
3,"11881292719",93.86,"4",1188129271913
4,"11881292719",84.86,"4",1188129271913
5,"11881292719",69.43,"4",1188129271913
6,"11881292719",42.43,"4",1188129271913
7,"11881292719",7.71,"4",1188129271913
7,"11881292719",7.71,"3",1188129271914
8,"11881292719",42.43,"3",1188129271914
8,"11881292719",42.43,"4",1188129271915
9,"11881292719",29.57,"4",1188129271915
10,"11881292719",20.57,"4",1188129271915
10,"11881292719",20.57,"3",1188129271916
11,"11881292719",20.57,"3",1188129271916
11,"11881292719",20.57,"4",1188129271917
12,"11881292719",36.0,"4",1188129271917
13,"11881292719",21.86,"4",1188129271917
13,"11881292719",21.86,"3",1188129271918
14,"11881292719",10.29,"3",1188129271918
15,"11881292719",21.86,"3",1188129271918
15,"11881292719",21.86,"2",1188129271919
16,"11881292719",30.86,"2",1188129271919
17,"11881292719",57.86,"2",1188129271919
18,"11881292719",100.29,"2",1188129271919
18,"11881292719",100.29,"3",1188129271920
19,"11881292719",119.57,"3",1188129271920
19,"11881292719",119.57,"4",1188129271921
20,"11881292719",92.57,"4",1188129271921
21,"11881292719",34.71,"4",1188129271921
22,"11881292719",38.57,"4",1188129271921
23,"11881292719",20.57,"4",1188129271921
24,"11881292719",25.71,"4",1188129271921
25,"11881292719",14.14,"4",1188129271921
25,"11881292719",14.14,"3",1188129271922
26,"11881292719",32.14,"3",1188129271922
27,"11881292719",21.86,"3",1188129271922
27,"11881292719",21.86,"2",1188129271923
28,"11881292719",29.57,"2",1188129271923
29,"11881292719",21.86,"2",1188129271923
30,"11881292719",16.71,"2",1188129271923
31,"11881292719",14.14,"2",1188129271923
32,"11881292719",12.86,"2",1188129271923
33,"11881292719",15.43,"2",1188129271923
34,"11881292719",18.0,"2",1188129271923
35,"11881292719",12.86,"2",1188129271923
36,"11881292719",19.29,"2",1188129271923
37,"11881292719",16.71,"2",1188129271923
38,"11881292719",14.14,"2",1188129271923
39,"11881292719",29.57,"2",1188129271923
40,"11881292719",18.0,"2",1188129271923
41,"11881292719",12.86,"2",1188129271923
42,"11881292719",12.86,"2",1188129271923
43,"11881292719",12.86,"2",1188129271923
44,"11881292719",18.0,"2",1188129271923
45,"11881292719",32.14,"2",1188129271923
46,"11881292719",29.57,"2",1188129271923
47,"11881292719",36.0,"2",1188129271923
48,"11881292719",12.86,"2",1188129271923
49,"11881292719",23.14,"2",1188129271923
50,"11881292719",15.43,"2",1188129271923
51,"11881292719",18.0,"2",1188129271923
52,"11881292719",21.86,"2",1188129271923
53,"11881292719",16.71,"2",1188129271923
54,"11881292719",16.71,"2",1188129271923
55,"11881292719",16.71,"2",1188129271923
56,"11881292719",21.86,"2",1188129271923
57,"11881292719",10.29,"2",1188129271923
58,"11881292719",2.57,"2",1188129271923
59,"11881292719",10.29,"2",1188129271923
60,"11881292719",13.71,"2",1188129271923
61,"11881292719",23.14,"2",1188129271923
