"wk","tr","nc","stg","id"
0,"12022010551",0.0,"1",120220105511
0,"12022010551",0.0,"1b",120220105512
1,"12022010551",0.43,"1b",120220105512
2,"12022010551",0.0,"1b",120220105512
3,"12022010551",0.29,"1b",120220105512
4,"12022010551",0.14,"1b",120220105512
4,"12022010551",0.14,"1",120220105513
5,"12022010551",4.71,"1",120220105513
5,"12022010551",4.71,"2",120220105514
6,"12022010551",7.29,"2",120220105514
6,"12022010551",7.29,"3",120220105515
7,"12022010551",8.71,"3",120220105515
8,"12022010551",16.71,"3",120220105515
9,"12022010551",10.29,"3",120220105515
10,"12022010551",7.71,"3",120220105515
11,"12022010551",8.14,"3",120220105515
12,"12022010551",4.71,"3",120220105515
12,"12022010551",4.71,"2",120220105516
13,"12022010551",5.14,"2",120220105516
14,"12022010551",4.71,"2",120220105516
14,"12022010551",4.71,"1b",120220105517
15,"12022010551",14.14,"1b",120220105517
16,"12022010551",17.14,"1b",120220105517
16,"12022010551",17.14,"1",120220105518
17,"12022010551",22.29,"1",120220105518
18,"12022010551",60.43,"1",120220105518
18,"12022010551",60.43,"1b",120220105519
19,"12022010551",61.71,"1b",120220105519
19,"12022010551",61.71,"3",1202201055110
20,"12022010551",42.43,"3",1202201055110
21,"12022010551",29.57,"3",1202201055110
21,"12022010551",29.57,"4",1202201055111
22,"12022010551",34.71,"4",1202201055111
23,"12022010551",18.0,"4",1202201055111
24,"12022010551",19.29,"4",1202201055111
25,"12022010551",7.71,"4",1202201055111
25,"12022010551",7.71,"3",1202201055112
26,"12022010551",8.57,"3",1202201055112
27,"12022010551",6.86,"3",1202201055112
27,"12022010551",6.86,"2",1202201055113
28,"12022010551",3.0,"2",1202201055113
29,"12022010551",2.29,"2",1202201055113
29,"12022010551",2.29,"1b",1202201055114
30,"12022010551",1.29,"1b",1202201055114
31,"12022010551",1.71,"1b",1202201055114
31,"12022010551",1.71,"1",1202201055115
32,"12022010551",3.86,"1",1202201055115
33,"12022010551",5.71,"1",1202201055115
34,"12022010551",6.43,"1",1202201055115
35,"12022010551",8.71,"1",1202201055115
36,"12022010551",12.86,"1",1202201055115
37,"12022010551",21.43,"1",1202201055115
38,"12022010551",21.43,"1",1202201055115
39,"12022010551",25.71,"1",1202201055115
40,"12022010551",16.71,"1",1202201055115
41,"12022010551",19.29,"1",1202201055115
42,"12022010551",18.0,"1",1202201055115
43,"12022010551",9.0,"1",1202201055115
44,"12022010551",11.14,"1",1202201055115
45,"12022010551",16.29,"1",1202201055115
46,"12022010551",22.29,"1",1202201055115
47,"12022010551",39.43,"1",1202201055115
48,"12022010551",48.86,"1",1202201055115
49,"12022010551",83.57,"1",1202201055115
50,"12022010551",277.71,"1",1202201055115
51,"12022010551",574.71,"1",1202201055115
52,"12022010551",1458.0,"1",1202201055115
52,"12022010551",1458.0,"1b",1202201055116
53,"12022010551",2013.43,"1b",1202201055116
53,"12022010551",2013.43,"2",1202201055117
54,"12022010551",3159.0,"2",1202201055117
54,"12022010551",3159.0,"3",1202201055118
55,"12022010551",2395.29,"3",1202201055118
55,"12022010551",2395.29,"4",1202201055119
56,"12022010551",1458.0,"4",1202201055119
57,"12022010551",729.0,"4",1202201055119
57,"12022010551",729.0,"3",1202201055120
58,"12022010551",867.86,"3",1202201055120
58,"12022010551",867.86,"4",1202201055121
