"wk","tr","nc","stg","id"
0,"1361098717",0.29,"1",13610987171
1,"1361098717",4.57,"1",13610987171
1,"1361098717",4.57,"2",13610987172
2,"1361098717",17.86,"2",13610987172
2,"1361098717",17.86,"3",13610987173
3,"1361098717",28.71,"3",13610987173
4,"1361098717",39.43,"3",13610987173
5,"1361098717",81.71,"3",13610987173
5,"1361098717",81.71,"4",13610987174
6,"1361098717",86.86,"4",13610987174
7,"1361098717",43.43,"4",13610987174
8,"1361098717",43.43,"4",13610987174
8,"1361098717",43.43,"3",13610987175
9,"1361098717",48.0,"3",13610987175
10,"1361098717",59.43,"3",13610987175
10,"1361098717",59.43,"4",13610987176
11,"1361098717",84.57,"4",13610987176
12,"1361098717",52.57,"4",13610987176
12,"1361098717",52.57,"3",13610987177
13,"1361098717",54.86,"3",13610987177
13,"1361098717",54.86,"4",13610987178
14,"1361098717",45.71,"4",13610987178
15,"1361098717",45.71,"4",13610987178
16,"1361098717",25.14,"4",13610987178
17,"1361098717",9.14,"4",13610987178
18,"1361098717",9.71,"4",13610987178
18,"1361098717",9.71,"3",13610987179
19,"1361098717",6.14,"3",13610987179
20,"1361098717",4.57,"3",13610987179
20,"1361098717",4.57,"2",136109871710
21,"1361098717",3.86,"2",136109871710
22,"1361098717",2.14,"2",136109871710
22,"1361098717",2.14,"1b",136109871711
23,"1361098717",1.29,"1b",136109871711
24,"1361098717",4.57,"1b",136109871711
24,"1361098717",4.57,"1",136109871712
25,"1361098717",14.0,"1",136109871712
26,"1361098717",25.43,"1",136109871712
27,"1361098717",42.86,"1",136109871712
28,"1361098717",89.71,"1",136109871712
28,"1361098717",89.71,"2",136109871713
29,"1361098717",45.71,"2",136109871713
29,"1361098717",45.71,"3",136109871714
30,"1361098717",41.14,"3",136109871714
30,"1361098717",41.14,"2",136109871715
31,"1361098717",29.71,"2",136109871715
32,"1361098717",57.14,"2",136109871715
32,"1361098717",57.14,"1b",136109871716
33,"1361098717",59.43,"1b",136109871716
34,"1361098717",107.43,"1b",136109871716
34,"1361098717",107.43,"1",136109871717
35,"1361098717",237.71,"1",136109871717
36,"1361098717",516.57,"1",136109871717
36,"1361098717",516.57,"2",136109871718
37,"1361098717",649.14,"2",136109871718
37,"1361098717",649.14,"3",136109871719
38,"1361098717",722.29,"3",136109871719
38,"1361098717",722.29,"4",136109871720
39,"1361098717",576.0,"4",136109871720
40,"1361098717",274.29,"4",136109871720
41,"1361098717",182.86,"4",136109871720
42,"1361098717",98.29,"4",136109871720
43,"1361098717",45.71,"4",136109871720
43,"1361098717",45.71,"3",136109871721
44,"1361098717",29.71,"3",136109871721
45,"1361098717",19.43,"3",136109871721
45,"1361098717",19.43,"2",136109871722
46,"1361098717",22.29,"2",136109871722
47,"1361098717",22.86,"2",136109871722
47,"1361098717",22.86,"1b",136109871723
48,"1361098717",34.86,"1b",136109871723
49,"1361098717",61.14,"1b",136109871723
49,"1361098717",61.14,"1",136109871724
50,"1361098717",61.71,"1",136109871724
51,"1361098717",121.14,"1",136109871724
52,"1361098717",146.29,"1",136109871724
53,"1361098717",306.29,"1",136109871724
53,"1361098717",306.29,"1b",136109871725
54,"1361098717",331.43,"1b",136109871725
55,"1361098717",438.86,"1b",136109871725
56,"1361098717",758.86,"1b",136109871725
56,"1361098717",758.86,"2",136109871726
57,"1361098717",1188.57,"2",136109871726
57,"1361098717",1188.57,"3",136109871727
58,"1361098717",649.14,"3",136109871727
58,"1361098717",649.14,"4",136109871728
59,"1361098717",329.14,"4",136109871728
60,"1361098717",201.14,"4",136109871728
61,"1361098717",100.57,"4",136109871728
62,"1361098717",66.29,"4",136109871728
62,"1361098717",66.29,"3",136109871729
63,"1361098717",32.0,"3",136109871729
64,"1361098717",11.43,"3",136109871729
64,"1361098717",11.43,"2",136109871730
65,"1361098717",11.57,"2",136109871730
66,"1361098717",3.57,"2",136109871730
66,"1361098717",3.57,"1b",136109871731
67,"1361098717",3.86,"1b",136109871731
68,"1361098717",6.29,"1b",136109871731
68,"1361098717",6.29,"1",136109871732
69,"1361098717",11.14,"1",136109871732
70,"1361098717",15.86,"1",136109871732
71,"1361098717",27.29,"1",136109871732
72,"1361098717",22.29,"1",136109871732
73,"1361098717",48.0,"1",136109871732
74,"1361098717",88.0,"1",136109871732
75,"1361098717",221.71,"1",136109871732
76,"1361098717",425.14,"1",136109871732
76,"1361098717",425.14,"1b",136109871733
77,"1361098717",658.29,"1b",136109871733
77,"1361098717",658.29,"3",136109871734
78,"1361098717",548.57,"3",136109871734
79,"1361098717",612.57,"3",136109871734
79,"1361098717",612.57,"2",136109871735
80,"1361098717",886.86,"2",136109871735
80,"1361098717",886.86,"3",136109871736
81,"1361098717",832.0,"3",136109871736
81,"1361098717",832.0,"1",136118441337
0,"1361184413",0.43,"1",136118441337
1,"1361184413",1.86,"1",136118441337
2,"1361184413",16.0,"1",136118441337
2,"1361184413",16.0,"3",136118441338
3,"1361184413",25.14,"3",136118441338
4,"1361184413",34.29,"3",136118441338
5,"1361184413",49.14,"3",136118441338
5,"1361184413",49.14,"4",136118441339
6,"1361184413",60.57,"4",136118441339
7,"1361184413",56.57,"4",136118441339
8,"1361184413",50.29,"4",136118441339
8,"1361184413",50.29,"3",136118441340
9,"1361184413",45.71,"3",136118441340
9,"1361184413",45.71,"4",136118441341
10,"1361184413",36.57,"4",136118441341
11,"1361184413",43.43,"4",136118441341
11,"1361184413",43.43,"3",136118441342
12,"1361184413",82.29,"3",136118441342
13,"1361184413",109.71,"3",136118441342
13,"1361184413",109.71,"4",136118441343
14,"1361184413",198.86,"4",136118441343
15,"1361184413",96.0,"4",136118441343
16,"1361184413",61.71,"4",136118441343
17,"1361184413",36.57,"4",136118441343
18,"1361184413",8.57,"4",136118441343
18,"1361184413",8.57,"3",136118441344
19,"1361184413",7.0,"3",136118441344
20,"1361184413",3.29,"3",136118441344
20,"1361184413",3.29,"2",136118441345
21,"1361184413",3.43,"2",136118441345
22,"1361184413",3.71,"2",136118441345
22,"1361184413",3.71,"1b",136118441346
23,"1361184413",3.29,"1b",136118441346
24,"1361184413",2.86,"1b",136118441346
24,"1361184413",2.86,"1",136118441347
25,"1361184413",2.43,"1",136118441347
26,"1361184413",2.14,"1",136118441347
27,"1361184413",1.29,"1",136118441347
28,"1361184413",0.43,"1",136118441347
29,"1361184413",0.86,"1",136118441347
30,"1361184413",2.71,"1",136118441347
31,"1361184413",9.57,"1",136118441347
32,"1361184413",16.14,"1",136118441347
33,"1361184413",15.14,"1",136118441347
34,"1361184413",13.14,"1",136118441347
35,"1361184413",17.14,"1",136118441347
36,"1361184413",26.86,"1",136118441347
37,"1361184413",64.0,"1",136118441347
38,"1361184413",89.71,"1",136118441347
39,"1361184413",61.71,"1",136118441347
40,"1361184413",80.0,"1",136118441347
41,"1361184413",166.86,"1",136118441347
42,"1361184413",301.71,"1",136118441347
42,"1361184413",301.71,"1b",136118441348
43,"1361184413",477.71,"1b",136118441348
44,"1361184413",475.43,"1b",136118441348
44,"1361184413",475.43,"2",136118441349
45,"1361184413",420.57,"2",136118441349
45,"1361184413",420.57,"3",136118441350
46,"1361184413",274.29,"3",136118441350
46,"1361184413",274.29,"4",136118441351
47,"1361184413",219.43,"4",136118441351
48,"1361184413",52.57,"4",136118441351
49,"1361184413",22.86,"4",136118441351
49,"1361184413",22.86,"3",136118441352
50,"1361184413",11.43,"3",136118441352
51,"1361184413",6.29,"3",136118441352
51,"1361184413",6.29,"2",136118441353
52,"1361184413",3.86,"2",136118441353
53,"1361184413",5.14,"2",136118441353
53,"1361184413",5.14,"1b",136118441354
54,"1361184413",6.14,"1b",136118441354
55,"1361184413",4.86,"1b",136118441354
55,"1361184413",4.86,"1",136118441355
56,"1361184413",5.0,"1",136118441355
57,"1361184413",10.71,"1",136118441355
58,"1361184413",22.86,"1",136118441355
59,"1361184413",9.14,"1",136118441355
60,"1361184413",19.43,"1",136118441355
61,"1361184413",23.43,"1",136118441355
62,"1361184413",36.57,"1",136118441355
63,"1361184413",47.43,"1",136118441355
64,"1361184413",65.14,"1",136118441355
65,"1361184413",84.57,"1",136118441355
66,"1361184413",64.0,"1",136118441355
67,"1361184413",112.0,"1",136118441355
68,"1361184413",192.0,"1",136118441355
69,"1361184413",258.29,"1",136118441355
69,"1361184413",258.29,"1b",136118441356
70,"1361184413",294.86,"1b",136118441356
71,"1361184413",429.71,"1b",136118441356
71,"1361184413",429.71,"1",136118441357
72,"1361184413",466.29,"1",136118441357
73,"1361184413",996.57,"1",136118441357
73,"1361184413",996.57,"1b",136118441358
74,"1361184413",1280.0,"1b",136118441358
74,"1361184413",1280.0,"4",136118441359
75,"1361184413",1389.71,"4",136118441359
76,"1361184413",329.14,"4",136118441359
77,"1361184413",91.43,"4",136118441359
78,"1361184413",68.57,"4",136118441359
78,"1361184413",68.57,"3",136118441360
79,"1361184413",25.14,"3",136118441360
80,"1361184413",10.29,"3",136118441360
80,"1361184413",10.29,"2",136118441361
81,"1361184413",6.86,"1",13614930462
81,"1361184413",6.86,"2",136118441361
0,"136149304",0.0,"1",13614930462
1,"136149304",0.0,"1",13614930462
2,"136149304",0.0,"1",13614930462
3,"136149304",0.0,"1",13614930462
4,"136149304",0.0,"1",13614930462
5,"136149304",0.0,"1",13614930462
6,"136149304",0.71,"1",13614930462
7,"136149304",4.29,"1",13614930462
7,"136149304",4.29,"1b",13614930463
8,"136149304",16.57,"1b",13614930463
8,"136149304",16.57,"3",13614930464
9,"136149304",20.0,"3",13614930464
9,"136149304",20.0,"4",13614930465
10,"136149304",25.14,"4",13614930465
11,"136149304",17.71,"4",13614930465
11,"136149304",17.71,"3",13614930466
12,"136149304",22.29,"3",13614930466
13,"136149304",21.71,"3",13614930466
14,"136149304",14.29,"3",13614930466
14,"136149304",14.29,"2",13614930467
15,"136149304",12.57,"2",13614930467
16,"136149304",27.43,"2",13614930467
17,"136149304",36.57,"2",13614930467
17,"136149304",36.57,"3",13614930468
18,"136149304",54.86,"3",13614930468
18,"136149304",54.86,"4",13614930469
19,"136149304",34.86,"4",13614930469
20,"136149304",22.29,"4",13614930469
21,"136149304",17.14,"4",13614930469
22,"136149304",7.43,"4",13614930469
22,"136149304",7.43,"3",13614930470
23,"136149304",2.71,"3",13614930470
24,"136149304",4.43,"3",13614930470
24,"136149304",4.43,"2",13614930471
25,"136149304",2.57,"2",13614930471
26,"136149304",3.14,"2",13614930471
26,"136149304",3.14,"1b",13614930472
27,"136149304",2.57,"1b",13614930472
28,"136149304",5.0,"1b",13614930472
28,"136149304",5.0,"1",13614930473
29,"136149304",4.57,"1",13614930473
30,"136149304",6.71,"1",13614930473
31,"136149304",14.29,"1",13614930473
32,"136149304",19.86,"1",13614930473
33,"136149304",39.43,"1",13614930473
34,"136149304",30.29,"1",13614930473
35,"136149304",68.57,"1",13614930473
36,"136149304",114.29,"1",13614930473
37,"136149304",210.29,"1",13614930473
38,"136149304",322.29,"1",13614930473
38,"136149304",322.29,"1b",13614930474
39,"136149304",374.86,"1b",13614930474
40,"136149304",658.29,"1b",13614930474
40,"136149304",658.29,"1",13614930475
41,"136149304",1682.29,"1",13614930475
41,"136149304",1682.29,"3",13614930476
42,"136149304",1609.14,"3",13614930476
42,"136149304",1609.14,"4",13614930477
43,"136149304",877.71,"4",13614930477
44,"136149304",658.29,"4",13614930477
45,"136149304",438.86,"4",13614930477
46,"136149304",246.86,"4",13614930477
47,"136149304",237.71,"4",13614930477
47,"136149304",237.71,"3",13614930478
48,"136149304",192.0,"3",13614930478
49,"136149304",125.71,"3",13614930478
49,"136149304",125.71,"4",13614930479
50,"136149304",66.29,"4",13614930479
51,"136149304",41.14,"4",13614930479
51,"136149304",41.14,"3",13614930480
52,"136149304",18.86,"3",13614930480
53,"136149304",8.0,"3",13614930480
53,"136149304",8.0,"2",13614930481
54,"136149304",4.86,"2",13614930481
55,"136149304",3.71,"2",13614930481
55,"136149304",3.71,"1b",13614930482
56,"136149304",5.57,"1b",13614930482
57,"136149304",6.57,"1b",13614930482
57,"136149304",6.57,"1",13614930483
58,"136149304",9.14,"1",13614930483
59,"136149304",14.14,"1",13614930483
60,"136149304",17.43,"1",13614930483
61,"136149304",14.29,"1",13614930483
62,"136149304",19.43,"1",13614930483
