"wk","tr","nc","stg","id"
0,"2111036958",0.0,"1",21110369581
1,"2111036958",0.0,"1",21110369581
2,"2111036958",0.0,"1",21110369581
3,"2111036958",0.14,"1",21110369581
4,"2111036958",0.0,"1",21110369581
5,"2111036958",0.0,"1",21110369581
6,"2111036958",0.0,"1",21110369581
7,"2111036958",0.0,"1",21110369581
8,"2111036958",0.0,"1",21110369581
9,"2111036958",0.0,"1",21110369581
10,"2111036958",0.0,"1",21110369581
11,"2111036958",0.14,"1",21110369581
12,"2111036958",0.0,"1",21110369581
13,"2111036958",0.0,"1",21110369581
14,"2111036958",0.0,"1",21110369581
15,"2111036958",0.14,"1",21110369581
16,"2111036958",0.14,"1",21110369581
17,"2111036958",0.14,"1",21110369581
18,"2111036958",0.0,"1",21110369581
19,"2111036958",0.14,"1",21110369581
20,"2111036958",0.0,"1",21110369581
21,"2111036958",0.0,"1",21110369581
22,"2111036958",0.0,"1",21110369581
23,"2111036958",0.0,"1",21110369581
24,"2111036958",0.0,"1",21110369581
25,"2111036958",0.0,"1",21110369581
26,"2111036958",0.14,"1",21110369581
27,"2111036958",0.0,"1",21110369581
28,"2111036958",0.14,"1",21110369581
29,"2111036958",0.0,"1",21110369581
30,"2111036958",0.0,"1",21110369581
31,"2111036958",0.0,"1",21110369581
32,"2111036958",0.14,"1",21110369581
33,"2111036958",0.0,"1",21110369581
34,"2111036958",0.0,"1",21110369581
35,"2111036958",0.0,"1",21110369581
36,"2111036958",0.0,"1",21110369581
37,"2111036958",0.0,"1",21110369581
38,"2111036958",0.0,"1",21110369581
39,"2111036958",0.0,"1",21110369581
40,"2111036958",0.0,"1",21110369581
41,"2111036958",0.0,"1",21110369581
42,"2111036958",0.29,"1",21110369581
43,"2111036958",0.0,"1",21110369581
44,"2111036958",0.0,"1",21110369581
45,"2111036958",0.0,"1",21110369581
46,"2111036958",0.0,"1",21110369581
47,"2111036958",0.0,"1",21110369581
48,"2111036958",0.0,"1",21110369581
49,"2111036958",0.0,"1",21110369581
50,"2111036958",0.14,"1",21110369581
51,"2111036958",0.0,"1",21110369581
52,"2111036958",1.0,"1",21110369581
53,"2111036958",4.0,"1",21110369581
54,"2111036958",6.0,"1",21110369581
55,"2111036958",5.86,"1",21110369581
56,"2111036958",5.29,"1",21110369581
57,"2111036958",4.43,"1",21110369581
58,"2111036958",2.29,"1",21110369581
59,"2111036958",3.14,"1",21110369581
60,"2111036958",4.57,"1",21110369581
61,"2111036958",9.43,"1",21110369581
62,"2111036958",13.14,"1",21110369581
63,"2111036958",13.29,"1",21110369581
64,"2111036958",13.0,"1",21110369581
65,"2111036958",9.71,"1",21110369581
66,"2111036958",15.71,"1",21110369581
67,"2111036958",13.43,"1",21110369581
68,"2111036958",10.71,"1",21110369581
69,"2111036958",6.86,"1",21110369581
70,"2111036958",2.86,"1",21110369581
71,"2111036958",4.71,"1",21110369581
72,"2111036958",3.57,"1",21110369581
73,"2111036958",4.29,"1",21110369581
74,"2111036958",5.86,"1",21110369581
75,"2111036958",7.57,"1",21110369581
76,"2111036958",9.57,"1",21110369581
77,"2111036958",13.71,"1",21110369581
78,"2111036958",18.71,"1",21110369581
79,"2111036958",21.71,"1",21110369581
80,"2111036958",29.14,"1",21110369581
81,"2111036958",20.57,"1",21110369581
82,"2111036958",43.43,"1",21110369581
83,"2111036958",46.86,"1",21110369581
84,"2111036958",47.43,"1",21110369581
85,"2111036958",50.29,"1",21110369581
86,"2111036958",44.0,"1",21110369581
87,"2111036958",32.0,"1",21110369581
88,"2111036958",25.14,"1",21110369581
89,"2111036958",41.14,"1",21110369581
90,"2111036958",58.29,"1",21110369581
91,"2111036958",96.0,"1",21110369581
92,"2111036958",173.71,"1",21110369581
93,"2111036958",66.29,"1",21110369581
94,"2111036958",54.86,"1",21110369581
95,"2111036958",80.0,"1",21110369581
96,"2111036958",52.57,"1",21110369581
97,"2111036958",31.43,"1",21110369581
98,"2111036958",12.57,"1",21110369581
99,"2111036958",18.86,"1",21110369581
100,"2111036958",33.71,"1",21110369581
101,"2111036958",49.14,"1",21110369581
102,"2111036958",44.0,"1",21110369581
103,"2111036958",46.29,"1",21110369581
104,"2111036958",62.29,"1",21110369581
104,"2111036958",62.29,"1",21110611901
0,"2111061190",0.0,"1",21110611901
1,"2111061190",0.0,"1",21110611901
2,"2111061190",0.14,"1",21110611901
3,"2111061190",0.14,"1",21110611901
4,"2111061190",1.57,"1",21110611901
4,"2111061190",1.57,"2",21110611902
5,"2111061190",5.57,"2",21110611902
5,"2111061190",5.57,"3",21110611903
6,"2111061190",3.71,"3",21110611903
7,"2111061190",3.0,"3",21110611903
7,"2111061190",3.0,"2",21110611904
8,"2111061190",2.29,"2",21110611904
9,"2111061190",1.57,"2",21110611904
10,"2111061190",2.71,"2",21110611904
11,"2111061190",1.14,"2",21110611904
11,"2111061190",1.14,"1b",21110611905
12,"2111061190",0.29,"1b",21110611905
13,"2111061190",0.29,"1b",21110611905
13,"2111061190",0.29,"2",21110611906
14,"2111061190",2.57,"2",21110611906
15,"2111061190",1.0,"2",21110611906
15,"2111061190",1.0,"1b",21110611907
16,"2111061190",0.14,"1b",21110611907
17,"2111061190",0.14,"1b",21110611907
17,"2111061190",0.14,"1",21110611908
18,"2111061190",0.29,"1",21110611908
19,"2111061190",0.0,"1",21110611908
20,"2111061190",0.0,"1",21110611908
21,"2111061190",0.0,"1",21110611908
22,"2111061190",0.0,"1",21110611908
23,"2111061190",0.0,"1",21110611908
24,"2111061190",0.14,"1",21110611908
24,"2111061190",0.14,"1b",21110611909
25,"2111061190",0.57,"1b",21110611909
25,"2111061190",0.57,"2",211106119010
26,"2111061190",0.86,"2",211106119010
27,"2111061190",0.14,"2",211106119010
27,"2111061190",0.14,"1b",211106119011
28,"2111061190",0.0,"1b",211106119011
29,"2111061190",0.0,"1b",211106119011
29,"2111061190",0.0,"1",211106119012
30,"2111061190",0.29,"1",211106119012
31,"2111061190",0.14,"1",211106119012
32,"2111061190",0.0,"1",211106119012
33,"2111061190",0.0,"1",211106119012
34,"2111061190",0.0,"1",211106119012
35,"2111061190",0.0,"1",211106119012
36,"2111061190",0.0,"1",211106119012
37,"2111061190",0.0,"1",211106119012
38,"2111061190",0.29,"1",211106119012
39,"2111061190",1.14,"1",211106119012
40,"2111061190",2.86,"1",211106119012
41,"2111061190",2.57,"1",211106119012
42,"2111061190",3.86,"1",211106119012
43,"2111061190",5.86,"1",211106119012
44,"2111061190",9.14,"1",211106119012
45,"2111061190",16.0,"1",211106119012
46,"2111061190",21.29,"1",211106119012
47,"2111061190",29.71,"1",211106119012
48,"2111061190",36.0,"1",211106119012
48,"2111061190",36.0,"1b",211106119013
49,"2111061190",72.0,"1b",211106119013
49,"2111061190",72.0,"2",211106119014
50,"2111061190",70.29,"2",211106119014
50,"2111061190",70.29,"3",211106119015
51,"2111061190",98.29,"3",211106119015
52,"2111061190",32.0,"3",211106119015
52,"2111061190",32.0,"2",211106119016
53,"2111061190",24.57,"2",211106119016
54,"2111061190",10.29,"2",211106119016
54,"2111061190",10.29,"1b",211106119017
55,"2111061190",7.0,"1b",211106119017
55,"2111061190",7.0,"1",211106119018
56,"2111061190",7.43,"1",211106119018
57,"2111061190",6.71,"1",211106119018
58,"2111061190",8.29,"1",211106119018
59,"2111061190",15.71,"1",211106119018
60,"2111061190",23.71,"1",211106119018
61,"2111061190",13.71,"1",211106119018
62,"2111061190",14.29,"1",211106119018
63,"2111061190",10.29,"1",211106119018
64,"2111061190",12.86,"1",211106119018
65,"2111061190",10.29,"1",211106119018
66,"2111061190",15.29,"1",211106119018
67,"2111061190",21.43,"1",211106119018
68,"2111061190",19.43,"1",211106119018
69,"2111061190",17.71,"1",211106119018
70,"2111061190",13.71,"1",211106119018
71,"2111061190",11.86,"1",211106119018
72,"2111061190",19.86,"1",211106119018
73,"2111061190",11.43,"1",211106119018
74,"2111061190",5.71,"1",211106119018
75,"2111061190",4.71,"1",211106119018
76,"2111061190",2.29,"1",211106119018
77,"2111061190",2.14,"1",211106119018
78,"2111061190",2.43,"1",211106119018
79,"2111061190",7.0,"1",211106119018
80,"2111061190",12.0,"1",211106119018
81,"2111061190",11.43,"1",211106119018
82,"2111061190",15.0,"1",211106119018
83,"2111061190",19.29,"1",211106119018
84,"2111061190",17.71,"1",211106119018
85,"2111061190",9.71,"1",211106119018
86,"2111061190",14.86,"1",211106119018
87,"2111061190",11.0,"1",211106119018
88,"2111061190",8.43,"1",211106119018
89,"2111061190",12.57,"1",211106119018
90,"2111061190",17.43,"1",211106119018
91,"2111061190",30.86,"1",211106119018
92,"2111061190",22.86,"1",211106119018
93,"2111061190",14.86,"1",211106119018
94,"2111061190",23.43,"1",211106119018
95,"2111061190",21.71,"1",211106119018
96,"2111061190",16.0,"1",211106119018
97,"2111061190",20.57,"1",211106119018
98,"2111061190",10.86,"1",211106119018
99,"2111061190",14.29,"1",211106119018
100,"2111061190",30.86,"1",211106119018
101,"2111061190",12.57,"1",211106119018
102,"2111061190",10.86,"1",211106119018
103,"2111061190",45.14,"1",211106119018
104,"2111061190",61.14,"1",211106119018
104,"2111061190",61.14,"1",211106692818
0,"2111066928",0.0,"1",211106692818
1,"2111066928",0.14,"1",211106692818
2,"2111066928",0.0,"1",211106692818
3,"2111066928",0.0,"1",211106692818
4,"2111066928",0.0,"1",211106692818
5,"2111066928",0.0,"1",211106692818
6,"2111066928",0.0,"1",211106692818
7,"2111066928",0.0,"1",211106692818
8,"2111066928",0.29,"1",211106692818
9,"2111066928",0.29,"1",211106692818
9,"2111066928",0.29,"1b",211106692819
10,"2111066928",2.29,"1b",211106692819
10,"2111066928",2.29,"2",211106692820
11,"2111066928",0.29,"2",211106692820
12,"2111066928",1.29,"2",211106692820
12,"2111066928",1.29,"1b",211106692821
13,"2111066928",0.0,"1b",211106692821
14,"2111066928",0.0,"1b",211106692821
14,"2111066928",0.0,"1",211106692822
15,"2111066928",0.0,"1",211106692822
16,"2111066928",0.0,"1",211106692822
17,"2111066928",0.0,"1",211106692822
18,"2111066928",0.0,"1",211106692822
19,"2111066928",0.0,"1",211106692822
20,"2111066928",0.14,"1",211106692822
21,"2111066928",0.14,"1",211106692822
22,"2111066928",0.0,"1",211106692822
23,"2111066928",0.14,"1",211106692822
24,"2111066928",0.0,"1",211106692822
25,"2111066928",0.0,"1",211106692822
26,"2111066928",0.0,"1",211106692822
27,"2111066928",0.0,"1",211106692822
