"wk","tr","nc","stg","id"
0,"501036958",0.0,"1",5010369581
1,"501036958",0.0,"1",5010369581
2,"501036958",0.0,"1",5010369581
3,"501036958",0.14,"1",5010369581
4,"501036958",0.0,"1",5010369581
5,"501036958",0.0,"1",5010369581
6,"501036958",0.0,"1",5010369581
7,"501036958",0.0,"1",5010369581
8,"501036958",0.0,"1",5010369581
9,"501036958",0.0,"1",5010369581
10,"501036958",0.0,"1",5010369581
11,"501036958",0.14,"1",5010369581
12,"501036958",0.0,"1",5010369581
13,"501036958",0.0,"1",5010369581
14,"501036958",0.0,"1",5010369581
15,"501036958",0.14,"1",5010369581
16,"501036958",0.14,"1",5010369581
17,"501036958",0.14,"1",5010369581
18,"501036958",0.0,"1",5010369581
19,"501036958",0.14,"1",5010369581
20,"501036958",0.0,"1",5010369581
21,"501036958",0.0,"1",5010369581
22,"501036958",0.0,"1",5010369581
23,"501036958",0.0,"1",5010369581
24,"501036958",0.0,"1",5010369581
25,"501036958",0.0,"1",5010369581
26,"501036958",0.14,"1",5010369581
27,"501036958",0.0,"1",5010369581
28,"501036958",0.14,"1",5010369581
29,"501036958",0.0,"1",5010369581
30,"501036958",0.0,"1",5010369581
31,"501036958",0.0,"1",5010369581
32,"501036958",0.14,"1",5010369581
33,"501036958",0.0,"1",5010369581
34,"501036958",0.0,"1",5010369581
35,"501036958",0.0,"1",5010369581
36,"501036958",0.0,"1",5010369581
37,"501036958",0.0,"1",5010369581
38,"501036958",0.0,"1",5010369581
39,"501036958",0.0,"1",5010369581
40,"501036958",0.0,"1",5010369581
41,"501036958",0.0,"1",5010369581
42,"501036958",0.29,"1",5010369581
43,"501036958",0.0,"1",5010369581
44,"501036958",0.0,"1",5010369581
45,"501036958",0.0,"1",5010369581
46,"501036958",0.0,"1",5010369581
47,"501036958",0.0,"1",5010369581
48,"501036958",0.0,"1",5010369581
49,"501036958",0.0,"1",5010369581
50,"501036958",0.14,"1",5010369581
51,"501036958",0.0,"1",5010369581
52,"501036958",0.86,"1",5010369581
53,"501036958",2.14,"1",5010369581
54,"501036958",1.14,"1",5010369581
55,"501036958",1.14,"1",5010369581
56,"501036958",0.86,"1",5010369581
57,"501036958",0.0,"1",5010369581
58,"501036958",0.71,"1",5010369581
59,"501036958",0.29,"1",5010369581
60,"501036958",0.29,"1",5010369581
61,"501036958",0.43,"1",5010369581
62,"501036958",0.29,"1",5010369581
63,"501036958",1.0,"1",5010369581
64,"501036958",1.29,"1",5010369581
65,"501036958",1.71,"1",5010369581
66,"501036958",5.29,"1",5010369581
67,"501036958",5.14,"1",5010369581
68,"501036958",1.29,"1",5010369581
69,"501036958",0.29,"1",5010369581
70,"501036958",0.14,"1",5010369581
71,"501036958",0.0,"1",5010369581
72,"501036958",0.29,"1",5010369581
73,"501036958",0.29,"1",5010369581
74,"501036958",0.29,"1",5010369581
75,"501036958",1.43,"1",5010369581
76,"501036958",1.43,"1",5010369581
77,"501036958",0.57,"1",5010369581
78,"501036958",0.29,"1",5010369581
79,"501036958",0.0,"1",5010369581
80,"501036958",0.29,"1",5010369581
81,"501036958",1.0,"1",5010369581
82,"501036958",0.86,"1",5010369581
83,"501036958",0.43,"1",5010369581
84,"501036958",5.86,"1",5010369581
85,"501036958",15.43,"1",5010369581
86,"501036958",13.0,"1",5010369581
87,"501036958",9.57,"1",5010369581
88,"501036958",10.0,"1",5010369581
89,"501036958",9.0,"1",5010369581
90,"501036958",4.71,"1",5010369581
91,"501036958",3.71,"1",5010369581
92,"501036958",2.29,"1",5010369581
93,"501036958",0.43,"1",5010369581
94,"501036958",0.57,"1",5010369581
95,"501036958",0.29,"1",5010369581
96,"501036958",0.14,"1",5010369581
97,"501036958",0.14,"1",5010369581
98,"501036958",0.57,"1",5010369581
99,"501036958",0.43,"1",5010369581
100,"501036958",0.0,"1",5010369581
101,"501036958",0.0,"1",5010369581
102,"501036958",0.0,"1",5010369581
103,"501036958",0.14,"1",5010369581
104,"501036958",0.0,"1",5010369581
104,"501036958",0.0,"1",5010611901
0,"501061190",0.0,"1",5010611901
1,"501061190",0.0,"1",5010611901
2,"501061190",0.14,"1",5010611901
3,"501061190",0.14,"1",5010611901
4,"501061190",1.57,"1",5010611901
4,"501061190",1.57,"2",5010611902
5,"501061190",5.57,"2",5010611902
5,"501061190",5.57,"3",5010611903
6,"501061190",3.71,"3",5010611903
7,"501061190",3.0,"3",5010611903
7,"501061190",3.0,"2",5010611904
8,"501061190",2.29,"2",5010611904
9,"501061190",1.57,"2",5010611904
10,"501061190",2.71,"2",5010611904
11,"501061190",1.14,"2",5010611904
11,"501061190",1.14,"1b",5010611905
12,"501061190",0.29,"1b",5010611905
13,"501061190",0.29,"1b",5010611905
13,"501061190",0.29,"2",5010611906
14,"501061190",2.57,"2",5010611906
15,"501061190",1.0,"2",5010611906
15,"501061190",1.0,"1b",5010611907
16,"501061190",0.14,"1b",5010611907
17,"501061190",0.14,"1b",5010611907
17,"501061190",0.14,"1",5010611908
18,"501061190",0.29,"1",5010611908
19,"501061190",0.0,"1",5010611908
20,"501061190",0.0,"1",5010611908
21,"501061190",0.0,"1",5010611908
22,"501061190",0.0,"1",5010611908
23,"501061190",0.0,"1",5010611908
24,"501061190",0.14,"1",5010611908
24,"501061190",0.14,"1b",5010611909
25,"501061190",0.57,"1b",5010611909
25,"501061190",0.57,"2",50106119010
26,"501061190",0.86,"2",50106119010
27,"501061190",0.14,"2",50106119010
27,"501061190",0.14,"1b",50106119011
28,"501061190",0.0,"1b",50106119011
29,"501061190",0.0,"1b",50106119011
29,"501061190",0.0,"1",50106119012
30,"501061190",0.29,"1",50106119012
31,"501061190",0.14,"1",50106119012
32,"501061190",0.0,"1",50106119012
33,"501061190",0.0,"1",50106119012
34,"501061190",0.0,"1",50106119012
35,"501061190",0.0,"1",50106119012
36,"501061190",0.0,"1",50106119012
37,"501061190",0.0,"1",50106119012
38,"501061190",0.29,"1",50106119012
39,"501061190",1.14,"1",50106119012
39,"501061190",1.14,"2",50106119013
40,"501061190",3.29,"2",50106119013
41,"501061190",2.86,"2",50106119013
41,"501061190",2.86,"1b",50106119014
42,"501061190",0.71,"1b",50106119014
43,"501061190",0.14,"1b",50106119014
43,"501061190",0.14,"1",50106119015
44,"501061190",0.71,"1",50106119015
44,"501061190",0.71,"1b",50106119016
45,"501061190",2.29,"1b",50106119016
45,"501061190",2.29,"2",50106119017
46,"501061190",2.86,"2",50106119017
47,"501061190",2.71,"2",50106119017
48,"501061190",4.0,"2",50106119017
49,"501061190",3.14,"2",50106119017
50,"501061190",4.71,"2",50106119017
51,"501061190",0.71,"2",50106119017
51,"501061190",0.71,"1b",50106119018
52,"501061190",0.71,"1b",50106119018
53,"501061190",0.0,"1b",50106119018
53,"501061190",0.0,"1",50106119019
54,"501061190",0.29,"1",50106119019
55,"501061190",0.57,"1",50106119019
56,"501061190",4.71,"1",50106119019
57,"501061190",10.57,"1",50106119019
58,"501061190",12.86,"1",50106119019
59,"501061190",22.57,"1",50106119019
60,"501061190",66.86,"1",50106119019
60,"501061190",66.86,"2",50106119020
61,"501061190",142.29,"2",50106119020
61,"501061190",142.29,"4",50106119021
62,"501061190",201.14,"4",50106119021
63,"501061190",93.71,"4",50106119021
64,"501061190",41.14,"4",50106119021
64,"501061190",41.14,"3",50106119022
65,"501061190",9.14,"3",50106119022
66,"501061190",4.57,"3",50106119022
66,"501061190",4.57,"2",50106119023
67,"501061190",3.14,"2",50106119023
68,"501061190",2.57,"2",50106119023
68,"501061190",2.57,"1b",50106119024
69,"501061190",3.71,"1b",50106119024
70,"501061190",4.71,"1b",50106119024
70,"501061190",4.71,"1",50106119025
71,"501061190",2.71,"1",50106119025
72,"501061190",5.14,"1",50106119025
73,"501061190",7.71,"1",50106119025
74,"501061190",11.86,"1",50106119025
75,"501061190",4.57,"1",50106119025
76,"501061190",3.57,"1",50106119025
77,"501061190",2.43,"1",50106119025
78,"501061190",1.71,"1",50106119025
79,"501061190",1.0,"1",50106119025
80,"501061190",0.43,"1",50106119025
81,"501061190",0.43,"1",50106119025
82,"501061190",0.29,"1",50106119025
83,"501061190",0.0,"1",50106119025
84,"501061190",0.29,"1",50106119025
85,"501061190",1.14,"1",50106119025
86,"501061190",2.0,"1",50106119025
87,"501061190",3.71,"1",50106119025
88,"501061190",1.43,"1",50106119025
89,"501061190",0.43,"1",50106119025
90,"501061190",1.86,"1",50106119025
91,"501061190",13.29,"1",50106119025
92,"501061190",20.86,"1",50106119025
93,"501061190",11.43,"1",50106119025
94,"501061190",3.43,"1",50106119025
95,"501061190",7.14,"1",50106119025
96,"501061190",4.0,"1",50106119025
97,"501061190",3.29,"1",50106119025
98,"501061190",2.14,"1",50106119025
99,"501061190",1.71,"1",50106119025
100,"501061190",0.57,"1",50106119025
101,"501061190",0.86,"1",50106119025
102,"501061190",0.57,"1",50106119025
103,"501061190",0.86,"1",50106119025
104,"501061190",1.57,"1",50106119025
104,"501061190",1.57,"1",50106692825
0,"501066928",0.0,"1",50106692825
1,"501066928",0.14,"1",50106692825
2,"501066928",0.0,"1",50106692825
3,"501066928",0.0,"1",50106692825
4,"501066928",0.0,"1",50106692825
5,"501066928",0.0,"1",50106692825
6,"501066928",0.0,"1",50106692825
7,"501066928",0.0,"1",50106692825
8,"501066928",0.29,"1",50106692825
9,"501066928",0.29,"1",50106692825
9,"501066928",0.29,"1b",50106692826
10,"501066928",2.29,"1b",50106692826
10,"501066928",2.29,"2",50106692827
11,"501066928",0.29,"2",50106692827
12,"501066928",1.29,"2",50106692827
12,"501066928",1.29,"1b",50106692828
13,"501066928",0.0,"1b",50106692828
14,"501066928",0.0,"1b",50106692828
14,"501066928",0.0,"1",50106692829
15,"501066928",0.0,"1",50106692829
16,"501066928",0.0,"1",50106692829
17,"501066928",0.0,"1",50106692829
18,"501066928",0.0,"1",50106692829
19,"501066928",0.0,"1",50106692829
20,"501066928",0.14,"1",50106692829
21,"501066928",0.14,"1",50106692829
22,"501066928",0.0,"1",50106692829
23,"501066928",0.14,"1",50106692829
24,"501066928",0.0,"1",50106692829
25,"501066928",0.0,"1",50106692829
26,"501066928",0.0,"1",50106692829
27,"501066928",0.0,"1",50106692829
28,"501066928",0.0,"1",50106692829
29,"501066928",0.14,"1",50106692829
30,"501066928",0.0,"1",50106692829
31,"501066928",0.0,"1",50106692829
32,"501066928",0.0,"1",50106692829
33,"501066928",0.0,"1",50106692829
34,"501066928",0.0,"1",50106692829
35,"501066928",0.14,"1",50106692829
36,"501066928",0.57,"1",50106692829
36,"501066928",0.57,"1b",50106692830
37,"501066928",0.86,"1b",50106692830
37,"501066928",0.86,"2",50106692831
38,"501066928",0.14,"2",50106692831
39,"501066928",0.14,"2",50106692831
39,"501066928",0.14,"1b",50106692832
40,"501066928",0.0,"1b",50106692832
41,"501066928",0.0,"1b",50106692832
41,"501066928",0.0,"1",50106692833
42,"501066928",0.0,"1",50106692833
43,"501066928",0.0,"1",50106692833
44,"501066928",0.0,"1",50106692833
45,"501066928",0.14,"1",50106692833
46,"501066928",0.0,"1",50106692833
47,"501066928",0.14,"1",50106692833
48,"501066928",0.0,"1",50106692833
49,"501066928",0.0,"1",50106692833
50,"501066928",0.14,"1",50106692833
51,"501066928",0.29,"1",50106692833
52,"501066928",0.0,"1",50106692833
53,"501066928",0.14,"1",50106692833
54,"501066928",0.71,"1",50106692833
55,"501066928",2.57,"1",50106692833
56,"501066928",5.0,"1",50106692833
57,"501066928",6.14,"1",50106692833
58,"501066928",5.43,"1",50106692833
59,"501066928",3.86,"1",50106692833
60,"501066928",3.29,"1",50106692833
61,"501066928",3.71,"1",50106692833
62,"501066928",4.57,"1",50106692833
