"wk","tr","nc","stg","id"
0,"2121036958",0.0,"1",21210369581
1,"2121036958",0.0,"1",21210369581
2,"2121036958",0.0,"1",21210369581
3,"2121036958",0.14,"1",21210369581
4,"2121036958",0.0,"1",21210369581
5,"2121036958",0.0,"1",21210369581
6,"2121036958",0.0,"1",21210369581
7,"2121036958",0.0,"1",21210369581
8,"2121036958",0.0,"1",21210369581
9,"2121036958",0.0,"1",21210369581
10,"2121036958",0.0,"1",21210369581
11,"2121036958",0.14,"1",21210369581
12,"2121036958",0.0,"1",21210369581
13,"2121036958",0.0,"1",21210369581
14,"2121036958",0.0,"1",21210369581
15,"2121036958",0.14,"1",21210369581
16,"2121036958",0.14,"1",21210369581
17,"2121036958",0.14,"1",21210369581
18,"2121036958",0.0,"1",21210369581
19,"2121036958",0.14,"1",21210369581
20,"2121036958",0.0,"1",21210369581
21,"2121036958",0.0,"1",21210369581
22,"2121036958",0.0,"1",21210369581
23,"2121036958",0.0,"1",21210369581
24,"2121036958",0.0,"1",21210369581
25,"2121036958",0.0,"1",21210369581
26,"2121036958",0.14,"1",21210369581
27,"2121036958",0.0,"1",21210369581
28,"2121036958",0.14,"1",21210369581
29,"2121036958",0.0,"1",21210369581
30,"2121036958",0.0,"1",21210369581
31,"2121036958",0.0,"1",21210369581
32,"2121036958",0.14,"1",21210369581
33,"2121036958",0.0,"1",21210369581
34,"2121036958",0.0,"1",21210369581
35,"2121036958",0.0,"1",21210369581
36,"2121036958",0.0,"1",21210369581
37,"2121036958",0.0,"1",21210369581
38,"2121036958",0.0,"1",21210369581
39,"2121036958",0.0,"1",21210369581
40,"2121036958",0.0,"1",21210369581
41,"2121036958",0.0,"1",21210369581
42,"2121036958",0.29,"1",21210369581
43,"2121036958",0.0,"1",21210369581
44,"2121036958",0.0,"1",21210369581
45,"2121036958",0.0,"1",21210369581
46,"2121036958",0.0,"1",21210369581
47,"2121036958",0.0,"1",21210369581
48,"2121036958",0.0,"1",21210369581
49,"2121036958",0.0,"1",21210369581
50,"2121036958",0.14,"1",21210369581
51,"2121036958",0.0,"1",21210369581
52,"2121036958",0.86,"1",21210369581
53,"2121036958",3.57,"1",21210369581
54,"2121036958",2.57,"1",21210369581
55,"2121036958",1.14,"1",21210369581
56,"2121036958",1.71,"1",21210369581
57,"2121036958",4.71,"1",21210369581
58,"2121036958",1.43,"1",21210369581
59,"2121036958",1.14,"1",21210369581
60,"2121036958",1.43,"1",21210369581
61,"2121036958",4.0,"1",21210369581
