"wk","tr","nc","stg","id"
0,"251030464",0.0,"1",2510304641
1,"251030464",0.0,"1",2510304641
2,"251030464",0.0,"1",2510304641
3,"251030464",0.0,"1",2510304641
4,"251030464",0.0,"1",2510304641
5,"251030464",0.0,"1",2510304641
6,"251030464",0.0,"1",2510304641
7,"251030464",0.0,"1",2510304641
8,"251030464",0.0,"1",2510304641
9,"251030464",0.14,"1",2510304641
10,"251030464",0.14,"1",2510304641
11,"251030464",0.43,"1",2510304641
11,"251030464",0.43,"1b",2510304642
12,"251030464",0.14,"1b",2510304642
13,"251030464",0.0,"1b",2510304642
13,"251030464",0.0,"1",2510304643
14,"251030464",0.14,"1",2510304643
15,"251030464",0.14,"1",2510304643
16,"251030464",0.14,"1",2510304643
17,"251030464",0.0,"1",2510304643
18,"251030464",0.14,"1",2510304643
19,"251030464",0.14,"1",2510304643
20,"251030464",0.0,"1",2510304643
21,"251030464",0.0,"1",2510304643
22,"251030464",0.14,"1",2510304643
23,"251030464",0.29,"1",2510304643
24,"251030464",0.57,"1",2510304643
25,"251030464",1.29,"1",2510304643
25,"251030464",1.29,"2",2510304644
26,"251030464",0.43,"2",2510304644
27,"251030464",0.14,"2",2510304644
27,"251030464",0.14,"1b",2510304645
28,"251030464",0.0,"1b",2510304645
29,"251030464",0.0,"1b",2510304645
29,"251030464",0.0,"1",2510304646
30,"251030464",1.57,"1",2510304646
31,"251030464",3.29,"1",2510304646
32,"251030464",5.0,"1",2510304646
33,"251030464",8.14,"1",2510304646
34,"251030464",13.57,"1",2510304646
35,"251030464",12.14,"1",2510304646
36,"251030464",19.71,"1",2510304646
37,"251030464",16.57,"1",2510304646
38,"251030464",40.0,"1",2510304646
39,"251030464",62.29,"1",2510304646
39,"251030464",62.29,"1b",2510304647
40,"251030464",54.29,"1b",2510304647
40,"251030464",54.29,"2",2510304648
41,"251030464",56.0,"2",2510304648
42,"251030464",48.0,"2",2510304648
42,"251030464",48.0,"3",2510304649
43,"251030464",36.57,"3",2510304649
43,"251030464",36.57,"4",25103046410
44,"251030464",20.57,"4",25103046410
45,"251030464",10.29,"4",25103046410
45,"251030464",10.29,"3",25103046411
46,"251030464",5.29,"3",25103046411
47,"251030464",3.14,"3",25103046411
47,"251030464",3.14,"2",25103046412
48,"251030464",3.43,"2",25103046412
49,"251030464",3.29,"2",25103046412
49,"251030464",3.29,"1b",25103046413
50,"251030464",3.29,"1b",25103046413
51,"251030464",4.29,"1b",25103046413
51,"251030464",4.29,"1",25103046414
52,"251030464",10.43,"1",25103046414
53,"251030464",14.14,"1",25103046414
54,"251030464",16.71,"1",25103046414
55,"251030464",12.29,"1",25103046414
56,"251030464",23.43,"1",25103046414
57,"251030464",31.43,"1",25103046414
58,"251030464",38.29,"1",25103046414
59,"251030464",51.43,"1",25103046414
60,"251030464",59.43,"1",25103046414
60,"251030464",59.43,"1b",25103046415
61,"251030464",61.71,"1b",25103046415
61,"251030464",61.71,"2",25103046416
62,"251030464",37.14,"2",25103046416
63,"251030464",29.14,"2",25103046416
63,"251030464",29.14,"1b",25103046417
64,"251030464",37.71,"1b",25103046417
