"wk","tr","nc","stg","id"
0,"2571030464",0.0,"1",25710304641
1,"2571030464",0.0,"1",25710304641
2,"2571030464",0.0,"1",25710304641
3,"2571030464",0.0,"1",25710304641
4,"2571030464",0.0,"1",25710304641
5,"2571030464",0.0,"1",25710304641
6,"2571030464",0.0,"1",25710304641
7,"2571030464",0.0,"1",25710304641
8,"2571030464",0.0,"1",25710304641
9,"2571030464",0.14,"1",25710304641
10,"2571030464",0.0,"1",25710304641
11,"2571030464",0.14,"1",25710304641
12,"2571030464",0.57,"1",25710304641
13,"2571030464",3.57,"1",25710304641
13,"2571030464",3.57,"1b",25710304642
14,"2571030464",7.0,"1b",25710304642
14,"2571030464",7.0,"2",25710304643
15,"2571030464",9.0,"2",25710304643
16,"2571030464",11.57,"2",25710304643
16,"2571030464",11.57,"1b",25710304644
17,"2571030464",13.0,"1b",25710304644
18,"2571030464",16.14,"1b",25710304644
18,"2571030464",16.14,"1",25710304645
19,"2571030464",20.29,"1",25710304645
20,"2571030464",24.0,"1",25710304645
21,"2571030464",42.86,"1",25710304645
21,"2571030464",42.86,"1b",25710304646
22,"2571030464",81.71,"1b",25710304646
22,"2571030464",81.71,"2",25710304647
23,"2571030464",54.86,"2",25710304647
23,"2571030464",54.86,"3",25710304648
24,"2571030464",45.71,"3",25710304648
24,"2571030464",45.71,"4",25710304649
25,"2571030464",18.29,"4",25710304649
26,"2571030464",8.0,"4",25710304649
26,"2571030464",8.0,"3",257103046410
27,"2571030464",5.14,"3",257103046410
28,"2571030464",3.57,"3",257103046410
28,"2571030464",3.57,"2",257103046411
29,"2571030464",2.86,"2",257103046411
30,"2571030464",3.0,"2",257103046411
30,"2571030464",3.0,"1b",257103046412
31,"2571030464",5.57,"1b",257103046412
32,"2571030464",5.29,"1b",257103046412
32,"2571030464",5.29,"1",257103046413
33,"2571030464",5.43,"1",257103046413
34,"2571030464",11.86,"1",257103046413
35,"2571030464",21.57,"1",257103046413
36,"2571030464",32.57,"1",257103046413
37,"2571030464",52.57,"1",257103046413
38,"2571030464",107.43,"1",257103046413
39,"2571030464",258.29,"1",257103046413
40,"2571030464",704.0,"1",257103046413
40,"2571030464",704.0,"1b",257103046414
41,"2571030464",1700.57,"1b",257103046414
41,"2571030464",1700.57,"4",257103046415
42,"2571030464",804.57,"4",257103046415
43,"2571030464",841.14,"4",257103046415
44,"2571030464",448.0,"4",257103046415
45,"2571030464",173.71,"4",257103046415
46,"2571030464",91.43,"4",257103046415
47,"2571030464",75.43,"4",257103046415
47,"2571030464",75.43,"3",257103046416
48,"2571030464",41.14,"3",257103046416
49,"2571030464",17.14,"3",257103046416
49,"2571030464",17.14,"2",257103046417
50,"2571030464",17.14,"2",257103046417
51,"2571030464",12.0,"2",257103046417
51,"2571030464",12.0,"1b",257103046418
52,"2571030464",6.86,"1b",257103046418
53,"2571030464",2.86,"1b",257103046418
53,"2571030464",2.86,"1",257103046419
54,"2571030464",5.29,"1",257103046419
55,"2571030464",10.43,"1",257103046419
56,"2571030464",20.43,"1",257103046419
57,"2571030464",23.86,"1",257103046419
58,"2571030464",27.43,"1",257103046419
59,"2571030464",72.0,"1",257103046419
60,"2571030464",174.29,"1",257103046419
61,"2571030464",388.57,"1",257103046419
61,"2571030464",388.57,"2",257103046420
62,"2571030464",493.71,"2",257103046420
62,"2571030464",493.71,"3",257103046421
63,"2571030464",466.29,"3",257103046421
63,"2571030464",466.29,"4",257103046422
64,"2571030464",201.14,"4",257103046422
65,"2571030464",137.14,"4",257103046422
65,"2571030464",137.14,"3",257103046423
66,"2571030464",169.14,"3",257103046423
66,"2571030464",169.14,"4",257103046424
67,"2571030464",59.43,"4",257103046424
68,"2571030464",45.71,"4",257103046424
68,"2571030464",45.71,"3",257103046425
69,"2571030464",26.29,"3",257103046425
70,"2571030464",21.14,"3",257103046425
70,"2571030464",21.14,"2",257103046426
71,"2571030464",20.57,"2",257103046426
72,"2571030464",44.0,"2",257103046426
72,"2571030464",44.0,"1b",257103046427
73,"2571030464",59.43,"1b",257103046427
74,"2571030464",78.86,"1b",257103046427
74,"2571030464",78.86,"1",257103046428
75,"2571030464",118.86,"1",257103046428
76,"2571030464",304.0,"1",257103046428
77,"2571030464",496.0,"1",257103046428
77,"2571030464",496.0,"1b",257103046429
78,"2571030464",896.0,"1b",257103046429
78,"2571030464",896.0,"2",257103046430
79,"2571030464",1453.71,"2",257103046430
79,"2571030464",1453.71,"4",257103046431
80,"2571030464",731.43,"4",257103046431
81,"2571030464",585.14,"4",257103046431
81,"2571030464",585.14,"1",257114971132
0,"2571149711",0.0,"1",257114971132
1,"2571149711",0.0,"1",257114971132
2,"2571149711",0.14,"1",257114971132
2,"2571149711",0.14,"1b",257114971133
3,"2571149711",0.14,"1b",257114971133
4,"2571149711",0.29,"1b",257114971133
4,"2571149711",0.29,"1",257114971134
5,"2571149711",1.57,"1",257114971134
5,"2571149711",1.57,"2",257114971135
6,"2571149711",1.43,"2",257114971135
7,"2571149711",0.57,"2",257114971135
7,"2571149711",0.57,"1b",257114971136
8,"2571149711",2.0,"1b",257114971136
9,"2571149711",7.0,"1b",257114971136
9,"2571149711",7.0,"2",257114971137
10,"2571149711",11.86,"2",257114971137
10,"2571149711",11.86,"3",257114971138
11,"2571149711",14.86,"3",257114971138
12,"2571149711",15.86,"3",257114971138
13,"2571149711",13.86,"3",257114971138
14,"2571149711",12.57,"3",257114971138
14,"2571149711",12.57,"2",257114971139
15,"2571149711",10.14,"2",257114971139
16,"2571149711",8.86,"2",257114971139
16,"2571149711",8.86,"1b",257114971140
17,"2571149711",12.71,"1b",257114971140
18,"2571149711",26.57,"1b",257114971140
18,"2571149711",26.57,"1",257114971141
19,"2571149711",56.57,"1",257114971141
20,"2571149711",104.57,"1",257114971141
20,"2571149711",104.57,"3",257114971142
21,"2571149711",125.71,"3",257114971142
21,"2571149711",125.71,"4",257114971143
22,"2571149711",43.43,"4",257114971143
23,"2571149711",12.57,"4",257114971143
24,"2571149711",11.43,"4",257114971143
24,"2571149711",11.43,"3",257114971144
25,"2571149711",6.86,"3",257114971144
26,"2571149711",4.86,"3",257114971144
