"wk","tr","nc","stg","id"
0,"1731030464",0.0,"1",17310304641
1,"1731030464",0.0,"1",17310304641
2,"1731030464",0.0,"1",17310304641
3,"1731030464",0.0,"1",17310304641
4,"1731030464",0.0,"1",17310304641
5,"1731030464",0.0,"1",17310304641
6,"1731030464",0.0,"1",17310304641
7,"1731030464",0.0,"1",17310304641
8,"1731030464",0.0,"1",17310304641
9,"1731030464",0.14,"1",17310304641
10,"1731030464",2.0,"1",17310304641
10,"1731030464",2.0,"1b",17310304642
11,"1731030464",6.86,"1b",17310304642
11,"1731030464",6.86,"2",17310304643
12,"1731030464",11.43,"2",17310304643
12,"1731030464",11.43,"3",17310304644
13,"1731030464",20.57,"3",17310304644
14,"1731030464",25.71,"3",17310304644
15,"1731030464",27.43,"3",17310304644
16,"1731030464",21.14,"3",17310304644
17,"1731030464",34.29,"3",17310304644
18,"1731030464",61.14,"3",17310304644
18,"1731030464",61.14,"4",17310304645
19,"1731030464",47.43,"4",17310304645
20,"1731030464",22.29,"4",17310304645
21,"1731030464",18.29,"4",17310304645
21,"1731030464",18.29,"3",17310304646
22,"1731030464",14.29,"3",17310304646
23,"1731030464",5.86,"3",17310304646
24,"1731030464",3.86,"3",17310304646
24,"1731030464",3.86,"2",17310304647
25,"1731030464",4.86,"2",17310304647
26,"1731030464",5.0,"2",17310304647
27,"1731030464",5.14,"2",17310304647
28,"1731030464",5.14,"2",17310304647
29,"1731030464",11.43,"2",17310304647
29,"1731030464",11.43,"1b",17310304648
30,"1731030464",31.57,"1b",17310304648
31,"1731030464",32.57,"1b",17310304648
32,"1731030464",64.0,"1b",17310304648
32,"1731030464",64.0,"2",17310304649
33,"1731030464",110.86,"2",17310304649
33,"1731030464",110.86,"3",173103046410
34,"1731030464",139.43,"3",173103046410
34,"1731030464",139.43,"4",173103046411
35,"1731030464",86.86,"4",173103046411
36,"1731030464",59.43,"4",173103046411
37,"1731030464",54.29,"4",173103046411
38,"1731030464",22.29,"4",173103046411
38,"1731030464",22.29,"3",173103046412
39,"1731030464",17.14,"3",173103046412
40,"1731030464",39.43,"3",173103046412
41,"1731030464",42.86,"3",173103046412
42,"1731030464",36.57,"3",173103046412
42,"1731030464",36.57,"4",173103046413
43,"1731030464",22.86,"4",173103046413
44,"1731030464",18.29,"4",173103046413
44,"1731030464",18.29,"3",173103046414
45,"1731030464",23.43,"3",173103046414
46,"1731030464",29.14,"3",173103046414
46,"1731030464",29.14,"2",173103046415
47,"1731030464",50.86,"2",173103046415
48,"1731030464",96.57,"2",173103046415
48,"1731030464",96.57,"3",173103046416
49,"1731030464",68.57,"3",173103046416
49,"1731030464",68.57,"4",173103046417
50,"1731030464",59.43,"4",173103046417
51,"1731030464",91.43,"4",173103046417
52,"1731030464",70.86,"4",173103046417
53,"1731030464",73.14,"4",173103046417
54,"1731030464",66.29,"4",173103046417
55,"1731030464",57.14,"4",173103046417
56,"1731030464",64.0,"4",173103046417
57,"1731030464",50.29,"4",173103046417
58,"1731030464",61.71,"4",173103046417
59,"1731030464",18.29,"4",173103046417
60,"1731030464",14.29,"4",173103046417
60,"1731030464",14.29,"3",173103046418
61,"1731030464",17.71,"3",173103046418
62,"1731030464",18.29,"3",173103046418
62,"1731030464",18.29,"2",173103046419
63,"1731030464",33.14,"2",173103046419
64,"1731030464",25.71,"2",173103046419
65,"1731030464",40.57,"2",173103046419
65,"1731030464",40.57,"1b",173103046420
66,"1731030464",79.43,"1b",173103046420
66,"1731030464",79.43,"2",173103046421
67,"1731030464",81.14,"2",173103046421
67,"1731030464",81.14,"3",173103046422
68,"1731030464",41.14,"3",173103046422
68,"1731030464",41.14,"4",173103046423
69,"1731030464",38.86,"4",173103046423
70,"1731030464",30.86,"4",173103046423
70,"1731030464",30.86,"3",173103046424
71,"1731030464",28.57,"3",173103046424
71,"1731030464",28.57,"4",173103046425
72,"1731030464",22.29,"4",173103046425
73,"1731030464",17.71,"4",173103046425
73,"1731030464",17.71,"3",173103046426
74,"1731030464",21.14,"3",173103046426
75,"1731030464",41.14,"3",173103046426
75,"1731030464",41.14,"2",173103046427
76,"1731030464",72.0,"2",173103046427
76,"1731030464",72.0,"3",173103046428
77,"1731030464",77.71,"3",173103046428
77,"1731030464",77.71,"4",173103046429
78,"1731030464",41.14,"4",173103046429
79,"1731030464",38.86,"4",173103046429
80,"1731030464",34.29,"4",173103046429
81,"1731030464",14.86,"4",173103046429
81,"1731030464",14.86,"1",173114971130
0,"1731149711",0.0,"1",173114971130
1,"1731149711",0.0,"1",173114971130
2,"1731149711",0.57,"1",173114971130
3,"1731149711",8.0,"1",173114971130
3,"1731149711",8.0,"1b",173114971131
4,"1731149711",33.43,"1b",173114971131
4,"1731149711",33.43,"3",173114971132
5,"1731149711",32.57,"3",173114971132
6,"1731149711",84.57,"3",173114971132
6,"1731149711",84.57,"4",173114971133
7,"1731149711",98.29,"4",173114971133
8,"1731149711",61.71,"4",173114971133
9,"1731149711",61.71,"4",173114971133
10,"1731149711",32.0,"4",173114971133
11,"1731149711",31.43,"4",173114971133
12,"1731149711",19.43,"4",173114971133
12,"1731149711",19.43,"3",173114971134
13,"1731149711",25.14,"3",173114971134
14,"1731149711",28.0,"3",173114971134
15,"1731149711",22.29,"3",173114971134
16,"1731149711",20.0,"3",173114971134
17,"1731149711",22.86,"3",173114971134
18,"1731149711",25.71,"3",173114971134
19,"1731149711",14.86,"3",173114971134
20,"1731149711",11.86,"3",173114971134
21,"1731149711",9.57,"3",173114971134
22,"1731149711",6.71,"3",173114971134
23,"1731149711",3.0,"3",173114971134
23,"1731149711",3.0,"2",173114971135
24,"1731149711",2.0,"2",173114971135
25,"1731149711",1.43,"2",173114971135
25,"1731149711",1.43,"1b",173114971136
26,"1731149711",2.14,"1b",173114971136
26,"1731149711",2.14,"2",173114971137
27,"1731149711",4.29,"2",173114971137
28,"1731149711",6.14,"2",173114971137
29,"1731149711",8.86,"2",173114971137
29,"1731149711",8.86,"1b",173114971138
30,"1731149711",19.57,"1b",173114971138
31,"1731149711",41.29,"1b",173114971138
32,"1731149711",115.43,"1b",173114971138
32,"1731149711",115.43,"2",173114971139
33,"1731149711",150.86,"2",173114971139
33,"1731149711",150.86,"4",173114971140
34,"1731149711",107.43,"4",173114971140
35,"1731149711",75.43,"4",173114971140
36,"1731149711",41.71,"4",173114971140
36,"1731149711",41.71,"3",173114971141
37,"1731149711",32.57,"3",173114971141
37,"1731149711",32.57,"4",173114971142
38,"1731149711",22.29,"4",173114971142
39,"1731149711",20.57,"4",173114971142
39,"1731149711",20.57,"3",173114971143
40,"1731149711",32.57,"3",173114971143
41,"1731149711",32.0,"3",173114971143
41,"1731149711",32.0,"2",173114971144
42,"1731149711",67.43,"2",173114971144
42,"1731149711",67.43,"3",173114971145
43,"1731149711",73.71,"3",173114971145
43,"1731149711",73.71,"4",173114971146
44,"1731149711",59.43,"4",173114971146
45,"1731149711",37.71,"4",173114971146
46,"1731149711",33.14,"4",173114971146
46,"1731149711",33.14,"3",173114971147
47,"1731149711",20.57,"3",173114971147
48,"1731149711",30.86,"3",173114971147
48,"1731149711",30.86,"2",173114971148
49,"1731149711",30.29,"2",173114971148
50,"1731149711",54.29,"2",173114971148
50,"1731149711",54.29,"1b",173114971149
51,"1731149711",89.71,"1b",173114971149
51,"1731149711",89.71,"2",173114971150
52,"1731149711",109.14,"2",173114971150
52,"1731149711",109.14,"3",173114971151
53,"1731149711",98.29,"3",173114971151
53,"1731149711",98.29,"4",173114971152
54,"1731149711",98.29,"4",173114971152
55,"1731149711",112.0,"4",173114971152
56,"1731149711",38.86,"4",173114971152
57,"1731149711",36.0,"4",173114971152
58,"1731149711",26.86,"4",173114971152
59,"1731149711",15.43,"4",173114971152
59,"1731149711",15.43,"3",173114971153
60,"1731149711",16.14,"3",173114971153
61,"1731149711",13.14,"3",173114971153
61,"1731149711",13.14,"2",173114971154
62,"1731149711",29.29,"2",173114971154
63,"1731149711",54.29,"2",173114971154
63,"1731149711",54.29,"1b",173114971155
64,"1731149711",104.0,"1b",173114971155
64,"1731149711",104.0,"2",173114971156
65,"1731149711",123.43,"2",173114971156
65,"1731149711",123.43,"4",173114971157
