"wk","tr","nc","stg","id"
0,"10261329940",0.0,"1",102613299401
1,"10261329940",0.0,"1",102613299401
2,"10261329940",0.0,"1",102613299401
3,"10261329940",0.43,"1",102613299401
4,"10261329940",6.0,"1",102613299401
4,"10261329940",6.0,"2",102613299402
5,"10261329940",8.0,"2",102613299402
6,"10261329940",15.0,"2",102613299402
6,"10261329940",15.0,"3",102613299403
7,"10261329940",13.43,"3",102613299403
8,"10261329940",12.57,"3",102613299403
9,"10261329940",17.14,"3",102613299403
10,"10261329940",20.57,"3",102613299403
10,"10261329940",20.57,"2",102613299404
11,"10261329940",54.86,"2",102613299404
11,"10261329940",54.86,"3",102613299405
12,"10261329940",54.29,"3",102613299405
12,"10261329940",54.29,"4",102613299406
13,"10261329940",30.29,"4",102613299406
14,"10261329940",16.0,"4",102613299406
14,"10261329940",16.0,"3",102613299407
15,"10261329940",12.0,"3",102613299407
16,"10261329940",10.86,"3",102613299407
16,"10261329940",10.86,"2",102613299408
17,"10261329940",8.57,"2",102613299408
18,"10261329940",6.57,"2",102613299408
18,"10261329940",6.57,"1b",102613299409
19,"10261329940",7.57,"1b",102613299409
20,"10261329940",17.0,"1b",102613299409
20,"10261329940",17.0,"1",1026132994010
21,"10261329940",29.71,"1",1026132994010
22,"10261329940",58.86,"1",1026132994010
22,"10261329940",58.86,"1b",1026132994011
23,"10261329940",117.14,"1b",1026132994011
23,"10261329940",117.14,"3",1026132994012
24,"10261329940",61.71,"3",1026132994012
25,"10261329940",59.43,"3",1026132994012
25,"10261329940",59.43,"4",1026132994013
26,"10261329940",36.57,"4",1026132994013
27,"10261329940",23.43,"4",1026132994013
28,"10261329940",13.71,"4",1026132994013
28,"10261329940",13.71,"3",1026132994014
29,"10261329940",12.86,"3",1026132994014
30,"10261329940",4.71,"3",1026132994014
30,"10261329940",4.71,"2",1026132994015
31,"10261329940",7.86,"2",1026132994015
31,"10261329940",7.86,"1b",1026132994016
32,"10261329940",8.57,"1b",1026132994016
32,"10261329940",8.57,"1",1026132994017
33,"10261329940",26.29,"1",1026132994017
34,"10261329940",35.43,"1",1026132994017
35,"10261329940",106.86,"1",1026132994017
36,"10261329940",240.0,"1",1026132994017
37,"10261329940",436.57,"1",1026132994017
38,"10261329940",1389.71,"1",1026132994017
39,"10261329940",3657.14,"1",1026132994017
39,"10261329940",3657.14,"1b",1026132994018
40,"10261329940",5814.86,"1b",1026132994018
40,"10261329940",5814.86,"2",1026132994019
41,"10261329940",6875.43,"2",1026132994019
41,"10261329940",6875.43,"3",1026132994020
42,"10261329940",6436.57,"3",1026132994020
42,"10261329940",6436.57,"4",1026132994021
43,"10261329940",3364.57,"4",1026132994021
44,"10261329940",2377.14,"4",1026132994021
44,"10261329940",2377.14,"3",1026132994022
45,"10261329940",1974.86,"3",1026132994022
45,"10261329940",1974.86,"4",1026132994023
46,"10261329940",1097.14,"4",1026132994023
47,"10261329940",1280.0,"4",1026132994023
47,"10261329940",1280.0,"3",1026132994024
48,"10261329940",1974.86,"3",1026132994024
48,"10261329940",1974.86,"4",1026132994025
49,"10261329940",2340.57,"4",1026132994025
50,"10261329940",1609.14,"4",1026132994025
50,"10261329940",1609.14,"3",1026132994026
51,"10261329940",1206.86,"3",1026132994026
51,"10261329940",1206.86,"4",1026132994027
52,"10261329940",310.86,"4",1026132994027
53,"10261329940",146.29,"4",1026132994027
53,"10261329940",146.29,"3",1026132994028
54,"10261329940",61.71,"3",1026132994028
55,"10261329940",16.0,"3",1026132994028
55,"10261329940",16.0,"2",1026132994029
56,"10261329940",20.57,"2",1026132994029
57,"10261329940",28.0,"2",1026132994029
