"wk","tr","nc","stg","id"
0,"1451036958",0.0,"1",14510369581
1,"1451036958",0.0,"1",14510369581
2,"1451036958",0.0,"1",14510369581
3,"1451036958",0.14,"1",14510369581
4,"1451036958",0.0,"1",14510369581
5,"1451036958",0.0,"1",14510369581
6,"1451036958",0.0,"1",14510369581
7,"1451036958",0.0,"1",14510369581
8,"1451036958",0.0,"1",14510369581
9,"1451036958",0.0,"1",14510369581
10,"1451036958",0.0,"1",14510369581
11,"1451036958",0.14,"1",14510369581
12,"1451036958",0.0,"1",14510369581
13,"1451036958",0.0,"1",14510369581
14,"1451036958",0.0,"1",14510369581
15,"1451036958",0.14,"1",14510369581
16,"1451036958",0.14,"1",14510369581
17,"1451036958",0.14,"1",14510369581
18,"1451036958",0.0,"1",14510369581
19,"1451036958",0.14,"1",14510369581
20,"1451036958",0.0,"1",14510369581
21,"1451036958",0.0,"1",14510369581
22,"1451036958",0.0,"1",14510369581
23,"1451036958",0.0,"1",14510369581
24,"1451036958",0.0,"1",14510369581
25,"1451036958",0.0,"1",14510369581
26,"1451036958",0.14,"1",14510369581
27,"1451036958",0.0,"1",14510369581
28,"1451036958",0.14,"1",14510369581
29,"1451036958",0.0,"1",14510369581
30,"1451036958",0.0,"1",14510369581
31,"1451036958",0.0,"1",14510369581
32,"1451036958",0.14,"1",14510369581
33,"1451036958",0.0,"1",14510369581
34,"1451036958",0.0,"1",14510369581
35,"1451036958",0.0,"1",14510369581
36,"1451036958",0.0,"1",14510369581
37,"1451036958",0.0,"1",14510369581
38,"1451036958",0.0,"1",14510369581
39,"1451036958",0.0,"1",14510369581
40,"1451036958",0.0,"1",14510369581
41,"1451036958",0.0,"1",14510369581
42,"1451036958",0.29,"1",14510369581
43,"1451036958",0.86,"1",14510369581
44,"1451036958",4.14,"1",14510369581
45,"1451036958",6.29,"1",14510369581
46,"1451036958",13.0,"1",14510369581
47,"1451036958",13.57,"1",14510369581
48,"1451036958",12.14,"1",14510369581
49,"1451036958",11.29,"1",14510369581
50,"1451036958",11.86,"1",14510369581
51,"1451036958",6.86,"1",14510369581
52,"1451036958",5.29,"1",14510369581
53,"1451036958",1.57,"1",14510369581
54,"1451036958",1.43,"1",14510369581
55,"1451036958",1.0,"1",14510369581
56,"1451036958",1.14,"1",14510369581
57,"1451036958",0.0,"1",14510369581
58,"1451036958",0.71,"1",14510369581
59,"1451036958",0.0,"1",14510369581
60,"1451036958",0.43,"1",14510369581
61,"1451036958",1.0,"1",14510369581
62,"1451036958",1.0,"1",14510369581
63,"1451036958",1.71,"1",14510369581
64,"1451036958",1.57,"1",14510369581
65,"1451036958",1.71,"1",14510369581
66,"1451036958",1.71,"1",14510369581
67,"1451036958",2.0,"1",14510369581
68,"1451036958",2.14,"1",14510369581
69,"1451036958",1.14,"1",14510369581
70,"1451036958",0.57,"1",14510369581
71,"1451036958",0.0,"1",14510369581
72,"1451036958",0.29,"1",14510369581
73,"1451036958",0.29,"1",14510369581
74,"1451036958",0.29,"1",14510369581
75,"1451036958",0.86,"1",14510369581
76,"1451036958",1.0,"1",14510369581
77,"1451036958",0.71,"1",14510369581
78,"1451036958",0.29,"1",14510369581
79,"1451036958",0.0,"1",14510369581
80,"1451036958",0.29,"1",14510369581
81,"1451036958",1.43,"1",14510369581
82,"1451036958",0.57,"1",14510369581
83,"1451036958",0.29,"1",14510369581
84,"1451036958",0.14,"1",14510369581
85,"1451036958",0.14,"1",14510369581
86,"1451036958",1.86,"1",14510369581
87,"1451036958",1.43,"1",14510369581
88,"1451036958",0.43,"1",14510369581
89,"1451036958",2.29,"1",14510369581
90,"1451036958",1.29,"1",14510369581
91,"1451036958",1.71,"1",14510369581
92,"1451036958",2.86,"1",14510369581
93,"1451036958",4.86,"1",14510369581
94,"1451036958",3.43,"1",14510369581
95,"1451036958",5.14,"1",14510369581
96,"1451036958",6.71,"1",14510369581
97,"1451036958",3.14,"1",14510369581
98,"1451036958",3.14,"1",14510369581
99,"1451036958",2.86,"1",14510369581
100,"1451036958",3.43,"1",14510369581
101,"1451036958",6.71,"1",14510369581
102,"1451036958",3.86,"1",14510369581
103,"1451036958",4.29,"1",14510369581
104,"1451036958",6.0,"1",14510369581
104,"1451036958",6.0,"1",14510611901
0,"1451061190",0.0,"1",14510611901
1,"1451061190",0.0,"1",14510611901
2,"1451061190",0.14,"1",14510611901
3,"1451061190",0.14,"1",14510611901
4,"1451061190",1.57,"1",14510611901
4,"1451061190",1.57,"3",14510611902
5,"1451061190",6.0,"3",14510611902
6,"1451061190",3.71,"3",14510611902
6,"1451061190",3.71,"2",14510611903
7,"1451061190",2.57,"2",14510611903
8,"1451061190",4.0,"2",14510611903
9,"1451061190",3.43,"2",14510611903
10,"1451061190",0.57,"2",14510611903
10,"1451061190",0.57,"1b",14510611904
11,"1451061190",0.29,"1b",14510611904
12,"1451061190",0.29,"1b",14510611904
13,"1451061190",0.43,"1b",14510611904
14,"1451061190",0.57,"1b",14510611904
15,"1451061190",0.71,"1b",14510611904
15,"1451061190",0.71,"2",14510611905
16,"1451061190",0.29,"2",14510611905
17,"1451061190",1.0,"2",14510611905
18,"1451061190",1.43,"2",14510611905
19,"1451061190",1.14,"2",14510611905
19,"1451061190",1.14,"1b",14510611906
20,"1451061190",0.57,"1b",14510611906
21,"1451061190",0.0,"1b",14510611906
21,"1451061190",0.0,"1",14510611907
22,"1451061190",0.0,"1",14510611907
23,"1451061190",0.0,"1",14510611907
24,"1451061190",0.14,"1",14510611907
25,"1451061190",0.29,"1",14510611907
