"wk","tr","nc","stg","id"
0,"1341030464",0.0,"1",13410304641
1,"1341030464",0.0,"1",13410304641
2,"1341030464",0.0,"1",13410304641
3,"1341030464",0.0,"1",13410304641
4,"1341030464",0.0,"1",13410304641
5,"1341030464",0.0,"1",13410304641
6,"1341030464",0.0,"1",13410304641
7,"1341030464",0.0,"1",13410304641
8,"1341030464",0.0,"1",13410304641
9,"1341030464",0.14,"1",13410304641
10,"1341030464",2.14,"1",13410304641
10,"1341030464",2.14,"1b",13410304642
11,"1341030464",14.14,"1b",13410304642
11,"1341030464",14.14,"3",13410304643
12,"1341030464",17.57,"3",13410304643
13,"1341030464",15.29,"3",13410304643
14,"1341030464",3.43,"3",13410304643
14,"1341030464",3.43,"2",13410304644
15,"1341030464",4.14,"2",13410304644
16,"1341030464",2.57,"2",13410304644
17,"1341030464",0.29,"2",13410304644
17,"1341030464",0.29,"1b",13410304645
18,"1341030464",0.29,"1b",13410304645
19,"1341030464",0.29,"1b",13410304645
19,"1341030464",0.29,"1",13410304646
20,"1341030464",1.29,"1",13410304646
21,"1341030464",3.14,"1",13410304646
21,"1341030464",3.14,"2",13410304647
22,"1341030464",5.43,"2",13410304647
23,"1341030464",7.29,"2",13410304647
23,"1341030464",7.29,"3",13410304648
24,"1341030464",4.71,"3",13410304648
25,"1341030464",4.43,"3",13410304648
25,"1341030464",4.43,"2",13410304649
26,"1341030464",2.29,"2",13410304649
27,"1341030464",3.43,"2",13410304649
28,"1341030464",2.0,"2",13410304649
29,"1341030464",0.71,"2",13410304649
29,"1341030464",0.71,"1b",134103046410
30,"1341030464",2.86,"1b",134103046410
31,"1341030464",5.29,"1b",134103046410
31,"1341030464",5.29,"1",134103046411
32,"1341030464",5.71,"1",134103046411
33,"1341030464",8.29,"1",134103046411
34,"1341030464",24.57,"1",134103046411
35,"1341030464",29.71,"1",134103046411
36,"1341030464",65.71,"1",134103046411
36,"1341030464",65.71,"1b",134103046412
37,"1341030464",105.71,"1b",134103046412
37,"1341030464",105.71,"3",134103046413
38,"1341030464",61.71,"3",134103046413
38,"1341030464",61.71,"4",134103046414
39,"1341030464",32.0,"4",134103046414
40,"1341030464",16.57,"4",134103046414
41,"1341030464",3.57,"4",134103046414
41,"1341030464",3.57,"3",134103046415
42,"1341030464",2.57,"3",134103046415
43,"1341030464",2.14,"3",134103046415
43,"1341030464",2.14,"2",134103046416
44,"1341030464",2.14,"2",134103046416
45,"1341030464",4.14,"2",134103046416
45,"1341030464",4.14,"1b",134103046417
46,"1341030464",7.86,"1b",134103046417
47,"1341030464",8.0,"1b",134103046417
47,"1341030464",8.0,"1",134103046418
48,"1341030464",8.86,"1",134103046418
49,"1341030464",21.71,"1",134103046418
50,"1341030464",26.57,"1",134103046418
51,"1341030464",55.43,"1",134103046418
52,"1341030464",130.86,"1",134103046418
52,"1341030464",130.86,"3",134103046419
53,"1341030464",182.86,"3",134103046419
53,"1341030464",182.86,"4",134103046420
54,"1341030464",173.71,"4",134103046420
55,"1341030464",114.29,"4",134103046420
56,"1341030464",77.71,"4",134103046420
57,"1341030464",52.57,"4",134103046420
58,"1341030464",20.57,"4",134103046420
59,"1341030464",7.0,"4",134103046420
59,"1341030464",7.0,"3",134103046421
60,"1341030464",2.71,"3",134103046421
61,"1341030464",2.43,"3",134103046421
61,"1341030464",2.43,"2",134103046422
62,"1341030464",1.71,"2",134103046422
63,"1341030464",1.71,"2",134103046422
63,"1341030464",1.71,"1b",134103046423
64,"1341030464",2.71,"1b",134103046423
65,"1341030464",4.0,"1b",134103046423
65,"1341030464",4.0,"1",134103046424
66,"1341030464",9.0,"1",134103046424
67,"1341030464",14.0,"1",134103046424
68,"1341030464",18.43,"1",134103046424
69,"1341030464",37.71,"1",134103046424
70,"1341030464",71.43,"1",134103046424
70,"1341030464",71.43,"1b",134103046425
71,"1341030464",116.0,"1b",134103046425
71,"1341030464",116.0,"3",134103046426
72,"1341030464",77.71,"3",134103046426
73,"1341030464",75.43,"3",134103046426
73,"1341030464",75.43,"4",134103046427
74,"1341030464",50.29,"4",134103046427
75,"1341030464",26.29,"4",134103046427
76,"1341030464",13.14,"4",134103046427
76,"1341030464",13.14,"3",134103046428
77,"1341030464",4.71,"3",134103046428
78,"1341030464",4.14,"3",134103046428
78,"1341030464",4.14,"2",134103046429
79,"1341030464",2.43,"2",134103046429
80,"1341030464",1.71,"2",134103046429
80,"1341030464",1.71,"1b",134103046430
81,"1341030464",1.14,"1b",134103046430
81,"1341030464",1.14,"1",134114971131
0,"1341149711",0.0,"1",134114971131
1,"1341149711",0.0,"1",134114971131
2,"1341149711",0.14,"1",134114971131
3,"1341149711",0.0,"1",134114971131
4,"1341149711",0.29,"1",134114971131
5,"1341149711",2.29,"1",134114971131
5,"1341149711",2.29,"1b",134114971132
6,"1341149711",9.57,"1b",134114971132
6,"1341149711",9.57,"3",134114971133
7,"1341149711",12.29,"3",134114971133
8,"1341149711",16.43,"3",134114971133
9,"1341149711",29.0,"3",134114971133
10,"1341149711",50.86,"3",134114971133
11,"1341149711",45.71,"3",134114971133
11,"1341149711",45.71,"4",134114971134
12,"1341149711",24.57,"4",134114971134
13,"1341149711",8.0,"4",134114971134
13,"1341149711",8.0,"3",134114971135
14,"1341149711",10.29,"3",134114971135
15,"1341149711",7.57,"3",134114971135
16,"1341149711",3.43,"3",134114971135
16,"1341149711",3.43,"2",134114971136
17,"1341149711",4.0,"2",134114971136
18,"1341149711",2.86,"2",134114971136
19,"1341149711",3.14,"2",134114971136
20,"1341149711",4.57,"2",134114971136
21,"1341149711",7.14,"2",134114971136
21,"1341149711",7.14,"3",134114971137
22,"1341149711",7.43,"3",134114971137
23,"1341149711",4.29,"3",134114971137
23,"1341149711",4.29,"2",134114971138
24,"1341149711",5.29,"2",134114971138
25,"1341149711",6.29,"2",134114971138
26,"1341149711",3.14,"2",134114971138
27,"1341149711",1.71,"2",134114971138
27,"1341149711",1.71,"1b",134114971139
28,"1341149711",1.71,"1b",134114971139
29,"1341149711",0.86,"1b",134114971139
29,"1341149711",0.86,"2",134114971140
30,"1341149711",0.57,"2",134114971140
31,"1341149711",0.57,"2",134114971140
31,"1341149711",0.57,"1b",134114971141
32,"1341149711",0.71,"1b",134114971141
33,"1341149711",1.29,"1b",134114971141
33,"1341149711",1.29,"1",134114971142
34,"1341149711",2.0,"1",134114971142
35,"1341149711",1.86,"1",134114971142
36,"1341149711",9.71,"1",134114971142
37,"1341149711",29.14,"1",134114971142
38,"1341149711",74.29,"1",134114971142
38,"1341149711",74.29,"1b",134114971143
39,"1341149711",199.43,"1b",134114971143
39,"1341149711",199.43,"3",134114971144
40,"1341149711",194.29,"3",134114971144
40,"1341149711",194.29,"4",134114971145
41,"1341149711",123.43,"4",134114971145
42,"1341149711",80.0,"4",134114971145
43,"1341149711",37.71,"4",134114971145
44,"1341149711",24.0,"4",134114971145
45,"1341149711",8.29,"4",134114971145
45,"1341149711",8.29,"3",134114971146
46,"1341149711",7.71,"3",134114971146
47,"1341149711",6.57,"3",134114971146
47,"1341149711",6.57,"2",134114971147
48,"1341149711",8.29,"2",134114971147
49,"1341149711",8.57,"2",134114971147
49,"1341149711",8.57,"1b",134114971148
50,"1341149711",15.71,"1b",134114971148
51,"1341149711",23.86,"1b",134114971148
51,"1341149711",23.86,"1",134114971149
52,"1341149711",42.86,"1",134114971149
53,"1341149711",72.0,"1",134114971149
53,"1341149711",72.0,"1b",134114971150
54,"1341149711",131.43,"1b",134114971150
54,"1341149711",131.43,"3",134114971151
55,"1341149711",146.29,"3",134114971151
55,"1341149711",146.29,"4",134114971152
56,"1341149711",66.29,"4",134114971152
57,"1341149711",50.29,"4",134114971152
58,"1341149711",16.0,"4",134114971152
58,"1341149711",16.0,"3",134114971153
59,"1341149711",3.14,"3",134114971153
60,"1341149711",2.57,"3",134114971153
60,"1341149711",2.57,"2",134114971154
61,"1341149711",1.14,"2",134114971154
62,"1341149711",2.14,"2",134114971154
62,"1341149711",2.14,"1b",134114971155
63,"1341149711",2.86,"1b",134114971155
64,"1341149711",1.29,"1b",134114971155
64,"1341149711",1.29,"1",134114971156
65,"1341149711",1.14,"1",134114971156
66,"1341149711",4.0,"1",134114971156
67,"1341149711",5.57,"1",134114971156
68,"1341149711",17.29,"1",134114971156
69,"1341149711",67.71,"1",134114971156
69,"1341149711",67.71,"1b",134114971157
70,"1341149711",108.57,"1b",134114971157
70,"1341149711",108.57,"2",134114971158
71,"1341149711",121.14,"2",134114971158
71,"1341149711",121.14,"3",134114971159
72,"1341149711",91.43,"3",134114971159
72,"1341149711",91.43,"4",134114971160
73,"1341149711",64.0,"4",134114971160
74,"1341149711",9.14,"4",134114971160
74,"1341149711",9.14,"3",134114971161
75,"1341149711",7.71,"3",134114971161
76,"1341149711",4.29,"3",134114971161
76,"1341149711",4.29,"2",134114971162
77,"1341149711",2.86,"2",134114971162
78,"1341149711",4.43,"2",134114971162
78,"1341149711",4.43,"1b",134114971163
79,"1341149711",4.29,"1b",134114971163
80,"1341149711",5.43,"1b",134114971163
80,"1341149711",5.43,"1",134114971164
81,"1341149711",6.14,"1",134114971164
81,"1341149711",6.14,"1",134116045364
0,"1341160453",0.0,"1",134116045364
1,"1341160453",0.0,"1",134116045364
2,"1341160453",0.0,"1",134116045364
3,"1341160453",0.29,"1",134116045364
4,"1341160453",2.29,"1",134116045364
4,"1341160453",2.29,"1b",134116045365
5,"1341160453",8.71,"1b",134116045365
5,"1341160453",8.71,"3",134116045366
6,"1341160453",7.86,"3",134116045366
7,"1341160453",11.29,"3",134116045366
8,"1341160453",17.14,"3",134116045366
9,"1341160453",19.14,"3",134116045366
10,"1341160453",21.14,"3",134116045366
11,"1341160453",24.57,"3",134116045366
12,"1341160453",22.29,"3",134116045366
13,"1341160453",30.86,"3",134116045366
14,"1341160453",48.0,"3",134116045366
14,"1341160453",48.0,"4",134116045367
15,"1341160453",34.29,"4",134116045367
16,"1341160453",30.86,"4",134116045367
17,"1341160453",18.86,"4",134116045367
18,"1341160453",13.71,"4",134116045367
18,"1341160453",13.71,"3",134116045368
19,"1341160453",9.57,"3",134116045368
20,"1341160453",7.0,"3",134116045368
21,"1341160453",6.14,"3",134116045368
21,"1341160453",6.14,"2",134116045369
22,"1341160453",8.57,"2",134116045369
22,"1341160453",8.57,"3",134116045370
23,"1341160453",10.14,"3",134116045370
24,"1341160453",9.86,"3",134116045370
24,"1341160453",9.86,"2",134116045371
25,"1341160453",9.71,"2",134116045371
26,"1341160453",16.14,"2",134116045371
26,"1341160453",16.14,"3",134116045372
27,"1341160453",14.57,"3",134116045372
28,"1341160453",16.71,"3",134116045372
29,"1341160453",16.57,"3",134116045372
29,"1341160453",16.57,"2",134116045373
30,"1341160453",17.14,"2",134116045373
31,"1341160453",18.86,"2",134116045373
31,"1341160453",18.86,"1b",134116045374
32,"1341160453",27.71,"1b",134116045374
33,"1341160453",52.57,"1b",134116045374
33,"1341160453",52.57,"1",134116045375
34,"1341160453",160.0,"1",134116045375
34,"1341160453",160.0,"3",134116045376
35,"1341160453",166.86,"3",134116045376
35,"1341160453",166.86,"4",134116045377
36,"1341160453",82.29,"4",134116045377
37,"1341160453",75.43,"4",134116045377
38,"1341160453",51.43,"4",134116045377
39,"1341160453",21.14,"4",134116045377
39,"1341160453",21.14,"3",134116045378
40,"1341160453",7.43,"3",134116045378
41,"1341160453",6.14,"3",134116045378
41,"1341160453",6.14,"2",134116045379
42,"1341160453",4.71,"2",134116045379
43,"1341160453",2.57,"2",134116045379
43,"1341160453",2.57,"1b",134116045380
44,"1341160453",4.14,"1b",134116045380
45,"1341160453",8.0,"1b",134116045380
45,"1341160453",8.0,"1",134116045381
46,"1341160453",19.0,"1",134116045381
47,"1341160453",39.43,"1",134116045381
48,"1341160453",160.0,"1",134116045381
48,"1341160453",160.0,"3",134116045382
49,"1341160453",226.29,"3",134116045382
49,"1341160453",226.29,"4",134116045383
50,"1341160453",162.29,"4",134116045383
51,"1341160453",109.71,"4",134116045383
52,"1341160453",41.14,"4",134116045383
53,"1341160453",20.0,"4",134116045383
54,"1341160453",18.29,"4",134116045383
54,"1341160453",18.29,"3",134116045384
55,"1341160453",5.86,"3",134116045384
56,"1341160453",4.0,"3",134116045384
56,"1341160453",4.0,"2",134116045385
57,"1341160453",2.29,"2",134116045385
58,"1341160453",3.29,"2",134116045385
58,"1341160453",3.29,"1b",134116045386
59,"1341160453",4.71,"1b",134116045386
60,"1341160453",10.86,"1b",134116045386
60,"1341160453",10.86,"1",134116045387
61,"1341160453",29.71,"1",134116045387
62,"1341160453",54.29,"1",134116045387
62,"1341160453",54.29,"1b",134116045388
63,"1341160453",108.0,"1b",134116045388
