"wk","tr","nc","stg","id"
0,"3981030464",0.0,"1",39810304641
1,"3981030464",0.0,"1",39810304641
2,"3981030464",0.0,"1",39810304641
3,"3981030464",0.0,"1",39810304641
4,"3981030464",0.0,"1",39810304641
5,"3981030464",0.0,"1",39810304641
6,"3981030464",0.0,"1",39810304641
7,"3981030464",0.0,"1",39810304641
8,"3981030464",0.0,"1",39810304641
9,"3981030464",0.14,"1",39810304641
10,"3981030464",0.14,"1",39810304641
10,"3981030464",0.14,"1b",39810304642
11,"3981030464",0.0,"1b",39810304642
12,"3981030464",0.0,"1b",39810304642
12,"3981030464",0.0,"1",39810304643
13,"3981030464",0.0,"1",39810304643
14,"3981030464",0.0,"1",39810304643
15,"3981030464",0.0,"1",39810304643
16,"3981030464",0.0,"1",39810304643
17,"3981030464",0.0,"1",39810304643
18,"3981030464",0.0,"1",39810304643
19,"3981030464",0.43,"1",39810304643
20,"3981030464",0.29,"1",39810304643
21,"3981030464",0.0,"1",39810304643
22,"3981030464",0.14,"1",39810304643
23,"3981030464",0.0,"1",39810304643
24,"3981030464",0.0,"1",39810304643
25,"3981030464",0.0,"1",39810304643
26,"3981030464",0.0,"1",39810304643
27,"3981030464",0.0,"1",39810304643
28,"3981030464",0.0,"1",39810304643
29,"3981030464",0.0,"1",39810304643
30,"3981030464",0.0,"1",39810304643
31,"3981030464",0.14,"1",39810304643
32,"3981030464",0.0,"1",39810304643
33,"3981030464",0.29,"1",39810304643
34,"3981030464",1.0,"1",39810304643
35,"3981030464",1.0,"1",39810304643
36,"3981030464",0.86,"1",39810304643
37,"3981030464",1.29,"1",39810304643
38,"3981030464",0.86,"1",39810304643
39,"3981030464",1.0,"1",39810304643
40,"3981030464",1.86,"1",39810304643
41,"3981030464",2.71,"1",39810304643
42,"3981030464",4.29,"1",39810304643
43,"3981030464",7.29,"1",39810304643
44,"3981030464",7.57,"1",39810304643
45,"3981030464",7.57,"1",39810304643
46,"3981030464",7.71,"1",39810304643
47,"3981030464",5.29,"1",39810304643
48,"3981030464",5.14,"1",39810304643
49,"3981030464",5.0,"1",39810304643
50,"3981030464",9.14,"1",39810304643
51,"3981030464",11.71,"1",39810304643
52,"3981030464",9.14,"1",39810304643
53,"3981030464",3.86,"1",39810304643
54,"3981030464",2.0,"1",39810304643
55,"3981030464",1.43,"1",39810304643
56,"3981030464",2.43,"1",39810304643
57,"3981030464",2.86,"1",39810304643
58,"3981030464",1.29,"1",39810304643
59,"3981030464",0.71,"1",39810304643
60,"3981030464",1.14,"1",39810304643
61,"3981030464",1.29,"1",39810304643
62,"3981030464",1.86,"1",39810304643
63,"3981030464",4.0,"1",39810304643
64,"3981030464",2.86,"1",39810304643
65,"3981030464",3.86,"1",39810304643
66,"3981030464",2.14,"1",39810304643
67,"3981030464",0.29,"1",39810304643
68,"3981030464",0.14,"1",39810304643
69,"3981030464",0.57,"1",39810304643
70,"3981030464",1.0,"1",39810304643
71,"3981030464",0.57,"1",39810304643
72,"3981030464",0.57,"1",39810304643
73,"3981030464",1.29,"1",39810304643
74,"3981030464",1.57,"1",39810304643
75,"3981030464",1.57,"1",39810304643
76,"3981030464",2.29,"1",39810304643
77,"3981030464",2.43,"1",39810304643
78,"3981030464",1.29,"1",39810304643
79,"3981030464",0.29,"1",39810304643
80,"3981030464",0.0,"1",39810304643
81,"3981030464",0.71,"1",39810304643
81,"3981030464",0.71,"1",39811497113
0,"3981149711",0.0,"1",39811497113
1,"3981149711",0.0,"1",39811497113
2,"3981149711",0.29,"1",39811497113
3,"3981149711",1.14,"1",39811497113
4,"3981149711",3.14,"1",39811497113
4,"3981149711",3.14,"2",39811497114
5,"3981149711",8.71,"2",39811497114
6,"3981149711",6.86,"2",39811497114
6,"3981149711",6.86,"3",39811497115
7,"3981149711",6.29,"3",39811497115
8,"3981149711",7.57,"3",39811497115
8,"3981149711",7.57,"2",39811497116
9,"3981149711",7.29,"2",39811497116
10,"3981149711",8.43,"2",39811497116
10,"3981149711",8.43,"3",39811497117
11,"3981149711",9.0,"3",39811497117
12,"3981149711",4.71,"3",39811497117
12,"3981149711",4.71,"2",39811497118
13,"3981149711",4.57,"2",39811497118
14,"3981149711",6.0,"2",39811497118
14,"3981149711",6.0,"1b",39811497119
15,"3981149711",6.14,"1b",39811497119
16,"3981149711",7.29,"1b",39811497119
16,"3981149711",7.29,"1",398114971110
17,"3981149711",7.43,"1",398114971110
18,"3981149711",16.14,"1",398114971110
19,"3981149711",19.29,"1",398114971110
20,"3981149711",19.29,"1",398114971110
21,"3981149711",12.57,"1",398114971110
22,"3981149711",7.71,"1",398114971110
23,"3981149711",3.14,"1",398114971110
24,"3981149711",1.29,"1",398114971110
25,"3981149711",1.14,"1",398114971110
26,"3981149711",0.43,"1",398114971110
27,"3981149711",0.71,"1",398114971110
28,"3981149711",1.0,"1",398114971110
29,"3981149711",0.71,"1",398114971110
30,"3981149711",0.43,"1",398114971110
31,"3981149711",0.57,"1",398114971110
32,"3981149711",0.0,"1",398114971110
33,"3981149711",0.43,"1",398114971110
34,"3981149711",0.14,"1",398114971110
35,"3981149711",1.71,"1",398114971110
36,"3981149711",3.0,"1",398114971110
37,"3981149711",4.57,"1",398114971110
38,"3981149711",4.43,"1",398114971110
39,"3981149711",8.29,"1",398114971110
40,"3981149711",5.29,"1",398114971110
41,"3981149711",4.86,"1",398114971110
42,"3981149711",8.0,"1",398114971110
43,"3981149711",7.0,"1",398114971110
44,"3981149711",11.86,"1",398114971110
45,"3981149711",6.86,"1",398114971110
46,"3981149711",5.71,"1",398114971110
47,"3981149711",6.86,"1",398114971110
48,"3981149711",15.43,"1",398114971110
49,"3981149711",16.43,"1",398114971110
50,"3981149711",13.57,"1",398114971110
51,"3981149711",13.43,"1",398114971110
52,"3981149711",15.71,"1",398114971110
53,"3981149711",19.43,"1",398114971110
54,"3981149711",16.0,"1",398114971110
55,"3981149711",7.14,"1",398114971110
56,"3981149711",9.0,"1",398114971110
57,"3981149711",8.29,"1",398114971110
58,"3981149711",5.71,"1",398114971110
