"wk","tr","nc","stg","id"
0,"11261329940",0.0,"1",112613299401
1,"11261329940",0.0,"1",112613299401
2,"11261329940",0.0,"1",112613299401
3,"11261329940",0.29,"1",112613299401
4,"11261329940",2.43,"1",112613299401
5,"11261329940",23.86,"1",112613299401
5,"11261329940",23.86,"2",112613299402
6,"11261329940",58.14,"2",112613299402
6,"11261329940",58.14,"4",112613299403
7,"11261329940",56.0,"4",112613299403
8,"11261329940",34.86,"4",112613299403
9,"11261329940",30.86,"4",112613299403
9,"11261329940",30.86,"3",112613299404
10,"11261329940",48.0,"3",112613299404
11,"11261329940",66.86,"3",112613299404
11,"11261329940",66.86,"4",112613299405
12,"11261329940",41.14,"4",112613299405
13,"11261329940",18.29,"4",112613299405
13,"11261329940",18.29,"3",112613299406
14,"11261329940",13.71,"3",112613299406
15,"11261329940",10.86,"3",112613299406
15,"11261329940",10.86,"2",112613299407
16,"11261329940",6.86,"2",112613299407
17,"11261329940",4.71,"2",112613299407
17,"11261329940",4.71,"1b",112613299408
18,"11261329940",6.86,"1b",112613299408
19,"11261329940",10.0,"1b",112613299408
19,"11261329940",10.0,"1",112613299409
20,"11261329940",32.43,"1",112613299409
21,"11261329940",116.0,"1",112613299409
21,"11261329940",116.0,"2",1126132994010
22,"11261329940",130.29,"2",1126132994010
22,"11261329940",130.29,"4",1126132994011
23,"11261329940",96.0,"4",1126132994011
24,"11261329940",52.57,"4",1126132994011
25,"11261329940",12.0,"4",1126132994011
26,"11261329940",11.14,"4",1126132994011
26,"11261329940",11.14,"3",1126132994012
27,"11261329940",4.57,"3",1126132994012
28,"11261329940",2.0,"3",1126132994012
28,"11261329940",2.0,"2",1126132994013
29,"11261329940",1.71,"2",1126132994013
29,"11261329940",1.71,"1b",1126132994014
30,"11261329940",8.29,"1b",1126132994014
30,"11261329940",8.29,"1",1126132994015
31,"11261329940",25.14,"1",1126132994015
32,"11261329940",90.0,"1",1126132994015
33,"11261329940",204.0,"1",1126132994015
34,"11261329940",514.29,"1",1126132994015
35,"11261329940",1545.14,"1",1126132994015
35,"11261329940",1545.14,"1b",1126132994016
36,"11261329940",4580.57,"1b",1126132994016
36,"11261329940",4580.57,"2",1126132994017
37,"11261329940",8301.71,"2",1126132994017
37,"11261329940",8301.71,"3",1126132994018
38,"11261329940",7021.71,"3",1126132994018
38,"11261329940",7021.71,"4",1126132994019
39,"11261329940",5266.29,"4",1126132994019
40,"11261329940",1792.0,"4",1126132994019
41,"11261329940",1206.86,"4",1126132994019
41,"11261329940",1206.86,"3",1126132994020
42,"11261329940",621.71,"3",1126132994020
42,"11261329940",621.71,"4",1126132994021
43,"11261329940",292.57,"4",1126132994021
44,"11261329940",164.57,"4",1126132994021
44,"11261329940",164.57,"3",1126132994022
45,"11261329940",77.71,"3",1126132994022
46,"11261329940",43.43,"3",1126132994022
46,"11261329940",43.43,"2",1126132994023
47,"11261329940",33.14,"2",1126132994023
48,"11261329940",33.71,"2",1126132994023
48,"11261329940",33.71,"1b",1126132994024
49,"11261329940",81.14,"1b",1126132994024
49,"11261329940",81.14,"1",1126132994025
50,"11261329940",226.29,"1",1126132994025
51,"11261329940",621.71,"1",1126132994025
52,"11261329940",2029.71,"1",1126132994025
52,"11261329940",2029.71,"1b",1126132994026
53,"11261329940",3401.14,"1b",1126132994026
53,"11261329940",3401.14,"2",1126132994027
54,"11261329940",6802.29,"2",1126132994027
54,"11261329940",6802.29,"3",1126132994028
55,"11261329940",8338.29,"3",1126132994028
55,"11261329940",8338.29,"4",1126132994029
56,"11261329940",6582.86,"4",1126132994029
57,"11261329940",5997.71,"4",1126132994029
58,"11261329940",1206.86,"4",1126132994029
58,"11261329940",1206.86,"3",1126132994030
59,"11261329940",621.71,"3",1126132994030
59,"11261329940",621.71,"4",1126132994031
60,"11261329940",356.57,"4",1126132994031
61,"11261329940",107.43,"4",1126132994031
61,"11261329940",107.43,"3",1126132994032
62,"11261329940",107.43,"3",1126132994032
63,"11261329940",59.43,"3",1126132994032
63,"11261329940",59.43,"2",1126132994033
64,"11261329940",44.57,"2",1126132994033
64,"11261329940",44.57,"1b",1126132994034
65,"11261329940",34.29,"1b",1126132994034
65,"11261329940",34.29,"1",1126132994035
66,"11261329940",119.43,"1",1126132994035
67,"11261329940",292.57,"1",1126132994035
68,"11261329940",772.57,"1",1126132994035
