"wk","tr","nc","stg","id"
0,"1081036958",0.0,"1",10810369581
1,"1081036958",0.0,"1",10810369581
2,"1081036958",0.0,"1",10810369581
3,"1081036958",0.14,"1",10810369581
4,"1081036958",0.0,"1",10810369581
5,"1081036958",0.0,"1",10810369581
6,"1081036958",0.0,"1",10810369581
7,"1081036958",0.0,"1",10810369581
8,"1081036958",0.0,"1",10810369581
9,"1081036958",0.0,"1",10810369581
10,"1081036958",0.0,"1",10810369581
11,"1081036958",0.14,"1",10810369581
12,"1081036958",0.71,"1",10810369581
12,"1081036958",0.71,"2",10810369582
13,"1081036958",0.86,"2",10810369582
14,"1081036958",0.0,"2",10810369582
14,"1081036958",0.0,"1b",10810369583
15,"1081036958",0.14,"1b",10810369583
16,"1081036958",1.57,"1b",10810369583
16,"1081036958",1.57,"2",10810369584
17,"1081036958",2.29,"2",10810369584
18,"1081036958",0.14,"2",10810369584
18,"1081036958",0.14,"1b",10810369585
19,"1081036958",0.14,"1b",10810369585
20,"1081036958",0.0,"1b",10810369585
20,"1081036958",0.0,"1",10810369586
21,"1081036958",0.0,"1",10810369586
22,"1081036958",0.0,"1",10810369586
23,"1081036958",0.0,"1",10810369586
24,"1081036958",0.0,"1",10810369586
25,"1081036958",0.0,"1",10810369586
26,"1081036958",0.14,"1",10810369586
27,"1081036958",0.0,"1",10810369586
28,"1081036958",0.14,"1",10810369586
29,"1081036958",0.0,"1",10810369586
30,"1081036958",0.14,"1",10810369586
31,"1081036958",0.0,"1",10810369586
32,"1081036958",0.14,"1",10810369586
33,"1081036958",0.0,"1",10810369586
34,"1081036958",0.0,"1",10810369586
35,"1081036958",0.0,"1",10810369586
36,"1081036958",0.0,"1",10810369586
37,"1081036958",0.0,"1",10810369586
38,"1081036958",0.0,"1",10810369586
39,"1081036958",0.0,"1",10810369586
40,"1081036958",0.0,"1",10810369586
41,"1081036958",0.0,"1",10810369586
42,"1081036958",0.71,"1",10810369586
43,"1081036958",0.14,"1",10810369586
44,"1081036958",0.0,"1",10810369586
45,"1081036958",0.0,"1",10810369586
46,"1081036958",0.0,"1",10810369586
47,"1081036958",0.0,"1",10810369586
48,"1081036958",0.0,"1",10810369586
49,"1081036958",0.0,"1",10810369586
50,"1081036958",0.14,"1",10810369586
51,"1081036958",0.0,"1",10810369586
52,"1081036958",0.14,"1",10810369586
53,"1081036958",1.43,"1",10810369586
54,"1081036958",1.71,"1",10810369586
55,"1081036958",2.0,"1",10810369586
56,"1081036958",2.0,"1",10810369586
57,"1081036958",4.71,"1",10810369586
58,"1081036958",6.29,"1",10810369586
59,"1081036958",1.86,"1",10810369586
60,"1081036958",1.71,"1",10810369586
61,"1081036958",1.43,"1",10810369586
62,"1081036958",1.86,"1",10810369586
63,"1081036958",7.57,"1",10810369586
64,"1081036958",4.86,"1",10810369586
65,"1081036958",4.14,"1",10810369586
66,"1081036958",1.29,"1",10810369586
67,"1081036958",1.57,"1",10810369586
68,"1081036958",1.57,"1",10810369586
69,"1081036958",2.29,"1",10810369586
70,"1081036958",4.14,"1",10810369586
71,"1081036958",6.29,"1",10810369586
72,"1081036958",5.14,"1",10810369586
73,"1081036958",2.86,"1",10810369586
74,"1081036958",1.14,"1",10810369586
75,"1081036958",1.0,"1",10810369586
76,"1081036958",1.71,"1",10810369586
77,"1081036958",2.14,"1",10810369586
78,"1081036958",1.71,"1",10810369586
79,"1081036958",1.43,"1",10810369586
80,"1081036958",1.57,"1",10810369586
81,"1081036958",2.29,"1",10810369586
82,"1081036958",2.0,"1",10810369586
83,"1081036958",1.43,"1",10810369586
84,"1081036958",2.71,"1",10810369586
85,"1081036958",1.43,"1",10810369586
86,"1081036958",1.57,"1",10810369586
87,"1081036958",1.57,"1",10810369586
88,"1081036958",1.86,"1",10810369586
89,"1081036958",2.29,"1",10810369586
