"wk","tr","nc","stg","id"
0,"3821030464",0.0,"1",38210304641
1,"3821030464",0.0,"1",38210304641
2,"3821030464",0.0,"1",38210304641
3,"3821030464",0.0,"1",38210304641
4,"3821030464",0.0,"1",38210304641
5,"3821030464",0.0,"1",38210304641
6,"3821030464",0.0,"1",38210304641
7,"3821030464",0.0,"1",38210304641
8,"3821030464",0.0,"1",38210304641
9,"3821030464",0.14,"1",38210304641
10,"3821030464",0.86,"1",38210304641
11,"3821030464",5.57,"1",38210304641
11,"3821030464",5.57,"2",38210304642
12,"3821030464",13.71,"2",38210304642
12,"3821030464",13.71,"3",38210304643
13,"3821030464",17.71,"3",38210304643
14,"3821030464",16.14,"3",38210304643
14,"3821030464",16.14,"2",38210304644
15,"3821030464",19.43,"2",38210304644
16,"3821030464",24.0,"2",38210304644
16,"3821030464",24.0,"1b",38210304645
17,"3821030464",36.57,"1b",38210304645
18,"3821030464",80.0,"1b",38210304645
19,"3821030464",134.86,"1b",38210304645
19,"3821030464",134.86,"3",38210304646
20,"3821030464",164.57,"3",38210304646
20,"3821030464",164.57,"4",38210304647
21,"3821030464",155.43,"4",38210304647
22,"3821030464",102.86,"4",38210304647
23,"3821030464",52.57,"4",38210304647
24,"3821030464",24.0,"4",38210304647
25,"3821030464",7.43,"4",38210304647
25,"3821030464",7.43,"3",38210304648
26,"3821030464",4.29,"3",38210304648
27,"3821030464",1.86,"3",38210304648
27,"3821030464",1.86,"2",38210304649
28,"3821030464",0.29,"2",38210304649
29,"3821030464",0.14,"2",38210304649
29,"3821030464",0.14,"1b",382103046410
30,"3821030464",35.43,"1b",382103046410
31,"3821030464",103.43,"1b",382103046410
31,"3821030464",103.43,"1",382103046411
32,"3821030464",248.0,"1",382103046411
33,"3821030464",480.0,"1",382103046411
33,"3821030464",480.0,"1b",382103046412
34,"3821030464",786.29,"1b",382103046412
34,"3821030464",786.29,"2",382103046413
35,"3821030464",978.29,"2",382103046413
35,"3821030464",978.29,"3",382103046414
36,"3821030464",950.86,"3",382103046414
36,"3821030464",950.86,"4",382103046415
37,"3821030464",566.86,"4",382103046415
38,"3821030464",457.14,"4",382103046415
39,"3821030464",228.57,"4",382103046415
40,"3821030464",123.43,"4",382103046415
41,"3821030464",70.86,"4",382103046415
41,"3821030464",70.86,"3",382103046416
42,"3821030464",96.0,"3",382103046416
43,"3821030464",132.57,"3",382103046416
43,"3821030464",132.57,"2",382103046417
44,"3821030464",169.14,"2",382103046417
45,"3821030464",160.0,"2",382103046417
45,"3821030464",160.0,"1b",382103046418
46,"3821030464",256.0,"1b",382103046418
47,"3821030464",388.57,"1b",382103046418
47,"3821030464",388.57,"2",382103046419
48,"3821030464",374.86,"2",382103046419
48,"3821030464",374.86,"3",382103046420
49,"3821030464",246.86,"3",382103046420
49,"3821030464",246.86,"4",382103046421
50,"3821030464",237.71,"4",382103046421
51,"3821030464",102.86,"4",382103046421
52,"3821030464",121.14,"4",382103046421
52,"3821030464",121.14,"3",382103046422
