"wk","tr","nc","stg","id"
0,"3581030464",0.0,"1",35810304641
1,"3581030464",0.0,"1",35810304641
2,"3581030464",0.0,"1",35810304641
3,"3581030464",0.0,"1",35810304641
4,"3581030464",0.0,"1",35810304641
5,"3581030464",0.0,"1",35810304641
6,"3581030464",0.0,"1",35810304641
7,"3581030464",0.0,"1",35810304641
8,"3581030464",0.0,"1",35810304641
9,"3581030464",0.14,"1",35810304641
10,"3581030464",2.14,"1",35810304641
10,"3581030464",2.14,"1b",35810304642
11,"3581030464",14.14,"1b",35810304642
11,"3581030464",14.14,"3",35810304643
12,"3581030464",17.57,"3",35810304643
13,"3581030464",15.29,"3",35810304643
14,"3581030464",3.43,"3",35810304643
14,"3581030464",3.43,"2",35810304644
15,"3581030464",2.14,"2",35810304644
16,"3581030464",2.43,"2",35810304644
16,"3581030464",2.43,"1b",35810304645
17,"3581030464",0.57,"1b",35810304645
18,"3581030464",0.0,"1b",35810304645
18,"3581030464",0.0,"1",35810304646
19,"3581030464",0.71,"1",35810304646
20,"3581030464",2.71,"1",35810304646
21,"3581030464",4.43,"1",35810304646
22,"3581030464",12.71,"1",35810304646
23,"3581030464",20.14,"1",35810304646
24,"3581030464",40.0,"1",35810304646
25,"3581030464",86.29,"1",35810304646
25,"3581030464",86.29,"1b",35810304647
26,"3581030464",98.86,"1b",35810304647
26,"3581030464",98.86,"3",35810304648
27,"3581030464",91.43,"3",35810304648
28,"3581030464",107.43,"3",35810304648
29,"3581030464",157.71,"3",35810304648
30,"3581030464",203.43,"3",35810304648
31,"3581030464",164.57,"3",35810304648
31,"3581030464",164.57,"4",35810304649
32,"3581030464",102.86,"4",35810304649
33,"3581030464",61.71,"4",35810304649
33,"3581030464",61.71,"3",358103046410
34,"3581030464",82.29,"3",358103046410
35,"3581030464",98.29,"3",358103046410
35,"3581030464",98.29,"2",358103046411
36,"3581030464",157.71,"2",358103046411
37,"3581030464",233.14,"2",358103046411
37,"3581030464",233.14,"1b",358103046412
38,"3581030464",310.86,"1b",358103046412
38,"3581030464",310.86,"2",358103046413
39,"3581030464",253.71,"2",358103046413
39,"3581030464",253.71,"3",358103046414
40,"3581030464",274.29,"3",358103046414
41,"3581030464",246.86,"3",358103046414
41,"3581030464",246.86,"2",358103046415
42,"3581030464",320.0,"2",358103046415
42,"3581030464",320.0,"3",358103046416
43,"3581030464",237.71,"3",358103046416
43,"3581030464",237.71,"4",358103046417
44,"3581030464",265.14,"4",358103046417
45,"3581030464",125.71,"4",358103046417
46,"3581030464",66.29,"4",358103046417
46,"3581030464",66.29,"3",358103046418
47,"3581030464",43.43,"3",358103046418
48,"3581030464",22.29,"3",358103046418
48,"3581030464",22.29,"2",358103046419
49,"3581030464",32.0,"2",358103046419
50,"3581030464",45.71,"2",358103046419
50,"3581030464",45.71,"1b",358103046420
51,"3581030464",57.14,"1b",358103046420
52,"3581030464",93.14,"1b",358103046420
