"wk","tr","nc","stg","id"
0,"731036958",0.0,"1",7310369581
1,"731036958",0.0,"1",7310369581
2,"731036958",0.0,"1",7310369581
3,"731036958",0.14,"1",7310369581
4,"731036958",0.0,"1",7310369581
5,"731036958",0.0,"1",7310369581
6,"731036958",0.0,"1",7310369581
7,"731036958",0.0,"1",7310369581
8,"731036958",0.0,"1",7310369581
9,"731036958",0.0,"1",7310369581
10,"731036958",0.0,"1",7310369581
11,"731036958",0.14,"1",7310369581
12,"731036958",0.0,"1",7310369581
13,"731036958",0.0,"1",7310369581
14,"731036958",0.0,"1",7310369581
15,"731036958",0.14,"1",7310369581
16,"731036958",0.14,"1",7310369581
17,"731036958",0.14,"1",7310369581
18,"731036958",0.0,"1",7310369581
19,"731036958",0.14,"1",7310369581
20,"731036958",0.0,"1",7310369581
21,"731036958",0.0,"1",7310369581
22,"731036958",0.0,"1",7310369581
23,"731036958",0.0,"1",7310369581
24,"731036958",0.0,"1",7310369581
25,"731036958",0.0,"1",7310369581
26,"731036958",0.14,"1",7310369581
27,"731036958",0.0,"1",7310369581
28,"731036958",0.14,"1",7310369581
29,"731036958",0.43,"1",7310369581
29,"731036958",0.43,"1b",7310369582
30,"731036958",1.29,"1b",7310369582
30,"731036958",1.29,"2",7310369583
31,"731036958",0.0,"2",7310369583
32,"731036958",0.29,"2",7310369583
32,"731036958",0.29,"1b",7310369584
33,"731036958",0.0,"1b",7310369584
34,"731036958",0.0,"1b",7310369584
34,"731036958",0.0,"1",7310369585
35,"731036958",0.0,"1",7310369585
36,"731036958",0.0,"1",7310369585
37,"731036958",0.0,"1",7310369585
38,"731036958",0.0,"1",7310369585
39,"731036958",0.0,"1",7310369585
40,"731036958",0.0,"1",7310369585
41,"731036958",0.0,"1",7310369585
42,"731036958",0.43,"1",7310369585
42,"731036958",0.43,"1b",7310369586
43,"731036958",0.0,"1b",7310369586
44,"731036958",0.0,"1b",7310369586
44,"731036958",0.0,"1",7310369587
45,"731036958",0.0,"1",7310369587
46,"731036958",0.0,"1",7310369587
47,"731036958",0.0,"1",7310369587
48,"731036958",0.0,"1",7310369587
49,"731036958",0.0,"1",7310369587
50,"731036958",0.14,"1",7310369587
51,"731036958",0.0,"1",7310369587
52,"731036958",0.14,"1",7310369587
53,"731036958",0.29,"1",7310369587
54,"731036958",0.57,"1",7310369587
55,"731036958",0.29,"1",7310369587
56,"731036958",0.57,"1",7310369587
57,"731036958",0.43,"1",7310369587
58,"731036958",2.43,"1",7310369587
59,"731036958",2.71,"1",7310369587
60,"731036958",5.14,"1",7310369587
61,"731036958",1.71,"1",7310369587
62,"731036958",2.0,"1",7310369587
63,"731036958",1.86,"1",7310369587
64,"731036958",1.86,"1",7310369587
65,"731036958",2.43,"1",7310369587
66,"731036958",1.71,"1",7310369587
67,"731036958",1.86,"1",7310369587
68,"731036958",0.29,"1",7310369587
69,"731036958",1.0,"1",7310369587
70,"731036958",0.14,"1",7310369587
71,"731036958",0.14,"1",7310369587
72,"731036958",0.29,"1",7310369587
73,"731036958",1.57,"1",7310369587
74,"731036958",2.43,"1",7310369587
75,"731036958",7.57,"1",7310369587
76,"731036958",14.0,"1",7310369587
77,"731036958",7.57,"1",7310369587
78,"731036958",4.29,"1",7310369587
79,"731036958",2.43,"1",7310369587
80,"731036958",2.86,"1",7310369587
81,"731036958",1.29,"1",7310369587
82,"731036958",3.57,"1",7310369587
83,"731036958",4.14,"1",7310369587
84,"731036958",2.29,"1",7310369587
85,"731036958",0.57,"1",7310369587
86,"731036958",0.29,"1",7310369587
87,"731036958",0.57,"1",7310369587
88,"731036958",0.29,"1",7310369587
89,"731036958",0.29,"1",7310369587
90,"731036958",0.29,"1",7310369587
91,"731036958",0.14,"1",7310369587
92,"731036958",1.29,"1",7310369587
93,"731036958",3.0,"1",7310369587
94,"731036958",2.57,"1",7310369587
95,"731036958",3.57,"1",7310369587
96,"731036958",3.57,"1",7310369587
97,"731036958",1.29,"1",7310369587
98,"731036958",1.0,"1",7310369587
99,"731036958",1.43,"1",7310369587
100,"731036958",4.0,"1",7310369587
101,"731036958",0.43,"1",7310369587
102,"731036958",0.0,"1",7310369587
103,"731036958",0.14,"1",7310369587
