"wk","tr","nc","stg","id"
0,"10991329940",0.0,"1",109913299401
1,"10991329940",0.0,"1",109913299401
2,"10991329940",0.0,"1",109913299401
3,"10991329940",1.0,"1",109913299401
3,"10991329940",1.0,"1b",109913299402
4,"10991329940",8.86,"1b",109913299402
4,"10991329940",8.86,"2",109913299403
5,"10991329940",21.0,"2",109913299403
5,"10991329940",21.0,"3",109913299404
6,"10991329940",30.86,"3",109913299404
7,"10991329940",37.71,"3",109913299404
8,"10991329940",65.71,"3",109913299404
9,"10991329940",70.86,"3",109913299404
9,"10991329940",70.86,"4",109913299405
10,"10991329940",82.29,"4",109913299405
11,"10991329940",27.43,"4",109913299405
12,"10991329940",18.86,"4",109913299405
13,"10991329940",24.57,"4",109913299405
13,"10991329940",24.57,"3",109913299406
14,"10991329940",21.71,"3",109913299406
15,"10991329940",23.43,"3",109913299406
15,"10991329940",23.43,"2",109913299407
16,"10991329940",42.86,"2",109913299407
17,"10991329940",74.86,"2",109913299407
17,"10991329940",74.86,"3",109913299408
18,"10991329940",89.71,"3",109913299408
18,"10991329940",89.71,"4",109913299409
19,"10991329940",77.71,"4",109913299409
20,"10991329940",41.14,"4",109913299409
20,"10991329940",41.14,"3",1099132994010
21,"10991329940",28.0,"3",1099132994010
21,"10991329940",28.0,"4",1099132994011
22,"10991329940",18.29,"4",1099132994011
23,"10991329940",9.14,"4",1099132994011
23,"10991329940",9.14,"3",1099132994012
24,"10991329940",6.57,"3",1099132994012
25,"10991329940",5.29,"3",1099132994012
25,"10991329940",5.29,"2",1099132994013
26,"10991329940",3.57,"2",1099132994013
27,"10991329940",3.14,"2",1099132994013
27,"10991329940",3.14,"1b",1099132994014
28,"10991329940",2.43,"1b",1099132994014
29,"10991329940",3.14,"1b",1099132994014
29,"10991329940",3.14,"1",1099132994015
30,"10991329940",7.14,"1",1099132994015
31,"10991329940",23.86,"1",1099132994015
32,"10991329940",63.57,"1",1099132994015
33,"10991329940",138.29,"1",1099132994015
34,"10991329940",358.86,"1",1099132994015
35,"10991329940",1584.0,"1",1099132994015
36,"10991329940",6262.86,"1",1099132994015
36,"10991329940",6262.86,"2",1099132994016
37,"10991329940",10349.71,"2",1099132994016
37,"10991329940",10349.71,"3",1099132994017
38,"10991329940",9508.57,"3",1099132994017
38,"10991329940",9508.57,"4",1099132994018
39,"10991329940",5266.29,"4",1099132994018
40,"10991329940",3949.71,"4",1099132994018
41,"10991329940",1536.0,"4",1099132994018
41,"10991329940",1536.0,"3",1099132994019
42,"10991329940",512.0,"3",1099132994019
43,"10991329940",356.57,"3",1099132994019
43,"10991329940",356.57,"4",1099132994020
44,"10991329940",109.71,"4",1099132994020
45,"10991329940",59.43,"4",1099132994020
45,"10991329940",59.43,"3",1099132994021
46,"10991329940",50.86,"3",1099132994021
47,"10991329940",17.14,"3",1099132994021
47,"10991329940",17.14,"2",1099132994022
48,"10991329940",12.57,"2",1099132994022
48,"10991329940",12.57,"1b",1099132994023
49,"10991329940",8.57,"1b",1099132994023
49,"10991329940",8.57,"1",1099132994024
50,"10991329940",4.29,"1",1099132994024
51,"10991329940",9.71,"1",1099132994024
52,"10991329940",19.29,"1",1099132994024
53,"10991329940",40.57,"1",1099132994024
54,"10991329940",88.0,"1",1099132994024
55,"10991329940",175.43,"1",1099132994024
56,"10991329940",571.43,"1",1099132994024
