"wk","tr","nc","stg","id"
0,"521030464",0.0,"1",5210304641
1,"521030464",0.0,"1",5210304641
2,"521030464",0.0,"1",5210304641
3,"521030464",0.0,"1",5210304641
4,"521030464",0.0,"1",5210304641
5,"521030464",0.0,"1",5210304641
6,"521030464",0.0,"1",5210304641
7,"521030464",0.0,"1",5210304641
8,"521030464",0.0,"1",5210304641
9,"521030464",0.14,"1",5210304641
10,"521030464",0.0,"1",5210304641
11,"521030464",0.0,"1",5210304641
12,"521030464",0.0,"1",5210304641
13,"521030464",0.0,"1",5210304641
14,"521030464",0.0,"1",5210304641
15,"521030464",0.0,"1",5210304641
16,"521030464",0.0,"1",5210304641
17,"521030464",0.0,"1",5210304641
18,"521030464",0.0,"1",5210304641
19,"521030464",0.14,"1",5210304641
20,"521030464",0.0,"1",5210304641
21,"521030464",0.0,"1",5210304641
22,"521030464",0.14,"1",5210304641
23,"521030464",0.14,"1",5210304641
24,"521030464",0.0,"1",5210304641
25,"521030464",0.0,"1",5210304641
26,"521030464",0.0,"1",5210304641
27,"521030464",0.0,"1",5210304641
28,"521030464",0.0,"1",5210304641
29,"521030464",0.0,"1",5210304641
30,"521030464",33.29,"1",5210304641
31,"521030464",52.14,"1",5210304641
32,"521030464",79.43,"1",5210304641
32,"521030464",79.43,"1b",5210304642
33,"521030464",87.43,"1b",5210304642
33,"521030464",87.43,"2",5210304643
34,"521030464",144.0,"2",5210304643
34,"521030464",144.0,"3",5210304644
35,"521030464",134.86,"3",5210304644
35,"521030464",134.86,"4",5210304645
36,"521030464",98.29,"4",5210304645
37,"521030464",86.86,"4",5210304645
38,"521030464",89.14,"4",5210304645
39,"521030464",47.43,"4",5210304645
40,"521030464",36.0,"4",5210304645
40,"521030464",36.0,"3",5210304646
41,"521030464",43.43,"3",5210304646
42,"521030464",45.71,"3",5210304646
42,"521030464",45.71,"2",5210304647
43,"521030464",57.71,"2",5210304647
44,"521030464",68.0,"2",5210304647
45,"521030464",69.71,"2",5210304647
45,"521030464",69.71,"3",5210304648
46,"521030464",52.57,"3",5210304648
47,"521030464",91.43,"3",5210304648
47,"521030464",91.43,"4",5210304649
48,"521030464",70.86,"4",5210304649
