"wk","tr","nc","stg","id"
0,"1261036958",0.0,"1",12610369581
1,"1261036958",0.0,"1",12610369581
2,"1261036958",0.0,"1",12610369581
3,"1261036958",0.14,"1",12610369581
4,"1261036958",0.0,"1",12610369581
5,"1261036958",0.0,"1",12610369581
6,"1261036958",0.0,"1",12610369581
7,"1261036958",0.0,"1",12610369581
8,"1261036958",0.0,"1",12610369581
9,"1261036958",0.0,"1",12610369581
10,"1261036958",0.0,"1",12610369581
11,"1261036958",0.14,"1",12610369581
12,"1261036958",0.0,"1",12610369581
13,"1261036958",0.0,"1",12610369581
14,"1261036958",0.0,"1",12610369581
15,"1261036958",0.14,"1",12610369581
16,"1261036958",0.14,"1",12610369581
17,"1261036958",0.14,"1",12610369581
18,"1261036958",0.0,"1",12610369581
19,"1261036958",0.14,"1",12610369581
20,"1261036958",0.0,"1",12610369581
21,"1261036958",0.0,"1",12610369581
22,"1261036958",0.0,"1",12610369581
23,"1261036958",0.0,"1",12610369581
24,"1261036958",0.0,"1",12610369581
25,"1261036958",0.0,"1",12610369581
26,"1261036958",0.14,"1",12610369581
27,"1261036958",0.0,"1",12610369581
28,"1261036958",0.14,"1",12610369581
29,"1261036958",0.0,"1",12610369581
30,"1261036958",0.0,"1",12610369581
31,"1261036958",0.0,"1",12610369581
32,"1261036958",0.14,"1",12610369581
33,"1261036958",1.14,"1",12610369581
34,"1261036958",2.43,"1",12610369581
35,"1261036958",1.29,"1",12610369581
36,"1261036958",2.86,"1",12610369581
37,"1261036958",1.71,"1",12610369581
38,"1261036958",0.29,"1",12610369581
39,"1261036958",0.29,"1",12610369581
40,"1261036958",0.0,"1",12610369581
41,"1261036958",0.57,"1",12610369581
42,"1261036958",0.57,"1",12610369581
43,"1261036958",0.0,"1",12610369581
44,"1261036958",0.0,"1",12610369581
45,"1261036958",0.0,"1",12610369581
46,"1261036958",0.0,"1",12610369581
47,"1261036958",0.0,"1",12610369581
48,"1261036958",0.0,"1",12610369581
49,"1261036958",0.0,"1",12610369581
