"wk","tr","nc","stg","id"
0,"1451030464",0.0,"1",14510304641
1,"1451030464",0.0,"1",14510304641
2,"1451030464",0.0,"1",14510304641
3,"1451030464",0.0,"1",14510304641
4,"1451030464",0.0,"1",14510304641
5,"1451030464",0.0,"1",14510304641
6,"1451030464",0.0,"1",14510304641
7,"1451030464",0.0,"1",14510304641
8,"1451030464",0.0,"1",14510304641
9,"1451030464",0.14,"1",14510304641
10,"1451030464",2.0,"1",14510304641
10,"1451030464",2.0,"1b",14510304642
11,"1451030464",9.14,"1b",14510304642
11,"1451030464",9.14,"3",14510304643
12,"1451030464",13.71,"3",14510304643
13,"1451030464",14.29,"3",14510304643
14,"1451030464",14.86,"3",14510304643
15,"1451030464",16.57,"3",14510304643
16,"1451030464",16.0,"3",14510304643
17,"1451030464",9.71,"3",14510304643
18,"1451030464",14.86,"3",14510304643
19,"1451030464",21.14,"3",14510304643
20,"1451030464",37.14,"3",14510304643
21,"1451030464",41.71,"3",14510304643
21,"1451030464",41.71,"4",14510304644
22,"1451030464",35.43,"4",14510304644
23,"1451030464",19.43,"4",14510304644
23,"1451030464",19.43,"3",14510304645
24,"1451030464",15.43,"3",14510304645
25,"1451030464",23.43,"3",14510304645
26,"1451030464",19.43,"3",14510304645
27,"1451030464",29.71,"3",14510304645
28,"1451030464",30.86,"3",14510304645
29,"1451030464",26.29,"3",14510304645
30,"1451030464",27.43,"3",14510304645
31,"1451030464",20.57,"3",14510304645
31,"1451030464",20.57,"2",14510304646
32,"1451030464",31.43,"2",14510304646
33,"1451030464",68.57,"2",14510304646
34,"1451030464",110.29,"2",14510304646
34,"1451030464",110.29,"3",14510304647
35,"1451030464",128.0,"3",14510304647
35,"1451030464",128.0,"4",14510304648
36,"1451030464",70.86,"4",14510304648
37,"1451030464",45.71,"4",14510304648
38,"1451030464",26.29,"4",14510304648
39,"1451030464",13.71,"4",14510304648
39,"1451030464",13.71,"3",14510304649
40,"1451030464",7.14,"3",14510304649
41,"1451030464",6.0,"3",14510304649
41,"1451030464",6.0,"2",145103046410
42,"1451030464",5.29,"2",145103046410
43,"1451030464",8.29,"2",145103046410
43,"1451030464",8.29,"1b",145103046411
44,"1451030464",20.14,"1b",145103046411
45,"1451030464",32.14,"1b",145103046411
46,"1451030464",52.57,"1b",145103046411
47,"1451030464",128.57,"1b",145103046411
47,"1451030464",128.57,"2",145103046412
48,"1451030464",290.29,"2",145103046412
48,"1451030464",290.29,"3",145103046413
49,"1451030464",299.43,"3",145103046413
49,"1451030464",299.43,"4",145103046414
50,"1451030464",393.14,"4",145103046414
51,"1451030464",283.43,"4",145103046414
52,"1451030464",109.71,"4",145103046414
53,"1451030464",48.0,"4",145103046414
54,"1451030464",48.0,"4",145103046414
55,"1451030464",17.14,"4",145103046414
56,"1451030464",13.14,"4",145103046414
56,"1451030464",13.14,"3",145103046415
57,"1451030464",4.71,"3",145103046415
58,"1451030464",7.14,"3",145103046415
58,"1451030464",7.14,"2",145103046416
59,"1451030464",6.71,"2",145103046416
60,"1451030464",11.0,"2",145103046416
60,"1451030464",11.0,"1b",145103046417
61,"1451030464",23.14,"1b",145103046417
62,"1451030464",16.0,"1b",145103046417
62,"1451030464",16.0,"1",145103046418
63,"1451030464",24.57,"1",145103046418
64,"1451030464",74.29,"1",145103046418
64,"1451030464",74.29,"1b",145103046419
65,"1451030464",187.43,"1b",145103046419
65,"1451030464",187.43,"3",145103046420
66,"1451030464",224.0,"3",145103046420
66,"1451030464",224.0,"4",145103046421
67,"1451030464",185.14,"4",145103046421
68,"1451030464",105.14,"4",145103046421
69,"1451030464",84.57,"4",145103046421
70,"1451030464",68.57,"4",145103046421
71,"1451030464",64.0,"4",145103046421
72,"1451030464",38.86,"4",145103046421
73,"1451030464",28.0,"4",145103046421
74,"1451030464",17.71,"4",145103046421
74,"1451030464",17.71,"3",145103046422
75,"1451030464",6.86,"3",145103046422
76,"1451030464",7.14,"3",145103046422
76,"1451030464",7.14,"2",145103046423
77,"1451030464",7.43,"2",145103046423
78,"1451030464",8.86,"2",145103046423
78,"1451030464",8.86,"1b",145103046424
79,"1451030464",16.29,"1b",145103046424
80,"1451030464",42.86,"1b",145103046424
80,"1451030464",42.86,"2",145103046425
81,"1451030464",49.14,"2",145103046425
81,"1451030464",49.14,"1",145114971126
0,"1451149711",0.0,"1",145114971126
1,"1451149711",0.0,"1",145114971126
2,"1451149711",0.14,"1",145114971126
