"wk","tr","nc","stg","id"
0,"10491329940",0.0,"1",104913299401
1,"10491329940",0.0,"1",104913299401
2,"10491329940",0.0,"1",104913299401
3,"10491329940",0.14,"1",104913299401
4,"10491329940",0.86,"1",104913299401
5,"10491329940",3.57,"1",104913299401
5,"10491329940",3.57,"1b",104913299402
6,"10491329940",17.14,"1b",104913299402
6,"10491329940",17.14,"3",104913299403
7,"10491329940",21.14,"3",104913299403
8,"10491329940",26.29,"3",104913299403
9,"10491329940",23.43,"3",104913299403
10,"10491329940",35.43,"3",104913299403
11,"10491329940",45.71,"3",104913299403
12,"10491329940",51.43,"3",104913299403
13,"10491329940",71.43,"3",104913299403
13,"10491329940",71.43,"4",104913299404
14,"10491329940",41.14,"4",104913299404
15,"10491329940",25.14,"4",104913299404
16,"10491329940",21.71,"4",104913299404
17,"10491329940",6.86,"4",104913299404
17,"10491329940",6.86,"3",104913299405
18,"10491329940",2.86,"3",104913299405
19,"10491329940",3.43,"3",104913299405
19,"10491329940",3.43,"2",104913299406
20,"10491329940",4.71,"2",104913299406
21,"10491329940",5.86,"2",104913299406
21,"10491329940",5.86,"1b",104913299407
22,"10491329940",9.14,"1b",104913299407
23,"10491329940",17.14,"1b",104913299407
23,"10491329940",17.14,"1",104913299408
24,"10491329940",26.0,"1",104913299408
25,"10491329940",72.0,"1",104913299408
26,"10491329940",222.29,"1",104913299408
26,"10491329940",222.29,"2",104913299409
27,"10491329940",432.0,"2",104913299409
27,"10491329940",432.0,"4",1049132994010
28,"10491329940",228.57,"4",1049132994010
29,"10491329940",128.0,"4",1049132994010
29,"10491329940",128.0,"3",1049132994011
30,"10491329940",41.14,"3",1049132994011
31,"10491329940",26.86,"3",1049132994011
31,"10491329940",26.86,"2",1049132994012
32,"10491329940",26.29,"2",1049132994012
33,"10491329940",25.71,"2",1049132994012
33,"10491329940",25.71,"1",1049132994013
34,"10491329940",68.0,"1",1049132994013
35,"10491329940",138.86,"1",1049132994013
36,"10491329940",461.71,"1",1049132994013
37,"10491329940",1225.14,"1",1049132994013
38,"10491329940",3337.14,"1",1049132994013
38,"10491329940",3337.14,"1b",1049132994014
39,"10491329940",6875.43,"1b",1049132994014
39,"10491329940",6875.43,"2",1049132994015
40,"10491329940",8923.43,"2",1049132994015
40,"10491329940",8923.43,"3",1049132994016
41,"10491329940",9216.0,"3",1049132994016
41,"10491329940",9216.0,"4",1049132994017
42,"10491329940",4242.29,"4",1049132994017
43,"10491329940",1901.71,"4",1049132994017
43,"10491329940",1901.71,"3",1049132994018
44,"10491329940",585.14,"3",1049132994018
44,"10491329940",585.14,"4",1049132994019
45,"10491329940",914.29,"4",1049132994019
46,"10491329940",310.86,"4",1049132994019
46,"10491329940",310.86,"3",1049132994020
47,"10491329940",338.29,"3",1049132994020
48,"10491329940",155.43,"3",1049132994020
48,"10491329940",155.43,"2",1049132994021
49,"10491329940",121.14,"2",1049132994021
49,"10491329940",121.14,"1b",1049132994022
50,"10491329940",182.86,"1b",1049132994022
50,"10491329940",182.86,"1",1049132994023
51,"10491329940",379.43,"1",1049132994023
52,"10491329940",850.29,"1",1049132994023
53,"10491329940",3190.86,"1",1049132994023
53,"10491329940",3190.86,"1b",1049132994024
54,"10491329940",8886.86,"1b",1049132994024
54,"10491329940",8886.86,"2",1049132994025
55,"10491329940",16237.71,"2",1049132994025
55,"10491329940",16237.71,"3",1049132994026
56,"10491329940",17700.57,"3",1049132994026
56,"10491329940",17700.57,"4",1049132994027
57,"10491329940",13900.74,"4",1049132994027
58,"10491329940",2964.97,"4",1049132994027
59,"10491329940",1755.43,"4",1049132994027
59,"10491329940",1755.43,"3",1049132994028
60,"10491329940",694.86,"3",1049132994028
61,"10491329940",749.71,"3",1049132994028
61,"10491329940",749.71,"4",1049132994029
62,"10491329940",320.0,"4",1049132994029
63,"10491329940",109.71,"4",1049132994029
63,"10491329940",109.71,"3",1049132994030
64,"10491329940",153.14,"3",1049132994030
65,"10491329940",68.57,"3",1049132994030
65,"10491329940",68.57,"2",1049132994031
66,"10491329940",70.86,"2",1049132994031
66,"10491329940",70.86,"1b",1049132994032
67,"10491329940",125.71,"1b",1049132994032
67,"10491329940",125.71,"1",1049132994033
68,"10491329940",237.71,"1",1049132994033
69,"10491329940",537.14,"1",1049132994033
70,"10491329940",1380.57,"1",1049132994033
71,"10491329940",2998.86,"1",1049132994033
71,"10491329940",2998.86,"1b",1049132994034
72,"10491329940",5266.29,"1b",1049132994034
72,"10491329940",5266.29,"2",1049132994035
73,"10491329940",5595.43,"2",1049132994035
73,"10491329940",5595.43,"3",1049132994036
74,"10491329940",3657.14,"3",1049132994036
74,"10491329940",3657.14,"4",1049132994037
75,"10491329940",1755.43,"4",1049132994037
76,"10491329940",841.14,"4",1049132994037
76,"10491329940",841.14,"3",1049132994038
77,"10491329940",731.43,"3",1049132994038
77,"10491329940",731.43,"4",1049132994039
78,"10491329940",164.57,"4",1049132994039
79,"10491329940",112.0,"4",1049132994039
79,"10491329940",112.0,"3",1049132994040
80,"10491329940",61.71,"3",1049132994040
81,"10491329940",41.71,"3",1049132994040
81,"10491329940",41.71,"1",1049133352541
0,"10491333525",0.0,"1",1049133352541
1,"10491333525",0.0,"1",1049133352541
2,"10491333525",0.43,"1",1049133352541
3,"10491333525",0.57,"1",1049133352541
4,"10491333525",4.29,"1",1049133352541
4,"10491333525",4.29,"2",1049133352542
5,"10491333525",11.14,"2",1049133352542
5,"10491333525",11.14,"3",1049133352543
6,"10491333525",13.43,"3",1049133352543
7,"10491333525",21.29,"3",1049133352543
8,"10491333525",24.57,"3",1049133352543
9,"10491333525",35.43,"3",1049133352543
10,"10491333525",51.43,"3",1049133352543
10,"10491333525",51.43,"4",1049133352544
11,"10491333525",33.71,"4",1049133352544
12,"10491333525",29.71,"4",1049133352544
12,"10491333525",29.71,"3",1049133352545
13,"10491333525",26.29,"3",1049133352545
14,"10491333525",28.57,"3",1049133352545
15,"10491333525",22.29,"3",1049133352545
16,"10491333525",14.86,"3",1049133352545
16,"10491333525",14.86,"2",1049133352546
17,"10491333525",8.57,"2",1049133352546
18,"10491333525",5.86,"2",1049133352546
18,"10491333525",5.86,"1b",1049133352547
19,"10491333525",7.71,"1b",1049133352547
20,"10491333525",10.71,"1b",1049133352547
20,"10491333525",10.71,"1",1049133352548
21,"10491333525",27.86,"1",1049133352548
22,"10491333525",71.43,"1",1049133352548
22,"10491333525",71.43,"1b",1049133352549
23,"10491333525",128.0,"1b",1049133352549
23,"10491333525",128.0,"3",1049133352550
24,"10491333525",86.86,"3",1049133352550
24,"10491333525",86.86,"4",1049133352551
25,"10491333525",22.86,"4",1049133352551
26,"10491333525",24.57,"4",1049133352551
27,"10491333525",12.57,"4",1049133352551
27,"10491333525",12.57,"3",1049133352552
28,"10491333525",7.14,"3",1049133352552
29,"10491333525",4.57,"3",1049133352552
29,"10491333525",4.57,"2",1049133352553
30,"10491333525",8.29,"2",1049133352553
30,"10491333525",8.29,"1b",1049133352554
31,"10491333525",18.29,"1b",1049133352554
31,"10491333525",18.29,"1",1049133352555
32,"10491333525",52.43,"1",1049133352555
33,"10491333525",129.14,"1",1049133352555
34,"10491333525",203.43,"1",1049133352555
35,"10491333525",576.0,"1",1049133352555
36,"10491333525",1170.29,"1",1049133352555
37,"10491333525",4141.71,"1",1049133352555
37,"10491333525",4141.71,"1b",1049133352556
38,"10491333525",10752.0,"1b",1049133352556
38,"10491333525",10752.0,"2",1049133352557
39,"10491333525",20333.71,"2",1049133352557
39,"10491333525",20333.71,"4",1049133352558
40,"10491333525",17793.37,"4",1049133352558
41,"10491333525",4581.26,"4",1049133352558
42,"10491333525",4096.0,"4",1049133352558
43,"10491333525",2011.43,"4",1049133352558
43,"10491333525",2011.43,"3",1049133352559
44,"10491333525",1536.0,"3",1049133352559
44,"10491333525",1536.0,"4",1049133352560
45,"10491333525",1206.86,"4",1049133352560
46,"10491333525",1060.57,"4",1049133352560
46,"10491333525",1060.57,"3",1049133352561
47,"10491333525",1316.57,"3",1049133352561
47,"10491333525",1316.57,"4",1049133352562
48,"10491333525",950.86,"4",1049133352562
49,"10491333525",411.43,"4",1049133352562
49,"10491333525",411.43,"3",1049133352563
50,"10491333525",365.71,"3",1049133352563
51,"10491333525",338.29,"3",1049133352563
51,"10491333525",338.29,"2",1049133352564
52,"10491333525",338.29,"2",1049133352564
53,"10491333525",411.43,"2",1049133352564
53,"10491333525",411.43,"1",1049133352565
54,"10491333525",1170.29,"1",1049133352565
55,"10491333525",3392.0,"1",1049133352565
55,"10491333525",3392.0,"1b",1049133352566
56,"10491333525",6473.14,"1b",1049133352566
56,"10491333525",6473.14,"3",1049133352567
57,"10491333525",3803.43,"3",1049133352567
57,"10491333525",3803.43,"4",1049133352568
58,"10491333525",2194.29,"4",1049133352568
59,"10491333525",1097.14,"4",1049133352568
59,"10491333525",1097.14,"3",1049133352569
60,"10491333525",475.43,"3",1049133352569
60,"10491333525",475.43,"4",1049133352570
61,"10491333525",548.57,"4",1049133352570
62,"10491333525",402.29,"4",1049133352570
62,"10491333525",402.29,"3",1049133352571
63,"10491333525",274.29,"3",1049133352571
64,"10491333525",219.43,"3",1049133352571
64,"10491333525",219.43,"2",1049133352572
65,"10491333525",256.0,"2",1049133352572
66,"10491333525",235.43,"2",1049133352572
66,"10491333525",235.43,"1",1049133352573
67,"10491333525",354.29,"1",1049133352573
68,"10491333525",557.71,"1",1049133352573
69,"10491333525",1188.57,"1",1049133352573
70,"10491333525",3812.57,"1",1049133352573
70,"10491333525",3812.57,"1b",1049133352574
71,"10491333525",5083.43,"1b",1049133352574
71,"10491333525",5083.43,"3",1049133352575
72,"10491333525",6546.29,"3",1049133352575
72,"10491333525",6546.29,"4",1049133352576
73,"10491333525",3364.57,"4",1049133352576
74,"10491333525",1901.71,"4",1049133352576
75,"10491333525",1206.86,"4",1049133352576
75,"10491333525",1206.86,"3",1049133352577
76,"10491333525",1133.71,"3",1049133352577
77,"10491333525",1426.29,"3",1049133352577
77,"10491333525",1426.29,"2",1049133352578
78,"10491333525",3072.0,"2",1049133352578
78,"10491333525",3072.0,"3",1049133352579
79,"10491333525",3693.71,"3",1049133352579
79,"10491333525",3693.71,"4",1049133352580
80,"10491333525",2340.57,"4",1049133352580
81,"10491333525",1792.0,"4",1049133352580
81,"10491333525",1792.0,"1",1049154611681
0,"10491546116",0.0,"1",1049154611681
1,"10491546116",0.0,"1",1049154611681
2,"10491546116",0.0,"1",1049154611681
3,"10491546116",0.0,"1",1049154611681
4,"10491546116",0.14,"1",1049154611681
5,"10491546116",1.71,"1",1049154611681
5,"10491546116",1.71,"1b",1049154611682
6,"10491546116",6.71,"1b",1049154611682
6,"10491546116",6.71,"2",1049154611683
7,"10491546116",14.86,"2",1049154611683
7,"10491546116",14.86,"3",1049154611684
8,"10491546116",17.0,"3",1049154611684
9,"10491546116",25.43,"3",1049154611684
10,"10491546116",41.14,"3",1049154611684
11,"10491546116",54.86,"3",1049154611684
11,"10491546116",54.86,"4",1049154611685
12,"10491546116",40.0,"4",1049154611685
13,"10491546116",27.43,"4",1049154611685
13,"10491546116",27.43,"3",1049154611686
14,"10491546116",27.43,"3",1049154611686
15,"10491546116",41.14,"3",1049154611686
16,"10491546116",63.43,"3",1049154611686
16,"10491546116",63.43,"4",1049154611687
17,"10491546116",34.29,"4",1049154611687
18,"10491546116",26.29,"4",1049154611687
19,"10491546116",20.57,"4",1049154611687
19,"10491546116",20.57,"3",1049154611688
20,"10491546116",19.43,"3",1049154611688
21,"10491546116",49.71,"3",1049154611688
22,"10491546116",53.71,"3",1049154611688
22,"10491546116",53.71,"4",1049154611689
23,"10491546116",26.86,"4",1049154611689
24,"10491546116",16.0,"4",1049154611689
24,"10491546116",16.0,"3",1049154611690
