"wk","tr","nc","stg","id"
0,"1011030464",0.0,"1",10110304641
1,"1011030464",0.0,"1",10110304641
2,"1011030464",0.0,"1",10110304641
3,"1011030464",0.0,"1",10110304641
4,"1011030464",0.0,"1",10110304641
5,"1011030464",0.0,"1",10110304641
6,"1011030464",0.0,"1",10110304641
7,"1011030464",0.0,"1",10110304641
8,"1011030464",0.0,"1",10110304641
9,"1011030464",0.14,"1",10110304641
10,"1011030464",0.0,"1",10110304641
11,"1011030464",0.14,"1",10110304641
12,"1011030464",0.43,"1",10110304641
13,"1011030464",0.57,"1",10110304641
13,"1011030464",0.57,"1b",10110304642
14,"1011030464",1.43,"1b",10110304642
14,"1011030464",1.43,"2",10110304643
15,"1011030464",0.86,"2",10110304643
16,"1011030464",0.43,"2",10110304643
16,"1011030464",0.43,"1b",10110304644
17,"1011030464",0.43,"1b",10110304644
18,"1011030464",0.86,"1b",10110304644
19,"1011030464",0.14,"1b",10110304644
19,"1011030464",0.14,"1",10110304645
20,"1011030464",0.14,"1",10110304645
21,"1011030464",0.0,"1",10110304645
22,"1011030464",0.14,"1",10110304645
23,"1011030464",0.0,"1",10110304645
24,"1011030464",0.0,"1",10110304645
25,"1011030464",0.0,"1",10110304645
26,"1011030464",0.0,"1",10110304645
27,"1011030464",0.0,"1",10110304645
28,"1011030464",0.0,"1",10110304645
29,"1011030464",0.0,"1",10110304645
30,"1011030464",7.0,"1",10110304645
31,"1011030464",17.14,"1",10110304645
32,"1011030464",29.43,"1",10110304645
33,"1011030464",39.43,"1",10110304645
34,"1011030464",82.29,"1",10110304645
34,"1011030464",82.29,"1b",10110304646
35,"1011030464",110.86,"1b",10110304646
35,"1011030464",110.86,"3",10110304647
36,"1011030464",102.86,"3",10110304647
36,"1011030464",102.86,"4",10110304648
37,"1011030464",80.0,"4",10110304648
38,"1011030464",43.43,"4",10110304648
39,"1011030464",30.29,"4",10110304648
40,"1011030464",20.57,"4",10110304648
41,"1011030464",14.86,"4",10110304648
41,"1011030464",14.86,"3",10110304649
42,"1011030464",20.57,"3",10110304649
43,"1011030464",30.86,"3",10110304649
43,"1011030464",30.86,"2",101103046410
44,"1011030464",38.29,"2",101103046410
45,"1011030464",43.43,"2",101103046410
45,"1011030464",43.43,"1b",101103046411
46,"1011030464",69.71,"1b",101103046411
46,"1011030464",69.71,"2",101103046412
47,"1011030464",92.57,"2",101103046412
47,"1011030464",92.57,"3",101103046413
48,"1011030464",77.71,"3",101103046413
48,"1011030464",77.71,"4",101103046414
49,"1011030464",50.29,"4",101103046414
50,"1011030464",27.43,"4",101103046414
51,"1011030464",25.14,"4",101103046414
51,"1011030464",25.14,"3",101103046415
52,"1011030464",17.71,"3",101103046415
53,"1011030464",23.43,"3",101103046415
53,"1011030464",23.43,"2",101103046416
54,"1011030464",29.14,"2",101103046416
55,"1011030464",53.71,"2",101103046416
56,"1011030464",68.0,"2",101103046416
56,"1011030464",68.0,"3",101103046417
57,"1011030464",72.0,"3",101103046417
57,"1011030464",72.0,"4",101103046418
58,"1011030464",66.29,"4",101103046418
59,"1011030464",32.0,"4",101103046418
60,"1011030464",26.29,"4",101103046418
60,"1011030464",26.29,"3",101103046419
61,"1011030464",18.29,"3",101103046419
62,"1011030464",19.43,"3",101103046419
62,"1011030464",19.43,"2",101103046420
63,"1011030464",21.14,"2",101103046420
64,"1011030464",32.57,"2",101103046420
64,"1011030464",32.57,"1b",101103046421
65,"1011030464",41.71,"1b",101103046421
66,"1011030464",61.71,"1b",101103046421
66,"1011030464",61.71,"2",101103046422
67,"1011030464",85.71,"2",101103046422
67,"1011030464",85.71,"3",101103046423
68,"1011030464",89.14,"3",101103046423
68,"1011030464",89.14,"4",101103046424
69,"1011030464",66.29,"4",101103046424
70,"1011030464",45.71,"4",101103046424
71,"1011030464",26.29,"4",101103046424
71,"1011030464",26.29,"3",101103046425
72,"1011030464",17.14,"3",101103046425
72,"1011030464",17.14,"4",101103046426
73,"1011030464",13.71,"4",101103046426
74,"1011030464",10.86,"4",101103046426
74,"1011030464",10.86,"3",101103046427
75,"1011030464",12.29,"3",101103046427
76,"1011030464",12.86,"3",101103046427
76,"1011030464",12.86,"2",101103046428
77,"1011030464",18.71,"2",101103046428
78,"1011030464",18.86,"2",101103046428
78,"1011030464",18.86,"1b",101103046429
79,"1011030464",29.71,"1b",101103046429
80,"1011030464",55.43,"1b",101103046429
81,"1011030464",84.57,"1b",101103046429
81,"1011030464",84.57,"1",101114971130
0,"1011149711",0.0,"1",101114971130
1,"1011149711",0.0,"1",101114971130
2,"1011149711",0.14,"1",101114971130
2,"1011149711",0.14,"1b",101114971131
3,"1011149711",0.14,"1b",101114971131
