"wk","tr","nc","stg","id"
0,"8371054940",0.0,"1",83710549401
1,"8371054940",0.0,"1",83710549401
2,"8371054940",0.0,"1",83710549401
3,"8371054940",0.0,"1",83710549401
4,"8371054940",0.14,"1",83710549401
5,"8371054940",0.0,"1",83710549401
6,"8371054940",0.14,"1",83710549401
7,"8371054940",0.71,"1",83710549401
7,"8371054940",0.71,"1b",83710549402
8,"8371054940",0.0,"1b",83710549402
9,"8371054940",0.0,"1b",83710549402
9,"8371054940",0.0,"1",83710549403
10,"8371054940",0.0,"1",83710549403
11,"8371054940",0.0,"1",83710549403
12,"8371054940",0.0,"1",83710549403
13,"8371054940",0.0,"1",83710549403
14,"8371054940",0.0,"1",83710549403
15,"8371054940",0.0,"1",83710549403
16,"8371054940",0.0,"1",83710549403
17,"8371054940",0.0,"1",83710549403
18,"8371054940",0.0,"1",83710549403
19,"8371054940",0.29,"1",83710549403
20,"8371054940",0.29,"1",83710549403
21,"8371054940",0.14,"1",83710549403
22,"8371054940",0.14,"1",83710549403
23,"8371054940",0.0,"1",83710549403
24,"8371054940",0.0,"1",83710549403
25,"8371054940",0.0,"1",83710549403
26,"8371054940",0.0,"1",83710549403
27,"8371054940",0.71,"1",83710549403
28,"8371054940",0.57,"1",83710549403
29,"8371054940",0.57,"1",83710549403
30,"8371054940",9.43,"1",83710549403
31,"8371054940",21.14,"1",83710549403
32,"8371054940",25.29,"1",83710549403
33,"8371054940",22.29,"1",83710549403
34,"8371054940",37.71,"1",83710549403
35,"8371054940",55.43,"1",83710549403
36,"8371054940",62.86,"1",83710549403
37,"8371054940",79.43,"1",83710549403
38,"8371054940",86.86,"1",83710549403
39,"8371054940",96.0,"1",83710549403
40,"8371054940",196.57,"1",83710549403
41,"8371054940",386.29,"1",83710549403
42,"8371054940",612.57,"1",83710549403
43,"8371054940",548.57,"1",83710549403
44,"8371054940",1106.29,"1",83710549403
45,"8371054940",1206.86,"1",83710549403
45,"8371054940",1206.86,"1b",83710549404
46,"8371054940",832.0,"1b",83710549404
46,"8371054940",832.0,"2",83710549405
47,"8371054940",329.14,"2",83710549405
47,"8371054940",329.14,"3",83710549406
48,"8371054940",109.71,"3",83710549406
49,"8371054940",66.29,"3",83710549406
49,"8371054940",66.29,"2",83710549407
