"wk","tr","nc","stg","id"
0,"9621054940",0.0,"1",96210549401
1,"9621054940",0.0,"1",96210549401
2,"9621054940",0.0,"1",96210549401
3,"9621054940",0.0,"1",96210549401
4,"9621054940",0.14,"1",96210549401
5,"9621054940",0.0,"1",96210549401
6,"9621054940",0.14,"1",96210549401
7,"9621054940",1.43,"1",96210549401
7,"9621054940",1.43,"2",96210549402
8,"9621054940",3.29,"2",96210549402
9,"9621054940",3.71,"2",96210549402
10,"9621054940",4.43,"2",96210549402
11,"9621054940",5.57,"2",96210549402
12,"9621054940",4.0,"2",96210549402
13,"9621054940",6.29,"2",96210549402
14,"9621054940",5.0,"2",96210549402
14,"9621054940",5.0,"1b",96210549403
15,"9621054940",7.0,"1b",96210549403
16,"9621054940",11.14,"1b",96210549403
16,"9621054940",11.14,"1",96210549404
17,"9621054940",15.71,"1",96210549404
18,"9621054940",19.29,"1",96210549404
19,"9621054940",16.86,"1",96210549404
20,"9621054940",19.43,"1",96210549404
21,"9621054940",26.29,"1",96210549404
22,"9621054940",29.71,"1",96210549404
23,"9621054940",38.86,"1",96210549404
24,"9621054940",82.86,"1",96210549404
24,"9621054940",82.86,"2",96210549405
25,"9621054940",104.57,"2",96210549405
25,"9621054940",104.57,"3",96210549406
26,"9621054940",64.0,"3",96210549406
26,"9621054940",64.0,"4",96210549407
27,"9621054940",20.57,"4",96210549407
28,"9621054940",18.29,"4",96210549407
29,"9621054940",8.14,"4",96210549407
29,"9621054940",8.14,"3",96210549408
30,"9621054940",8.0,"3",96210549408
31,"9621054940",13.57,"3",96210549408
31,"9621054940",13.57,"2",96210549409
32,"9621054940",18.43,"2",96210549409
32,"9621054940",18.43,"1b",962105494010
33,"9621054940",23.57,"1b",962105494010
33,"9621054940",23.57,"1",962105494011
34,"9621054940",57.14,"1",962105494011
35,"9621054940",115.43,"1",962105494011
36,"9621054940",139.43,"1",962105494011
37,"9621054940",345.14,"1",962105494011
38,"9621054940",576.0,"1",962105494011
39,"9621054940",1435.43,"1",962105494011
39,"9621054940",1435.43,"1b",962105494012
40,"9621054940",1828.57,"1b",962105494012
40,"9621054940",1828.57,"2",962105494013
41,"9621054940",1901.71,"2",962105494013
41,"9621054940",1901.71,"3",962105494014
42,"9621054940",2304.0,"3",962105494014
42,"9621054940",2304.0,"4",962105494015
43,"9621054940",2230.86,"4",962105494015
44,"9621054940",1280.0,"4",962105494015
44,"9621054940",1280.0,"3",962105494016
45,"9621054940",621.71,"3",962105494016
45,"9621054940",621.71,"4",962105494017
46,"9621054940",292.57,"4",962105494017
47,"9621054940",112.0,"4",962105494017
47,"9621054940",112.0,"3",962105494018
48,"9621054940",50.29,"3",962105494018
49,"9621054940",38.86,"3",962105494018
49,"9621054940",38.86,"2",962105494019
50,"9621054940",19.43,"2",962105494019
51,"9621054940",21.14,"2",962105494019
51,"9621054940",21.14,"1b",962105494020
52,"9621054940",32.0,"1b",962105494020
52,"9621054940",32.0,"1",962105494021
53,"9621054940",34.29,"1",962105494021
54,"9621054940",63.43,"1",962105494021
55,"9621054940",98.29,"1",962105494021
56,"9621054940",139.43,"1",962105494021
57,"9621054940",304.0,"1",962105494021
58,"9621054940",345.14,"1",962105494021
59,"9621054940",365.71,"1",962105494021
60,"9621054940",740.57,"1",962105494021
61,"9621054940",1325.71,"1",962105494021
61,"9621054940",1325.71,"1b",962105494022
62,"9621054940",2285.71,"1b",962105494022
63,"9621054940",3766.86,"1b",962105494022
63,"9621054940",3766.86,"2",962105494023
64,"9621054940",3072.0,"2",962105494023
64,"9621054940",3072.0,"3",962105494024
65,"9621054940",3401.14,"3",962105494024
65,"9621054940",3401.14,"4",962105494025
66,"9621054940",1426.29,"4",962105494025
67,"9621054940",658.29,"4",962105494025
67,"9621054940",658.29,"3",962105494026
68,"9621054940",320.0,"3",962105494026
68,"9621054940",320.0,"4",962105494027
69,"9621054940",155.43,"4",962105494027
70,"9621054940",38.86,"4",962105494027
70,"9621054940",38.86,"3",962105494028
71,"9621054940",37.71,"3",962105494028
72,"9621054940",17.71,"3",962105494028
72,"9621054940",17.71,"2",962105494029
73,"9621054940",22.86,"2",962105494029
73,"9621054940",22.86,"1b",962105494030
74,"9621054940",24.0,"1b",962105494030
74,"9621054940",24.0,"1",962105494031
75,"9621054940",58.86,"1",962105494031
76,"9621054940",104.0,"1",962105494031
77,"9621054940",217.14,"1",962105494031
78,"9621054940",386.29,"1",962105494031
79,"9621054940",969.14,"1",962105494031
80,"9621054940",1782.86,"1",962105494031
80,"9621054940",1782.86,"1b",962105494032
81,"9621054940",2340.57,"1b",962105494032
81,"9621054940",2340.57,"1",962114830733
0,"9621148307",0.14,"1",962114830733
1,"9621148307",0.43,"1",962114830733
2,"9621148307",5.57,"1",962114830733
2,"9621148307",5.57,"2",962114830734
3,"9621148307",8.29,"2",962114830734
3,"9621148307",8.29,"3",962114830735
4,"9621148307",7.71,"3",962114830735
5,"9621148307",7.86,"3",962114830735
6,"9621148307",9.43,"3",962114830735
7,"9621148307",11.43,"3",962114830735
8,"9621148307",10.0,"3",962114830735
9,"9621148307",7.86,"3",962114830735
10,"9621148307",6.0,"3",962114830735
10,"9621148307",6.0,"2",962114830736
11,"9621148307",6.14,"2",962114830736
11,"9621148307",6.14,"3",962114830737
12,"9621148307",4.43,"3",962114830737
13,"9621148307",3.29,"3",962114830737
13,"9621148307",3.29,"2",962114830738
14,"9621148307",3.0,"2",962114830738
15,"9621148307",2.43,"2",962114830738
15,"9621148307",2.43,"1b",962114830739
16,"9621148307",2.71,"1b",962114830739
17,"9621148307",1.29,"1b",962114830739
17,"9621148307",1.29,"1",962114830740
18,"9621148307",0.86,"1",962114830740
19,"9621148307",1.0,"1",962114830740
20,"9621148307",1.29,"1",962114830740
21,"9621148307",0.43,"1",962114830740
22,"9621148307",0.43,"1",962114830740
23,"9621148307",0.71,"1",962114830740
24,"9621148307",3.86,"1",962114830740
25,"9621148307",15.29,"1",962114830740
26,"9621148307",37.86,"1",962114830740
27,"9621148307",47.43,"1",962114830740
27,"9621148307",47.43,"1b",962114830741
28,"9621148307",71.43,"1b",962114830741
