"wk","tr","nc","stg","id"
0,"2821030464",0.0,"1",28210304641
1,"2821030464",0.0,"1",28210304641
2,"2821030464",0.0,"1",28210304641
3,"2821030464",0.0,"1",28210304641
4,"2821030464",0.0,"1",28210304641
5,"2821030464",0.0,"1",28210304641
6,"2821030464",0.0,"1",28210304641
7,"2821030464",0.0,"1",28210304641
8,"2821030464",0.0,"1",28210304641
9,"2821030464",0.14,"1",28210304641
10,"2821030464",0.14,"1",28210304641
10,"2821030464",0.14,"1b",28210304642
11,"2821030464",0.57,"1b",28210304642
12,"2821030464",0.14,"1b",28210304642
13,"2821030464",0.29,"1b",28210304642
14,"2821030464",1.14,"1b",28210304642
14,"2821030464",1.14,"1",28210304643
15,"2821030464",1.14,"1",28210304643
16,"2821030464",0.43,"1",28210304643
17,"2821030464",1.29,"1",28210304643
18,"2821030464",2.71,"1",28210304643
19,"2821030464",2.43,"1",28210304643
20,"2821030464",3.29,"1",28210304643
21,"2821030464",8.14,"1",28210304643
22,"2821030464",13.86,"1",28210304643
23,"2821030464",17.43,"1",28210304643
24,"2821030464",38.43,"1",28210304643
25,"2821030464",78.29,"1",28210304643
25,"2821030464",78.29,"1b",28210304644
26,"2821030464",87.43,"1b",28210304644
26,"2821030464",87.43,"3",28210304645
27,"2821030464",48.0,"3",28210304645
28,"2821030464",52.57,"3",28210304645
28,"2821030464",52.57,"2",28210304646
29,"2821030464",86.86,"2",28210304646
30,"2821030464",89.14,"2",28210304646
30,"2821030464",89.14,"1b",28210304647
31,"2821030464",75.43,"1b",28210304647
32,"2821030464",80.0,"1b",28210304647
32,"2821030464",80.0,"1",28210304648
33,"2821030464",205.71,"1",28210304648
34,"2821030464",358.86,"1",28210304648
34,"2821030464",358.86,"1b",28210304649
35,"2821030464",539.43,"1b",28210304649
35,"2821030464",539.43,"2",282103046410
36,"2821030464",530.29,"2",282103046410
36,"2821030464",530.29,"3",282103046411
37,"2821030464",502.86,"3",282103046411
37,"2821030464",502.86,"4",282103046412
