"wk","tr","nc","stg","id"
0,"1181054940",0.0,"1",11810549401
1,"1181054940",0.0,"1",11810549401
2,"1181054940",0.0,"1",11810549401
3,"1181054940",0.0,"1",11810549401
4,"1181054940",0.29,"1",11810549401
5,"1181054940",1.86,"1",11810549401
5,"1181054940",1.86,"2",11810549402
6,"1181054940",1.71,"2",11810549402
7,"1181054940",3.14,"2",11810549402
8,"1181054940",1.0,"2",11810549402
9,"1181054940",1.57,"2",11810549402
10,"1181054940",0.71,"2",11810549402
10,"1181054940",0.71,"1b",11810549403
11,"1181054940",0.14,"1b",11810549403
12,"1181054940",0.71,"1b",11810549403
13,"1181054940",0.43,"1b",11810549403
14,"1181054940",0.43,"1b",11810549403
15,"1181054940",0.86,"1b",11810549403
16,"1181054940",0.29,"1b",11810549403
17,"1181054940",0.0,"1b",11810549403
17,"1181054940",0.0,"1",11810549404
18,"1181054940",0.14,"1",11810549404
19,"1181054940",0.14,"1",11810549404
20,"1181054940",0.0,"1",11810549404
21,"1181054940",0.0,"1",11810549404
22,"1181054940",0.0,"1",11810549404
23,"1181054940",0.0,"1",11810549404
24,"1181054940",0.0,"1",11810549404
25,"1181054940",0.0,"1",11810549404
26,"1181054940",0.0,"1",11810549404
27,"1181054940",0.71,"1",11810549404
27,"1181054940",0.71,"1b",11810549405
28,"1181054940",0.29,"1b",11810549405
29,"1181054940",0.29,"1b",11810549405
29,"1181054940",0.29,"1",11810549406
30,"1181054940",31.29,"1",11810549406
31,"1181054940",62.43,"1",11810549406
31,"1181054940",62.43,"1b",11810549407
32,"1181054940",100.57,"1b",11810549407
32,"1181054940",100.57,"2",11810549408
33,"1181054940",77.71,"2",11810549408
33,"1181054940",77.71,"4",11810549409
34,"1181054940",59.43,"4",11810549409
35,"1181054940",86.86,"4",11810549409
36,"1181054940",54.86,"4",11810549409
37,"1181054940",45.71,"4",11810549409
38,"1181054940",45.71,"4",11810549409
39,"1181054940",40.57,"4",11810549409
40,"1181054940",47.43,"4",11810549409
41,"1181054940",41.14,"4",11810549409
42,"1181054940",46.86,"4",11810549409
43,"1181054940",46.86,"4",11810549409
44,"1181054940",42.86,"4",11810549409
44,"1181054940",42.86,"3",118105494010
45,"1181054940",45.14,"3",118105494010
46,"1181054940",45.14,"3",118105494010
47,"1181054940",53.71,"3",118105494010
47,"1181054940",53.71,"4",118105494011
48,"1181054940",46.86,"4",118105494011
49,"1181054940",51.43,"4",118105494011
50,"1181054940",43.43,"4",118105494011
51,"1181054940",43.43,"4",118105494011
52,"1181054940",37.71,"4",118105494011
53,"1181054940",38.86,"4",118105494011
54,"1181054940",49.14,"4",118105494011
55,"1181054940",42.86,"4",118105494011
56,"1181054940",47.43,"4",118105494011
57,"1181054940",48.57,"4",118105494011
58,"1181054940",49.71,"4",118105494011
59,"1181054940",45.14,"4",118105494011
60,"1181054940",41.71,"4",118105494011
61,"1181054940",33.71,"4",118105494011
62,"1181054940",40.0,"4",118105494011
63,"1181054940",34.86,"4",118105494011
64,"1181054940",45.14,"4",118105494011
64,"1181054940",45.14,"3",118105494012
65,"1181054940",54.29,"3",118105494012
66,"1181054940",57.71,"3",118105494012
66,"1181054940",57.71,"4",118105494013
67,"1181054940",46.29,"4",118105494013
68,"1181054940",51.43,"4",118105494013
69,"1181054940",42.29,"4",118105494013
70,"1181054940",48.57,"4",118105494013
71,"1181054940",40.57,"4",118105494013
71,"1181054940",40.57,"3",118105494014
72,"1181054940",53.14,"3",118105494014
72,"1181054940",53.14,"4",118105494015
73,"1181054940",58.29,"4",118105494015
74,"1181054940",47.43,"4",118105494015
75,"1181054940",41.71,"4",118105494015
76,"1181054940",42.86,"4",118105494015
77,"1181054940",42.86,"4",118105494015
78,"1181054940",44.57,"4",118105494015
78,"1181054940",44.57,"3",118105494016
79,"1181054940",49.14,"3",118105494016
79,"1181054940",49.14,"4",118105494017
80,"1181054940",43.43,"4",118105494017
81,"1181054940",33.71,"4",118105494017
81,"1181054940",33.71,"1",118114830718
0,"1181148307",0.14,"1",118114830718
1,"1181148307",0.14,"1",118114830718
2,"1181148307",0.57,"1",118114830718
3,"1181148307",1.43,"1",118114830718
3,"1181148307",1.43,"2",118114830719
4,"1181148307",2.0,"2",118114830719
5,"1181148307",0.86,"2",118114830719
5,"1181148307",0.86,"1b",118114830720
6,"1181148307",0.0,"1b",118114830720
7,"1181148307",0.43,"1b",118114830720
8,"1181148307",0.29,"1b",118114830720
9,"1181148307",0.57,"1b",118114830720
10,"1181148307",0.0,"1b",118114830720
10,"1181148307",0.0,"1",118114830721
11,"1181148307",0.29,"1",118114830721
11,"1181148307",0.29,"1b",118114830722
12,"1181148307",0.0,"1b",118114830722
13,"1181148307",0.29,"1b",118114830722
13,"1181148307",0.29,"1",118114830723
14,"1181148307",0.0,"1",118114830723
15,"1181148307",1.14,"1",118114830723
15,"1181148307",1.14,"1b",118114830724
16,"1181148307",0.86,"1b",118114830724
16,"1181148307",0.86,"2",118114830725
17,"1181148307",0.86,"2",118114830725
17,"1181148307",0.86,"1b",118114830726
18,"1181148307",0.57,"1b",118114830726
19,"1181148307",0.71,"1b",118114830726
20,"1181148307",1.29,"1b",118114830726
21,"1181148307",3.14,"1b",118114830726
21,"1181148307",3.14,"2",118114830727
22,"1181148307",2.29,"2",118114830727
23,"1181148307",1.0,"2",118114830727
24,"1181148307",1.14,"2",118114830727
25,"1181148307",0.86,"2",118114830727
25,"1181148307",0.86,"1b",118114830728
26,"1181148307",0.43,"1b",118114830728
27,"1181148307",0.29,"1b",118114830728
27,"1181148307",0.29,"1",118114830729
28,"1181148307",0.86,"1",118114830729
28,"1181148307",0.86,"1b",118114830730
29,"1181148307",2.29,"1b",118114830730
30,"1181148307",36.71,"1b",118114830730
30,"1181148307",36.71,"1",118114830731
31,"1181148307",67.43,"1",118114830731
31,"1181148307",67.43,"1b",118114830732
32,"1181148307",105.71,"1b",118114830732
32,"1181148307",105.71,"3",118114830733
33,"1181148307",107.43,"3",118114830733
33,"1181148307",107.43,"4",118114830734
34,"1181148307",77.71,"4",118114830734
35,"1181148307",54.86,"4",118114830734
36,"1181148307",51.43,"4",118114830734
37,"1181148307",37.71,"4",118114830734
38,"1181148307",40.0,"4",118114830734
39,"1181148307",40.57,"4",118114830734
40,"1181148307",40.0,"4",118114830734
41,"1181148307",43.43,"4",118114830734
42,"1181148307",52.57,"4",118114830734
43,"1181148307",50.29,"4",118114830734
44,"1181148307",36.0,"4",118114830734
45,"1181148307",42.29,"4",118114830734
46,"1181148307",48.57,"4",118114830734
47,"1181148307",50.86,"4",118114830734
48,"1181148307",39.43,"4",118114830734
49,"1181148307",38.86,"4",118114830734
50,"1181148307",45.71,"4",118114830734
51,"1181148307",45.71,"4",118114830734
52,"1181148307",57.14,"4",118114830734
53,"1181148307",58.29,"4",118114830734
54,"1181148307",49.71,"4",118114830734
55,"1181148307",50.86,"4",118114830734
56,"1181148307",59.43,"4",118114830734
57,"1181148307",50.29,"4",118114830734
58,"1181148307",48.57,"4",118114830734
59,"1181148307",54.86,"4",118114830734
60,"1181148307",38.86,"4",118114830734
61,"1181148307",52.0,"4",118114830734
62,"1181148307",39.43,"4",118114830734
63,"1181148307",44.57,"4",118114830734
64,"1181148307",56.57,"4",118114830734
65,"1181148307",47.43,"4",118114830734
66,"1181148307",44.57,"4",118114830734
67,"1181148307",51.43,"4",118114830734
68,"1181148307",49.71,"4",118114830734
69,"1181148307",44.57,"4",118114830734
70,"1181148307",44.57,"4",118114830734
71,"1181148307",50.86,"4",118114830734
72,"1181148307",45.71,"4",118114830734
73,"1181148307",44.0,"4",118114830734
74,"1181148307",49.71,"4",118114830734
75,"1181148307",46.86,"4",118114830734
76,"1181148307",42.86,"4",118114830734
77,"1181148307",46.86,"4",118114830734
78,"1181148307",48.0,"4",118114830734
79,"1181148307",52.57,"4",118114830734
80,"1181148307",49.71,"4",118114830734
81,"1181148307",45.71,"4",118114830734
81,"1181148307",45.71,"1",118118490035
0,"1181184900",0.57,"1",118118490035
1,"1181184900",1.86,"1",118118490035
1,"1181184900",1.86,"2",118118490036
2,"1181184900",2.57,"2",118118490036
3,"1181184900",2.86,"2",118118490036
4,"1181184900",2.43,"2",118118490036
5,"1181184900",1.57,"2",118118490036
6,"1181184900",1.14,"2",118118490036
7,"1181184900",0.86,"2",118118490036
7,"1181184900",0.86,"1b",118118490037
8,"1181184900",0.43,"1b",118118490037
8,"1181184900",0.43,"2",118118490038
9,"1181184900",1.57,"2",118118490038
10,"1181184900",3.0,"2",118118490038
11,"1181184900",1.43,"2",118118490038
12,"1181184900",0.86,"2",118118490038
12,"1181184900",0.86,"1b",118118490039
13,"1181184900",0.57,"1b",118118490039
14,"1181184900",0.0,"1b",118118490039
15,"1181184900",0.29,"1b",118118490039
16,"1181184900",0.29,"1b",118118490039
17,"1181184900",0.14,"1b",118118490039
17,"1181184900",0.14,"1",118118490040
18,"1181184900",0.71,"1",118118490040
18,"1181184900",0.71,"1b",118118490041
19,"1181184900",1.29,"1b",118118490041
19,"1181184900",1.29,"2",118118490042
20,"1181184900",1.0,"2",118118490042
21,"1181184900",0.29,"2",118118490042
21,"1181184900",0.29,"1b",118118490043
22,"1181184900",0.29,"1b",118118490043
23,"1181184900",0.71,"1b",118118490043
24,"1181184900",0.29,"1b",118118490043
25,"1181184900",0.43,"1b",118118490043
26,"1181184900",0.0,"1b",118118490043
26,"1181184900",0.0,"1",118118490044
27,"1181184900",0.0,"1",118118490044
28,"1181184900",0.0,"1",118118490044
29,"1181184900",0.0,"1",118118490044
30,"1181184900",34.29,"1",118118490044
31,"1181184900",61.71,"1",118118490044
32,"1181184900",114.29,"1",118118490044
32,"1181184900",114.29,"3",118118490045
33,"1181184900",107.43,"3",118118490045
33,"1181184900",107.43,"4",118118490046
34,"1181184900",82.29,"4",118118490046
35,"1181184900",93.71,"4",118118490046
36,"1181184900",64.0,"4",118118490046
37,"1181184900",52.57,"4",118118490046
38,"1181184900",41.14,"4",118118490046
39,"1181184900",26.86,"4",118118490046
40,"1181184900",39.43,"4",118118490046
40,"1181184900",39.43,"3",118118490047
41,"1181184900",56.57,"3",118118490047
41,"1181184900",56.57,"4",118118490048
42,"1181184900",57.14,"4",118118490048
43,"1181184900",65.14,"4",118118490048
44,"1181184900",58.29,"4",118118490048
45,"1181184900",49.71,"4",118118490048
46,"1181184900",37.71,"4",118118490048
47,"1181184900",49.71,"4",118118490048
48,"1181184900",53.14,"4",118118490048
49,"1181184900",46.86,"4",118118490048
50,"1181184900",51.43,"4",118118490048
51,"1181184900",45.14,"4",118118490048
52,"1181184900",38.86,"4",118118490048
53,"1181184900",54.29,"4",118118490048
54,"1181184900",47.43,"4",118118490048
55,"1181184900",49.14,"4",118118490048
56,"1181184900",52.0,"4",118118490048
57,"1181184900",48.57,"4",118118490048
58,"1181184900",47.43,"4",118118490048
59,"1181184900",50.29,"4",118118490048
60,"1181184900",36.57,"4",118118490048
61,"1181184900",57.14,"4",118118490048
62,"1181184900",53.14,"4",118118490048
63,"1181184900",56.57,"4",118118490048
64,"1181184900",48.0,"4",118118490048
65,"1181184900",45.14,"4",118118490048
66,"1181184900",48.57,"4",118118490048
67,"1181184900",51.43,"4",118118490048
68,"1181184900",48.0,"4",118118490048
69,"1181184900",40.0,"4",118118490048
70,"1181184900",48.57,"4",118118490048
71,"1181184900",60.0,"4",118118490048
72,"1181184900",46.29,"4",118118490048
73,"1181184900",52.0,"4",118118490048
74,"1181184900",47.43,"4",118118490048
75,"1181184900",44.57,"4",118118490048
76,"1181184900",38.86,"4",118118490048
77,"1181184900",49.14,"4",118118490048
78,"1181184900",58.86,"4",118118490048
79,"1181184900",51.43,"4",118118490048
80,"1181184900",51.43,"4",118118490048
81,"1181184900",58.86,"4",118118490048
81,"1181184900",58.86,"1",118121419849
0,"1181214198",0.0,"1",118121419849
1,"1181214198",0.0,"1",118121419849
2,"1181214198",0.0,"1",118121419849
3,"1181214198",0.0,"1",118121419849
4,"1181214198",0.0,"1",118121419849
5,"1181214198",0.0,"1",118121419849
6,"1181214198",0.0,"1",118121419849
7,"1181214198",0.0,"1",118121419849
8,"1181214198",0.0,"1",118121419849
9,"1181214198",0.0,"1",118121419849
10,"1181214198",0.0,"1",118121419849
11,"1181214198",0.0,"1",118121419849
12,"1181214198",0.0,"1",118121419849
13,"1181214198",0.0,"1",118121419849
14,"1181214198",0.14,"1",118121419849
15,"1181214198",0.0,"1",118121419849
16,"1181214198",0.0,"1",118121419849
17,"1181214198",0.0,"1",118121419849
18,"1181214198",0.14,"1",118121419849
19,"1181214198",1.29,"1",118121419849
19,"1181214198",1.29,"1b",118121419850
20,"1181214198",1.29,"1b",118121419850
20,"1181214198",1.29,"2",118121419851
21,"1181214198",0.43,"2",118121419851
22,"1181214198",0.0,"2",118121419851
22,"1181214198",0.0,"1b",118121419852
23,"1181214198",0.0,"1b",118121419852
24,"1181214198",0.0,"1b",118121419852
24,"1181214198",0.0,"1",118121419853
25,"1181214198",0.14,"1",118121419853
26,"1181214198",0.29,"1",118121419853
27,"1181214198",0.86,"1",118121419853
27,"1181214198",0.86,"1b",118121419854
28,"1181214198",0.14,"1b",118121419854
29,"1181214198",0.14,"1b",118121419854
29,"1181214198",0.14,"1",118121419855
30,"1181214198",34.0,"1",118121419855
31,"1181214198",60.0,"1",118121419855
31,"1181214198",60.0,"1b",118121419856
32,"1181214198",65.14,"1b",118121419856
32,"1181214198",65.14,"2",118121419857
33,"1181214198",67.43,"2",118121419857
33,"1181214198",67.43,"3",118121419858
34,"1181214198",62.29,"3",118121419858
34,"1181214198",62.29,"4",118121419859
35,"1181214198",48.57,"4",118121419859
36,"1181214198",40.0,"4",118121419859
37,"1181214198",40.0,"4",118121419859
38,"1181214198",36.0,"4",118121419859
38,"1181214198",36.0,"3",118121419860
39,"1181214198",53.14,"3",118121419860
40,"1181214198",48.57,"3",118121419860
40,"1181214198",48.57,"4",118121419861
41,"1181214198",56.0,"4",118121419861
42,"1181214198",55.43,"4",118121419861
43,"1181214198",45.71,"4",118121419861
44,"1181214198",57.14,"4",118121419861
45,"1181214198",48.57,"4",118121419861
46,"1181214198",49.14,"4",118121419861
47,"1181214198",43.43,"4",118121419861
48,"1181214198",37.71,"4",118121419861
49,"1181214198",40.0,"4",118121419861
50,"1181214198",52.0,"4",118121419861
51,"1181214198",49.71,"4",118121419861
52,"1181214198",49.14,"4",118121419861
53,"1181214198",42.29,"4",118121419861
54,"1181214198",53.71,"4",118121419861
55,"1181214198",45.71,"4",118121419861
56,"1181214198",46.29,"4",118121419861
57,"1181214198",54.29,"4",118121419861
58,"1181214198",50.86,"4",118121419861
59,"1181214198",56.57,"4",118121419861
60,"1181214198",35.43,"4",118121419861
61,"1181214198",50.29,"4",118121419861
62,"1181214198",49.71,"4",118121419861
63,"1181214198",37.14,"4",118121419861
64,"1181214198",34.86,"4",118121419861
65,"1181214198",45.71,"4",118121419861
66,"1181214198",44.57,"4",118121419861
67,"1181214198",42.29,"4",118121419861
68,"1181214198",30.86,"4",118121419861
69,"1181214198",41.14,"4",118121419861
69,"1181214198",41.14,"3",118121419862
70,"1181214198",57.14,"3",118121419862
71,"1181214198",69.71,"3",118121419862
71,"1181214198",69.71,"4",118121419863
72,"1181214198",55.43,"4",118121419863
73,"1181214198",44.0,"4",118121419863
74,"1181214198",48.0,"4",118121419863
75,"1181214198",41.14,"4",118121419863
76,"1181214198",44.0,"4",118121419863
76,"1181214198",44.0,"3",118121419864
77,"1181214198",46.29,"3",118121419864
78,"1181214198",45.71,"3",118121419864
79,"1181214198",60.57,"3",118121419864
79,"1181214198",60.57,"4",118121419865
80,"1181214198",50.86,"4",118121419865
81,"1181214198",40.57,"4",118121419865
81,"1181214198",40.57,"1",118129324266
0,"1181293242",0.0,"1",118129324266
1,"1181293242",0.29,"1",118129324266
2,"1181293242",0.0,"1",118129324266
2,"1181293242",0.0,"1b",118129324267
3,"1181293242",0.29,"1b",118129324267
4,"1181293242",0.57,"1b",118129324267
5,"1181293242",0.43,"1b",118129324267
5,"1181293242",0.43,"1",118129324268
6,"1181293242",0.57,"1",118129324268
6,"1181293242",0.57,"1b",118129324269
7,"1181293242",0.14,"1b",118129324269
8,"1181293242",0.0,"1b",118129324269
8,"1181293242",0.0,"1",118129324270
9,"1181293242",0.0,"1",118129324270
10,"1181293242",0.0,"1",118129324270
11,"1181293242",0.14,"1",118129324270
12,"1181293242",0.0,"1",118129324270
13,"1181293242",0.14,"1",118129324270
13,"1181293242",0.14,"1b",118129324271
14,"1181293242",0.57,"1b",118129324271
15,"1181293242",0.0,"1b",118129324271
