"wk","tr","nc","stg","id"
0,"8861054940",0.0,"1",88610549401
1,"8861054940",0.0,"1",88610549401
2,"8861054940",0.0,"1",88610549401
3,"8861054940",0.0,"1",88610549401
4,"8861054940",0.29,"1",88610549401
5,"8861054940",1.86,"1",88610549401
5,"8861054940",1.86,"2",88610549402
6,"8861054940",1.71,"2",88610549402
7,"8861054940",3.14,"2",88610549402
8,"8861054940",1.0,"2",88610549402
9,"8861054940",1.57,"2",88610549402
10,"8861054940",0.71,"2",88610549402
10,"8861054940",0.71,"1b",88610549403
11,"8861054940",0.14,"1b",88610549403
12,"8861054940",0.71,"1b",88610549403
13,"8861054940",0.43,"1b",88610549403
14,"8861054940",0.43,"1b",88610549403
14,"8861054940",0.43,"1",88610549404
15,"8861054940",0.43,"1",88610549404
16,"8861054940",0.0,"1",88610549404
17,"8861054940",0.0,"1",88610549404
18,"8861054940",0.0,"1",88610549404
19,"8861054940",0.14,"1",88610549404
20,"8861054940",0.0,"1",88610549404
21,"8861054940",0.0,"1",88610549404
22,"8861054940",0.0,"1",88610549404
23,"8861054940",0.0,"1",88610549404
24,"8861054940",0.0,"1",88610549404
25,"8861054940",0.0,"1",88610549404
26,"8861054940",0.0,"1",88610549404
27,"8861054940",0.29,"1",88610549404
28,"8861054940",0.14,"1",88610549404
29,"8861054940",0.29,"1",88610549404
30,"8861054940",30.86,"1",88610549404
31,"8861054940",72.43,"1",88610549404
32,"8861054940",79.43,"1",88610549404
33,"8861054940",64.0,"1",88610549404
34,"8861054940",132.57,"1",88610549404
35,"8861054940",130.29,"1",88610549404
36,"8861054940",160.0,"1",88610549404
37,"8861054940",180.57,"1",88610549404
38,"8861054940",251.43,"1",88610549404
39,"8861054940",196.57,"1",88610549404
40,"8861054940",283.43,"1",88610549404
41,"8861054940",269.71,"1",88610549404
42,"8861054940",205.71,"1",88610549404
43,"8861054940",203.43,"1",88610549404
44,"8861054940",203.43,"1",88610549404
45,"8861054940",226.29,"1",88610549404
46,"8861054940",146.29,"1",88610549404
47,"8861054940",125.71,"1",88610549404
48,"8861054940",123.43,"1",88610549404
49,"8861054940",144.0,"1",88610549404
