"wk","tr","nc","stg","id"
0,"3341030464",0.0,"1",33410304641
1,"3341030464",0.0,"1",33410304641
2,"3341030464",0.0,"1",33410304641
3,"3341030464",0.0,"1",33410304641
4,"3341030464",0.0,"1",33410304641
5,"3341030464",0.0,"1",33410304641
6,"3341030464",0.0,"1",33410304641
7,"3341030464",0.0,"1",33410304641
8,"3341030464",0.0,"1",33410304641
9,"3341030464",0.14,"1",33410304641
10,"3341030464",0.86,"1",33410304641
11,"3341030464",5.57,"1",33410304641
11,"3341030464",5.57,"2",33410304642
12,"3341030464",13.71,"2",33410304642
12,"3341030464",13.71,"3",33410304643
13,"3341030464",17.71,"3",33410304643
14,"3341030464",16.14,"3",33410304643
14,"3341030464",16.14,"2",33410304644
15,"3341030464",19.43,"2",33410304644
16,"3341030464",24.0,"2",33410304644
16,"3341030464",24.0,"1b",33410304645
17,"3341030464",36.57,"1b",33410304645
18,"3341030464",80.0,"1b",33410304645
19,"3341030464",134.86,"1b",33410304645
19,"3341030464",134.86,"3",33410304646
20,"3341030464",164.57,"3",33410304646
20,"3341030464",164.57,"4",33410304647
21,"3341030464",155.43,"4",33410304647
22,"3341030464",102.86,"4",33410304647
23,"3341030464",52.57,"4",33410304647
24,"3341030464",24.0,"4",33410304647
25,"3341030464",7.43,"4",33410304647
25,"3341030464",7.43,"3",33410304648
26,"3341030464",4.29,"3",33410304648
27,"3341030464",1.86,"3",33410304648
27,"3341030464",1.86,"2",33410304649
28,"3341030464",0.29,"2",33410304649
29,"3341030464",0.14,"2",33410304649
29,"3341030464",0.14,"1b",334103046410
30,"3341030464",0.29,"1b",334103046410
31,"3341030464",0.43,"1b",334103046410
31,"3341030464",0.43,"1",334103046411
32,"3341030464",0.29,"1",334103046411
33,"3341030464",0.57,"1",334103046411
34,"3341030464",2.14,"1",334103046411
35,"3341030464",4.71,"1",334103046411
36,"3341030464",8.86,"1",334103046411
37,"3341030464",12.71,"1",334103046411
38,"3341030464",19.0,"1",334103046411
39,"3341030464",38.0,"1",334103046411
40,"3341030464",64.57,"1",334103046411
41,"3341030464",95.43,"1",334103046411
42,"3341030464",118.86,"1",334103046411
43,"3341030464",253.71,"1",334103046411
44,"3341030464",468.57,"1",334103046411
44,"3341030464",468.57,"1b",334103046412
45,"3341030464",868.57,"1b",334103046412
45,"3341030464",868.57,"2",334103046413
46,"3341030464",1005.71,"2",334103046413
46,"3341030464",1005.71,"3",334103046414
47,"3341030464",850.29,"3",334103046414
47,"3341030464",850.29,"4",334103046415
48,"3341030464",320.0,"4",334103046415
49,"3341030464",173.71,"4",334103046415
50,"3341030464",54.86,"4",334103046415
51,"3341030464",25.71,"4",334103046415
51,"3341030464",25.71,"3",334103046416
52,"3341030464",10.29,"3",334103046416
53,"3341030464",4.43,"3",334103046416
53,"3341030464",4.43,"2",334103046417
54,"3341030464",3.43,"2",334103046417
55,"3341030464",2.57,"2",334103046417
55,"3341030464",2.57,"1b",334103046418
56,"3341030464",5.29,"1b",334103046418
57,"3341030464",7.14,"1b",334103046418
57,"3341030464",7.14,"1",334103046419
58,"3341030464",18.43,"1",334103046419
59,"3341030464",17.29,"1",334103046419
60,"3341030464",12.57,"1",334103046419
61,"3341030464",41.14,"1",334103046419
62,"3341030464",85.71,"1",334103046419
63,"3341030464",146.86,"1",334103046419
64,"3341030464",246.86,"1",334103046419
65,"3341030464",441.14,"1",334103046419
