"wk","tr","nc","stg","id"
0,"7421054940",0.0,"1",74210549401
1,"7421054940",0.0,"1",74210549401
2,"7421054940",0.0,"1",74210549401
3,"7421054940",0.0,"1",74210549401
4,"7421054940",0.14,"1",74210549401
5,"7421054940",0.0,"1",74210549401
6,"7421054940",0.14,"1",74210549401
7,"7421054940",0.29,"1",74210549401
7,"7421054940",0.29,"1b",74210549402
8,"7421054940",0.0,"1b",74210549402
9,"7421054940",0.71,"1b",74210549402
10,"7421054940",0.71,"1b",74210549402
11,"7421054940",0.57,"1b",74210549402
12,"7421054940",0.29,"1b",74210549402
13,"7421054940",0.57,"1b",74210549402
14,"7421054940",0.14,"1b",74210549402
14,"7421054940",0.14,"1",74210549403
15,"7421054940",0.0,"1",74210549403
16,"7421054940",0.0,"1",74210549403
17,"7421054940",0.0,"1",74210549403
18,"7421054940",0.0,"1",74210549403
19,"7421054940",0.14,"1",74210549403
20,"7421054940",0.43,"1",74210549403
21,"7421054940",0.43,"1",74210549403
22,"7421054940",0.0,"1",74210549403
23,"7421054940",0.0,"1",74210549403
24,"7421054940",0.0,"1",74210549403
25,"7421054940",0.0,"1",74210549403
26,"7421054940",0.0,"1",74210549403
27,"7421054940",0.43,"1",74210549403
28,"7421054940",1.0,"1",74210549403
29,"7421054940",0.43,"1",74210549403
30,"7421054940",45.14,"1",74210549403
31,"7421054940",191.43,"1",74210549403
32,"7421054940",406.86,"1",74210549403
32,"7421054940",406.86,"2",74210549404
33,"7421054940",420.57,"2",74210549404
33,"7421054940",420.57,"4",74210549405
34,"7421054940",237.71,"4",74210549405
35,"7421054940",246.86,"4",74210549405
36,"7421054940",146.29,"4",74210549405
37,"7421054940",84.57,"4",74210549405
37,"7421054940",84.57,"3",74210549406
38,"7421054940",121.14,"3",74210549406
39,"7421054940",146.29,"3",74210549406
40,"7421054940",224.0,"3",74210549406
40,"7421054940",224.0,"2",74210549407
41,"7421054940",310.86,"2",74210549407
42,"7421054940",475.43,"2",74210549407
42,"7421054940",475.43,"3",74210549408
43,"7421054940",640.0,"3",74210549408
43,"7421054940",640.0,"4",74210549409
44,"7421054940",338.29,"4",74210549409
45,"7421054940",329.14,"4",74210549409
46,"7421054940",128.0,"4",74210549409
47,"7421054940",105.14,"4",74210549409
47,"7421054940",105.14,"3",742105494010
48,"7421054940",61.71,"3",742105494010
49,"7421054940",60.57,"3",742105494010
49,"7421054940",60.57,"2",742105494011
50,"7421054940",94.86,"2",742105494011
51,"7421054940",128.0,"2",742105494011
51,"7421054940",128.0,"1b",742105494012
52,"7421054940",169.14,"1b",742105494012
53,"7421054940",269.71,"1b",742105494012
54,"7421054940",484.57,"1b",742105494012
54,"7421054940",484.57,"2",742105494013
55,"7421054940",576.0,"2",742105494013
55,"7421054940",576.0,"3",742105494014
56,"7421054940",603.43,"3",742105494014
56,"7421054940",603.43,"4",742105494015
57,"7421054940",402.29,"4",742105494015
58,"7421054940",301.71,"4",742105494015
59,"7421054940",294.86,"4",742105494015
60,"7421054940",107.43,"4",742105494015
61,"7421054940",91.43,"4",742105494015
61,"7421054940",91.43,"3",742105494016
62,"7421054940",64.0,"3",742105494016
63,"7421054940",107.43,"3",742105494016
63,"7421054940",107.43,"2",742105494017
64,"7421054940",164.57,"2",742105494017
65,"7421054940",208.0,"2",742105494017
66,"7421054940",242.29,"2",742105494017
66,"7421054940",242.29,"3",742105494018
67,"7421054940",317.71,"3",742105494018
67,"7421054940",317.71,"4",742105494019
68,"7421054940",217.14,"4",742105494019
69,"7421054940",125.71,"4",742105494019
69,"7421054940",125.71,"3",742105494020
70,"7421054940",137.14,"3",742105494020
71,"7421054940",180.57,"3",742105494020
72,"7421054940",278.86,"3",742105494020
73,"7421054940",228.57,"3",742105494020
73,"7421054940",228.57,"4",742105494021
74,"7421054940",102.86,"4",742105494021
75,"7421054940",144.0,"4",742105494021
75,"7421054940",144.0,"3",742105494022
76,"7421054940",141.71,"3",742105494022
77,"7421054940",141.71,"3",742105494022
78,"7421054940",162.29,"3",742105494022
79,"7421054940",253.71,"3",742105494022
80,"7421054940",219.43,"3",742105494022
80,"7421054940",219.43,"4",742105494023
81,"7421054940",130.29,"4",742105494023
81,"7421054940",130.29,"1",742114830724
0,"7421148307",0.14,"1",742114830724
1,"7421148307",0.43,"1",742114830724
1,"7421148307",0.43,"1b",742114830725
2,"7421148307",0.29,"1b",742114830725
3,"7421148307",0.0,"1b",742114830725
3,"7421148307",0.0,"1",742114830726
4,"7421148307",0.0,"1",742114830726
5,"7421148307",0.0,"1",742114830726
6,"7421148307",0.0,"1",742114830726
7,"7421148307",0.14,"1",742114830726
8,"7421148307",0.86,"1",742114830726
8,"7421148307",0.86,"2",742114830727
9,"7421148307",1.86,"2",742114830727
10,"7421148307",0.86,"2",742114830727
10,"7421148307",0.86,"1b",742114830728
11,"7421148307",0.57,"1b",742114830728
12,"7421148307",0.29,"1b",742114830728
13,"7421148307",0.86,"1b",742114830728
14,"7421148307",0.57,"1b",742114830728
14,"7421148307",0.57,"2",742114830729
15,"7421148307",0.57,"2",742114830729
16,"7421148307",0.0,"2",742114830729
16,"7421148307",0.0,"1b",742114830730
17,"7421148307",0.0,"1b",742114830730
18,"7421148307",0.14,"1b",742114830730
18,"7421148307",0.14,"1",742114830731
19,"7421148307",0.57,"1",742114830731
20,"7421148307",0.71,"1",742114830731
21,"7421148307",0.29,"1",742114830731
22,"7421148307",0.29,"1",742114830731
23,"7421148307",0.57,"1",742114830731
24,"7421148307",4.71,"1",742114830731
25,"7421148307",10.43,"1",742114830731
26,"7421148307",16.14,"1",742114830731
27,"7421148307",42.0,"1",742114830731
27,"7421148307",42.0,"1b",742114830732
28,"7421148307",42.29,"1b",742114830732
29,"7421148307",66.29,"1b",742114830732
29,"7421148307",66.29,"1",742114830733
30,"7421148307",176.57,"1",742114830733
31,"7421148307",338.29,"1",742114830733
31,"7421148307",338.29,"1b",742114830734
32,"7421148307",724.57,"1b",742114830734
32,"7421148307",724.57,"3",742114830735
33,"7421148307",941.71,"3",742114830735
33,"7421148307",941.71,"4",742114830736
34,"7421148307",548.57,"4",742114830736
35,"7421148307",402.29,"4",742114830736
36,"7421148307",338.29,"4",742114830736
37,"7421148307",155.43,"4",742114830736
38,"7421148307",102.86,"4",742114830736
38,"7421148307",102.86,"3",742114830737
39,"7421148307",80.0,"3",742114830737
40,"7421148307",144.0,"3",742114830737
40,"7421148307",144.0,"2",742114830738
41,"7421148307",262.86,"2",742114830738
42,"7421148307",372.57,"2",742114830738
42,"7421148307",372.57,"3",742114830739
