"wk","tr","nc","stg","id"
0,"191054940",0.0,"1",1910549401
1,"191054940",0.0,"1",1910549401
2,"191054940",0.0,"1",1910549401
3,"191054940",0.0,"1",1910549401
4,"191054940",0.14,"1",1910549401
5,"191054940",0.14,"1",1910549401
5,"191054940",0.14,"1b",1910549402
6,"191054940",0.14,"1b",1910549402
7,"191054940",0.43,"1b",1910549402
8,"191054940",1.43,"1b",1910549402
9,"191054940",2.0,"1b",1910549402
9,"191054940",2.0,"2",1910549403
10,"191054940",0.71,"2",1910549403
11,"191054940",1.0,"2",1910549403
11,"191054940",1.0,"1b",1910549404
12,"191054940",1.71,"1b",1910549404
12,"191054940",1.71,"2",1910549405
13,"191054940",0.57,"2",1910549405
14,"191054940",0.14,"2",1910549405
14,"191054940",0.14,"1b",1910549406
15,"191054940",0.0,"1b",1910549406
16,"191054940",0.0,"1b",1910549406
16,"191054940",0.0,"1",1910549407
17,"191054940",0.0,"1",1910549407
18,"191054940",0.0,"1",1910549407
19,"191054940",0.14,"1",1910549407
20,"191054940",0.0,"1",1910549407
21,"191054940",0.0,"1",1910549407
22,"191054940",0.0,"1",1910549407
23,"191054940",0.0,"1",1910549407
24,"191054940",0.0,"1",1910549407
25,"191054940",0.0,"1",1910549407
26,"191054940",0.0,"1",1910549407
27,"191054940",0.43,"1",1910549407
27,"191054940",0.43,"1b",1910549408
28,"191054940",0.57,"1b",1910549408
29,"191054940",0.29,"1b",1910549408
29,"191054940",0.29,"1",1910549409
30,"191054940",0.57,"1",1910549409
31,"191054940",0.29,"1",1910549409
32,"191054940",0.0,"1",1910549409
33,"191054940",0.86,"1",1910549409
34,"191054940",0.29,"1",1910549409
35,"191054940",0.0,"1",1910549409
36,"191054940",0.86,"1",1910549409
37,"191054940",0.71,"1",1910549409
38,"191054940",0.57,"1",1910549409
39,"191054940",1.0,"1",1910549409
40,"191054940",1.86,"1",1910549409
41,"191054940",1.14,"1",1910549409
42,"191054940",1.71,"1",1910549409
43,"191054940",3.0,"1",1910549409
44,"191054940",1.0,"1",1910549409
45,"191054940",1.29,"1",1910549409
46,"191054940",4.29,"1",1910549409
47,"191054940",4.71,"1",1910549409
48,"191054940",3.14,"1",1910549409
49,"191054940",4.29,"1",1910549409
50,"191054940",1.71,"1",1910549409
51,"191054940",1.14,"1",1910549409
52,"191054940",1.57,"1",1910549409
53,"191054940",1.43,"1",1910549409
54,"191054940",2.71,"1",1910549409
55,"191054940",2.14,"1",1910549409
56,"191054940",3.0,"1",1910549409
57,"191054940",2.86,"1",1910549409
58,"191054940",2.14,"1",1910549409
59,"191054940",1.57,"1",1910549409
60,"191054940",1.29,"1",1910549409
61,"191054940",0.57,"1",1910549409
62,"191054940",1.43,"1",1910549409
63,"191054940",1.71,"1",1910549409
64,"191054940",0.57,"1",1910549409
65,"191054940",0.86,"1",1910549409
66,"191054940",0.29,"1",1910549409
67,"191054940",0.43,"1",1910549409
68,"191054940",0.43,"1",1910549409
69,"191054940",0.43,"1",1910549409
70,"191054940",0.86,"1",1910549409
71,"191054940",0.29,"1",1910549409
72,"191054940",1.0,"1",1910549409
73,"191054940",0.86,"1",1910549409
74,"191054940",0.43,"1",1910549409
75,"191054940",0.43,"1",1910549409
76,"191054940",0.0,"1",1910549409
77,"191054940",0.14,"1",1910549409
78,"191054940",0.57,"1",1910549409
