"wk","tr","nc","stg","id"
0,"3311054940",0.0,"1",33110549401
1,"3311054940",0.0,"1",33110549401
2,"3311054940",0.0,"1",33110549401
3,"3311054940",0.0,"1",33110549401
4,"3311054940",0.14,"1",33110549401
4,"3311054940",0.14,"1b",33110549402
5,"3311054940",1.57,"1b",33110549402
5,"3311054940",1.57,"2",33110549403
6,"3311054940",0.71,"2",33110549403
7,"3311054940",1.29,"2",33110549403
7,"3311054940",1.29,"1b",33110549404
8,"3311054940",3.14,"1b",33110549404
8,"3311054940",3.14,"2",33110549405
9,"3311054940",4.86,"2",33110549405
10,"3311054940",3.86,"2",33110549405
11,"3311054940",2.43,"2",33110549405
12,"3311054940",0.86,"2",33110549405
12,"3311054940",0.86,"1b",33110549406
13,"3311054940",0.71,"1b",33110549406
13,"3311054940",0.71,"2",33110549407
14,"3311054940",0.71,"2",33110549407
15,"3311054940",0.86,"2",33110549407
15,"3311054940",0.86,"1b",33110549408
16,"3311054940",0.29,"1b",33110549408
17,"3311054940",0.0,"1b",33110549408
17,"3311054940",0.0,"1",33110549409
18,"3311054940",0.0,"1",33110549409
19,"3311054940",0.14,"1",33110549409
20,"3311054940",0.0,"1",33110549409
21,"3311054940",0.0,"1",33110549409
22,"3311054940",0.0,"1",33110549409
23,"3311054940",0.0,"1",33110549409
24,"3311054940",0.0,"1",33110549409
25,"3311054940",0.0,"1",33110549409
26,"3311054940",0.0,"1",33110549409
27,"3311054940",0.71,"1",33110549409
27,"3311054940",0.71,"1b",331105494010
28,"3311054940",4.14,"1b",331105494010
28,"3311054940",4.14,"2",331105494011
29,"3311054940",3.57,"2",331105494011
30,"3311054940",9.14,"2",331105494011
30,"3311054940",9.14,"1b",331105494012
31,"3311054940",22.43,"1b",331105494012
32,"3311054940",23.0,"1b",331105494012
33,"3311054940",41.71,"1b",331105494012
33,"3311054940",41.71,"1",331105494013
34,"3311054940",72.0,"1",331105494013
34,"3311054940",72.0,"2",331105494014
35,"3311054940",108.0,"2",331105494014
35,"3311054940",108.0,"3",331105494015
36,"3311054940",91.43,"3",331105494015
36,"3311054940",91.43,"4",331105494016
37,"3311054940",59.43,"4",331105494016
38,"3311054940",64.0,"4",331105494016
39,"3311054940",66.29,"4",331105494016
40,"3311054940",42.86,"4",331105494016
41,"3311054940",32.0,"4",331105494016
42,"3311054940",20.57,"4",331105494016
42,"3311054940",20.57,"3",331105494017
43,"3311054940",25.71,"3",331105494017
44,"3311054940",37.71,"3",331105494017
45,"3311054940",44.0,"3",331105494017
45,"3311054940",44.0,"4",331105494018
46,"3311054940",21.14,"4",331105494018
47,"3311054940",24.0,"4",331105494018
47,"3311054940",24.0,"3",331105494019
48,"3311054940",21.71,"3",331105494019
49,"3311054940",38.29,"3",331105494019
49,"3311054940",38.29,"2",331105494020
50,"3311054940",63.43,"2",331105494020
50,"3311054940",63.43,"3",331105494021
51,"3311054940",57.71,"3",331105494021
51,"3311054940",57.71,"4",331105494022
52,"3311054940",46.29,"4",331105494022
53,"3311054940",32.0,"4",331105494022
54,"3311054940",24.0,"4",331105494022
55,"3311054940",23.43,"4",331105494022
