"wk","tr","nc","stg","id"
0,"11391054940",0.0,"1",113910549401
1,"11391054940",0.0,"1",113910549401
2,"11391054940",0.0,"1",113910549401
3,"11391054940",0.0,"1",113910549401
4,"11391054940",0.14,"1",113910549401
5,"11391054940",0.71,"1",113910549401
5,"11391054940",0.71,"1b",113910549402
6,"11391054940",0.29,"1b",113910549402
7,"11391054940",0.57,"1b",113910549402
7,"11391054940",0.57,"1",113910549403
8,"11391054940",2.29,"1",113910549403
8,"11391054940",2.29,"1b",113910549404
9,"11391054940",6.14,"1b",113910549404
9,"11391054940",6.14,"3",113910549405
10,"11391054940",6.29,"3",113910549405
11,"11391054940",6.14,"3",113910549405
11,"11391054940",6.14,"2",113910549406
12,"11391054940",4.57,"2",113910549406
13,"11391054940",5.0,"2",113910549406
13,"11391054940",5.0,"3",113910549407
14,"11391054940",1.86,"3",113910549407
15,"11391054940",0.71,"3",113910549407
15,"11391054940",0.71,"2",113910549408
16,"11391054940",0.71,"2",113910549408
17,"11391054940",0.0,"2",113910549408
17,"11391054940",0.0,"1b",113910549409
18,"11391054940",0.0,"1b",113910549409
19,"11391054940",0.29,"1b",113910549409
19,"11391054940",0.29,"1",1139105494010
20,"11391054940",1.29,"1",1139105494010
21,"11391054940",1.29,"1",1139105494010
22,"11391054940",0.86,"1",1139105494010
23,"11391054940",0.43,"1",1139105494010
24,"11391054940",0.0,"1",1139105494010
25,"11391054940",0.0,"1",1139105494010
26,"11391054940",0.0,"1",1139105494010
27,"11391054940",0.86,"1",1139105494010
28,"11391054940",1.71,"1",1139105494010
29,"11391054940",3.43,"1",1139105494010
30,"11391054940",37.71,"1",1139105494010
31,"11391054940",108.57,"1",1139105494010
32,"11391054940",244.57,"1",1139105494010
33,"11391054940",379.43,"1",1139105494010
34,"11391054940",594.29,"1",1139105494010
35,"11391054940",1206.86,"1",1139105494010
36,"11391054940",1536.0,"1",1139105494010
36,"11391054940",1536.0,"1b",1139105494011
37,"11391054940",1243.43,"1b",1139105494011
37,"11391054940",1243.43,"2",1139105494012
38,"11391054940",877.71,"2",1139105494012
38,"11391054940",877.71,"3",1139105494013
39,"11391054940",484.57,"3",1139105494013
39,"11391054940",484.57,"4",1139105494014
40,"11391054940",347.43,"4",1139105494014
41,"11391054940",228.57,"4",1139105494014
41,"11391054940",228.57,"3",1139105494015
42,"11391054940",320.0,"3",1139105494015
43,"11391054940",272.0,"3",1139105494015
43,"11391054940",272.0,"2",1139105494016
44,"11391054940",196.57,"2",1139105494016
44,"11391054940",196.57,"1b",1139105494017
45,"11391054940",203.43,"1b",1139105494017
45,"11391054940",203.43,"1",1139105494018
46,"11391054940",400.0,"1",1139105494018
47,"11391054940",402.29,"1",1139105494018
48,"11391054940",484.57,"1",1139105494018
49,"11391054940",1069.71,"1",1139105494018
49,"11391054940",1069.71,"1b",1139105494019
50,"11391054940",1490.29,"1b",1139105494019
50,"11391054940",1490.29,"2",1139105494020
51,"11391054940",1792.0,"2",1139105494020
51,"11391054940",1792.0,"3",1139105494021
52,"11391054940",1609.14,"3",1139105494021
52,"11391054940",1609.14,"4",1139105494022
53,"11391054940",950.86,"4",1139105494022
54,"11391054940",457.14,"4",1139105494022
54,"11391054940",457.14,"3",1139105494023
55,"11391054940",265.14,"3",1139105494023
56,"11391054940",301.71,"3",1139105494023
56,"11391054940",301.71,"2",1139105494024
57,"11391054940",155.43,"2",1139105494024
58,"11391054940",160.0,"2",1139105494024
58,"11391054940",160.0,"1b",1139105494025
59,"11391054940",180.57,"1b",1139105494025
59,"11391054940",180.57,"1",1139105494026
60,"11391054940",345.14,"1",1139105494026
61,"11391054940",418.29,"1",1139105494026
62,"11391054940",1069.71,"1",1139105494026
63,"11391054940",1828.57,"1",1139105494026
63,"11391054940",1828.57,"1b",1139105494027
64,"11391054940",1389.71,"1b",1139105494027
64,"11391054940",1389.71,"2",1139105494028
65,"11391054940",1718.86,"2",1139105494028
65,"11391054940",1718.86,"3",1139105494029
66,"11391054940",1170.29,"3",1139105494029
66,"11391054940",1170.29,"4",1139105494030
67,"11391054940",603.43,"4",1139105494030
68,"11391054940",228.57,"4",1139105494030
68,"11391054940",228.57,"3",1139105494031
69,"11391054940",137.14,"3",1139105494031
70,"11391054940",102.86,"3",1139105494031
70,"11391054940",102.86,"2",1139105494032
71,"11391054940",82.29,"2",1139105494032
72,"11391054940",148.57,"2",1139105494032
72,"11391054940",148.57,"1",1139105494033
73,"11391054940",352.0,"1",1139105494033
74,"11391054940",441.14,"1",1139105494033
75,"11391054940",658.29,"1",1139105494033
76,"11391054940",1270.86,"1",1139105494033
77,"11391054940",2944.0,"1",1139105494033
77,"11391054940",2944.0,"1b",1139105494034
78,"11391054940",3620.57,"1b",1139105494034
78,"11391054940",3620.57,"2",1139105494035
79,"11391054940",2633.14,"2",1139105494035
